Title     : 35 Essential Vocabulary Words for Flying  ✈️
Video ID  : NcwJMB71_nY
[04:49.47]  that you are not bringing anything
[04:51.06]  dangerous onto the airplane and that is
[04:54.36]  what this area is called so after you
[04:56.40]  get your boarding pass you need to go
[04:58.56]  through security and we often use it
[05:02.10]  with that phrasal verb go through you go
[05:04.98]  through security and people might say an
[05:08.04]  example sentence like wow we were we
[05:10.62]  were waiting in such a long line when we
[05:13.02]  had to go through security we just
[05:14.88]  wanted to go through security quickly
[05:16.53]  but there was a long queue and it took
[05:19.02]  some time to go through security when
[05:21.51]  you are going through security another
[05:24.03]  verb that you will often hear is remove
[05:26.91]  that the officials that work there are
[05:29.67]  going to tell people to remove things
[05:32.76]  they might say to remove your computer
[05:35.88]  from your bag or they might tell you to
[05:38.25]  remove your belt or in some cases maybe
[05:40.95]  remove your shoes so the next time you
[05:44.19]  are going through security I want you to
[05:47.22]  listen for that verb remove they will
[05:49.86]  tell you to remove maybe a variety of
[05:52.62]  different things after you go through
[05:54.45]  security I just I just keep using that
[05:57.12]  fred is no verb over and over I told you
[05:59.22]  we use it a lot when talking about
[06:00.66]  security but after you go through
[06:02.40]  security there are there are two
[06:04.62]  different types of flights that one
[06:06.90]  person might take and that is a domestic
[06:09.66]  flight or an international flight if you
[06:12.15]  are taking a domestic flight it means
[06:14.67]  that you are traveling within the
[06:17.13]  country and that is a domestic flight an
[06:20.22]  international flight it means that you
[06:21.93]  are traveling to another country
[06:24.08]  international or domestic flight now
[06:26.67]  it's time to start looking for our
[06:28.71]  flight we need to find where we need to
[06:30.60]  go and you may need to find the
[06:33.40]  correct terminal so at some airports
[06:36.16]  there will be different terminals and
[06:38.71]  this is a building where different
[06:41.59]  planes will either arrive or take off
[06:44.77]  the terminal and when you are flying you
[06:47.59]  may need to find the correct terminal
[06:50.32]  the correct building which is where your
[06:53.23]  gate is located at the terminal there
[06:56.41]  are many different gates so we need to
[07:00.49]  look for our specific gate because the
[07:03.43]  gate is the location where an individual
[07:07.15]  flight will either leave or arrive so we
[07:10.57]  need to go to our gate because that is
[07:13.66]  where we are going to leave from and
[07:15.82]  often it may even say the gate on the
[07:18.61]  boarding pass once you check in and get
[07:20.89]  your boarding pass it may even tell you
[07:23.17]  the gate that you need to go to at
[07:24.97]  airports there are different ways to get
[07:27.40]  around you will find elevators you will
[07:29.23]  find escalators you may find buses or
[07:32.50]  trams but you may also see a moving
[07:36.16]  sidewalk because at airports sometimes
[07:39.04]  people have to walk a long distance to
[07:41.92]  get to their terminal or get to their
[07:43.81]  gate so you may find moving sidewalks at
[07:47.08]  airports and that they mean exactly what
[07:49.93]  they say it's like a sidewalk it's
[07:51.67]  moving it helps people walk a little
[07:53.92]  quicker so they can get around an
[07:55.99]  airport faster a moving sidewalk once
[07:58.54]  you get to the gate you may see your
[08:00.70]  your plane that's parked right there
[08:02.67]  something else you may see is a gangway
[08:06.07]  this is the elevated platform that is
[08:09.31]  connecting the plane to the gate so once
[08:13.15]  you give airline employee your boarding
[08:16.39]  pass you are going to walk down the
[08:19.12]  gangway in order to enter or board the
[08:22.21]  plane so as you are boarding the plane
[08:24.16]  the first person that you will probably
[08:25.96]  see is the flight attendant and this is
[08:29.38]  the person who works on a plane and just
[08:31.90]  helps the passengers they may bring you
[08:34.33]  food or drinks and or just assist you in
[08:37.30]  any way that they can you may also see
[08:40.09]  the pilots now the pilots they they fly
[08:43.54]  the plane but they are flying in a
[08:46.00]  compartment which
[08:47.26]  is called the cockpit so the pilots will
[08:49.90]  fly the plane from the cockpit when
[08:52.45]  you're walking down the aisle to find
[08:53.98]  your seat you will see those large
[08:55.87]  storage areas up top they may be called
[08:58.84]  overhead compartments or even overhead
[09:02.20]  storage and this is where people will
[09:04.03]  put their bags during a flight either in
[09:06.55]  the overhead compartments or overhead
[09:08.83]  storage listen for those words they're
[09:11.14]  very common once you sit down you will
[09:14.44]  find things such as an armrest you will
[09:16.81]  find that between the seats or even in
[09:19.30]  front of you there will be a trade table
[09:22.57]  this is a small table that folds down
[09:25.48]  and you can put food on it you can put
[09:27.79]  drinks on it you could even put a baby
[09:29.62]  on it if you wanted to sometimes people
[09:32.08]  will put their heads down on the tray
[09:33.58]  table and try to sleep again very common
[09:37.12]  word listen for it the next time you are
[09:39.31]  flying a tray table now that you and I
[09:41.86]  are on the plane we're getting ready to
[09:44.38]  leave
[09:44.98]  the plane is going to go down the runway
[09:48.28]  this is the long stretch of smooth
[09:52.54]  ground that a plane will go down before
[09:55.87]  it takes off it will take off down the
[09:59.89]  runway and take off that is the another
[10:02.86]  phrasal verb that I wanted to highlight
[10:04.78]  because we use that all the time when a
[10:08.26]  plane takes off it means when it
[10:10.75]  actually leaves the ground you can also
[10:14.05]  use this somewhat as a synonym for leave
[10:17.65]  so a person might ask you know hey what
[10:20.29]  time does the plane leave you could also
[10:23.11]  ask well what time does the plane take
[10:25.75]  off in this case leave and take off they
[10:28.90]  can be used interchangeably but
[10:30.73]  specifically take off is talking about
[10:32.86]  the the point in which the plane is
[10:35.53]  leaving the ground it takes off after we
[10:38.65]  take off the plane is going to ascend
[10:41.62]  which means it's just going to rise the
[10:44.74]  opposite of that once the plane starts
[10:46.90]  to land it's going to descend it's going
[10:49.84]  to fall it's going to go down so ascend
[10:52.69]  is to go up to rise descend is to go
[10:56.92]  down to fall it can also be you
[10:59.92]  used as a noun ascent and descent and
[11:03.22]  when the pilot is talking to the
[11:06.10]  passengers you may hear him or her say
[11:09.01]  those words and they might refer to our
[11:11.16]  ascent or our descent and they may often
[11:14.53]  use it with the word altitude that's
[11:17.44]  another word that you may hear the pilot
[11:20.62]  talk about and altitude just refers to
[11:23.20]  the height at which the plane is above
[11:26.92]  sea level the altitude of the plane now
[11:30.13]  that we're flying we are up in the air
[11:31.87]  typically at this point the the flight
[11:34.30]  attendants will come on and make some
[11:36.34]  announcements they will talk about the
[11:38.35]  need for people to stay seated they will
[11:40.81]  highlight the the fasten seatbelt sign
[11:42.91]  or the no smoking sign they may also
[11:45.58]  talk about the lavatory and if they
[11:48.40]  mention the lavatory then they are just
[11:50.65]  talking about the toilet that is located
[11:53.74]  on the airplane the lavatory you may
[11:56.59]  also hear them talk about the galley the
[11:59.23]  galley is often where these flight
[12:01.57]  attendants are working it is where they
[12:03.40]  prepare the food or get the food ready
[12:05.44]  to or even get the drinks ready to come
[12:08.20]  around and serve the passengers that
[12:09.88]  area is called the galley and they they
[12:12.76]  may tell passengers not to congregate
[12:16.45]  around the galley and to congregate just
[12:19.66]  means to kind of a group of people
[12:22.21]  standing around and just hanging out so
[12:25.74]  on a plane it's very small you need
[12:28.90]  these areas to stay open so they may say
[12:31.63]  not to congregate around the galley
[12:34.63]  because people need to get to the
[12:36.64]  laboratory while flying you may also
[12:38.62]  experience turbulence this just refers
[12:41.98]  to violent or unsteady wind that that is
[12:46.39]  basically going to shake the plane it is
[12:49.12]  called turbulence and you may hear a
[12:51.04]  pilot make an announcement and tell
[12:52.93]  people hey we are going to experience a
[12:56.17]  little turbulence
[12:57.22]  so that people are aware that this is
[12:59.26]  going to happen and and they're not they
[13:01.51]  don't need to be nervous if the planes
[13:03.19]  start shaking but if it does that is
[13:05.77]  called turbulence once the plane starts
[13:08.68]  its descent and we are now starting to
[13:11.92]  and the flight attendant may come on and
[13:14.20]  make another announcement for people to
[13:17.23]  return their seats and tray tables to
[13:20.41]  their upright position an upright is the
[13:23.65]  word that I wanted to mention because
[13:25.06]  you will definitely hear that word on a
[13:28.45]  plane they will say return the seats
[13:30.16]  return the tray tables to their upright
[13:32.34]  position and upright just means that it
[13:35.65]  is in a straight and vertical position
[13:38.89]  an upright position so once the plane
[13:41.11]  starts to descend and then it lands then
[13:44.14]  we are going to taxi to the gate and
[13:46.95]  taxi I'm not talking about the yellow
[13:49.72]  car that people use to go from one place
[13:52.78]  to another this is actually a verb to
[13:55.81]  taxi and what it means is to move slowly
[13:58.57]  on the ground after landing again listen
[14:02.08]  for this verb this is something that
[14:04.30]  pilots will say and they will say that
[14:06.70]  we need to taxi to the gate so they want
[14:10.48]  everybody to stay seated to taxi after
[14:13.15]  we have taxi to the gate and we are
[14:15.97]  sitting there you may hear flight
[14:17.62]  attendants make another announcement and
[14:20.02]  they will say be careful when opening
[14:22.03]  the overhead storage because the bags
[14:25.12]  may have moved around during the flight
[14:27.40]  so again you will hear them mention the
[14:29.83]  overhead storage then once we get our
[14:32.02]  bags we are going to disembark the plane
[14:35.23]  that is leaving the plane we often use
[14:38.05]  that verb to disembark to disembark the
[14:41.29]  plane once people disembark sometimes
[14:44.11]  they're in a hurry I know that sometimes
[14:46.27]  I am especially if I need to catch a
[14:49.39]  connecting flight and if you hear
[14:51.40]  somebody talk about a connecting flight
[14:53.53]  what this means is that that the person
[14:56.41]  is not at their final destination they
[14:59.05]  need to disembark one plane and then get
[15:02.65]  on another plane so that they can
[15:05.11]  continue their trip it is referred to as
[15:07.48]  a connecting flight fortunately for us
[15:09.85]  we are at our final destination so after
[15:13.18]  we disembark the plane because it is an
[15:16.54]  international flight it's not a domestic
[15:18.61]  flight we will need to go through
[15:20.98]  immigration
[15:21.80]  and this is the area where government
[15:24.59]  officials will just check your documents
[15:27.29]  to make sure it's okay to enter the
[15:29.87]  country
[15:30.29]  it's called immigration we may also need
[15:32.72]  to go through customs this is the area
[15:35.18]  where officials may check your bags or
[15:38.06]  maybe they'll check any other things
[15:40.40]  that you are bringing into the country
[15:42.43]  customs then once we have gone through
[15:44.78]  immigration and gone through customs
[15:47.27]  again we can use it with that phrasal
[15:49.58]  verb go through then we will head to
[15:52.43]  baggage claim and this is where we will
[15:55.67]  collect our luggage or our suitcase so
[15:58.85]  at the beginning if you checked a bag we
[16:02.54]  use that verb check to check a bag you
[16:05.33]  will need to collect that bag at baggage
[16:08.54]  claim so instead of saying suitcase or
[16:11.36]  luggage airports we'll use the word
[16:13.91]  baggage and you will see that on signs
[16:16.46]  throughout an airport baggage claim it
[16:19.01]  is the place where you will collect any
[16:21.38]  check bag or suitcase or luggage baggage
[16:24.62]  claim and then once we collect our
[16:26.24]  suitcase at baggage claim we're going to
[16:28.61]  walk outside to the arrivals area and
[16:31.94]  then find a way to leave the airport and
[16:34.58]  then that's it our flight is over so I
[16:37.79]  hope you enjoyed this lesson and found
[16:39.92]  it useful and if you learn some new
[16:41.84]  words please hit that like button down
[16:44.33]  below thanks so much for watching and
[16:46.70]  I'll see you next time
