Title     : ADVANCED HEALTH VOCABULARY ❤️  | Words & phrases you need to know
Video ID  : PXuIa2LLkUo
[04:37.68]  the phrase to pull yourself together.
[04:40.72]  She was able to pull herself together
[04:43.04]  and face the situation. So, if you were
[04:48.00]  to use it or you're telling someone
[04:49.52]  else, look, you need to, you know, you
[04:51.04]  need to pull yourself together. In that
[04:53.52]  case, you're talking about regaining
[04:55.76]  control of your emotions, whether it's
[04:58.48]  sadness, anger, uh, and any, it really
[05:02.00]  it would be more of a negative emotion
[05:04.32]  and you're trying to tell someone, "Get
[05:06.08]  control. Pull yourself together." Or
[05:08.24]  maybe you're talking about yourself. I
[05:09.76]  need to pull myself together. Keep in
[05:11.52]  mind, we are going to use that reflexive
[05:13.68]  pronoun, myself, himself, herself,
[05:16.40]  yourself to pull yourself together. just
[05:18.64]  because I thought this was a humorous
[05:20.24]  picture right here like this this cat uh
[05:24.32]  sitting there nonchalantly just saying
[05:26.72]  hey pull yourself together that you know
[05:29.36]  the cat has it under control emotionally
[05:31.52]  then yeah I think uh telling the other
[05:33.68]  person pull your pull yourself together
[05:36.08]  so one thing to keep in mind is pull
[05:38.96]  yourself together is talking about
[05:41.20]  emotion there's another phrase that
[05:44.08]  sounds similar is to get your act
[05:46.32]  together to get your act together is
[05:49.20]  more about getting organized and doing
[05:51.68]  things efficiently and effectively.
[05:53.92]  Sometimes I hear people confuse those
[05:55.92]  two. So, pull yourself together is more
[05:58.68]  emotion. Get your act together is more
[06:02.04]  organization. Let's keep going because I
[06:04.16]  I told you I have quite a few words and
[06:06.56]  phrases that I want to share with you
[06:08.40]  today because this topic is it's very
[06:11.12]  important but there's a lot to discuss
[06:13.44]  when it comes to our health. What do you
[06:15.92]  think about this? Sorry, I forgot. I've
[06:20.20]  got
[06:22.76]  on right now. So, there is
[06:26.28]  uh there are a few words missing. And I
[06:30.16]  think I I would not be surprised if
[06:33.96]  uh there is another phrase idiom that
[06:37.76]  would fit, but I don't think it would be
[06:41.20]  the best in this situation.
[06:44.32]  We're talking about health. But again,
[06:47.60]  maybe so I I don't I'll leave it there
[06:49.60]  to give you a moment to think about this
[06:51.52]  idiom. Sorry, I forgot I've got on M
[06:56.40]  right now. So, I'm giving you part of
[06:58.00]  the idiom. Hopefully, it makes it a
[06:59.76]  little easier to think of the phrase
[07:02.00]  that I'm referring to in this context.
[07:05.56]  Somebody forgets something. What would
[07:08.88]  you say? I mentioned that there's
[07:12.16]  probably one of two responses at least
[07:15.84]  that I can think of right now, but the
[07:18.56]  one that I I'm trying to lead you
[07:21.60]  towards as far as forgetting something
[07:24.16]  and that would be the the primary thing
[07:27.36]  that we're referring to in that case
[07:29.60]  like uh I've got a lot on my mind right
[07:32.32]  now. The other idiom when when you got a
[07:35.28]  lot on your mind in this case you're
[07:38.80]  you're talking about you're mentally
[07:41.00]  preoccupied and when that happens you
[07:43.68]  forget something you you just we're
[07:46.72]  talking about in this case like mental
[07:48.08]  health you got a lot on your mind and
[07:50.48]  you're just preoccupied the other phrase
[07:52.72]  which I'm seeing right now yes when you
[07:55.04]  get a lot on your plate that would all
[07:57.28]  that would fit in that sentence and
[07:59.28]  sometimes if you have a lot on your
[08:00.80]  plate you forget things But when you
[08:03.52]  have a lot on your plate, we're talking
[08:05.28]  that's more, you know, you're busy.
[08:07.20]  There's a lot of different things going
[08:09.04]  on, uh, and you got a lot of work or
[08:11.84]  other responsibilities. You got a lot on
[08:13.84]  your plate. It's really about being
[08:15.36]  busy. Whereas, when you got a lot on
[08:17.12]  your mind, then you're just preoccupied.
[08:19.76]  You're worried about things that could
[08:21.68]  be related to finance or uh, family
[08:26.68]  issues. And in that case, I think it
[08:29.52]  does cause this, you know, mental
[08:31.20]  stress. And you could say you got a lot
[08:32.80]  on your mind. You're thinking about a
[08:34.56]  lot of things. So there is a difference
[08:36.56]  between those two phrases to have a lot
[08:39.76]  on your mind or have a lot on your
[08:41.52]  plate. But both of them would work in
[08:43.44]  that sentence. To give you a couple more
[08:45.04]  examples with this uh phrase right here,
[08:47.60]  I've had a lot on my mind lately with
[08:49.60]  work deadlines and family issues or he
[08:53.04]  couldn't focus during the meeting
[08:55.04]  because he had a lot on his mind. So
[08:57.76]  just keep in mind the distinction
[08:59.36]  between those two. When you have a lot
[09:00.96]  on your mind, you're just thinking about
[09:03.28]  a lot of different things, not
[09:05.72]  necessarily the things you have to do to
[09:08.80]  make you busy, which would be more you
[09:10.48]  have a lot on your plate. Okay, so I
[09:14.48]  hope that makes sense the distinction
[09:16.48]  between those two. And let's let's keep
[09:19.36]  going. Let's move right along with the
[09:21.28]  next
[09:22.28]  one. What do you think? Uh this is one
[09:26.12]  that well I don't want to he hasn't been
[09:29.68]  getting much sleep so lately he has had
[09:33.28]  a really
[09:35.48]  short there is one word missing and the
[09:39.24]  idiom this is a well a phrase two-word
[09:42.16]  phrase a
[09:44.44]  short so if somebody's getting not they
[09:47.52]  don't get a lot of sleep lately you can
[09:49.52]  think of this picture right here this
[09:51.76]  person seems really angry they're not
[09:53.52]  they're not getting a lot of sleep and
[09:56.00]  because of that maybe it just causes
[09:58.80]  them to get angry. I feel like I would
[10:02.08]  uh get angry too if I were having to use
[10:04.48]  a rotary phone from from decades ago. So
[10:10.00]  there once again there are a couple of
[10:12.00]  words that work. Now you could say
[10:14.96]  somebody has a short temper. That's
[10:16.88]  perfect. That that works. That means the
[10:19.20]  same thing. The other word that I was
[10:21.44]  thinking of means the same as short
[10:22.88]  temper, which is more of an idiom, is to
[10:25.92]  have a short fuse. So whether you said
[10:28.08]  short fuse, short temper, they're
[10:30.40]  interchangeable. They both work. But the
[10:32.88]  idiom, if somebody has a short fuse, it
[10:36.08]  just means that they have a tendency to
[10:38.64]  get angry quickly, they lose their
[10:41.04]  temper quickly. But in this case, short
[10:45.44]  temper, short fuse, they mean the same
[10:47.84]  thing.
[10:49.16]  So, generally you're going to use it
[10:51.28]  with the verb have to have a short fuse.
[10:55.12]  And I thought this is a good way to
[10:57.20]  remember it, this little comic right
[10:58.88]  here, because you can kind of visualize
[11:01.12]  where this comes from. And you have this
[11:03.76]  couple there. They're both bombs. And he
[11:06.40]  says he always has a short fuse. So,
[11:08.88]  think about like that that bomb. The
[11:10.80]  fuse is the time that you would
[11:13.36]  typically have before the explosion. And
[11:16.96]  if there's a short fuse, then it's going
[11:18.88]  to go quickly before that explosion
[11:21.20]  happens. So just as a visual reference
[11:24.32]  when it comes to this phrase to have a
[11:26.32]  short fuse and you get angry quickly. I
[11:29.16]  imagine again this is something that we
[11:31.52]  can all relate to. Try to make an
[11:33.28]  association of a time when you maybe had
[11:35.20]  a short fuse. You were frustrated. Maybe
[11:38.08]  you had a lot on your mind and you just
[11:40.72]  had a short fuse and you got angry
[11:42.88]  quickly.
[11:44.80]  What about this one right
[11:46.84]  here? Um, despite his age, he's
[11:51.72]  fit. Now, they're actually there's two
[11:54.00]  blanks, but they're actually more words.
[11:56.32]  There are three missing words. And this
[11:59.92]  is an idiom. It's an expression that you
[12:02.72]  would use to talk about, well, I don't
[12:05.20]  if I give you the meaning, then I'm
[12:06.56]  giving you too many hints. But can you
[12:08.40]  think of an idiom that begins with the
[12:10.48]  word fit? And in this context again,
[12:14.32]  we're we're kind of using it as a
[12:17.20]  compliment. So it has a positive
[12:20.36]  connotation. And I see some great
[12:22.96]  answers. I think once it uh comes in
[12:25.36]  then yes. Yes. Everybody's like, "Oh
[12:27.28]  yes, I know the answer." Uh well done.
[12:30.68]  Um Lai Gunara uh Miranda fit as a
[12:34.56]  fiddle. So, this is an expression or an
[12:37.12]  idiom that you can use when talking
[12:39.36]  about somebody's physical fitness and
[12:41.92]  you're just saying they're in good
[12:43.04]  health, that you are fit as a fiddle.
[12:46.48]  Now, it doesn't necessarily you you have
[12:48.80]  to use this for people that are older.
[12:50.88]  You can, but really just commenting on
[12:52.92]  anybody's health and saying that yes,
[12:55.68]  they're in really good health, fit as a
[12:58.12]  fiddle. So, one thing I'd like to point
[13:00.96]  out because we're using as this is a
[13:03.36]  simile. We're making a comparison. Now,
[13:06.72]  with simileies, you could use like or
[13:09.04]  as. In this case, you wouldn't use like.
[13:10.96]  You wouldn't say fit like a fiddle.
[13:12.56]  This, think of this as more of an idiom.
[13:14.08]  It's a fixed expression. Fit as a
[13:15.84]  fiddle. Somebody's fit as a fiddle. You
[13:18.32]  just ran a marathon. You must be fit as
[13:20.40]  a fiddle. Despite working long hours, he
[13:22.88]  manages to stay fit as a fiddle with
[13:25.12]  daily workouts.
[13:27.32]  I would like to think that I am fit as a
[13:30.24]  fiddle, but that's just uh it's just not
[13:32.80]  true. Uh, I'm not fit as a fiddle. I
[13:35.20]  would like to be. I'm trying to be.
[13:37.96]  So, what do you think? Uh, here's the
[13:40.88]  next one. After a few weeks of rest,
[13:44.40]  this is like, think about the doctor is
[13:46.64]  saying this to you as the patient. You
[13:49.52]  have some injury and the doctor saying
[13:53.04]  after a few weeks of rest, you will be m
[13:56.36]  on again. There's more than two words
[13:58.96]  missing. I don't know why I didn't put
[14:01.44]  to all the the individual spaces but
[14:03.52]  there there is uh we're going to use on.
[14:07.60]  So you will
[14:09.56]  be on on in no time. Now a key indicator
[14:15.44]  or something to help you think of that
[14:17.92]  final phrase in no time. This is a
[14:20.60]  collocation with the idiom you will be m
[14:24.16]  in no time. So, what idiom are you going
[14:27.76]  to use in this situation? You're injured
[14:32.64]  and the doctor says, "Look, you just
[14:34.32]  need to get some rest, but then you'll
[14:36.24]  be m on in no
[14:39.64]  time." Look at the picture because I'm
[14:42.64]  using that to try to give you a little
[14:45.92]  bit of a hint. And in this case, I don't
[14:50.16]  see no I don't see any answers just yet.
[14:54.00]  The the phrase the idiom that I'm
[14:55.84]  talking about is back on your feet.
[14:58.00]  You'll be back on your feet in no time.
[15:00.56]  So when you say somebody is going to be
[15:02.96]  back on their feet, it means that
[15:05.28]  they're going to recover from an illness
[15:07.84]  or or some trouble. So it nec it doesn't
[15:10.88]  necessarily mean that you have to have
[15:12.88]  an injury to your foot. Maybe you have
[15:15.52]  some illness and because of that you
[15:18.24]  have to stay in bed and get a lot of
[15:20.56]  rest. you could still use this and say,
[15:22.64]  "Look, I hope uh you'll probably be back
[15:25.28]  on your feet next week and you'll feel
[15:27.20]  much better and you recover from this
[15:30.00]  illness or injury." To give you a little
[15:32.00]  more context with this, I thought I'd
[15:33.68]  share some news headlines with you.
[15:35.68]  Let's see if you understand the first
[15:36.96]  one. It's supposed to be it's a it's
[15:38.64]  just a joke. So, the first headline is
[15:41.04]  podiatry team getting you back on your
[15:43.60]  feet. All right, very hilarious pun. So,
[15:47.12]  uh podiatrist is a foot doctor. So,
[15:50.24]  they're trying to use this idiom to make
[15:52.72]  a joke, saying that the foot doctor is,
[15:55.28]  of course, going to get you back on your
[15:56.96]  feet. And then the next uh headline,
[15:59.60]  four steps to get back on your feet
[16:01.52]  financially after identity fraud. I
[16:04.40]  chose this headline because I wanted to
[16:06.64]  share with you that it can be used in
[16:08.72]  other examples as well. when you think
[16:11.44]  of recovering from something an illness
[16:13.76]  or trouble of course we think of our
[16:15.44]  health but you could also think about
[16:18.48]  well one's financial health and it also
[16:21.92]  can be used in that context like you
[16:24.64]  something happened you know financially
[16:26.88]  it's like look I you know I need to get
[16:28.56]  back on my feet and recover from this
[16:31.12]  trouble this
[16:32.44]  issue
[16:34.44]  so well let's let's keep going I forget
[16:37.12]  how many idioms I I have because then
[16:39.44]  I'm going to move into some other
[16:40.88]  different topics. But what do you think?
[16:42.56]  I've been feeling m lately from all the
[16:45.60]  travel. In this case, I'm not giving you
[16:48.00]  any word because I feel like if I did,
[16:50.32]  it would just make it incredibly easy.
[16:52.64]  Uh, but what do you think? What phrase
[16:55.68]  would fit here? And there are probably
[16:58.56]  quite a few different well words that
[17:01.52]  you could use when you're trying to
[17:04.32]  express this. you've been feeling m
[17:06.96]  lately from all the travel. So, if
[17:10.96]  somebody's traveling a lot, they're
[17:13.60]  probably feeling extremely tired. And in
[17:17.60]  this case, you could say you've been
[17:19.32]  feeling lately from all of your travel.
[17:22.24]  Of course, you could use a word like
[17:23.96]  exhausted. That works. uh drained and
[17:28.52]  but that a phrase that has a similar
[17:32.12]  meaning and we're talking about one that
[17:35.20]  you would use when talking about health.
[17:37.64]  Um worn out that I mean that would work.
[17:40.40]  That's not the phrase that I'm thinking
[17:41.84]  of. Under the weather that might happen,
[17:44.56]  but under the weather is more uh you're
[17:46.80]  getting sick. That's that's not the one
[17:48.64]  I was thinking of. But again, the there
[17:50.24]  are multiple words or phrases that could
[17:52.32]  fit this situation. what I was thinking
[17:54.96]  of um or what the one I want to share
[17:57.60]  with you is run down. So again, I saw a
[18:00.72]  lot of answers like exhausted, jet lag,
[18:02.88]  burnt out, those all work. Uh because
[18:05.84]  this is what happens when if you're
[18:07.76]  traveling a lot, you're tired, you're
[18:09.20]  exhausted. But rundown is another phrase
[18:12.00]  that you can use that means you're just
[18:13.76]  feeling very tired or exhausted and you
[18:17.52]  feel run down. Here are some examples.
[18:20.16]  he was so run down from stress that he
[18:23.20]  caught a cold. Or I always feel rund
[18:25.68]  down at the end of the semester and
[18:28.56]  you're just exhausted. So think of this
[18:32.00]  phrase more as a synonym for really
[18:35.76]  exhausted and really tired and you just
[18:38.64]  feel rund
[18:40.20]  down.
[18:42.52]  So here here is the last idiom actually
[18:45.60]  and then we're going to move on to the
[18:47.36]  next part. This is one that maybe maybe
[18:50.56]  this is new for some of you, maybe not.
[18:52.56]  I feel like every time I say that then I
[18:54.80]  see all these answers in the chat u and
[18:57.44]  everybody's they get the right response.
[18:59.68]  He had to go mthem to repair his
[19:03.80]  shoulders. So, we're talking about an
[19:06.16]  idiom that includes the verb go and then
[19:09.52]  a missing word the another missing word
[19:12.80]  repairing the shoulder. Look at the
[19:14.48]  picture. The picture should help because
[19:16.24]  that's
[19:17.16]  basically what the idiom means and what
[19:19.92]  is happening. So he had to go
[19:23.40]  mthem to repair his shoulder. So in this
[19:27.52]  picture you can see that some um
[19:31.00]  individual is having surgery. So in that
[19:34.96]  case I'm basically giving you a major
[19:37.20]  hint. What idiom could you use that
[19:40.00]  means the same thing to have
[19:43.32]  surgery? Of course, you could say I I
[19:45.92]  mean you had to undergo surgery to
[19:48.00]  repair his shoulder. That works. But
[19:49.68]  there's another there's an idiom that
[19:51.60]  means the same thing to undergo surgery.
[19:54.16]  It is an idiom. So it's more casually
[19:56.44]  used. And yes, the answer to go under
[19:59.68]  the knife. So if you are telling
[20:02.56]  somebody like next week I got to go
[20:04.40]  under the knife and they're going to,
[20:06.72]  you know, do something, you're basically
[20:09.52]  just saying you're going to have surgery
[20:12.08]  to go under the knife. I feel like in
[20:15.28]  this is one that you're not probably
[20:17.92]  going to use as often. I feel like when
[20:20.08]  people are talking about surgery, it is
[20:22.48]  more serious and they may choose a
[20:24.72]  little more formal phrases like to
[20:26.88]  undergo surgery in in that case I think
[20:29.52]  would probably be more commonly used
[20:31.52]  because idioms are more casual. But uh
[20:34.64]  if you want to use another idiom that
[20:36.64]  means the same thing to go under the
[20:38.40]  knife. Here is again just to give you a
[20:41.36]  little uh visual context. This is a
[20:46.36]  comic for Halloween. It's a Halloween
[20:48.96]  comic. And he says, "I went under the
[20:51.04]  knife. Do you like it?" And he had that
[20:53.84]  surgery and now he is a jacko'lantern.
[20:56.80]  So, let me know. We're going to keep
[20:58.48]  going. But if you if you learn something
[21:01.36]  new, a new idiom, let me know. Let me
[21:03.28]  you can hit a heart or a like or
[21:04.80]  something in the comments right there.
[21:06.72]  And that way I know you're you're
[21:08.24]  building your vocabulary. You're
[21:09.76]  learning new words and phrases. Just
[21:11.92]  because you get exposed to an idiom for
[21:14.40]  the first time, I don't expect you to
[21:16.32]  remember it. It's all about getting
[21:18.68]  exposure, learning the word, tr seeing
[21:21.36]  how it's used in context and then slowly
[21:24.64]  making, you know, changing it from your
[21:26.72]  passive vocabulary to uh to making it
[21:29.44]  active vocabulary, putting it up here in
[21:31.52]  your active memory. Let's talk about
[21:33.12]  some common acronyms when it comes to
[21:36.20]  health. So, the first one, again, this
[21:40.40]  is fill-in-theblank. It is just one
[21:42.80]  acronym that is missing. People with m
[21:45.68]  often struggle with focus, but many also
[21:48.48]  show remarkable creativity and
[21:51.88]  energy. I'm giving you the meaning
[21:54.72]  essentially when I give you this example
[21:56.72]  sentence. So, what acronym would you
[22:00.96]  use? And then I'll tell you the answer
[22:02.80]  and I'll actually tell you what the
[22:04.48]  acronym means and uh again give you some
[22:07.92]  more examples. So these I think are
[22:11.84]  highly useful and and commonly used when
[22:14.32]  people are having discussions about
[22:16.16]  health or talking about some someone
[22:18.16]  else and what they're going through. So
[22:21.20]  people with what this condition often
[22:25.44]  struggle with focus but many also show
[22:27.44]  remarkable creativity and energy. What
[22:30.64]  do you think? I'm actually this is I
[22:32.80]  think a very common acronym when it
[22:35.44]  comes to one's health. So, I'm surprised
[22:38.08]  I'm not seeing any answers in there.
[22:39.60]  Just Okay, now they now they're now
[22:42.56]  they're coming in. Perfect. So, yes, you
[22:44.96]  guys you guys are right.
[22:46.76]  ADHD, that is the acronym that I'm
[22:50.00]  referring to. And this is something that
[22:51.84]  I said it's it's common because I think
[22:54.00]  a lot of people experience this and it's
[22:56.88]  not like again I'm not a health care
[23:00.00]  professional. It's I don't feel it's
[23:01.84]  like it's either you have it or you
[23:03.52]  don't. It is a little a bit of a
[23:04.96]  spectrum. So you could be on like the
[23:07.36]  low end of having ADHD or some it could
[23:10.88]  be more severe for some people. It
[23:13.04]  stands for attention deficit
[23:15.40]  hyperactivity disorder and it's
[23:18.24]  characterized by inattentive
[23:20.00]  hyperactivity and impulsivity. I
[23:23.32]  I I'm confident and again I I'm sorry I
[23:26.80]  don't know all of you personally but I
[23:28.96]  imagine that you know somebody who who
[23:31.68]  has ADHD. I know I can think of a bunch
[23:34.72]  of people just off the top of my head
[23:36.32]  that I've met that are have a a some
[23:39.76]  level of ADHD and I imag that's why I
[23:42.40]  said I imagine you do as well. So this
[23:45.20]  is a very common acronym that you're
[23:47.28]  going to hear and you'll hear people
[23:49.84]  talk about it a lot. You're not going to
[23:51.52]  hear people use really attention
[23:54.32]  deficit. They may say attention deficit
[23:56.08]  disorder but it's most of the time
[23:58.64]  people are just going to say ADHD. Uh, I
[24:01.28]  think overwhelmingly that is the acronym
[24:03.36]  they're going to use. I thought just to
[24:05.04]  just to keep it light, I thought these
[24:07.04]  were um a little humorous. ADHD, your
[24:09.84]  secrets are safe with me because there
[24:11.28]  was a good chance that I wasn't
[24:12.40]  listening. And uh if somebody says,
[24:14.80]  "Look, I have ADHD, so you need to be
[24:17.12]  way more interesting in order to
[24:20.08]  remember this person to make an
[24:21.92]  impression because there is a lot of
[24:23.92]  struggle um with focus if somebody has
[24:27.12]  ADHD.
[24:30.08]  How about this one? This is
[24:32.36]  another, I think, common one. Many
[24:36.16]  veterans return home with Mhm. this
[24:39.96]  acronym requiring long-term support and
[24:43.04]  therapy.
[24:44.84]  So most of the time I feel like it's
[24:47.36]  used in this context when we're talking
[24:49.52]  about um soldiers who have gone off to
[24:52.88]  war and uh it it affects people
[24:57.12]  profoundly and deeply and then they come
[24:59.60]  home and they experience what what what
[25:03.24]  acronym fits in
[25:06.52]  here. So, I I told you that I think
[25:10.80]  overwhelming you'll hear it in this
[25:12.56]  context when talking about people that
[25:15.20]  were in the military that served uh you
[25:18.96]  know in some capacity and were in war
[25:22.24]  and they may return home with PTSD. So,
[25:26.76]  PTSD, as I think some of you already
[25:29.36]  wrote in there, you you beat me to it.
[25:31.20]  Um post-traumatic stress disorder. It is
[25:34.48]  a condition caused by experiencing or
[25:37.36]  witnessing a traumatic event. Now I I
[25:40.64]  told you that I feel like often you'll
[25:42.48]  hear it in the context of uh veterans or
[25:46.56]  soldiers who are in war. It does not
[25:48.56]  mean that you you it has to be it has to
[25:52.00]  involve some type of war. There are
[25:54.80]  numerous trauma traumatic experiences,
[25:57.44]  traumatic events in which somebody could
[26:00.08]  then ha experience PTSD and and develop
[26:03.60]  this. So, it doesn't have to be war. I
[26:06.00]  just want you to keep that in mind. It's
[26:08.00]  really this condition caused from well
[26:10.96]  it could be a number of traumatic events
[26:14.40]  but it would be something that would be
[26:16.48]  I'm really emphasizing the word
[26:17.88]  traumatic because that is what uh it
[26:21.12]  would uh it would entail. So here is the
[26:25.44]  next one. The doctor scheduled an to get
[26:28.96]  a clearer image of the patient's brain.
[26:32.00]  Once again, I think you'll know this
[26:34.40]  because this is something that's common
[26:36.64]  and I think obviously an acronym that
[26:38.96]  you should know if you go to the doctor.
[26:42.08]  This is something you may need. And I
[26:44.16]  don't know if you need to communicate in
[26:46.08]  English, but if you're in a situation
[26:47.52]  where you do, this is a great acronym to
[26:49.52]  know. So, you kind of have an idea of
[26:52.16]  what the meaning is, a clear image of
[26:53.92]  the patient's brain, and you schedule N.
[26:57.12]  The other key word here is that we're
[26:59.36]  using the article N uh which tells you
[27:03.44]  that the vowel sound of this acronym is
[27:07.36]  going well the acronym is going to begin
[27:09.52]  with a vowel sound. So the acronym that
[27:14.00]  we're referring to is an MRI. The
[27:17.44]  scheduled an MRI which stands for
[27:20.00]  magnetic resonance imaging. And this is
[27:23.52]  again, it's an an acronym that you're
[27:26.40]  going to use. You're not often going to
[27:28.64]  hear people use the individual words.
[27:31.92]  They're just going to say MRI. This
[27:33.92]  medical imaging technique used to
[27:36.04]  visualize internal body structures. But
[27:39.28]  again, one that comes up quite often,
[27:41.84]  even if you're not in the doctor and
[27:43.60]  you're telling somebody about this
[27:45.76]  treatment that you had or you uh had to
[27:48.56]  get an MRI or you knew someone else that
[27:50.72]  needed to get an MRI. So, keep that in
[27:54.72]  mind. This is a good acronym. I I feel
[27:56.72]  like in in a way, all of these acronyms
[27:59.44]  are fairly common and hopefully you're
[28:02.48]  familiar with most of them. If you are,
[28:04.40]  again, let me know. Hit that like
[28:05.76]  button. It tells me that uh that that
[28:09.04]  this is a good reminder if you've
[28:10.96]  learned this before and just to to bring
[28:14.40]  these words and phrases back up uh and
[28:16.72]  hopefully you're learning some new ones
[28:18.16]  as well. The M is equipped to handle
[28:21.28]  patients with lifethreatening
[28:23.36]  conditions. So in this case we're
[28:25.36]  talking
[28:26.28]  about well I'll I'll give it away like
[28:30.80]  to handle patients with life-threatening
[28:32.64]  conditions. This is a part of the
[28:34.68]  hospital and you're handling patients
[28:38.24]  with life-threatening
[28:40.92]  conditions and I would say
[28:46.36]  the the ER stands for emergency room. I
[28:50.80]  guess it would fit in this. I'm thinking
[28:54.24]  after after you go to the ER, which is
[28:57.12]  where you may go under the knife and
[28:59.84]  have surgery, but if you have to stay in
[29:02.32]  the
[29:03.00]  hospital, then you may they may keep you
[29:05.44]  in this part of the hospital where you
[29:08.40]  are have this life-threatening condition
[29:10.64]  and this is the area where those people
[29:13.04]  these patients may stay. And I think a
[29:15.44]  lot of you again you got it um the ICU
[29:18.32]  it stands for the intensive care unit.
[29:21.44]  This is an acronym that you may hear
[29:23.12]  people say the individual words and they
[29:25.60]  say, "Well, they, you know, so and so
[29:28.16]  was in the intensive care unit or they
