Title     : ADVERB VOCABULARY QUIZ  | Advanced English Words
Video ID  : zTCZGBnbE0I
[23:25.88]  mood you know it's a serious situation
[23:28.32]  and and he's talking about this accident
[23:31.04]  so it's probably something that very
[23:32.68]  very bad that happened very serious very
[23:35.08]  maybe even a little sad so in this case
[23:37.88]  it go it went at the beginning of the
[23:39.44]  sentence or this is another example if
[23:42.48]  you watch any kind of Law and Order type
[23:46.04]  show where there's lawyers and police
[23:48.36]  and there a jury and in a courtroom you
[23:51.48]  might hear something like people would
[23:53.12]  say I solemnly swear to tell the whole
[23:55.44]  truth and nothing but the truth and in
[23:58.20]  in the reason it's used in this case is
[24:00.56]  because when you're in a courtroom
[24:02.36]  you're you're often taking an oath and
[24:04.56]  people will like put their hand up and
[24:06.40]  they will say you know I promise to tell
[24:08.92]  the truth they solemnly swear to do
[24:11.68]  something it's very formal and it's a
[24:14.52]  formal situation so you might hear that
[24:16.68]  I solemnly swear to tell you the whole
[24:18.96]  truth and nothing but the truth next
[24:21.32]  time you're watching a movie in a
[24:22.80]  courtroom see if you hear this adverb
[24:25.20]  being used solemnly and in that picture
[24:28.68]  it's a picture of a pinky swear this is
[24:31.20]  not formal at all it's very informal
[24:34.60]  promise you would say you know oh do you
[24:37.12]  promise me pinky swear and people will
[24:39.84]  take their pinkies and they make a
[24:41.80]  promise like that it that's more
[24:43.72]  informal I just like the picture and
[24:46.28]  that is a little American
[24:48.32]  cultural that that's that's your
[24:50.40]  cultural lesson for today pinky swears
[24:52.80]  and maybe they have pinky swears in your
[24:55.04]  country I don't know you guys can let me
[24:56.72]  know in the chat or in the comments all
[24:59.64]  right the next
[25:01.36]  question that I have for you is this one
[25:05.12]  complete the sentence all right Wes
[25:07.96]  smiled M when he forgot to buy Yana
[25:11.72]  flowers for Valentine's Day all right I
[25:14.28]  will I will confess this is this is not
[25:17.12]  a true this is not a true sentence it's
[25:19.48]  just an example I didn't buy flowers I
[25:22.52]  usually buy chocolate because that
[25:24.28]  that's more uh her preference is
[25:26.72]  chocolate instead of flowers but it's a
[25:28.96]  good example so Wes smiled M when he
[25:31.60]  forgot to buy flowers for Valentine's
[25:34.32]  Day did I smile a passionately B cooly C
[25:39.28]  gleefully or D sheepishly what do you
[25:42.80]  guys think all right write your answer
[25:45.36]  in the chat all right I want to hear
[25:47.24]  from all of you guys who are in there
[25:49.12]  right now write your answer which which
[25:51.96]  which adverb best completes this
[25:54.84]  sentence and again you know you could
[25:57.32]  put a bunch of adverbs in there but
[25:58.88]  based on the context all right I forgot
[26:01.36]  to buy something for this special day so
[26:05.12]  the answer would be D sheepishly I
[26:09.28]  sheepishly smiled when I forgot to buy
[26:11.96]  Yana flowers for Valentine's Day because
[26:14.68]  sheepishly means in an embarrassed
[26:17.84]  manner due to some shame or lack of
[26:20.92]  confidence so in the sentence before if
[26:23.44]  you forget a Valentine's gift that's you
[26:25.96]  know that's a little shameful you might
[26:28.00]  you're proud of that so you might do
[26:30.60]  something like smiled sheepishly like I
[26:33.04]  forgot and check out these sentences I
[26:36.20]  I've given you one for each context the
[26:38.36]  boy smiled sheepishly at the girl across
[26:41.92]  the room in this case the boy likes the
[26:44.92]  girl he has a crush on the girl but he
[26:47.64]  lacks confidence so he smiled sheepishly
[26:50.88]  so in this case it means lacking
[26:52.76]  confidence in this other one right here
[26:55.20]  the employees sheepishly turned in the
[26:58.28]  The Unfinished report this would be more
[27:00.60]  shame all right you're not the report
[27:03.00]  wasn't finished they should finish it
[27:05.16]  but they sheepishly turned in the report
[27:07.84]  they were not proud of doing it but they
[27:09.72]  had to turn it in so they sheepishly
[27:11.92]  turned this report in all right the next
[27:15.56]  one
[27:17.28]  ready what is an antonym for
[27:21.72]  syruptitious
[27:23.08]  all right which of those adverbs right
[27:25.96]  there is an antonym for
[27:28.92]  surreptitiously all right if if you guys
[27:31.16]  are with us right now write your answer
[27:34.76]  in the chat and if you're watching this
[27:37.08]  later again we want you to interact
[27:39.36]  write your answer write your answer in
[27:42.00]  the comments so what is an antonym which
[27:44.24]  one is an antonym for surreptitiously is
[27:46.40]  it a timidly B openly C secret happily
[27:51.44]  or D secretly what do you guys think all
[27:55.56]  right this one this question right read
[27:58.52]  it carefully it's it's a little more
[28:01.24]  difficult okay so an antonym for
[28:06.80]  surreptitiously all right if you're
[28:09.16]  talking about doing something
[28:12.04]  surreptitiously the meaning would be
[28:14.28]  doing something secretly but because I
[28:18.04]  asked for an antonym an antonym means a
[28:21.16]  word that has an opposite meaning so the
[28:24.60]  opposite of doing something secret
[28:26.88]  secretly or doing something
[28:28.56]  surreptitiously would be to do it openly
[28:31.16]  so everybody knows what's happening so B
[28:33.64]  openly is the correct answer that is the
[28:37.36]  antonym for ctitious so surreptitiously
[28:40.60]  again it means in a way that somebody is
[28:43.64]  attempting to avoid being noticed or
[28:46.40]  they're trying to avoid attention and
[28:49.24]  they don't want to be noticed so it's
[28:50.80]  kind of like you're trying to do
[28:51.80]  something secretly and example sentence
[28:54.84]  the politicians surreptitiously pass a
[28:58.44]  law to promote corporate interest and
[29:00.84]  this is something happens in the US all
[29:03.96]  the time maybe it happens in your
[29:05.84]  country that some companies corporations
[29:08.48]  they have a lot of money they have a lot
[29:10.28]  of influence so they will buy these
[29:13.16]  politicians and donate to their
[29:15.08]  campaigns and then these politicians
[29:17.24]  will pass laws to help these companies
[29:20.44]  and they will surreptitiously do that
[29:22.60]  because they don't want people to notice
[29:24.36]  they don't want people to know so this
[29:25.84]  is a good example um the other one down
[29:28.44]  here is just a little more of a simple
[29:30.32]  example the rat surreptitiously walked
[29:33.00]  toward the food the rat doesn't want
[29:35.20]  people to see that they're going to get
[29:37.24]  the food and take it so they walk and
[29:40.28]  move surreptitiously again you can use
[29:42.72]  it in a way to describe the the way that
[29:45.48]  somebody moves they're moving
[29:47.36]  surreptitiously all right that is a good
[29:49.40]  word that's a good adverb I like that
[29:51.16]  one so remember today's word list we
[29:54.24]  talked about 10 different adverbs uh and
[29:57.68]  let's go through them right now so even
[30:00.16]  if you joined us a little late we'll go
[30:02.16]  through the meaning of these one more
[30:03.60]  time it's always good to review what
[30:06.60]  you've learned so the first word that we
[30:09.08]  talked about was briskly it means to
[30:11.92]  move or do something at great speed you
[30:15.24]  move briskly he was running late so he
[30:18.12]  walked briskly to work simultaneously
[30:21.60]  means happening or being done at the
[30:24.36]  same time you're doing two things right
[30:26.36]  at the same time the letters and
[30:28.08]  packages went out
[30:29.88]  simultaneously generously I think many
[30:32.12]  of you know that generously you are
[30:34.36]  regularly giving or sharing you are
[30:36.80]  unselfish so people in the community
[30:39.72]  generously volunteered to build houses
[30:42.00]  after the storm deliberately means
[30:44.64]  intentionally you do something on
[30:46.92]  purpose you deliberately gave me the
[30:48.88]  wrong directions why did you do that the
[30:51.64]  next one mockingly means in a way that
[30:54.36]  makes fun of someone so you could he
[30:56.68]  intimidated his boss voice mockingly you
[30:59.52]  are making fun of this person relatively
[31:02.36]  means to a certain degree especially
[31:04.76]  compared with some other kind I told you
[31:07.12]  keep an eye uh keep listen for this
[31:10.52]  adverb when you're when you watching The
[31:12.80]  Weather Channel or hearing people in
[31:14.48]  English talk about the weather tomorrow
[31:16.52]  will be relatively cool but things will
