Title     : ADVANCED DRIVING VOCABULARY 🚘    | Words & phrases you need to know
Video ID  : 08o4nWu9QMI
[02:11.88]  specific I would say that is your side
[02:13.86]  rear view mirror but the one that's
[02:15.72]  really almost right in front of you as
[02:17.94]  you get in the car that you look through
[02:19.62]  quite often that is your rear view
[02:21.30]  mirror excellent Angela talal vincias uh
[02:24.66]  I'll try to throw out some shout outs as
[02:26.88]  I go through the lesson
[02:29.22]  what is that right there uh we're again
[02:32.34]  we're talking about parts of the car
[02:36.24]  and this is well it's going to come up
[02:40.80]  later
[02:42.50]  in a question and I'll when it comes up
[02:46.08]  I'll I'll mention it but what what is
[02:48.90]  that what part of the car you see that
[02:52.92]  that
[02:54.30]  part right here would be in the front
[02:56.60]  and that would be the back but this is
[03:00.78]  something a part that
[03:03.12]  I I think is a
[03:05.88]  it's good to know
[03:07.26]  and excellent all right seeing some
[03:10.26]  great answers so those well are your
[03:13.80]  bumpers so we're talking about the front
[03:15.48]  like the front bumper or the back bumper
[03:18.80]  uh just in case sometimes people will uh
[03:22.68]  when they when they bump a car they bump
[03:25.98]  into the car with their bumper
[03:27.72]  especially if you're not uh going really
[03:30.18]  fast the next one well done nil Jerry
[03:35.10]  Stellar great job
[03:37.50]  how about this
[03:40.02]  I think again you can look at the
[03:41.94]  picture
[03:43.10]  you know what I'm talking about but do
[03:46.38]  you know what it's called and this
[03:48.12]  actually has a few different names
[03:52.44]  so you could write I'll tell you all of
[03:55.38]  them that I know and I think there is a
[03:57.90]  little bit of a distinction between the
[04:00.54]  US and the UK If you don't know I am
[04:03.90]  from the United States so of course that
[04:07.80]  that's the primary answer that I will
[04:10.62]  give you but there are definitely
[04:12.42]  several different phrases that you could
[04:15.36]  use when describing this thing
[04:18.30]  so I see some great answers I think you
[04:21.00]  guys you guys know these parts of the
[04:23.34]  car I'm talking about the glove
[04:25.44]  compartment that that's what I would
[04:26.88]  call it I would say Hey you know check
[04:28.62]  the glove compartment is there anything
[04:30.00]  in there you may also hear people say
[04:32.40]  storage compartment or I think in the UK
[04:35.40]  it's more common to say glove box I
[04:38.22]  think there are also parts of the US in
[04:40.26]  which people would refer to this as the
[04:42.96]  glove box and I want to say maybe in the
[04:45.12]  Northeast they may say glove box but in
[04:47.40]  general you would say the glove
[04:49.14]  compartment
[04:50.34]  how about this is an easier one
[04:53.28]  I I think you guys know this but I
[04:55.68]  wanted to include it because this is an
[04:58.62]  important word this is a part of the car
[05:01.14]  that you you definitely should know
[05:03.42]  especially if it starts raining and
[05:06.12]  you're driving with somebody and you
[05:07.80]  tell them hey maybe you should turn on
[05:09.78]  your what
[05:11.10]  what are these called because if it is
[05:14.94]  raining it's definitely important that
[05:17.16]  you you have them on because you want to
[05:19.56]  be safe but what what would you call
[05:22.02]  these
[05:23.58]  and I hope that you're thinking
[05:27.60]  of this word or words right here
[05:31.50]  your windshield wiper now I see that
[05:34.02]  some people are saying wipers that's
[05:35.70]  perfectly fine a lot of times people
[05:37.44]  will just call hey are you going to turn
[05:38.88]  on your wipers but if you want it to be
[05:41.16]  a little more specific because that
[05:42.90]  glass glass window is your windshield
[05:45.72]  but you could say your windshield wipers
[05:47.88]  nice job uh uh
[05:51.56]  Melinda say Peter Rose talao great job
[05:55.74]  nice uh Cinderella all right nice I love
[05:58.80]  it
[05:59.88]  all right how about this and the
[06:01.74]  challenge that I want to present to you
[06:03.72]  with this picture right here is I want
[06:07.68]  to see if you can tell me the two names
[06:10.68]  for both the US and the UK so in
[06:14.76]  American English like I would call this
[06:17.76]  the
[06:19.20]  what and in the UK people would call
[06:22.50]  this
[06:23.52]  something else
[06:25.44]  and I think this is uh I think this is a
[06:28.98]  word that you you come across people use
[06:32.04]  this we talk about driving movies TV
[06:34.68]  shows and they would call this the well
[06:38.52]  in the United States I would call it the
[06:42.12]  trunk but in the UK people may say the
[06:45.78]  boot excellent you guys did a nice job
[06:49.46]  Ava Oleg hottie Peter nice and you guys
[06:54.36]  are everybody's participating I love it
[06:56.40]  love it when that happens okay now let's
[06:59.04]  make it
[07:00.00]  a little more challenging I think as we
[07:01.92]  go through this I want to make it a
[07:03.72]  little more difficult
[07:05.16]  and these are some different driving
[07:07.52]  phrasal verbs so I'm going to present
[07:10.62]  you the sentence uh with the phrasal
[07:13.56]  verb missing and I want you to try to
[07:15.48]  put it in uh put it into context which
[07:18.00]  phrasal verb would you use
[07:21.24]  to complete the sentence that I'm going
[07:23.82]  to give you all right so again if you're
[07:26.40]  just joining us please write your
[07:28.44]  answers in the comments in the chat
[07:30.78]  that's what this is all about uh if you
[07:33.84]  don't know me my name is Wes the channel
[07:35.58]  is interactive English and I want you to
[07:38.52]  participate because this is an
[07:40.56]  interactive lesson I want you to write
[07:42.30]  your answers down and participate in
[07:45.18]  this quiz so the first one you can see
[07:47.58]  the picture and
[07:49.50]  this person might say my car on the side
[07:53.16]  of the road now there are two blanks
[07:56.52]  there
[07:57.66]  so two words of course we're talking
[08:01.08]  about a phrasal verb but how would you
[08:04.02]  complete that sentence and I think this
[08:07.14]  is
[08:08.10]  a common phrasal verb one of the reasons
[08:10.86]  why I put it I noticed as I done lessons
[08:13.68]  and we talk about driving people
[08:15.92]  sometimes just use one word and then I
[08:18.54]  always have to kind of correct well in
[08:20.04]  this context you would say that your car
[08:24.26]  broke down on the side of the road so
[08:27.84]  this person is looking at their car
[08:30.18]  something is wrong my car broke down on
[08:33.12]  the side of the road this is when a
[08:35.58]  machine or vehicle stops working so
[08:38.52]  again a machine could break down as well
[08:40.86]  but generally speaking most of the time
[08:42.78]  when you would use this or hear this
[08:44.76]  phrasal verb being used people are going
[08:46.86]  to be talking about their car and
[08:48.72]  driving and as I mentioned sometimes
[08:51.18]  when I would hear people tell a story
[08:53.76]  and they might just say my car broke on
[08:56.28]  the side of the road and that's when I
[08:58.02]  would detail okay remember it's broke
[08:59.58]  down your car broke down on the side of
[09:01.98]  the road excellent Lolly takayo uh great
[09:06.72]  to see you both nice Eric you guys rock
[09:09.72]  that one all right we're going to get to
[09:11.34]  one that maybe you don't know all right
[09:14.04]  or maybe it's going to be a little more
[09:16.14]  challenging
[09:17.76]  so don't I mean read too much into the
[09:20.76]  picture but
[09:22.08]  he had to wait before he could um
[09:26.52]  of the driveway
[09:28.98]  he had to wait before he could
[09:31.68]  um
[09:32.46]  of the driveway now I guess I maybe you
[09:36.12]  could say it's a
[09:37.56]  three-word phrasal verb which would
[09:39.84]  include of
[09:41.58]  but there's only one
[09:44.00]  you know verb and particle that's going
[09:46.86]  to fit into this sentence nicely so that
[09:51.84]  it uh makes sense
[09:54.42]  and now there are actually
[09:57.60]  there are a couple of different phrasal
[09:59.76]  verbs that you could use and I'll talk
[10:02.16]  about both of them in just a moment but
[10:04.32]  what do you think he had to wait before
[10:06.30]  he could um
[10:08.70]  of the driveway
[10:10.38]  so I told you there's one of two that I
[10:12.72]  think really would fit this sentence and
[10:16.14]  you could use either one so the one that
[10:18.84]  I have is
[10:21.30]  pull out
[10:22.74]  you're going to pull out of the driveway
[10:24.96]  and this is when you're you're moving on
[10:27.36]  to the road now I saw uh some of the
[10:30.12]  people put uh back out and I think that
[10:33.42]  works as well you could back out of the
[10:35.16]  driveway you have the car in reverse and
[10:37.08]  you just back out of the driveway but I
[10:39.84]  feel like if you're talking about more
[10:41.34]  like moving on to the road you're gonna
[10:43.44]  pull out of the driveway well done Rose
[10:49.26]  um
[10:50.28]  talal
[10:52.88]  Angela nice of an association you nailed
[10:56.82]  both of them well done
[10:59.10]  so pull out pull out of back out of
[11:02.34]  either one of those works and you're
[11:04.80]  just moving uh out onto the the road
[11:08.28]  all right here is the next one I I saw
[11:11.28]  some uh different answers with that one
[11:13.92]  so hopefully again maybe you you learned
[11:16.50]  something new or again that makes sense
[11:18.12]  thinking about pull out of back out of
[11:20.22]  in that context
[11:22.14]  this one I do want you to think
[11:25.02]  more about the picture you see because
[11:27.72]  somebody would just say a statement make
[11:29.64]  sure you what and you could use that
[11:32.70]  pink picture
[11:34.02]  as a hint
[11:36.12]  in order to guess
[11:38.22]  the phrasal verb that I'm looking for
[11:41.22]  and this is something that I think yeah
[11:44.16]  you tell people you would you get into
[11:45.78]  the car you would say this to your
[11:47.76]  friend a family member a colleague make
[11:51.12]  sure you what
[11:53.52]  there's a phrasal verb you could see in
[11:56.10]  the picture right there and kind of
[11:58.14]  rambling on so give you a little more
[11:59.52]  time to write your answer that you see
[12:01.86]  the picture of the seat belt
[12:04.32]  and another way of saying this would be
[12:05.88]  hey put on your seatbelt but we're not
[12:07.44]  talking about that instead I'm going to
[12:09.42]  say the same thing but I'm going to say
[12:11.04]  make sure you buckle up
[12:14.58]  to buckle up is when you fasten the belt
[12:17.10]  that keeps you in your seat and you
[12:19.44]  would use this uh car you're on a plane
[12:22.80]  you got to buckle up wear your seatbelt
[12:25.02]  well done great job uh Jerry
[12:29.34]  Ashley
[12:31.50]  let's see who else we got here Julia
[12:35.70]  Ahmed or Melinda all right well done
[12:38.70]  buckle up so that was the phrasal verb I
[12:41.40]  was looking for that question how about
[12:45.48]  this right here
[12:47.28]  maybe this will be a little more
[12:48.72]  challenging and I know every time I say
[12:51.72]  that I think everybody gets the correct
[12:53.82]  answer the thing about the the situation
[12:56.58]  um
[12:57.12]  I can't believe that car just
[13:00.42]  um
[13:03.12]  so this is a phrasal verb you're going
[13:05.94]  to have that
[13:07.74]  pronoun me
[13:09.96]  in between the verb and the particle
[13:12.48]  we could have had an accident right you
[13:15.66]  didn't have an accent we could have had
[13:17.10]  an accent because the car just
[13:19.86]  um me
[13:21.60]  um
[13:23.24]  so this is something that happens when
[13:26.76]  you're driving you're on the road
[13:29.46]  and it can be frustrating I it's it's
[13:32.58]  not safe it's not a good thing this is
[13:35.10]  when accidents happen if some car just
[13:39.84]  you know zoom and they um
[13:45.08]  so I I told you that I feel like
[13:48.00]  everybody kind of nailed that one to cut
[13:50.58]  off I can't believe that car just cut me
[13:54.12]  off we could have had an accident
[13:56.46]  it's when you're dry you drive
[13:58.14]  aggressively into the path of another
[14:01.02]  driver and you cut someone off all right
[14:05.34]  if you guys are if you're enjoying the
[14:07.44]  quiz and you're learning something new
[14:08.94]  you can let me know hit that like button
[14:10.98]  that tells me that I should do more of
[14:13.32]  these vocabulary quizzes in the future
[14:15.60]  well done uh Cinderella Cinema Park
[14:20.34]  um
[14:21.14]  Ahmed some names uh I can't read nil
[14:25.68]  talal to cut someone off you're going to
[14:29.10]  drive into their path I told you it's
[14:31.86]  not a good thing
[14:34.20]  how about this one right here
[14:36.54]  what do you think last night I got um by
[14:40.02]  a cop
[14:42.78]  I think this is something that does
[14:44.64]  happen in the United States quite often
[14:48.06]  if somebody is
[14:50.52]  speeding they run a red light
[14:53.40]  some problem
[14:55.44]  and maybe I'm telling you I'm telling
[14:57.84]  you a story I'm talking about this
[15:00.30]  situation and I say hey yeah
[15:03.00]  last night you know it was terrible I
[15:06.12]  got um by a cup
[15:09.06]  and that picture I think
[15:12.42]  accurately
[15:14.04]  sums that up right there
[15:16.68]  once again you would hear this movies TV
[15:19.56]  shows of course there's a lot of things
[15:21.36]  that involve driving
[15:23.78]  and nice job
[15:27.20]  Edwin higher higherman
[15:30.72]  um Niha talking about the phrasal verb
[15:34.20]  pulled over last night I got pulled over
[15:37.38]  by a cop that's not true it didn't
[15:39.66]  happen but it's happening in that
[15:41.28]  picture right there is when the police
[15:42.96]  would stop uh you're gonna stop your car
[15:45.84]  at the side of the road you're basically
[15:47.94]  gonna pull over but if the cop pulled
[15:50.34]  you over it's like the police is that's
[15:53.22]  the one who made you did this who made
[15:55.56]  you stop your car at the side of the
[15:57.60]  road and you got pulled over but again
[16:00.36]  you could use it just in other another
[16:02.88]  context like oh can you pull over I need
[16:06.12]  to stop at the side of the road and you
[16:07.92]  might have to pull over for a number of
[16:10.08]  reasons
[16:11.54]  here is
[16:13.32]  the next part
[16:15.30]  that I want to do this is we're going
[16:17.16]  through this quickly and I want to see
[16:18.84]  if you can identify these different
[16:21.48]  driving phrases
[16:24.66]  so the first one
[16:27.06]  is right here and for this one I'm
[16:29.76]  really giving you the meaning and I'm
[16:32.46]  just blanketing it blanking out uh the
[16:35.70]  word or phrase that I want you to tell
[16:37.92]  me and again the picture is
[16:41.34]  associated with this meaning so we're
[16:43.86]  talking about a um is when you have a
[16:47.76]  large number of Vehicles close together
[16:50.24]  and unable to move or moving very slowly
[16:55.68]  so when just like that picture when you
[16:58.38]  have all these vehicles they're just
[17:00.36]  close together it's
[17:03.06]  moving slowly or just not moving at all
[17:06.72]  it's a really really annoying situation
[17:10.62]  I imagine most of you would agree with
[17:13.50]  me and I could see the judges everybody
[17:16.38]  talking about this probably you can I
[17:19.02]  feel like I can sense your frustration
[17:20.58]  as well just thinking about this word
[17:22.80]  great job uh we're talking about a
[17:25.68]  traffic jam
[17:27.54]  um nice vincia Jackie Julia mochika uh
[17:31.56]  let's see
[17:33.06]  Oleg a traffic jam is when you have like
[17:36.60]  all these cars close together you're
[17:38.76]  unable to move it's moving slowly and
[17:41.64]  you could use it with verbs like you
[17:43.62]  know stuck you're stuck in a traffic jam
[17:45.90]  and that is a bad situation that I don't
[17:48.54]  think anybody enjoys it can be really
[17:50.88]  frustrating
[17:52.44]  then
[17:54.36]  we have this phrase right here this is
[17:58.02]  informal all right so informally
[18:01.50]  a minor collision between two Motor
[18:04.26]  Vehicles is called a what
[18:07.80]  and you can see I told you I would
[18:10.50]  bring up that uh that word the those
[18:13.44]  bumpers right there that the front
[18:15.42]  bumper of one car
[18:17.82]  has hit or uh the the back bumper of the
[18:21.30]  other car and what would you call this
[18:23.82]  type of accident this minor Collision
[18:27.48]  and I would say it's informal I think
[18:29.88]  it's often used in the U.S I'm not so
[18:32.46]  sure about the UK
[18:34.56]  and I'm gonna wait I'm gonna wait and
[18:36.90]  see if I if it's not it is a car crash
[18:39.96]  but again car crash it could be a range
[18:42.90]  especially I feel like if I think of a
[18:44.94]  car crash I think of something maybe a
[18:46.50]  little more severe this is minor and
[18:48.54]  that's the key word here if we're
[18:50.40]  talking about a minor
[18:52.50]  traffic accident great job Cinderella I
[18:57.00]  saw Rose uh had the first one of an
[19:00.06]  association a fender bender
[19:02.70]  so offender Bender
[19:04.86]  is a minor collision between two
[19:07.98]  vehicles so if somebody were just to
[19:10.50]  casually tell you yesterday I was stuck
[19:15.30]  in traffic I was in a traffic jam it was
[19:18.00]  moving slowly but it just had such bad
[19:20.94]  luck and I I got into a fender bender
[19:23.58]  so if somebody mentions fender bender
[19:25.92]  then you know that it was a minor
[19:28.44]  accident
[19:29.46]  probably that nobody but got hurt it was
[19:32.46]  a fender bender
[19:34.86]  how about uh so yes that's a good good
[19:37.44]  picture of a fender bender right there
[19:39.96]  how about like this uh
[19:42.90]  this pick this guy right here I think it
[19:45.54]  sums up the meaning so the meaning of
[19:49.26]  this phrase I will I'll go ahead and
[19:50.88]  tell you it's a phrase there are two
[19:52.50]  words
[19:53.40]  and I'm talking about anger or violence
[19:57.42]  between drivers
[19:59.82]  often caused by difficult driving
[20:02.34]  conditions
[20:03.96]  is referred to as what
[20:06.90]  and I think
[20:09.18]  again me being from the U.S in the U.S a
[20:12.36]  lot of people have to drive to go
[20:15.00]  everywhere and sometimes there are
[20:18.24]  really bad and annoying driving
[20:20.28]  conditions whether it's a traffic jam
[20:23.04]  maybe someone cuts you off and you have
[20:26.16]  this anger
[20:27.84]  that just overtakes you and you're like
[20:31.20]  this guy just yelling out the window
[20:33.00]  what would how would you refer to that
[20:36.24]  I could see that many of you put the
[20:38.52]  right answer in there we're talking
[20:39.84]  about road rage so that anger or
[20:42.90]  violence between drivers it's referred
[20:45.18]  to as road rage and yes that guy is
[20:49.08]  experiencing some serious
[20:52.08]  serious road rage right there
[20:55.62]  the next one
[20:58.14]  hmm
[20:59.46]  is a time during each day when traffic
[21:02.78]  is at its heaviest
[21:06.54]  I I want to make a little distinction
[21:10.08]  because that picture looks similar to
[21:13.08]  the other one maybe we talked about a
[21:15.60]  traffic jam even though that looks like
[21:17.22]  a traffic jam that's not what I'm
[21:19.38]  talking about the key word here is time
[21:24.90]  like the time of the day
[21:27.36]  so when you use this phrase you're
[21:30.30]  you're talking about this specific time
[21:32.22]  of the day traffic is at its heaviest
[21:34.94]  likely there is going to be a traffic
[21:38.22]  jam in that situation and we're talking
[21:42.00]  about well done
[21:44.24]  uh Angela Lolly
[21:47.88]  Rush Hour
[21:49.50]  so if you want to just refer to that
[21:52.86]  time where most cars are there maybe
[21:56.28]  it's a traffic jam maybe it's not but
[21:58.68]  there's just there's a lot of cars out
[22:00.48]  on the road and you're talking about
[22:02.04]  Rush Hour generally speaking the time
[22:04.92]  when most people finish work between
[22:07.62]  like 5 p.m and 7 P.M is considered rush
[22:11.82]  hour traffic and you're like yeah I'm
[22:13.44]  hoping I'm going to leave early so I can
[22:15.72]  avoid rush hour or maybe I'm gonna stay
[22:18.84]  late do a little extra work so that I
[22:21.12]  can avoid rush hour
[22:23.40]  nobody likes to be in rush hour because
[22:25.86]  that's when I think a lot of people may
[22:27.72]  experience road rage but this again even
[22:31.38]  though it looks like a traffic jam if
[22:33.06]  we're talking about the time we're
[22:34.56]  talking about Rush Hour rush hour
[22:36.42]  traffic
[22:38.16]  how about this and I think you guys if
[22:41.40]  you can't think of it now I know it is a
[22:44.04]  phrase that you've heard of before
[22:47.70]  is a method of parking a vehicle
[22:49.92]  alongside a road
[22:51.90]  and in line with other parked vehicles
[22:56.88]  so what this car is doing
[23:00.06]  right here
[23:01.98]  what what is that word giving you the
[23:04.50]  meaning up here a method of parking a
[23:06.48]  vehicle alongside a road and in line
[23:08.34]  with other parked Vehicles is called
[23:11.40]  what and this is something when you're
[23:13.86]  driving it's important to learn because
[23:16.56]  people should know how to do this
[23:18.36]  especially if you live in a city you
[23:20.58]  probably have to do this quite often and
[23:23.34]  you are going to need to learn how to
[23:26.72]  what what this car is doing right here
[23:30.20]  is we're talking about parallel parking
[23:34.80]  excellent
[23:36.18]  Manuel Claire
[23:38.58]  Diana nice parallel parking is the act
[23:42.24]  of or the method of parking a vehicle
[23:45.00]  alongside a road and you're really in
[23:48.12]  line with those other cars and you are
[23:50.76]  parallel parking or maybe you need to
[23:53.10]  parallel park quite common if you are
[23:55.50]  driving or you live in a city and you
[23:58.68]  see this all the time but now you know
[23:59.94]  what it's called if this is new for you
[24:02.16]  you see a car they kind of stop next to
[24:05.70]  the other car in front of them and then
[24:07.20]  they back up and they parallel park
[24:11.76]  let's see I'm curious to see how many of
[24:15.24]  you know this one
[24:17.28]  and I think this is this picture's a a
[24:20.10]  good picture
[24:21.50]  uh capturing this phrase
[24:24.24]  a passenger in a car
[24:27.30]  who gives the driver unwanted advice may
[24:31.14]  be referred to as a what
[24:34.86]  so you can see uh in the car maybe she's
[24:38.76]  giving advice that he doesn't really
[24:41.88]  want or he doesn't he want to hear and
[24:44.28]  maybe it bothers him it annoys him but
[24:46.80]  you could say in this context that she
[24:49.68]  is a what and I think maybe the picture
[24:53.04]  is too much of a hint
[24:55.68]  because I see many people throwing in
[24:58.38]  the correct answer and what I'm talking
[25:00.48]  about is you could call that person a
[25:03.18]  backseat driver so if somebody in the
[25:06.54]  car is giving you unwanted advice
[25:08.40]  they're telling you what to do hey go
[25:10.02]  over move them to that Lane right there
[25:11.82]  maybe you should go a little faster slow
[25:13.98]  down a bit you could say that person is
[25:16.80]  a backseat driver they're not driving
[25:18.54]  the car but they're telling the driver
[25:21.24]  what he or she should be doing and you
[25:24.42]  could say somebody's a backseat driver
[25:25.98]  excellent well done you guys I think a
[25:28.44]  lot of you uh got that one
[25:31.28]  so and again I think the picture maybe
[25:34.08]  it makes it a little easier at least I
[25:36.78]  hope
[25:37.68]  so if you would like to get these lesson
[25:40.50]  notes once again click on that link Down
[25:43.62]  Below in the description if you are
[25:45.78]  already a part of our email Community
[25:47.28]  check your email I will send them to you
[25:50.04]  here's a little bit of review of the
[25:52.56]  words and phrases that we talked about
[25:54.12]  in this lesson different car parts
[25:56.54]  phrasal verbs useful car phrases my hope
[26:00.78]  is always that with these quiz lessons
[26:04.08]  that you learn something new my last
[26:06.30]  question and I'm going to type it in
[26:08.34]  here I just want to know and I'm going
[26:11.28]  to give you a little bit of a poll
[26:13.02]  how did you do
[26:15.48]  in today's lesson
[26:17.70]  um
[26:18.72]  how did you do on the quiz and give you
[26:22.02]  a chance to answer
[26:23.60]  uh I'll say all of them correct all
[26:28.32]  right and
[26:30.66]  uh I got most of them
[26:35.16]  and then the last choice would be
[26:38.88]  okay I need more practice all right
[26:41.22]  which is fair I think if there's
[26:43.20]  something that we're not familiar with
[26:45.60]  it's always good to get a little more
[26:47.40]  practice I told you that my hope is that
[26:50.76]  you always learn one or two new things
[26:53.16]  with these lessons I I do I would
[26:57.36]  I would be familiar with many of these I
[26:58.98]  do think this is a bit more advanced
[27:00.90]  because these are very specific when
[27:03.84]  you're talking about driving if you live
[27:05.88]  in the U.S you probably spend a lot of
[27:07.74]  time in the car if you live somewhere
[27:09.90]  else in Europe or another part of the
[27:12.24]  world you may not spend as much time
[27:14.70]  driving so some of these words and
[27:16.50]  phrases uh may be new all right so uh I
[27:21.30]  I hope that you enjoyed the lesson uh
[27:24.54]  again I hope you learned something well
[27:26.10]  most not I don't have many doesn't seem
[27:28.26]  like many of you got all of them correct
[27:30.18]  and the fact that most of you are like I
[27:33.42]  got most of our I need more practice
[27:34.56]  makes me think that you learn something
[27:36.24]  new and if you did learn something new
[27:38.04]  and enjoyed the lesson please hit that
[27:40.62]  like button that's all I have for you
[27:42.72]  today have a wonderful
