Title     : 7 Things Americans Don't Really Say & What You Should Say Instead
[03:42.47]  we're talking about things that people say so the difference between
[03:46.14]  Who and whom who is used in the subject position and whom is used in the object position? It's important
[03:53.09]  Is that is that we're having a baby is that it doesn't matter who came on through
[03:58.98]  That's right
[04:01.11]  The word whom is used most often with questions because when we're talking about the direct object and it's an unknown person
[04:08.10]  Chances are you're asking a question? For example, you could ask
[04:12.63]  Whom should we ask for help? But again in spoken English? It's more common
[04:17.57]  People are just gonna say who should we ask for help or maybe?
[04:21.63]  Whom would you like to speak to and then if you really want to be grammatically, correct?
[04:26.78]  You shouldn't end a sentence with a preposition. You'd have to put it before whom and say
[04:31.35]  to whom would you like to speak but this just sounds
[04:34.92]  Very old very very formal people don't use it anymore
[04:38.99]  You're not gonna hear somebody say this they will just say
[04:41.91]  Who would you like to speak to?
[04:43.23]  The next thing that people don't often say but you might think they do take a look at these
[04:48.60]  These phrases right here and I will explain this I am going to I do not like, okay
[04:55.43]  You're probably looking at this thing and whoa, wait people use this all the time
[04:59.18]  but again
[04:59.93]  These are things that people don't often say that's the key word right now
[05:04.26]  Speaking and if we're talking about spoke in English instead of saying I am going to the park
[05:09.90]  Somebody is going to say I'm going to the park they're going to use the contraction
[05:14.24]  I'm instead of I am instead of saying I do not like green vegetables
[05:19.58]  I'd say I don't like green vegetables. Yes. That's true. I don't really like green vegetables. I know I should like them
[05:25.67]  They're very healthy for you. But yes, I don't like green vegetables
[05:28.53]  But my point is is this most of you you may be familiar with contractions and you've learned them before and that's great
[05:36.08]  Just keep that in mind when you're speaking and you're having a conversation
[05:39.42]  It is so much more common to use actions instead of the full form. It's also very useful for your listening comprehension
[05:47.07]  Because you are going to hear
[05:48.81]  Contractions as well and you should be able to identify these words quickly and not have to think much about them
[05:53.51]  So contractions very very common
[05:55.79]  This is what people say another phrase
[05:58.80]  that people don't really say or at least it's a question and they don't ask this question as often as you might think and
[06:06.39]  That is just how's the weather?
[06:08.46]  So the reason why I chose this is because when you're learning English vocabulary, especially as a beginner
[06:15.60]  Vocabulary about the weather is some of the first things that people learn you want to be able to talk about the weather
[06:21.77]  but at the same time
[06:24.06]  People don't often just have random
[06:26.52]  conversations about the weather if there is extreme weather for example
[06:30.20]  If it's snowing or it's really hot
[06:31.67]  Then yeah, or it's raining a lot then people might talk more about the weather
[06:35.36]  But this question when it comes to learning English is more about practicing English than it is about
[06:40.65]  Practical English because I don't know when the last time I just ask somebody. How's the weather?
[06:46.58]  It's not something that you're gonna go out and you're gonna talk to people and meet people
[06:49.95]  And you're just gonna start talking about the weather automatically. I said them. How's the weather in Hawaii? They said great
[06:56.88]  It's in the 80s low humidity
[06:59.91]  Doesn't speak English fluently. Thank you
[07:02.51]  So keep that in mind the next time you meet somebody and you're having a conversation and you're thinking okay
[07:07.82]  I don't know what to say next. So I'm gonna jump in there
[07:10.46]  I'm gonna talk about the weather what you should do instead is talk about those things that are interesting to you
[07:16.67]  What are you interested and what books are you interested in reading?
[07:19.65]  What activities are you interested in doing?
[07:21.86]  If you talk about those things then perhaps you can find something in common
[07:26.10]  With that other person and that's a more natural way to have a conversation
[07:30.39]  than just talking about these artificial topics such as the weather then we have an idiom and that idiom is
[07:37.65]  Raining cats and dogs now, don't get me wrong. I think it's great to learn idioms
[07:43.59]  Especially for your comprehension because people use idioms all the time
[07:47.03]  the reason why I'm putting this up there raining cats and dogs is because when you're learning English idioms,
[07:53.39]  I think this is often one of the first idioms that people learn people learn idioms
[07:58.16]  Like piece of cake something's easy or they might say Oh raining cats and dogs
[08:02.58]  Because we love talking about the weather even though you would learn this idiom
[08:07.74]  We don't really say it that much. I just say, you know, it's raining hard
[08:12.80]  I don't really say well it's raining cats and dogs. You may hear it from time to time
[08:18.41]  You may hear it. If you're watching a TV show or movie said it was going to rain cats and dogs
[08:24.42]  Wow, it is raining cats and dogs out there, but it's not one that people use often in spoken English
[08:31.44]  So instead of saying it's raining cats and dogs
[08:34.47]  Just sound a little more fluent like a native speaker and saying wow
[08:37.73]  It's raining really hard now
[08:39.50]  you
[08:39.66]  know seven things that we do not say and what you should say instead and if you found this lesson useful
[08:45.68]  I want you to write to me in the comments and let me know and
[08:49.44]  Just ask me the question just say how's the weather? All right
[08:53.42]  I want you to say how's the weather if you enjoyed this lesson and found it useful and I will respond to you and I
[08:59.57]  Will tell you what the weather is like and we will have that artificial
[09:03.03]  Conversation that you may not have with other people in spoken English. Thank you guys so much for watching
[09:07.85]  Don't forget to hit that like button down below. And as always I will see you next time
