Title     : COMMONLY CONFUSED WORDS IN ENGLSH | Prefixes Un-  vs Dis-  | Build English Vocabulary
Video ID  : PraVZaXHpYI
[07:53.39]  to be a referee you want to have a
[07:56.56]  disinterested referee somebody who is
[08:00.11]  unbiased and they are going to call the
[08:03.20]  game fairly you want a disinterested
[08:05.75]  referee it can also mean that you you're
[08:10.04]  not really feeling engaged in something
[08:13.01]  for example you could say that somebody
[08:16.55]  says something in a disinterested voice
[08:19.91]  that there they have a disinterested
[08:22.67]  voice they're not really engaged in
[08:25.52]  what's happening it can also mean that
[08:27.47]  you just don't care about the outcome
[08:30.41]  that you are disinterested in somebody's
[08:34.79]  progress that you you don't care about
[08:37.31]  the outcome of this thing you are
[08:38.93]  disinterested only time I have taken one
[08:41.33]  the driver will not stop talking to me
[08:43.64]  no matter how disinterested I say if you
[08:45.20]  just give you yakking away now I think
[08:48.20]  to be perfectly honest one reason why it
[08:51.17]  can
[08:51.42]  be very confusing is that over the years
[08:53.84]  people have used this interchangeably
[08:56.85]  even native speakers but I want you to
[09:00.03]  keep that in mind I'm trying to teach
[09:01.47]  you the traditional meaning of these two
[09:04.08]  words so if somebody is uninterested I
[09:06.90]  want you to think of those two words
[09:09.03]  bored or indifferent if somebody is
[09:12.39]  disinterested then I would describe them
[09:15.30]  as being unbiased or impartial or they
[09:19.44]  just they just don't care about the
[09:21.87]  outcome now I want to talk to you about
[09:23.67]  the difference between unlike versus
[09:26.04]  dislike and the difference between these
[09:28.83]  two words really depends on the part of
[09:32.07]  speech of like so the word like can be a
[09:35.52]  preposition which means that that
[09:38.16]  something is similar to something else
[09:40.80]  for example I could say I am just like
[09:43.56]  my father
[09:44.37]  I am very similar to my father if we're
[09:47.52]  talking about like as a preposition then
[09:49.98]  you want to use the prefix on to to just
[09:53.22]  say not someone or something is unlike
[09:57.33]  something or someone else I could say
[09:59.91]  she is unlike her mother she is not
[10:02.73]  similar to her mother she doesn't react
[10:05.07]  to disappointment very well unlike me if
[10:07.80]  like is a verb which often I think most
[10:11.58]  of the times we use it as a verb it can
[10:14.40]  have two different meanings the most
[10:16.59]  common meaning is that that something is
[10:19.47]  enjoyable
[10:20.58]  I like playing basketball if I want to
[10:23.58]  say the opposite that I don't like
[10:25.98]  playing basketball then I would use the
[10:27.96]  prefix dis I dislike playing basketball
[10:31.08]  so to dislike something means that you
[10:34.05]  do not find it enjoyable I don't think
[10:36.60]  you dislike cop talk I think you dislike
[10:38.67]  cops the other meaning of like as a verb
[10:41.01]  which I think has become more and more
[10:42.69]  popular since since the Internet has
[10:45.45]  come about is it just means to show
[10:47.73]  support or approval for something it
[10:50.97]  oftentimes I would ask you guys I'd say
[10:53.19]  hey please please like our video lessons
[10:56.46]  now if we're talking about using like to
[10:59.43]  show support then you could not show
[11:02.13]  support and you would unlike
[11:04.69]  thing too unlike something means that
[11:07.09]  you are withdrawing your support or
[11:09.61]  approval for this thing so whether you
[11:12.49]  use dislike or unlike when we're talking
[11:15.52]  about a verb it really just depends on
[11:17.77]  the meaning if something is not
[11:19.51]  enjoyable then you dislike something if
[11:22.30]  you are withdrawing your support then
[11:25.21]  you would unlike something then we have
[11:27.63]  ungraceful versus disgraceful let's
[11:30.91]  begin with graceful which is an
[11:32.59]  adjective and if you describe something
[11:35.08]  as graceful it means that it is
[11:37.15]  beautiful or elegant and typically
[11:39.64]  you're talking about the way something
[11:41.44]  moves that the the dancers were very
[11:44.65]  graceful if you want to say that that
[11:47.26]  they are not beautiful typically in the
[11:49.48]  way that they move then you would say
[11:51.07]  that something or someone is ungraceful
[11:54.28]  it is also an adjective the for an
[11:57.10]  example I would say I am I am a nun
[12:00.82]  graceful dancer if you see me dancing
[12:03.55]  you that's probably the word that you
[12:05.29]  would think of like you've ungraceful
[12:07.18]  now if we're talking about disgraceful
[12:10.03]  it is also an adjective but it has a
[12:12.70]  different meaning the reason it has a
[12:14.62]  different meaning is because this is
[12:16.84]  connected to the verb to disgrace which
[12:20.14]  means to bring shame on someone so
[12:23.76]  disgraceful if something is disgraceful
[12:26.92]  then you are describing it as being just
[12:30.19]  shameful that it's something you don't
[12:32.44]  like and you're like wow this is this is
[12:34.72]  just disgraceful I think it is shameful
[12:37.48]  it is disgraceful that's disgraceful
[12:41.70]  you're disgraceful so I hope I was able
[12:44.62]  to clear up a little bit of confusion
[12:46.75]  among these words because depending on
[12:49.63]  the prefix you use it's going to change
[12:52.24]  the meaning completely and because of
[12:54.91]  that I think these words are commonly
[12:57.46]  confused and I'm I want to do a little
[13:01.18]  review with you right now and try to
[13:02.86]  repeat some of these words but having a
[13:05.47]  tough time doing it because they all
[13:07.09]  have this this negative connotation with
[13:09.73]  not so I could say I I hope that you did
[13:13.36]  not dislike the lesson I hope that you
[13:16.96]  liked it
[13:18.01]  and right now well I did not disable the
[13:20.68]  comments I did not disable the comments
[13:22.93]  so you can feel free to write me a
[13:25.15]  comment and what else could I use I'm
[13:27.84]  I'm just gonna leave you with the word
[13:31.11]  ungraceful because I'm gonna start
[13:33.22]  dancing right now so I suggest that you
[13:35.47]  you go watch another lesson get out of
[13:37.66]  here before you have to watch my
[13:40.50]  ungraceful dancing I I'm a nun graceful
[13:46.33]  dancer what can you do
