Title     : US Regional Vocabulary You Need to Know 🇺🇸  (+ Lesson Notes)
Video ID  : OimYIupXx4c
[05:10.98]  places throughout the United States most
[05:13.50]  of the time I I would say you guys but
[05:16.38]  every now and then I I catch myself
[05:18.12]  using y'all now in the United States
[05:20.76]  many people live in the suburbs they
[05:22.86]  live in homes and sometimes they may
[05:25.02]  have this informal event in which they
[05:27.42]  sell used items sometimes new things
[05:30.66]  just right out in front of their home
[05:32.94]  there's no business license needed they
[05:35.46]  just take their some of their used stuff
[05:37.68]  and they set it up right in front of
[05:39.72]  their yard and people may walk by and
[05:42.24]  sometimes they they buy something and
[05:45.00]  this is called
[05:46.62]  what do you think there are three
[05:48.60]  different phrases that you may hear
[05:50.34]  people use garage sale yard sale
[05:54.54]  or tag sale okay so I think uh in
[05:58.56]  general most people are going to use
[06:00.42]  either a garage sale or a yard sale
[06:02.58]  there is that one little tiny spot in
[06:05.28]  the Northeast that may say tag sale and
[06:08.16]  I think this is more common in the state
[06:10.56]  of Connecticut I actually used to live
[06:12.72]  in Connecticut back when I was in Middle
[06:14.82]  School and I would see signs sometimes
[06:17.64]  people would put up in front of their
[06:19.02]  yard that says tag sale we're having a
[06:21.00]  tag sale but most people are going to
[06:23.46]  say either garage sale or yard sale and
[06:25.80]  they would they may put up a sign in
[06:28.20]  front of their yard advertising this
[06:30.48]  informal event don't confuse this with
[06:33.00]  the larger market in which there are
[06:35.22]  many vendors selling different things
[06:37.26]  mostly used things but that market is
[06:39.96]  called a flea market so just remember a
[06:42.54]  garage sale yard sale or even a tag sale
[06:45.12]  is an informal event in which people are
[06:47.94]  just selling things right out in front
[06:50.22]  of their home and how about this next
[06:52.02]  one what would you call this there there
[06:55.38]  are two different answers and I think
[06:57.24]  both of them are are pretty common
[06:58.92]  throughout the country so you could say
[07:01.56]  either one and nobody's really going to
[07:03.78]  give it much thought but the two
[07:05.64]  different phrases that I'm talking about
[07:07.08]  are either trash can or garbage can the
[07:11.28]  only thing I'd really like to point out
[07:13.02]  is you can see on the map it seems like
[07:15.00]  the Pacific Northwest has a stronger
[07:17.46]  preference for for saying garbage can
[07:19.68]  while I think many other parts of the
[07:22.26]  country would just say trash can
[07:23.66]  personally I feel like I use both of
[07:26.28]  them if we're talking about some like
[07:28.86]  one that's inside the home I think
[07:30.78]  overwhelmingly I would just say trash
[07:32.76]  can if it's outside the home then maybe
[07:36.00]  I might use either one but that's just
[07:38.22]  me personally and just to teach you one
[07:40.26]  more vocabulary word the place where you
[07:42.42]  dump your trash can or garbage can is
[07:45.54]  called
[07:46.68]  a dumpster all right right there and
[07:49.26]  this you will only see those outside
[07:51.62]  here's the next one what would you call
[07:54.30]  this right here there are three
[07:56.34]  different words or phrases that you may
[07:58.44]  hear people use throughout the US two of
[08:00.72]  them I think are are much more common
[08:02.64]  than the third one so overwhelmingly I
[08:05.94]  think people especially on the East
[08:07.74]  Coast are going to say water fountain on
[08:10.74]  the west coast I think you're more
[08:12.30]  likely to hear people use drinking
[08:14.64]  fountain and you can see that little bit
[08:17.10]  of purple right there in certain places
[08:19.62]  in the Northeast as well as in the
[08:21.48]  midwest people may call this a bubbler
[08:24.24]  but it's not as common as the others
[08:26.82]  most of the time people are going to say
[08:28.62]  drinking fountain or water fountain and
[08:30.60]  this candy right here that many children
[08:33.00]  love is called
[08:35.64]  what do you think there are two
[08:38.40]  different words people may use I I know
[08:40.74]  what I used to say back when uh I lived
[08:43.56]  in the South so most of the time people
[08:46.74]  are going to call this a lollipop
[08:48.90]  because that is the actual name of this
[08:52.50]  hard candy it's a lollipop however a
[08:55.38]  long time ago informally people started
[08:57.96]  calling it a sucker because you would
[09:00.96]  suck on the lollipop nowadays if people
[09:03.66]  use the word sucker you're more likely
[09:05.76]  to hear this in the South or even a
[09:08.16]  little bit in the midwest but just be
[09:10.38]  careful because the word sucker it's
[09:12.96]  also an informal word referring to a
[09:16.44]  gullible person that you can easily
[09:19.08]  trick and you could say this person is a
[09:21.72]  sucker so just keep that in mind it's a
[09:24.18]  word that has multiple meanings how
[09:26.04]  about this right here what would you
[09:28.32]  call this roadway
[09:30.50]  and I this can be a little tricky
[09:34.02]  because I think people often may use
[09:36.36]  them interchangeably so you may hear
[09:38.10]  people call this roadway either a
[09:40.44]  freeway or a highway but there is a
[09:43.38]  difference between the two and I think
[09:45.42]  even many Americans might not know the
[09:47.88]  difference it's one of those things uh
[09:50.04]  in which all highways are freeways but
[09:53.10]  not all freeways are highways okay
[09:55.32]  sounds like a little bit of a riddle
[09:57.60]  it's kind of like uh both thumbs are
[10:00.60]  fingers but not all fingers are thumbs
[10:02.64]  one of those types of things so let me
[10:04.80]  let me explain the difference so the
[10:06.48]  subtle difference would be access to the
[10:09.00]  road because highways there are larger
[10:11.40]  roads they may have multiple Lanes of
[10:13.32]  traffic but there could also be cross
[10:15.60]  traffic as well and you may have to stop
[10:17.84]  whereas freeways have controlled access
[10:21.18]  which means there's no cross traffic
[10:23.58]  you're not going to have to stop and
[10:25.38]  generally you may have to go up a ramp
[10:27.24]  in order to get on a freeway but even
[10:29.76]  though there's a difference people may
[10:31.86]  use them interchangeably especially on
[10:34.08]  the East Coast however on the west coast
[10:36.60]  it is more common for people to use the
[10:39.06]  word freeway and keep in mind you do not
[10:41.46]  want to confuse these words with
[10:43.26]  interstate and once again some people
[10:46.56]  may end up using all three words
[10:48.44]  interchangeably but an interstate is
[10:50.88]  like a freeway it has controlled access
[10:53.36]  except it's going to cross from one
[10:56.46]  state to the next now something that you
[10:58.92]  may not have have known has to do with
[11:00.72]  the numbers because whether you're
[11:02.04]  talking about a freeway a highway or
[11:04.08]  Interstate if the number is odd then
[11:06.72]  it's referring to a roadway that goes
[11:08.88]  north south and if it's even then the
[11:11.16]  roadway goes east west just a little
[11:13.26]  food for thought now let's take a trip
[11:15.66]  to the grocery store what would you say
[11:18.30]  this is
[11:20.82]  so overwhelmingly most people in the
[11:23.94]  United States are going to call this a
[11:26.22]  grocery cart that phrase is most
[11:28.38]  widespread but there are areas that may
[11:31.26]  use the word carriage such as in the
[11:33.60]  northeast or even buggy in parts of the
[11:36.96]  South or Midwest but pretty much
[11:38.82]  anywhere you go you could just call this
[11:41.10]  a grocery cart now you may not always be
[11:44.04]  in a grocery store but still use this
[11:46.74]  cart in which case people would just
[11:49.50]  refer to this as a shopping cart and if
[11:51.78]  you go to a playground you may see this
[11:54.66]  what would you call it because in the
[11:57.66]  U.S you may hear people use a couple of
[12:00.42]  different names so I think most people
[12:03.90]  in the U.S are going to call this a
[12:06.54]  teeter-totter and I I believe that's
[12:09.30]  also what they would say in Canada as
[12:11.82]  well but when I was a kid in the South I
[12:14.28]  would hear people use the word seesaw
[12:16.80]  and I believe people would also say
[12:19.74]  seesaw in British English so it's this
[12:23.34]  is an instance in which Southern dialect
[12:25.26]  and British English overlap and it's
[12:27.96]  it's interesting because when I think of
[12:29.88]  other parts of the Southern dialect like
[12:32.16]  y'all it just much of it sounds seems
[12:35.76]  very distinct from British English
[12:37.80]  except if you're talking about a seesaw
[12:40.44]  so I hope this lesson has been
[12:42.24]  insightful because language it does it
[12:45.42]  gives us a glimpse into the culture and
[12:47.88]  I know many of you who watch these
[12:49.62]  lessons you live in the U.S or you
[12:51.96]  travel to the US often and learning the
[12:55.02]  different names of these these very
[12:57.42]  common things I I think it can help so
[13:00.12]  you'll know whether to ask someone for a
[13:02.64]  soda or a pop or the next time you're
[13:04.80]  traveling somewhere you'll know if
[13:06.54]  you're on a freeway or a highway or the
[13:08.88]  next time you go to a playground you'll
[13:11.10]  know if those kids are on a
[13:12.54]  teeter-totter or a seesaw if you enjoy
[13:14.82]  the lesson and learn something new
[13:16.62]  please hit that like button as always
[13:19.50]  thank you so much for watching and I
[13:21.60]  will see you next time so long
