Title     : Rhythm & Flow in English  | Thought Groups, Word Stress, & Connected Speech
Video ID  : A0n65zB430k
[12:07.20]  everything we've been talking about and
[12:08.88]  I want to read this poem again and let's
[12:11.48]  read it together okay so I want you to
[12:13.88]  say it in the exact same way that I do
[12:16.84]  are you ready TW the Night Before
[12:19.16]  Christmas when all through the house not
[12:21.48]  a creature was stirring not even a mouse
[12:24.64]  the stockings were hung by the chimney
[12:26.76]  with care in hopes that St Nicholas soon
[12:29.84]  would be there the children were nestled
[12:32.16]  all snug in their beds while visions of
[12:34.60]  sugar plums danced in their heads so one
[12:37.40]  thing you may be wondering is how can
[12:39.36]  how can you practice this on your own
[12:41.24]  and continue to work on Rhythm and flow
[12:44.00]  well the first thing I would say is just
[12:46.08]  find something that you can read and say
[12:49.12]  I think it really helps if there's
[12:51.16]  something that you're able to read as
[12:53.00]  you're trying to work on the Rhythm and
[12:55.40]  flow which means uh a song or a poem or
[12:59.24]  or even a speech personally I think
[13:01.40]  poems are the best way to practice this
[13:04.40]  the second thing I would say is I think
[13:06.88]  it really helps if you're able to listen
[13:09.32]  to someone else say it and then you can
[13:12.04]  try and say it in the exact same way
[13:14.40]  that's that's shadowing I just asked you
[13:17.20]  to say the poem with me I asked you to
[13:19.24]  Shadow me and try to say it in the exact
[13:21.88]  same way it's not always necessary for
[13:23.96]  you to analyze everything that that
[13:26.12]  you're trying to practice with and break
[13:28.88]  everything everything into different
[13:29.84]  thought groups and find the stress and
[13:32.28]  Link the different phrases shadowing
[13:34.40]  allows you to do this naturally and
[13:36.32]  you're really just letting your ears do
[13:38.00]  all the work and that would be my
[13:39.84]  suggestion the reason why I tried to
[13:41.48]  break everything down for you in this
[13:43.08]  lesson is just to help you better
[13:45.56]  understand how that Rhythm and flow is
[13:47.96]  created and why we talk the way we do
[13:50.88]  right you could say why we talk the way
[13:53.12]  we do okay I think if you were to do
[13:55.84]  this continuously it would get a bit
[13:57.84]  annoying after a while but I just hope
[14:00.52]  that uh Rhythm and flow is a little bit
[14:02.44]  easier for you to understand now if you
[14:04.96]  enjoyed the lesson please hit that like
[14:07.72]  button as always thank you so much for
[14:09.92]  watching and I will see you next time so
[14:12.04]  long
