Title     : American Culture Quiz 🇺🇸  (ONLY 3% CAN PASS THIS TEST)
Video ID  : TffOC4_lqMU
[10:25.52]  the next question
[10:27.20]  that i have for you okay a little bit of
[10:29.28]  a little bit of civics for you going uh
[10:32.64]  talking about the government right now
[10:35.36]  so
[10:37.92]  let me know what you think again just
[10:40.24]  write your answers in the chat in the
[10:42.24]  comments um
[10:44.48]  and tell me the answer to this question
[10:47.44]  uh in government
[10:49.36]  how many u.s
[10:51.28]  senators
[10:52.64]  are there
[10:53.92]  what do you think how many senators are
[10:56.32]  there so
[10:57.52]  the the legislative branch you have you
[11:00.64]  know congress and the senate so i'm not
[11:02.56]  talking about congress people we're
[11:04.72]  talking about the senators
[11:07.04]  the senators
[11:08.88]  all right so this is a
[11:12.08]  i think this is a government question
[11:14.08]  that i thought was
[11:15.60]  it's a good one i don't think it's
[11:17.04]  probably too difficult uh if you follow
[11:19.68]  us politics then um
[11:22.88]  it's a question that i think you could
[11:25.04]  you could definitely get
[11:26.80]  so
[11:27.68]  i do see the correct answers in there
[11:29.84]  and i'll let people know i'm kind of
[11:31.68]  just giving people a little time
[11:33.84]  to answer so
[11:35.68]  yes uh
[11:37.60]  locomotive virginia john
[11:40.72]  uh anawat
[11:42.72]  stacy
[11:43.92]  uh the correct answer sleepwalker great
[11:46.88]  job gloria the correct answer is 100. so
[11:51.12]  there are two senators per state
[11:54.84]  uh the congress people
[11:58.48]  there are hundreds and hundreds of i
[12:00.64]  think there's
[12:01.68]  almost like
[12:02.80]  there's over 400 congress people and
[12:05.44]  there are congress people in each state
[12:07.76]  depending on the population so a
[12:09.84]  populated state with like california
[12:12.08]  will have more representatives in
[12:14.00]  congress
[12:15.60]  than a state with a smaller population
[12:18.24]  but as for senators they both get the
[12:20.08]  same whether it's california or montana
[12:22.88]  they have the same number of senators
[12:24.56]  and there are a lot of people out there
[12:25.92]  that that don't like this setup and they
[12:28.48]  don't think it's very fair but there are
[12:30.08]  two per state
[12:31.84]  all right excellent um got more answers
[12:34.40]  yes vicky gustav um
[12:38.08]  perfect all right angela nice next
[12:40.80]  question um
[12:43.36]  i i think this one again is a little
[12:45.36]  easier uh because
[12:47.84]  this is probably a character that many
[12:50.16]  of you are familiar with even being
[12:53.12]  outside living outside the united states
[12:55.52]  so this character
[12:57.20]  their
[12:58.16]  famous catchphrase is
[13:00.72]  what's up doc
[13:02.40]  okay
[13:03.36]  which character am i talking about i'm
[13:06.48]  sure many of you know this this is a
[13:09.20]  character who's been around for
[13:11.28]  a very very long time
[13:13.84]  so
[13:14.88]  which character's catchphrase
[13:18.00]  is
[13:18.96]  what's up doc
[13:20.40]  okay let me know if you're if you feel
[13:22.24]  like you're learning something new about
[13:24.24]  uh
[13:25.52]  about american culture you can let me
[13:27.52]  know go ahead hit that like button uh it
[13:31.04]  tells me that okay you're learning some
[13:33.04]  new things
[13:34.96]  so this character
[13:36.64]  yeah okay
[13:38.56]  starting to see
[13:40.08]  some correct answers the famous
[13:41.60]  characters catch phrase what's up doc
[13:44.48]  we're talking about
[13:46.96]  uh
[13:48.72]  it is it is a rabbit
[13:50.72]  all right
[13:52.08]  bugs money
[13:53.92]  so this is an older this is an old
[13:56.00]  cartoon like when i was growing up i
[13:57.92]  think it's a kind of a famous character
[14:00.64]  i don't know if
[14:02.72]  kids really watch bugs bunny nowadays
[14:06.40]  or how popular it is but definitely a
[14:09.52]  long time ago and i think this was a i
[14:12.56]  feel like this was maybe a cartoon that
[14:14.32]  did get exported and you might
[14:17.12]  would see this in other countries as
[14:19.04]  well and say what's up doc what's up doc
[14:21.60]  that is bugs bunnies catchphrase
[14:25.44]  the next question
[14:27.36]  is right here
[14:30.56]  okay so
[14:33.04]  what do you think and you guys i rocked
[14:34.56]  that one that was good uh
[14:36.72]  stacey mustafa lolly great job excellent
[14:39.92]  uh good aware i'm glad yes i'm glad
[14:41.84]  you're learning some new things so
[14:45.44]  who was the famous host
[14:48.64]  of the american television show
[14:51.52]  jeopardy
[14:53.12]  so jeopardy
[14:54.72]  a very popular game show in the united
[14:58.72]  states
[14:59.76]  there was a host
[15:02.88]  of jeopardy for
[15:04.96]  many many years i believe he was the
[15:07.36]  host well i'm kind of giving it away a
[15:09.28]  little bit i just told you it's a guy he
[15:11.20]  was the host for i think around 28 years
[15:15.20]  do you know the name of this person and
[15:17.68]  this is a game show that you
[15:20.00]  maybe they would show it in other
[15:21.60]  countries as well i'm not really sure
[15:23.84]  but it was a very popular one in the
[15:26.32]  united states and i want to know
[15:29.60]  if you can think
[15:31.20]  of the host
[15:33.12]  of jeopardy who who was the host of
[15:36.08]  jeopardy the very famous
[15:38.00]  host of jeopardy i i thought this one
[15:40.56]  would be a little more difficult and i
[15:42.64]  will be impressed
[15:44.16]  if uh if any of you
[15:46.40]  get this correct uh maybe you saw it
[15:49.36]  uh it is not jennifer aniston no she is
[15:52.32]  not the the host of jeopardy
[15:54.96]  uh merv griffin no he's not him ario you
[15:58.80]  i you don't know that's okay uh that's
[16:00.64]  okay i'll tell you in just a moment
[16:02.72]  um and yes
[16:05.36]  angela comes through with the correct
[16:07.84]  question same with uh stacy so we're
[16:10.00]  talking about alex trebek um i say well
[16:13.68]  was he
[16:16.00]  was is no longer the host alex trebek
[16:18.40]  sadly passed away in 2020
[16:21.20]  um as he was still the host at that
[16:24.08]  point i think i think he was on there
[16:26.16]  for about 28 years but it's like when
[16:29.44]  people would think of jeopardy alex
[16:31.60]  trebek is somebody that that they would
[16:33.60]  think of because he hosted it uh for so
[16:36.08]  long alex trebek
[16:37.68]  is the answer that we were looking for
[16:40.48]  the next one
[16:42.00]  and actually trebek um
[16:44.24]  he was actually he was canadian-american
[16:46.80]  i think he had he had dual citizenship
[16:49.12]  so he was canadian-american
[16:52.72]  okay this one um
[16:55.36]  not a little bit pop culture but also a
[16:57.28]  little political um
[16:59.52]  i don't know if you know who lin manuel
[17:01.68]  miranda is but
[17:03.28]  if not then
[17:04.72]  maybe this will be a more difficult
[17:06.16]  question
[17:07.20]  so lin-manuel miranda created a famous
[17:10.72]  musical
[17:11.92]  about which well-known american
[17:15.12]  politician so even if you're
[17:18.88]  you know not into politics you could
[17:21.12]  still get this um get this correct
[17:24.56]  because this musical was very very
[17:28.08]  famous and well known i mean i think it
[17:30.08]  still is famous and the the original
[17:34.48]  cast is not doing it anymore
[17:37.44]  but i think even then like this is like
[17:40.16]  going back
[17:41.20]  four five six uh years so this is still
[17:44.56]  in the grand scheme of things
[17:46.40]  this is still fairly
[17:48.40]  recent
[17:49.52]  okay
[17:50.72]  so
[17:51.60]  lin-manuel
[17:53.92]  can't talk
[17:55.12]  this is what happens toward the end of
[17:56.72]  the year lin-manuel miranda created the
[17:59.12]  famous musical about which well-known
[18:01.68]  american politician and
[18:04.40]  the other thing i would add he is kind
[18:06.08]  of this is somebody who is a founding
[18:08.32]  father this is somebody who was never
[18:10.48]  president um i don't i think they were
[18:12.88]  really the first u.s treasurer they
[18:14.96]  didn't really hold they were not a
[18:16.24]  senator they didn't really hold uh
[18:18.40]  political office but they were one of
[18:20.00]  the founding fathers uh
[18:21.84]  we did get one correct answer in there
[18:25.28]  um
[18:26.48]  yashar yashar excellent um
[18:30.16]  yes vicky gustav excellent two corrector
[18:32.88]  three correct answers lolli stacy four
[18:35.52]  there the the correct answers are
[18:37.20]  rolling in now excellent so yes the
[18:40.24]  the correct answer is alexander hamilton
[18:43.44]  the the musical is just called hamilton
[18:47.20]  and it is about the life of alexander
[18:50.40]  hamilton who is one of the founding
[18:52.48]  fathers um
[18:54.56]  of the the united states and that's kind
[18:56.48]  of the the musical logos right there and
[18:58.96]  they do a lot of like raps it's very
[19:00.96]  cool i would sing it for you but i'm
[19:03.20]  such a terrible singer i'm not even
[19:04.88]  gonna i'm not even gonna bother you with
[19:06.80]  that
[19:07.76]  so the next question are you ready so
[19:10.16]  that one you guys did pretty well on
[19:12.32]  that
[19:13.52]  this one's also going to be more
[19:14.96]  difficult because it's just more
[19:17.44]  specific
[19:18.72]  to the united states and you would
[19:21.04]  really
[19:22.64]  probably would need to
[19:25.68]  really watch a lot of movies and tv
[19:27.76]  shows perhaps to come across it um
[19:31.04]  or just live there and you might know
[19:34.00]  the answer to this so which university
[19:36.96]  has the motto
[19:38.88]  roll tide
[19:40.88]  roll tide so that that is the
[19:42.88]  university's motto and this is something
[19:45.44]  that i think is a little different about
[19:47.36]  the united states um
[19:49.60]  as opposed to like other countries that
[19:51.76]  i've
[19:52.80]  lived in
[19:54.16]  university not not university like
[19:58.48]  like that's so important but
[20:01.60]  people do identify with their university
[20:04.16]  and it is a it's a topic of conversation
[20:06.56]  like oh where did you go what university
[20:08.48]  did you attend so it is something that
[20:11.68]  i think in the united states people will
[20:15.28]  maybe talk about a little more and they
[20:17.84]  know about other universities mainly
[20:20.80]  through sports and this is another
[20:23.28]  reason why you
[20:24.88]  may have heard about this one
[20:26.88]  because of the sports team
[20:28.80]  and wow you guys excellent uh jardel
[20:32.88]  angela fly yeshar lolli um
[20:36.80]  the correct answer yes busta we're
[20:38.64]  talking about the university of alabama
[20:41.44]  so university of alabama is the alabama
[20:44.80]  crimson tide and their their motto is
[20:47.84]  just saying roll tide roll tide
[20:50.80]  wow you guys got that one good excellent
[20:53.52]  so
[20:55.12]  here's uh
[20:57.12]  this one may be a little tricky
[20:59.12]  i'll go ahead and tell you that even if
[21:01.44]  you think like oh i definitely know the
[21:03.04]  answer to this it will be a little
[21:04.72]  tricky
[21:06.48]  i got tripped up by this um
[21:09.36]  and i well there's a reason for that but
[21:11.36]  i'll tell you in just a second i need to
[21:12.48]  get some water so in the u.s you can buy
[21:15.44]  alcohol at 21.
[21:17.76]  how old do you have to be to buy
[21:20.00]  cigarettes
[21:22.08]  what do you think just a number
[21:24.24]  throw it in the chat throw it in the
[21:25.68]  comments what do you think
[21:28.72]  so really there's probably
[21:31.20]  just a few different numbers that i
[21:33.04]  imagine you you would choose from or
[21:35.52]  probably just two different numbers that
[21:37.68]  you might choose from
[21:40.32]  so
[21:41.92]  we're getting a variety of responses
[21:46.24]  many of you are
[21:48.00]  correct because i feel like people would
[21:50.80]  when i said a few different numbers i
[21:52.48]  feel like people might say like 16 or 18
[21:55.28]  or 21
[21:56.96]  some people have mentioned 17. the
[21:58.96]  correct answer and i said this one
[22:01.12]  tripped me up a little bit
[22:03.20]  is
[22:04.48]  21. all right
[22:06.32]  it used to be 18 and i added this down
[22:09.52]  there because i told you like i i've
[22:11.92]  been outside of the country so i wasn't
[22:14.40]  too familiar with this change but in
[22:17.16]  2019 so it changed recently they passed
[22:20.96]  legislation raising the the federal
[22:24.08]  minimum age for selling tobacco products
[22:26.88]  from 18 to 21. so it as of you know
[22:32.16]  not too long ago it was 18 and for the
[22:34.56]  for the a long time it was 18 and
[22:37.44]  they've recently raised it to 21. so now
[22:40.56]  you have to be 21 to buy alcohol
[22:43.12]  or tobacco products
[22:45.20]  all right let's stick with some agents
[22:47.20]  okay one more age question uh for you
[22:50.96]  in the u.s
[22:52.56]  you can vote at 18.
[22:56.32]  how old do you have to be to drive a car
[22:59.36]  all right what do you think you can vote
[23:01.04]  at 18
[23:02.72]  how old does someone have to be
[23:05.28]  to drive
[23:07.52]  okay
[23:10.32]  so
[23:11.44]  again this is
[23:12.88]  each country can be a little different
[23:15.36]  on some of these between
[23:17.76]  buying alcohol or cigarettes or
[23:20.72]  driving and voting
[23:24.96]  and the city is 42 wow
[23:28.16]  42 to buy cigarettes wow that's that's
[23:30.72]  interesting they're really
[23:32.56]  really trying to stop the sale
[23:35.60]  so
[23:37.52]  this one
[23:39.76]  i think most of you yeah you guys got
[23:41.92]  this one all right and i feel like this
[23:43.60]  is something that i just through
[23:46.72]  a lot of movies tv show pop pop culture
[23:49.44]  that other people might see outside of
[23:51.36]  the us then you would come across that
[23:53.44]  yes you
[23:54.56]  in in the you uh in the u.s 16 and i
[23:58.56]  think in general maybe
[24:00.88]  some states it's can be a little
[24:03.12]  different like people do like
[24:05.36]  learners permits
[24:07.28]  that could be like 15 in which case you
[24:10.32]  can drive but there needs to be
[24:12.48]  somebody else in the car that has a
[24:14.32]  license so this may vary state by state
[24:17.92]  but in general
[24:19.60]  i think for the most part 16
[24:22.08]  and i personally feel like maybe that
[24:25.04]  kid looks too young to be driving it is
[24:27.84]  a very young
[24:29.36]  driving age i think compared to a lot of
[24:31.76]  other countries
[24:33.12]  um
[24:34.80]  this one also i think
[24:37.04]  probably a little bit easier i tried to
[24:38.80]  word it in a way that might be a little
[24:41.20]  more challenging but the fourth okay i'm
[24:43.68]  talking about a day the fourth is an
[24:46.64]  important day
[24:48.16]  in which month
[24:49.76]  okay so which month
[24:52.08]  would uh the fourth be a
[24:55.12]  significant
[24:56.56]  day
[24:57.44]  and i'm sure if you know the answer you
[25:00.16]  probably even know why
[25:02.64]  it is an important day
[25:04.88]  so
[25:06.48]  like i i was i wanted to ask this
[25:09.12]  question and i was thinking how could i
[25:10.88]  ask it in a way that might be a little
[25:13.28]  more challenging for people but just how
[25:16.32]  quickly
[25:17.68]  all of you are responding
[25:19.92]  uh it makes me think yes it was pretty
[25:22.80]  easy so we're talking about the 4th of
[25:25.20]  july which is independence day in the
[25:28.00]  united states so when you think of
[25:31.36]  you know july july 4th
[25:33.60]  is a very well-known popular holiday in
[25:36.32]  the u.s
[25:37.36]  um the next one
[25:40.08]  oh this is a fun one uh i'm i'm
[25:43.68]  very curious to see
[25:45.36]  if you guys
[25:46.64]  know this one
[25:47.92]  what is the name of the following snack
[25:50.48]  i'm gonna show you a picture of it and i
[25:53.20]  just want you to tell me the name so
[25:54.96]  what is the name
[25:56.40]  of this snack
[25:58.56]  right here
[26:00.40]  okay
[26:02.00]  and i
[26:03.52]  i don't know i don't know if this is
[26:05.52]  anything that's distinctly
[26:07.68]  american per se i think these snacks
[26:10.64]  um are are common in the us
[26:14.16]  uh
[26:15.44]  but well i'll explain a little bit
[26:17.28]  afterward and
[26:19.12]  i i you could say i said snack even
[26:21.36]  though maybe people would think of it as
[26:23.60]  like a dessert possibly but i think
[26:26.24]  probably a snack would be a better
[26:27.84]  category
[26:29.44]  to put this in and they're delicious
[26:32.32]  they're absolutely delicious it's been
[26:35.12]  years and years and years since i
[26:38.40]  have had one of these
[26:40.88]  but what would you call
[26:42.32]  these snacks
[26:44.88]  all right
[26:46.80]  so
[26:47.60]  i'll give you a moment and then i'll
[26:50.00]  tell you how it's made it's not they're
[26:51.92]  not it's not a very
[26:54.64]  complex food so some of you
[26:57.76]  yes angela mustafa um mariana those uh
[27:02.00]  you can probably tell in the picture
[27:03.92]  those are rice
[27:05.84]  rice krispies
[27:07.36]  is a
[27:08.56]  cereal
[27:10.32]  so i put the picture of the cereal up
[27:12.48]  there rice krispies
[27:14.24]  and
[27:15.68]  maybe they have a few different names
[27:17.92]  i think commonly people would just call
[27:20.00]  them rice krispies treats
[27:22.00]  and what it is it's rice krispies with
[27:25.28]  basically butter and marshmallows it's
[27:28.72]  kind of just fused together rice
[27:31.44]  krispies butter and marshmallows you put
[27:34.16]  it in a pan and you can make uh you heat
[27:37.84]  it up and you get rice krispies treats
[27:39.76]  and they are
[27:41.12]  they are delicious they are quite yummy
[27:43.12]  and typically if you were to buy like
[27:44.72]  the cereal like on the back you might
[27:47.20]  find like a recipe for making it um
[27:50.24]  so it's it's kind of well known
[27:52.72]  all right
[27:53.84]  so
[27:55.12]  this is a the next one
[27:57.76]  people um
[27:59.76]  i think he thinks they're awful no oh
[28:01.76]  rice krispie treats i miss them i really
[28:04.56]  wanna i maybe i try it today and i might
[28:06.80]  not uh it might be a little nostalgic
[28:09.52]  but i and i wouldn't enjoy it as much
[28:12.08]  but oh it was
[28:13.60]  a delicious part of my childhood um what
[28:16.64]  do you think people may watch this
[28:18.96]  sporting event
[28:20.32]  specifically to see the commercials
[28:23.04]  all right i think i watch it for the
[28:25.28]  sport but
[28:26.96]  trying to
[28:29.44]  kind of give it as a this is a quiz
[28:32.24]  um people will watch this sporting event
[28:34.88]  there are people that watch it
[28:36.72]  mainly for the commercials they're
[28:38.32]  interested in watching the commercials
[28:39.92]  which may sound
[28:41.28]  i think a little strange because most of
[28:44.24]  the time
[28:45.84]  nobody likes watching advertisements or
[28:48.40]  wants to see
[28:49.68]  um
[28:50.64]  advertisements even though in this case
[28:52.88]  we're surrounded by them
[28:54.88]  it's kind of unavoidable
[28:56.64]  and you guys answered uh
[29:00.16]  answered that pretty quickly except
[29:02.40]  there's one little
[29:04.32]  typo and it made me wonder if somebody
[29:06.88]  uh
[29:07.68]  somebody put super ball
[29:10.00]  the the first one and then other people
[29:12.40]  started writing super bowl um but
[29:14.88]  adriana yes that's correct it's not the
[29:17.28]  super ball
[29:18.80]  um you're close if you just if it's a if
[29:21.52]  it's a word you hear and you haven't
[29:23.60]  actually seen the spelling i could
[29:25.60]  understand where
[29:27.36]  you're coming from but not super ball
[29:30.40]  um adriana yes uh stacy gian talking
[29:34.40]  about the the super bowl
[29:37.12]  so
[29:38.12]  b-o-w-l uh two words it's the super bowl
[29:41.84]  the super bowl is the championship for
[29:45.12]  american football
[29:47.68]  again i know
[29:48.88]  uh
[29:50.00]  the rest of the world football
[29:52.24]  in the united states they say soccer
[29:54.40]  but american football probably the most
[29:56.72]  popular sport in the country um
[30:00.40]  and the championship is the super bowl
[30:02.48]  and the reason why i think some people
[30:04.32]  when i said many people will watch it
[30:06.88]  for the commercials is because it's such
[30:09.12]  a big event that
[30:11.60]  advertisers they do new commercials just
[30:15.12]  for the super bowl so when you when the
[30:17.84]  super bowl goes to commercials they're
[30:19.92]  typically all new commercials that
[30:22.00]  nobody's ever seen before and it's kind
[30:24.08]  of become a thing about like oh which
[30:26.08]  one is the best which one's the funniest
[30:28.56]  and it's another part of uh another part
[30:31.60]  of this
[30:32.72]  so the
[30:34.24]  the next one is more
[30:38.32]  i just curious to see what your opinion
[30:40.72]  is there's really no right or wrong
[30:42.48]  answer what what what do you think as
[30:44.96]  far as how you
[30:46.48]  you think of american culture um like i
[30:50.56]  said this is a subjective question what
[30:53.60]  do you think how would you complete that
[30:55.20]  sentence americans love
[30:58.00]  what
