Title     : ADVANCED PHARMACY VOCABULARY 💊  | Words & phrases you should know
Video ID  : b_4j7MsJLKg
[03:50.22]  can destroy harmful bacteria in the body
[03:52.20]  or limit their growth
[03:54.00]  is called excellent good job uh Rafaela
[03:58.26]  good to see you so not Uh Kevin so again
[04:02.34]  I think you guys know some of these
[04:04.92]  words right off the bat which is great
[04:07.02]  we're talking about an antibiotic so
[04:11.36]  this is what you may ask for or the
[04:15.18]  doctor May tell you you go to the doctor
[04:17.04]  they tell you that in order to get over
[04:21.06]  your illness you are going to need to
[04:23.64]  take some antibiotics and you'll go to
[04:26.40]  the pharmacy and they will give you them
[04:29.10]  excellent you guys rock that one Vicky
[04:31.86]  Gustav good to see you perfect I I also
[04:35.22]  want to follow up uh because you know a
[04:38.76]  prescription antibiotic very important
[04:42.00]  words so again I want to highlight the
[04:44.88]  pronunciation quickly so you've noticed
[04:46.56]  I've been saying antibiotic the stresses
[04:49.80]  on that fourth syllable antibiotic now
[04:53.58]  I've been saying it more definitely with
[04:55.50]  that that British pronunciation in the
[04:58.74]  United States because I know that
[05:01.44]  um you may be someone who lives in the
[05:03.96]  U.S or you travel to the U.S and this is
[05:07.20]  specific to the American accent
[05:10.16]  sometimes when that t it follows an n
[05:13.80]  Sound it may allide and it's going to go
[05:16.86]  away not always but you may hear people
[05:20.04]  say an antibiotic antibiotic and you
[05:24.00]  don't really hear that t sound so that
[05:26.28]  is specific to the American accent but I
[05:28.86]  wanted to point that out that does not
[05:30.90]  mean you'll always hear everybody in the
[05:33.12]  U.S say it like that again often people
[05:36.12]  would say an antibiotic and you hear
[05:38.28]  that that true T zone so I wanted to
[05:40.92]  point out the pronunciation with this
[05:42.42]  one as well because
[05:45.06]  very important word
[05:47.10]  um just to start out so the next one
[05:50.70]  we're talking in in this case about the
[05:54.24]  amount of medicine that you should take
[05:56.52]  at one time what word uh you know has
[06:00.24]  that meaning captures that meaning
[06:03.54]  the amount of medicine that you should
[06:06.06]  take at one time and this is something
[06:09.00]  if you're talking to a pharmacist they
[06:12.12]  would probably they may use this word
[06:13.92]  when they're telling you about the
[06:15.60]  medicine giving you some instructions
[06:18.26]  and they're referring to the amount and
[06:22.38]  they're talking about uh perfect uh
[06:26.60]  video lolly
[06:30.54]  um Violet so again some of you dose
[06:34.38]  dosage both of those are correct I I
[06:37.44]  just use the word dosage again this is a
[06:40.92]  noun but again you may also use the the
[06:45.24]  word dose as well you're going to need
[06:47.10]  to take four doses of this each day but
[06:51.24]  if you also want to talk about that
[06:52.86]  amount you could say the dosage what is
[06:54.84]  the dosage how much of the medicine am I
[06:57.90]  going to take so
[07:00.42]  the next one again you guys are you guys
[07:03.24]  are rocking this I told you it will it
[07:05.64]  will get more difficult as we go through
[07:08.70]  this so I'm I'm confident there will be
[07:10.80]  some words that you will learn
[07:12.18]  especially toward the end it definitely
[07:14.04]  becomes more advanced
[07:15.60]  so
[07:17.10]  the next one this is uh well I don't
[07:19.26]  want to give it away the blank I'm just
[07:21.06]  gonna say we're talking about drugs that
[07:24.00]  are bought in a shop without first
[07:26.72]  visiting a doctor
[07:29.34]  so think about a pharmacy
[07:31.86]  you don't always go to a pharmacy after
[07:35.70]  you go to a doctor you may before going
[07:37.92]  to the doctor
[07:39.24]  uh you may go visit uh you may go to a
[07:42.54]  pharmacy just in order to to get some
[07:44.52]  medicine to get some drugs and in this
[07:48.06]  case you don't need a prescription so
[07:52.02]  what would you say these are medicines
[07:55.62]  drugs that you can buy and again the
[07:58.02]  picture is a little bit of a hint uh but
[08:00.56]  uh good job again I like the you guys
[08:04.32]  are are rocking this uh Victor I know
[08:07.32]  what
[08:08.58]  um YouTube kalencia sorry if I
[08:10.32]  mispronounced some names Mina Lolly uh
[08:13.80]  Vicky Gustav we're talking about
[08:16.44]  over the counter
[08:18.30]  so you go to a pharmacy you don't have
[08:22.20]  to have a prescription there are many
[08:25.32]  other medicines that you can buy without
[08:27.42]  a prescription and that would just be
[08:30.00]  referred to as these are
[08:31.26]  over-the-counter medicines uh drugs that
[08:34.56]  you can just purchase it could be
[08:36.84]  something like cough medicine something
[08:39.18]  that's not too severe but if you feel if
[08:42.48]  you have a cold you might get some of
[08:44.70]  this medicine that's over the counter so
[08:47.04]  that is a good uh good phrase to know
[08:49.56]  and I was about to say phrase and I
[08:52.50]  thought well that makes it a little uh
[08:54.72]  maybe a little too easy
[08:56.52]  then we have uh this one right here so
[09:00.54]  this is a word
[09:02.40]  it's referring to products that do not
[09:06.30]  have a trademark
[09:08.10]  and are sold without the name of the
[09:11.34]  company that produce them
[09:13.74]  all right what what word would you use
[09:17.64]  to refer to these products all right the
[09:21.48]  there's no trademark it doesn't have the
[09:24.24]  name of the company that produced them
[09:27.30]  and again this is a word that is very
[09:31.26]  it's relevant to when talking about a
[09:34.20]  pharmacy but it's a word maybe you might
[09:35.88]  have in conversations with friends or
[09:38.16]  something talking about the the
[09:39.66]  medicines the drugs that you have uh
[09:42.66]  excellent good job Lolly rafella
[09:46.98]  um Vidya muffin the word that uh we're
[09:50.52]  looking for is generic so
[09:54.36]  I've given you an example down here so
[09:56.70]  you see that Advil Cold and Sinus so
[09:59.52]  Advil this is the trademark this is the
[10:01.98]  brand name this uh Advil is I believe
[10:05.64]  it's owned by Pfizer so Pfizer is the
[10:09.00]  company that produced the the this drug
[10:12.00]  and this is their brand Advil on the
[10:15.72]  other side over there you can see the
[10:18.54]  generic drug and even on the label there
[10:22.08]  it says uh you know check uh the active
[10:25.50]  ingredients Advil Cold and Sinus it even
[10:27.84]  says that on the front of this generic
[10:30.12]  drug and typically if you're talking
[10:32.82]  about the difference between the brand
[10:34.56]  drug and the generic drug I think
[10:36.96]  primarily the the main difference is the
[10:39.72]  price you're going to pay more for Advil
[10:43.02]  Cold and Sinus the brand name then you
[10:45.60]  would the this the generic drugs so I
[10:48.42]  think that's really the main difference
[10:50.64]  so
[10:52.20]  I have one more for for the must-know
[10:54.72]  words and phrases and again because I
[10:56.34]  think there must know I think you guys
[10:58.56]  know most of these this is good review
[11:01.50]  this is a word that's referring to
[11:05.58]  well something that's continuing for a
[11:08.34]  long time
[11:09.42]  especially uh when talking about a
[11:11.94]  disease or just something bad and to
[11:15.00]  give you a little bit of a hint
[11:17.58]  think about the that picture right there
[11:20.34]  all right and you're talking about
[11:22.08]  something that's continuing for a long
[11:24.78]  time this is a word that you may use
[11:27.00]  when you're trying to describe something
[11:30.44]  or explain it to the doctor and you're
[11:34.92]  talking about your
[11:37.08]  situation your condition awesome I think
[11:41.04]  you a lot of you guys got this one we're
[11:43.38]  talking about the word chronic if you
[11:45.72]  say that something is chronic it means
[11:48.00]  that it's continuing uh for a long time
[11:50.76]  and that picture somebody might say that
[11:53.76]  they have chronic back pain so if they
[11:56.94]  say it's chronic back pain then you know
[11:59.16]  okay they've they've been dealing with
[12:01.56]  this for some time it's chronic uh so
[12:04.68]  you might hear like chronic back pain
[12:06.48]  chronic chest pain and it's a good word
[12:09.42]  if you're trying to describe uh what
[12:11.88]  you're going through what you're
[12:13.20]  enduring and trying to describe that
[12:14.94]  when talking to a doctor or a pharmacist
[12:18.12]  so
[12:19.32]  those were some must-know vocabulary
[12:22.32]  words and now I want to look at some
[12:25.98]  collocations these are words that are
[12:28.68]  frequently used together and again these
[12:32.28]  are good phrases to know the next time
[12:34.74]  you go to a pharmacy so let's go back to
[12:38.70]  the very first word that I said is so
[12:40.62]  important which is the word prescription
[12:43.34]  so what word would you use to fill in
[12:46.74]  the blank here to to complete this
[12:49.14]  sentence I need to go to the pharmacy in
[12:51.60]  order to um my prescription
[12:54.84]  I need to go to the pharmacy in order to
[12:57.78]  um my prescription
[12:59.88]  which word completes that sentence and
[13:02.88]  then I'll identify the collocations uh
[13:05.64]  the word the collocation the words that
[13:08.40]  are frequently used together
[13:11.16]  so when talking about a prescription
[13:14.90]  there is a well
[13:17.76]  there's a common word that you may use
[13:21.60]  when talking about a prescription
[13:24.48]  so there actually another well there's
[13:27.06]  some
[13:27.86]  there are some phrasal verbs you could
[13:30.06]  use that's not uh that's not what uh it
[13:33.48]  was going for so again I think I saw
[13:35.58]  some correct answers exactly Kevin zero
[13:38.64]  gamer so the word that I was looking for
[13:40.74]  is you're going to fill your
[13:43.80]  prescription
[13:45.00]  this means I've given you the meaning
[13:46.98]  down here to supply and sell a dose
[13:49.44]  there's that word again uh or set of
[13:52.08]  doses of a medicine as prescribed uh to
[13:55.86]  one by the doctor and you want to fill
[13:57.78]  your prescription you could again you
[14:00.72]  some of you use the phrasal verb which
[14:02.58]  fine you you're going to drop off your
[14:04.80]  prescription because maybe you're you're
[14:07.38]  going to have to go back to the pharmacy
[14:09.06]  and then pick up your prescription so
[14:11.76]  though again those phrases work
[14:14.34]  um they would work in this sentence even
[14:16.38]  if you want to drop off your
[14:17.64]  prescription or pick up your
[14:18.90]  prescription however in this case I'm
[14:21.06]  talking about you're trying to fill a
[14:23.34]  prescription and kind of get that supply
[14:25.74]  and I think this is something that's
[14:28.14]  relevant if you if you're going to
[14:31.20]  continually take some medicine and
[14:33.66]  you're gonna have to go back to the
[14:35.58]  pharmacy every so often and get your
[14:38.82]  prescription filled so a good word to
[14:41.64]  know when talking about a prescription
[14:44.10]  then and
[14:46.26]  we have this I I well I think maybe you
[14:49.86]  guys will get this one I think it's very
[14:51.54]  common this phrase somebody may ask uh
[14:55.08]  maybe you're gonna ask the pharmacist
[14:57.00]  and say what do you think does this does
[14:59.40]  the medication have any
[15:01.68]  um effects
[15:03.96]  does the medication have any um effects
[15:07.98]  what word would you use this is a common
[15:10.92]  phrase I have already mentioned it once
[15:15.06]  in this lesson uh pretty pretty recently
[15:18.78]  we're talking about effects so effects
[15:23.22]  that's you see it starts with an E we're
[15:25.56]  talking about the noun and to complete
[15:29.10]  this sentence excellent uh we're gonna
[15:31.92]  we're talking about side effects side
[15:34.74]  effects this refers to un the unpleasant
[15:38.34]  effect of a drug or medical treatment in
[15:42.00]  addition to the main intended effects so
[15:44.34]  I think oftentimes medicine may have
[15:47.58]  some side effects or people may
[15:50.04]  experience some side effects when taking
[15:52.50]  uh different medications so this is
[15:55.26]  something that you want to be aware of
[15:56.64]  and you may want to ask the pharmacist
[15:59.34]  about any side effects or they may just
[16:01.56]  go ahead and tell you and say hey be
[16:03.12]  careful this this medicine is going this
[16:06.18]  could have some side effects and a good
[16:09.42]  very important phrase to know very
[16:11.64]  important collocation
[16:13.32]  also I wanted to mention too if you
[16:16.26]  would like to get a copy of the lesson
[16:18.78]  notes click on that link down in the
[16:21.42]  description if you are already a part of
[16:24.00]  our the my the email Community I've gone
[16:26.70]  ahead and sent them to I wanted to I'll
[16:28.74]  Make a reminder of that at the end but
[16:30.42]  if you want to get these lesson notes
[16:32.10]  learn these words review them you can
[16:35.34]  get this ebook right here that that I'm
[16:37.56]  showing you the next one
[16:40.32]  you can check the label if you'd like to
[16:43.44]  see the medicines ingredient
[16:47.30]  this is another
[16:49.74]  well this is another collocation that's
[16:52.56]  that's already come up once in this
[16:55.50]  lesson
[16:56.70]  so I I think again maybe you see that
[17:01.14]  noun ingredient
[17:03.00]  think about what word is commonly used
[17:05.76]  with that so you can check the label if
[17:08.82]  you'd like to see the medicines
[17:10.34]  ingredient right your answer in the chat
[17:13.50]  or in the comments if you're watching
[17:15.30]  this later I just want you guys
[17:16.38]  participate take part in these lessons
[17:20.04]  so
[17:21.96]  excellent we're talking about the word
[17:25.74]  active all right you can check the label
[17:28.14]  if you'd like to see the medicines
[17:30.00]  active ingredient and I've gone ahead
[17:32.34]  and highlighted the collocation so the
[17:36.18]  active ingredient refers to the main
[17:38.94]  ingredient in a medicine that produces a
[17:41.88]  its chemical or biological effect now to
[17:45.06]  go back to something that we talked
[17:47.22]  about earlier if you're trying to decide
[17:49.80]  between the brand name medication or the
[17:54.54]  generic medication this is something
[17:56.94]  that I I might do I might look on the
[17:59.76]  back and check out the active ingredient
[18:02.42]  to make sure that okay this is the same
[18:05.58]  it's the the same amount and then you
[18:08.46]  know okay well I can you know if I want
[18:10.68]  to save some money I can just buy the
[18:13.26]  the generic drug but again it's good
[18:15.84]  it's helpful to look at the active
[18:17.76]  ingredient make sure it's the same
[18:20.52]  then
[18:22.38]  we have this last one again maybe you
[18:25.62]  can use the picture if you would like a
[18:27.54]  hint I think maybe it makes it a little
[18:29.22]  too easy but
[18:30.96]  if possible I'd prefer to use a um spray
[18:36.66]  sometimes medications they come in the
[18:39.72]  form of a spray but you would use this
[18:43.14]  collocation
[18:44.46]  when referring to this instead of just
[18:46.98]  saying a spray which is fine
[18:49.86]  people would commonly say a um spray if
[18:54.54]  possible I'd prefer to use a um spray
[18:58.14]  so just you know simple enough you would
[19:01.38]  use a spray think about where it goes
[19:03.54]  how are you going to take this medicine
[19:06.18]  you're going to take it uh you're gonna
[19:08.64]  you know put it up uh in your nose and
[19:12.36]  therefore it's referred to as a nasal
[19:16.26]  spray all right excellent job
[19:19.64]  uh rafella
[19:23.22]  um anawit
[19:25.44]  was it Irene alamit Perfect all right
[19:28.74]  give some more shout outs so a nasal
[19:30.48]  spray is just a liquid medication it's
[19:33.00]  inhaled as a spray and I think you know
[19:36.54]  sometimes people think I I agree I think
[19:39.66]  sometimes it's easier and just uh not as
[19:43.08]  invasive sometimes to take a nasal spray
[19:46.26]  especially if you experience some
[19:48.48]  congestion
[19:50.34]  so now that we've kind of gone through
[19:54.18]  uh some of these collocations once again
[19:56.82]  I want to switch gears and I want to
[20:00.00]  test your knowledge when it comes to
[20:01.98]  some drug vocabulary and I will say this
[20:04.86]  is a little more difficult than the
[20:07.56]  words and the collocations that we've
[20:09.30]  just discussed so I told you that it's
[20:11.40]  going to get a little more challenging
[20:12.60]  as we go on so this is some drug
[20:15.90]  vocabulary and we'll see you know see
[20:18.30]  how much you know but if you go to a
[20:19.80]  pharmacy
[20:20.54]  these I think are important words and
[20:23.94]  phrases
[20:25.26]  so
[20:26.76]  when talking about medicines that are
[20:30.72]  often used to relieve symptoms of
[20:33.12]  allergies such as hay fever hives and
[20:36.00]  reactions to inset bites or stings
[20:40.94]  these medicines are referred to as what
[20:44.58]  so just this kind of like the the
[20:46.98]  collective group of medicines so if you
[20:50.04]  for example in the spring I get
[20:52.80]  allergies and I would need to take a
[20:57.36]  what right so
[21:01.34]  especially I think a lot of people
[21:03.60]  experience allergies and in that case
[21:06.84]  you would need to take an antihistamine
[21:10.02]  so this is a great word to know when
[21:13.86]  talking about allergies as well as some
[21:16.50]  of those other things and you might uh
[21:19.50]  you know go to the pharmacy and say look
[21:23.40]  I've some you know bad allergies oh look
[21:26.16]  here you know over there you'll find
[21:27.96]  some antihistamines and you can choose
[21:31.38]  one and that's going to help with your
[21:34.08]  allergies and antihistamine excellent uh
[21:37.14]  Vicky Gustav rafella Ronnie nice work
[21:41.28]  then
[21:43.08]  we have this this is a drug used to
[21:47.88]  treat fever swelling pain and redness by
[21:52.92]  preventing the body
[21:54.78]  from making a substance that causes
[21:58.14]  inflammation
[21:59.76]  all right I've got the these meanings
[22:02.28]  from the you know online from the
[22:05.34]  dictionary and again these uh
[22:09.06]  I think maybe you I'm sure you may have
[22:11.28]  heard of some of these words they're
[22:13.08]  very useful very important go to a a
[22:15.48]  pharmacy so again they were talking
[22:17.04]  about the drug so the drug that's used
[22:20.16]  to treat the fever swelling or pain
[22:24.06]  has a specific name
[22:27.26]  and again I would say
[22:30.92]  think about a headache
[22:33.66]  all right
[22:34.68]  you have a fever or again pain like a
[22:38.70]  headache what are you gonna take if you
[22:40.68]  have a headache
[22:42.66]  I see some answers not the one that I'm
[22:45.24]  looking for this would be really the I
[22:49.20]  believe it would be the active
[22:50.34]  ingredient what I'm referring to so
[22:52.38]  we're not talking about like like a
[22:54.48]  painkiller
[22:56.04]  um in general you could say that you're
[22:59.70]  going to take
[23:01.14]  some ibuprofen
[23:03.06]  so ibuprofen ibuprofen would be if you
[23:07.56]  have a headache or fever then you could
[23:10.80]  take some of this ibuprofen and it acts
[23:13.50]  it acts as like this anti-inflammatory I
[23:17.10]  know some of you had mentioned that
[23:19.62]  um
[23:20.40]  like even Tylenol I said like I think
[23:23.46]  this is more the active ingredient uh
[23:26.46]  ibuprofen is like Tylenol this would be
[23:30.00]  the the more generic uh form of it
[23:32.70]  ibuprofen
[23:34.38]  so the next one hopefully again this is
[23:37.80]  uh a new word again something you can
[23:40.38]  think of but again I also wouldn't say
[23:42.92]  Painkiller Painkiller is I think a very
[23:46.50]  broad term but in this case I think of
[23:50.28]  painkillers often associated with
[23:52.38]  injuries a lot of physical pain
[23:53.82]  ibuprofen like think of like a headache
[23:56.82]  again very common
[23:59.46]  the next one this is a a word when
[24:02.82]  talking about drugs
[24:05.40]  substance that makes it easier for the
[24:08.52]  waste from someone's bells to come out
[24:11.10]  okay what what would you refer to this
[24:14.16]  substance as
[24:15.98]  and there is again give you that picture
[24:21.12]  there and there are many types of
[24:23.52]  medications that you would say oh this
[24:25.74]  is a um and it's going to well it's
[24:29.58]  going to have this effect it's going to
[24:31.02]  make it easier for uh somebody to for
[24:34.92]  their bowels to come out if for example
[24:37.38]  if somebody is constipated if they're
[24:40.02]  constipated then they would need to take
[24:42.24]  a all right you guys uh you guys are
[24:46.04]  rocking this and again these are like I
[24:48.66]  said these are things that I think
[24:50.16]  everybody experiences from you know at
[24:53.46]  maybe at one point in your life and
[24:55.08]  that's why this vocabulary I believe is
[24:57.06]  so important because you're talking
[24:58.38]  we're talking in this case about a
[25:00.48]  laxative so if you are experiencing
[25:04.52]  constipation you go to the pharmacy and
[25:07.32]  you would ask like hey I need to uh to
[25:10.26]  get a laxative what would you recommend
[25:13.02]  or what do you have and then there are
[25:15.72]  are different brands that make
[25:18.60]  medications that would be a laxative and
[25:21.30]  that could help you in this regard so
[25:24.60]  the next one
[25:27.30]  okay this is talking about a drug used
[25:30.66]  to calm a person or animal or to make
[25:34.86]  them sleep
[25:36.48]  so it's going to have that calming
[25:38.10]  effect or just allow someone to sleep
[25:41.46]  easier what type of drug
[25:44.94]  are you going to take you're going to
[25:47.94]  take
[25:49.10]  a what
[25:52.62]  so once again this is kind of just the
[25:55.02]  overall
[25:56.46]  like name referring to this drug and
[25:59.40]  there are different brands that maybe
[26:01.58]  you you could buy that's going to have
[26:04.80]  this effect
[26:07.92]  what would you say
[26:10.86]  so I see some
[26:12.78]  different answers uh so maybe again this
[26:16.08]  might be a new word for some of you
[26:19.44]  so in this case if you're looking for
[26:21.84]  that calming effect or to help somebody
[26:23.76]  sleep
[26:25.20]  you would refer to that as a sedative I
[26:28.14]  need to take a sedative
[26:30.66]  because I'm having trouble sleeping
[26:33.36]  and that's going to help and again there
[26:35.52]  are different types of sedatives there
[26:37.98]  are sedatives some maybe more mild
[26:41.52]  others might be very strong but in
[26:44.34]  general you would be talking about a
[26:46.86]  sedative
[26:48.60]  then
[26:50.70]  we have this okay and
[26:54.12]  the thing about the picture look at the
[26:55.62]  picture to help we're talking about a
[26:57.42]  thick substance
[26:58.74]  usually containing medicine that is put
[27:01.26]  on the skin where it is sore or
[27:04.62]  maybe there's an injury and you're just
[27:07.62]  trying to cure it
[27:09.42]  what would you call that thick substance
[27:11.76]  and really I said look at the picture
[27:14.22]  because I think this is a good example A
[27:16.92]  lot of times they come in these smaller
[27:20.22]  tubes
[27:21.78]  so I I know some people may be thinking
[27:25.20]  cream I'm not talking about cream it's a
[27:28.74]  little similar but again it's these
[27:30.84]  smaller tubes uh and it's a thick
[27:33.36]  substance sometimes cream isn't too
[27:36.06]  thick so in this case uh if you're
[27:39.42]  trying to to cure it and you're just
[27:40.98]  putting it on the skin wow all right
[27:43.56]  excellent I thought maybe this might be
[27:45.24]  new for some of you you guys rocked it
[27:47.88]  Lolly Rafaela uh young he Mina uh
[27:52.32]  talking about ointment
[27:54.30]  so
[27:55.68]  you would use an ointment I think this
[27:58.14]  is a good picture when you want to you
[28:01.44]  know you have some uh it could be like
[28:03.66]  even a bite or something and you'd put
[28:06.00]  some ointment on there hoping to cure it
[28:08.28]  but great job excellent
[28:10.98]  so the next one is talking about
[28:14.34]  an artificial form of a natural chemical
[28:17.82]  substance okay this is a natural
[28:19.68]  chemical substance but it's an
[28:22.38]  artificial form in this case and it's
[28:24.48]  used for treating particular medical
[28:27.24]  conditions
[28:28.74]  now
[28:30.18]  I don't I don't want to give it away but
[28:32.46]  often this is people when people think
[28:36.48]  about this they think about something
[28:38.46]  specific
[28:40.08]  about that picture all right it has to
[28:42.12]  do with the picture however this this uh
[28:45.96]  this can also be used for for treating
[28:48.12]  other medical conditions as well
[28:52.32]  so I I thought maybe the picture would
[28:55.86]  definitely give it away if you see that
[28:58.38]  person with those muscles and wow okay
[29:00.60]  that does not look natural it looks like
[29:03.24]  that person uh maybe on steroids so
[29:08.84]  steroid is again people often I think
[29:12.24]  associate this with like
[29:14.58]  Sports and people trying to become
[29:17.10]  stronger but you you might have steroids
[29:20.04]  I mentioned the word cream you might
[29:21.54]  have a steroid cream for example if
[29:24.24]  someone has eczema and they get the you
[29:27.42]  know maybe the the redness that looks
[29:29.58]  like a rash on their skin and in order
[29:32.54]  to make that eczema go away you might
[29:35.64]  use a steroid cream so again steroid
[29:38.76]  it's not just about getting stronger and
[29:42.12]  people using it in athletics and
[29:44.16]  competitions but there are other
[29:45.90]  medicines that people will use
[29:48.96]  um that that you could say it's a
[29:50.58]  steroid
[29:52.22]  then we have this one
[29:55.68]  we're talking about a drug that makes
[29:58.80]  the mind or body more active what would
[30:01.68]  you refer to that that type of drug as
[30:06.78]  so
[30:08.34]  I guess to give you a little bit of a
[30:10.38]  hint we talked about a drug that would
[30:13.20]  have that calming effect to help you
[30:15.24]  sleep in that case you're going to take
[30:17.16]  a sedative
[30:18.66]  if you want to make your body more
[30:22.74]  active then you might take a drug that
[30:25.38]  would be considered a what so it's
[30:28.14]  really it's like kind of the opposite of
[30:30.24]  a sedative so you have something that's
[30:32.10]  a sedative and then another drug that
[30:34.02]  might be considered a what and I know
[30:36.42]  people see that picture of coffee uh
[30:39.48]  again not talking about coffee or
[30:41.76]  caffeine but coffee or caffeine would be
[30:44.04]  considered a um that is the word that
[30:47.88]  I'm looking for excellent Victor Lawley
[30:50.22]  uh rafella
[30:52.44]  Ernie zero gamer we're talking about a
[30:54.48]  stimulant so you would say that yeah
[30:57.78]  coffee has caffeine it's a stimulant
[31:00.42]  it's going to help you know your body
[31:02.10]  and mind be more active and like I said
[31:04.38]  it's the opposite of taking a sedative
[31:07.86]  which is going to have that calming
[31:09.72]  effect to help you sleep so you can
[31:11.46]  think of those as opposite ends of the
[31:13.80]  spectrum you have a sedative to help you
[31:15.84]  sleep and a stimulant in order to help
[31:18.12]  you stay active and stay awake maybe you
[31:20.64]  need to stay up
[31:22.26]  um late into the evening and you might
[31:25.02]  drink coffee or there are some other
[31:26.88]  medicines that you could take that that
[31:29.04]  have this effect and you would say they
[31:31.20]  are stimulants
[31:33.12]  so
[31:34.56]  here this is a little bit of review the
[31:37.98]  words and phrases that went over in this
[31:41.10]  lesson if you want to get a PDF copy
[31:44.64]  check out that link Down Below in the
[31:47.58]  description I will put it in the chat
[31:49.98]  right here just so you have it and again
[31:53.10]  if you're already a part of our email
[31:56.52]  Community I've gone ahead and sent you
[31:59.04]  these notes you can get them there but
[32:02.34]  yeah this is a good way to review and
[32:05.46]  just as far as collecting documents and
[32:08.88]  resources when it comes to learning
[32:10.56]  English this is a good way to do that
[32:12.36]  because like I said this is I think very
[32:15.54]  useful and important vocabulary because
[32:17.70]  going to the pharmacy it's part of our
[32:20.70]  everyday lives and I think these are
[32:23.10]  good words and phrases to know when you
[32:26.04]  want to express your thoughts and
[32:28.08]  opinions so
[32:30.06]  My overall goal hopefully is that at
[32:32.82]  least uh you got a little bit of review
[32:34.98]  because it seems like you knew many of
[32:37.14]  these words and I hope that you just
[32:39.66]  learned one or two new words in this
[32:42.00]  lesson uh or a new collocation
[32:45.12]  because it
[32:47.28]  even though I think these are common
[32:48.96]  because you go to the pharmacy all the
[32:51.30]  time I would still say that that they
[32:53.34]  are Advanced because outside of this
[32:56.46]  context of medicine Pharmacy you may not
[32:59.70]  use them often it really depends on the
[33:02.16]  conversations that you're having so
[33:05.10]  thank you guys so much for joining me
[33:08.40]  today I really appreciate you being here
[33:10.44]  again I hope you learned something new
