Title     : ADVANCED BANKING VOCABULARY 🏦  | Words and phrases you need to know
Video ID  : 8RHGW3Utsps
[02:50.72]  on the home. So, like for 30 years,
[02:52.56]  you're going to be making these
[02:53.84]  payments. And again, it's useful because
[02:56.80]  if you you have a mortgage with the
[02:59.04]  bank, that means you don't have to pay
[03:01.12]  all of that cash upfront in order to buy
[03:03.76]  the home. So, this is a very this is a
[03:06.16]  common way that that people will buy
[03:09.04]  homes and they get a mortgage with the
[03:10.96]  bank. The other thing that I want to
[03:12.32]  point out, you can kind of see it down
[03:14.24]  here. I'll you point this way, is the
[03:17.28]  pronunciation because you're not going,
[03:19.28]  even though it's spelled with a T,
[03:21.36]  you're not going to hear that T sound.
[03:23.84]  So, it's just mortgage. Mortgage. Okay.
[03:27.52]  So, yeah, this one, uh, again, the
[03:29.84]  spelling and the pronunciation don't
[03:32.64]  really match. That t is going to get
[03:34.80]  dropped. All right. So, the next one,
[03:37.20]  are you ready? Is right here.
[03:40.96]  Um, person A takes money from person B
[03:45.12]  to buy a car. Okay, so A and B. Who is
[03:49.76]  the borrower and who is the lender?
[03:53.76]  So I think again the the reason why I'm
[03:56.72]  giving you this I don't think these are
[03:58.24]  the most advanced words but these are
[04:00.24]  words that are commonly confused. So
[04:02.96]  person A takes money from person B to
[04:06.32]  buy a car. Who is the borrower and who
[04:09.28]  is the lender? Which person who is
[04:12.00]  person A the borrower or lender or is
[04:14.56]  person B the borrower or lender? All
[04:17.36]  right. So, let I'll give you a moment to
[04:19.04]  think about that, process that. It's
[04:20.80]  good to see uh so many familiar faces.
[04:23.36]  Vicky Gustav, yes, good to be back. Um
[04:27.84]  so, again,
[04:30.48]  these are words that that can be a
[04:32.48]  little confusing. I've done a lesson um
[04:35.52]  with these words in the past and in case
[04:39.84]  you're wondering. So, I'll read it one
[04:41.52]  more time and then tell you just to
[04:43.52]  remember remind you. Person A takes
[04:46.08]  money from person B to buy a car.
[04:51.04]  Who is the borrower and who is the
[04:53.84]  lender? All right. So, in this case, uh
[04:58.96]  seeing a bunch of answers now.
[05:00.32]  Excellent.
[05:01.76]  So, person A is the borrow borrower.
[05:05.44]  They're taking the money. Person B is
[05:09.04]  the lender because they're giving the
[05:11.44]  money. And I mention borrow and lend can
[05:15.44]  be confusing and sometimes people end up
[05:17.76]  confusing them when they're verbs to
[05:19.92]  borrow money or to lend money. But just
[05:23.04]  to try and simplify this a little bit,
[05:26.48]  when you think of borrow, think of take.
[05:30.08]  And when you think of lend, think of
[05:32.48]  give. And then I again, if you're you're
[05:36.40]  interchanging those, then it'll make a
[05:38.96]  little more sense and you're not likely
[05:40.48]  to confuse them. In this case, we're
[05:42.40]  talking about nouns. Somebody is a
[05:44.56]  borrower and the other person is a
[05:46.72]  lender. So the borrower is taking the
[05:49.36]  money, the lender is giving the money.
[05:52.64]  So in this case, yeah, as Susanna
[05:54.32]  mentioned, the bank is the lender in in
[05:57.44]  most cases. Yes, the bank is the lender.
[05:59.60]  Perfect. Um,
[06:02.56]  the next question is just a I got this
[06:06.00]  visual and I just want you to tell me
[06:08.24]  what what is this? All right. This is a
[06:10.16]  picture of a what? uh it's not I think
[06:15.44]  it's uh not not something that you have
[06:18.56]  to know what the meaning is but I think
[06:20.48]  it is kind of common especially if
[06:23.20]  you're talking about um children and you
[06:26.96]  might give this to a child in and en
[06:29.52]  encourage them to to save money and put
[06:32.32]  money aside and they're going to put
[06:35.28]  money in this and it is called a what
[06:41.28]  and I think Uh
[06:45.20]  I I think uh you're probably familiar
[06:48.72]  with it. I think it's a pretty common
[06:50.80]  phrase. Yes. Excellent. Um Kevin, Kim,
[06:56.00]  Sunny, Angela, perfect. The answer is a
[06:59.60]  piggy bank. So it is a picture uh of you
[07:03.04]  see the the it is a pig and again you're
[07:07.36]  keeping money in it in order to save. So
[07:09.76]  it's called uh a piggy bank. All right,
[07:12.96]  the next one
[07:14.96]  right here.
[07:17.60]  When you put money in the bank, you're
[07:20.32]  making a what?
[07:23.28]  So again, you're putting money in the
[07:25.84]  bank. This is referred to as oh, you're
[07:29.12]  going to make a what. So in this case,
[07:32.64]  uh you see the article before the blank,
[07:35.84]  so you know it's a noun.
[07:39.12]  And think about it in another context.
[07:41.68]  If somebody were to say, "Oh, I'm going
[07:44.48]  to the bank. I need to make a" and
[07:47.76]  you're going to put money in the bank.
[07:50.00]  What is that called? And this is a this
[07:52.80]  is a noun that I is specific to banking.
[07:56.16]  Um it's one that's very common. So
[07:58.96]  again, if you don't know this one, this
[08:00.56]  is a good one to learn, but it seems
[08:02.32]  like many of you are familiar with this
[08:04.80]  word. Uh so if you're going to put money
[08:07.36]  in the bank, excellent. Uh Kevin, Maria,
[08:10.08]  Sunonny, uh Sajid, you're going to make
[08:13.92]  a deposit. Okay? So when you put money
[08:17.44]  in, you are making a deposit. And like I
[08:20.64]  said, a context you may use this um
[08:24.56]  like, yeah, I'm going to go to the bank.
[08:26.08]  I need to make a deposit. So you can
[08:28.40]  also use this as a verb to deposit. I
[08:31.44]  need to deposit some money and I need to
[08:34.00]  put money in the bank. Okay,
[08:37.84]  let's look at the next one.
[08:41.44]  All right, so
[08:44.08]  when you take money out of the bank,
[08:48.40]  what are you doing? So in this case,
[08:49.84]  it's the opposite. You put money in the
[08:51.92]  bank, you're making a deposit. When you
[08:56.48]  take money out of the bank, you're
[08:59.12]  making a what?
[09:03.84]  What do you think?
[09:08.00]  So, another this is another I mean, very
[09:11.68]  useful, very common banking word. Um,
[09:15.36]  it's the opposite of uh deposit.
[09:19.20]  So, what do you think? I see some good
[09:22.24]  answers in there. Um, the correct answer
[09:27.20]  is withdrawal. All right, you're making
[09:30.00]  a withdrawal. So, remember to make a
[09:33.28]  deposit and you could use that as a verb
[09:35.28]  like to deposit money. In this case,
[09:38.24]  it's not it's not the same exact word.
[09:41.28]  So, you're going to make a withdrawal
[09:44.40]  and you're going to take money out if
[09:46.40]  you're going to use it as a verb to
[09:48.32]  withdraw to withdraw some money. And the
[09:52.08]  other thing that I'll point out, same
[09:53.36]  here, uh trying to put uh a little some
[09:55.92]  pronunciation tips down here. This can
[09:59.60]  be a little tricky, I think, because you
[10:02.00]  have those uh the the R combinations or
[10:07.04]  that R combination and that final W. So,
[10:09.92]  I I tried to give you the phonetic
[10:11.60]  spelling down there, withdrawal.
[10:14.96]  So that w a l you have that schwa sound
[10:19.52]  and it is going to be a dark l all and
[10:23.60]  your tongue is being pulled toward the
[10:25.52]  back of your mouth. Withdrawal.
[10:27.44]  Withdrawal. So you can practice saying
[10:29.68]  that right now. Withdrawal. I'm going to
[10:31.92]  make a withdrawal. I've had actually
[10:34.00]  I've had learners tell me that this is a
[10:36.32]  difficult word to pronounce. Um but it's
[10:39.12]  very useful especially it's common if
[10:40.96]  you're talking about banking. The next
[10:43.44]  one
[10:45.20]  right here. All right. So
[10:49.36]  again, I'm you know what? What word
[10:51.60]  would you use to fill in that blank? M
[10:54.64]  fees occur when you don't have enough
[10:58.24]  money in your account to cover your
[11:01.44]  transactions.
[11:03.68]  M fees
[11:05.92]  occur when you don't have enough money
[11:07.68]  in your account to uh cover the
[11:10.40]  transactions.
[11:14.16]  What do you think?
[11:16.96]  So
[11:18.96]  this is the actual
[11:21.92]  this is the meaning of the word you if
[11:25.04]  you you don't have enough money in your
[11:27.28]  account and then you make a transaction
[11:30.80]  and there's not enough money in there,
[11:32.88]  the bank is going to uh penalize you and
[11:36.24]  they're going to penalize you with a m
[11:39.12]  fee. And what is that first uh what is
[11:43.20]  that first word? It's an adjective. It
[11:45.76]  is a mee.
[11:48.08]  And like some of you had said, this is
[11:51.12]  called an overdraft fee. So an overdraft
[11:55.28]  fee occurs when you don't have enough
[11:57.92]  money in your account to cover your
[12:00.48]  transactions. It's an overdraft fee. So
[12:04.32]  again, this is a it's it's a useful
[12:08.00]  word. It's very specific for this
[12:10.64]  situation
[12:12.16]  um when you don't have enough money. So
[12:14.80]  again, I think a lot of people depending
[12:16.40]  on your account, you want to be careful
[12:18.40]  to make sure there's enough money
[12:20.48]  because you don't want to get an
[12:22.40]  overdraft fee. Um because then they're
[12:24.96]  basically trying to you're going to have
[12:26.64]  to pay more money. Then
[12:29.92]  we have this right here. This is another
[12:31.52]  picture. I just want you to tell me what
[12:34.32]  this is. This is a picture of what? And
[12:37.76]  you will find these at a bank.
[12:45.92]  So, I'll give you
[12:49.76]  a moment. Think about it. I've I think
[12:52.96]  you've heard
[12:56.24]  these phrases before or this phrase
[12:59.20]  before. I'm guessing you've heard it.
[13:01.60]  So, this is a picture.
[13:05.04]  This is a picture of a safety deposit
[13:08.56]  box. So, these are boxes. I've given you
[13:11.92]  the meaning right here. These are boxes
[13:14.88]  that are well, it says a lockable metal
[13:17.68]  box or drawer, especially in a bank
[13:20.48]  vault used for safely storing valuable
[13:23.44]  papers, jewelry, etc. There's many
[13:25.92]  things that you can put in uh a safety
[13:29.28]  deposit box as long as they're small
[13:31.12]  because typically they're not very
[13:32.80]  large. Um, and you would keep this at
[13:34.96]  the bank and people will store valuables
[13:36.88]  in there. Uh, and they would get a
[13:39.44]  safety deposit box.
[13:42.40]  Okay. So, hopefully, again, that's a
[13:45.76]  it's another word that you may come
[13:47.44]  across, movie, TV show, um, that you may
[13:51.36]  hear. Again, this is something they have
[13:52.88]  at banks. Then, let's keep moving on.
[13:57.04]  This is another one, and this one I
[13:58.88]  think is a little more tricky. um
[14:01.84]  looking for a phrase and I guess you
[14:03.44]  could say it is a collocation. So for
[14:05.68]  example, they purchased the home when
[14:08.88]  the bank extended their m of credit.
[14:13.68]  So what word would go in there? And I
[14:16.00]  say it's more of a collocation because
[14:17.60]  you would hear that phrase being used
[14:19.52]  together, your m of credit. I need the
[14:22.80]  bank to extend my m of credit and then I
[14:27.44]  can make a a larger purchase.
[14:31.28]  So what word
[14:34.24]  goes in there? All right. They purchased
[14:36.40]  the home when the bank extended their m
[14:39.92]  of credit.
[14:43.92]  What do you think? All right. So, wow. I
[14:46.96]  thought this one would be a little
[14:48.56]  tricky, but some of you uh you some of
[14:52.16]  you seem to you've heard this before.
[14:55.04]  I'm guessing again like these are this
[14:57.12]  is these are words that I think are
[14:58.80]  frequently used together. Excellent.
[15:00.48]  Eddie, uh Kevin, Carill, uh Angela,
[15:04.16]  we're talking about line of credit. So
[15:07.04]  in this case I've highlighted here it
[15:09.20]  just the your line of credit means the
[15:12.32]  meaning of this is an amount of credit
[15:15.12]  extended to the borrower. So basically
[15:18.48]  credit refers to capital. The bank is
[15:22.16]  giving you some capital. Typically
[15:24.48]  they're letting you borrow money. All
[15:26.16]  right? Money extended to the borrower.
[15:28.56]  You're increasing your line of credit
[15:30.80]  and then you could purchase uh something
[15:32.88]  that might be a bit more expensive. So
[15:36.08]  again, it's not uh something that you're
[15:38.16]  you're going to hear all the time, but
[15:40.08]  good to know. Like I said, as long as
[15:41.60]  you learn something new, that's the most
[15:43.12]  important thing.
[15:45.04]  Then uh we have this one.
[15:49.04]  Banks will provide you with a monthly
[15:54.16]  detailing your transactions.
[15:58.40]  Banks will provide you with a monthly
[16:02.40]  detailing your transactions.
[16:05.28]  What do you you have money in the bank
[16:09.68]  typically? I think all banks are the
[16:11.52]  same with this. Each month you're going
[16:13.76]  to get this and it shows all of your
[16:17.20]  transactions. Maybe you get it in in the
[16:18.80]  mail. I think nowadays uh many banks
[16:21.44]  have it all online. So, what do you
[16:23.92]  think? Write your answers in the chat or
[16:25.84]  write them in the comments. I think this
[16:27.44]  one was a little bit easier. Excellent.
[16:30.40]  uh Karina Pac uh AV trying to throw out
[16:34.56]  some different ones. Uh Win theory. So
[16:37.28]  yes, the the correct answer is a
[16:39.76]  statement. You you get your monthly
[16:41.84]  statement and it shows all the
[16:43.68]  transactions that you've made. Then
[16:47.44]  here's another one. We're going to keep
[16:48.88]  going. This one I have two blanks in
[16:51.60]  here for you. So again, think of the
[16:54.24]  context, the situation. If you take out
[16:57.76]  a M and borrow money from the bank,
[17:02.08]  talked about borrow and lend, you will
[17:04.24]  have to pay some m, which is a small
[17:07.84]  percentage.
[17:10.72]  So these words I think are pretty
[17:12.96]  common. So I imagine this might be a
[17:14.96]  little uh easier. If you take out a m
[17:17.92]  from the uh if you take out a m and
[17:20.48]  borrow money from the bank, you will
[17:22.56]  have to pay some m which is a small
[17:25.68]  percentage. So in both of these
[17:28.48]  situations, I give you the blank and
[17:30.16]  then kind of follow it up with the
[17:31.76]  meaning. All right? You take out a m in
[17:34.24]  which case you're borrowing money from
[17:35.76]  the bank and then you have to pay the
[17:38.64]  second blank which is going to be a
[17:40.72]  percentage. That would be the key word.
[17:43.84]  So the two blanks in there, uh, we're
[17:46.64]  talking about if you take out a loan and
[17:51.20]  borrow money from the bank, that is what
[17:52.96]  you're doing. It is a loan. This is a
[17:55.12]  noun. You'll have to pay some interest.
[17:58.96]  And interest is a small percentage
[18:03.44]  uh just to have the benefit of being
[18:05.92]  able to borrow that money. You get a
[18:08.00]  loan and you have to pay some interest
[18:10.64]  on that loan. All right? So I think a
[18:13.76]  lot of you got that one. Perfect. The
[18:17.44]  next one
[18:19.92]  is this one. Think about it. This is the
[18:22.16]  difference between credits and debits
[18:26.88]  in an account is the what? What do you
[18:31.36]  think? So we have you know on the one
[18:33.84]  hand we have credit on the other hand we
[18:35.92]  have debit and when you talk about the
[18:39.04]  difference between those then you have
[18:41.28]  your what? So again, this is the meaning
[18:43.76]  of the word. Uh I'm giving you the
[18:46.00]  meaning and I'm just blanking it out.
[18:48.40]  And the big hint in this one would be
[18:51.04]  that picture right there. This image is
[18:54.48]  what what what's going on. Uh so I think
[18:59.36]  probably that made it a little easier.
[19:01.60]  At least I hope so. But the the
[19:03.84]  difference between credits and debits in
[19:05.92]  an account is the balance. So, another
[19:09.76]  this is a very again useful word. We're
[19:12.00]  talking about a bank. You have an
[19:13.44]  account. Um, you get your monthly
[19:16.48]  statement and it's going to tell you
[19:18.08]  what your balance is. Okay? How much
[19:20.00]  money you have in your account. Um,
[19:23.52]  knowing the credits and the debits and
[19:25.52]  the difference between the two is is the
[19:28.08]  balance. What is what's your current
[19:29.68]  balance?
[19:31.20]  Then
[19:32.96]  here's this one. Here's another picture.
[19:34.56]  Again, I think this one's a little
[19:35.92]  easier. What is this? Okay. I'm not
[19:38.08]  asking what the guy's doing. Just what
[19:40.08]  what is he standing next to? What do you
[19:42.64]  call uh I I was about to to say a word
[19:47.36]  that would have you know made it a lot
[19:49.36]  easier even though again I I think this
[19:52.16]  is uh many of you are familiar with
[19:55.28]  this.
[19:56.88]  So
[19:59.04]  this is a picture of what it is an
[20:02.72]  acronym
[20:04.32]  for bonus points. I don't know if you uh
[20:06.48]  know what the acronym stands for, but as
[20:09.60]  many of you are putting down there, all
[20:11.04]  right, excellent. The answers are just
[20:12.56]  rolling right in. So, this it's an ATM.
[20:16.72]  The ATM stands for automated teller
[20:19.84]  machine. Okay. So, uh no matter where
[20:23.60]  you are in the world, you find a bank,
[20:25.92]  typically there's an ATM right outside.
[20:27.92]  It allows you to easily uh withdraw some
[20:30.80]  money. There's that word again,
[20:31.92]  withdraw. you're going to withdraw money
[20:34.16]  uh from the ATM.
[20:36.40]  All right.
[20:38.00]  So, this one is this one's a little more
[20:42.00]  challenging. Okay. So, this is more
[20:45.28]  specific to the United States, which is
[20:47.28]  where I'm from. So, in the US, if a
[20:51.12]  business is about to go bankrupt, right,
[20:53.84]  they're they're losing money. This is a
[20:56.00]  big problem. They may file for chapter
[21:00.00]  what?
[21:02.08]  So chapter it's synonymous with
[21:06.00]  bankruptcy more or less.
[21:09.20]  So uh again this is uh a phrase well
[21:13.76]  chapter which is more connected to the
[21:17.04]  United States because it's part of the
[21:19.60]  um the law. So, in the US, if a business
[21:23.84]  is about to go bankrupt, they may file
[21:25.68]  form. And again, this is another phrase
[21:28.32]  that if you watch a lot of movies, TV
[21:30.64]  shows, you'll hear you I'm sure you've
[21:33.44]  heard this phrase before, but it's
[21:35.36]  pretty specific. And if you don't know,
[21:37.28]  then that's good if you learn a new
[21:38.88]  phrase. So, what we're talking about, it
[21:41.44]  seems like some of you have heard uh
[21:44.08]  heard of this. We're talking about
[21:46.16]  chapter 11. So, chapter 11 in like law
[21:52.00]  is what it allows businesses to
[21:55.76]  restructure well to restructure the
[21:58.48]  business in order so that they can make
[22:00.96]  an attempt to pay off some of uh uh
[22:04.88]  their debts and to repay the creditors.
[22:08.32]  And then businesses will file for
[22:10.64]  chapter chapter 11. they'll try to
[22:13.44]  restructure and sometimes they you could
[22:16.32]  say they come out of chapter 11 and then
[22:19.04]  they start running their business again.
[22:21.28]  Um, but this happens when businesses are
[22:23.52]  losing money and yes, they're about to
[22:25.28]  go bankrupt and they file for chapter
[22:27.12]  11. It basically gives them some sort of
[22:29.76]  uh protection uh from lawsuits and
[22:32.40]  allows them to attempt to pay pay off
[22:34.80]  these debts. So, with all of these
[22:38.40]  lessons, the main goal that I that I
[22:41.12]  hope from all of this is that you learn
[22:42.88]  something new. Here is um the vocabulary
[22:48.64]  list. These are all the words and
[22:50.32]  phrases that I had included in this
[22:53.52]  lesson right here. Uh if you want
[22:56.80]  because I know I had mentioned it
[22:58.40]  before. Um
[23:01.36]  you can I'm going to add it down in the
[23:03.68]  description below if you would like to
[23:06.72]  get a copy of this lesson PDF. Uh I'll
[23:10.88]  throw it right here in the chat right
[23:14.56]  here.
[23:16.16]  Boom. Okay. You can click on that link,
[23:18.64]  get a copy of these lesson notes. You're
[23:21.20]  basically joining our email community.
[23:23.20]  in which case I'll also send you some
[23:25.28]  other cool and useful resources from
[23:27.28]  time to time. All right, so
[23:31.76]  thank you guys so much. It's good to do
[23:34.64]  like another little live lesson and and
[23:37.92]  get to connect and see everybody once
[23:40.16]  again. I hope that you learn some new
[23:43.04]  words and phrases trying to expand your
[23:45.52]  vocabulary a little bit. I do think this
[23:47.60]  is very useful when talking about
[23:49.36]  banking and finance because it is a part
[23:51.76]  of our everyday lives. So just to give
[23:55.28]  you some shoutouts, thank you uh for
[23:58.32]  joining Vicki Gustav, Talal, Angela, um
[24:03.44]  so many familiar faces, Carill, Nil, uh
[24:07.52]  Pac, Eddie, uh it's just great to see
[24:11.28]  everybody. Hopefully, Maria, hopefully
[24:13.44]  I'll be able to do another live lesson
[24:15.12]  soon in the near future. It really just
[24:17.28]  depends. My schedule's been very hectic
[24:19.84]  these past few months. But it's been
[24:22.16]  great seeing you and I will see you. Oh
[24:25.52]  yeah, if you did learn something new,
[24:27.12]  please hit that like button. I'll throw
[24:28.72]  that in there right now. Please hit that
[24:30.48]  like button. So I will
