Title     : LEARN ALL 12 VERB TENSES IN ENGLISH  🎊
Video ID  : 57siOIS-qEU
[05:13.68]  wait, why is there an ing in there? And
[05:16.08]  then my final sentence,
[05:18.40]  again, just I don't know, pick on
[05:20.32]  myself. Uh sometimes Wes doesn't like
[05:22.24]  broccoli. It's true. I know I'm sure
[05:24.40]  many of you are broccoli lovers out
[05:26.32]  there. I don't want to offend you, but
[05:28.48]  yes, I am not a fan of broccoli. Mostly
[05:31.44]  I wanted to share that image down there,
[05:33.92]  which I I found as part of a meme
[05:36.40]  because it looks like this piece of
[05:38.08]  broccoli is is giving is giving someone
[05:40.72]  the finger and the meme would be like,
[05:43.12]  you know, f you too, broccoli. So, I
[05:45.76]  thought that was really funny and I just
[05:47.76]  wanted to share uh that picture mostly,
[05:49.84]  which is why uh I wrote that sentence.
[05:52.24]  So again, some some examples in the
[05:55.68]  using the present simple. Thank you. Um,
[05:58.64]  Angela, I study English every day. All
[06:01.36]  right. Uh, say, I watch your live your
[06:04.32]  live lessons whenever you hold them.
[06:06.32]  Perfect. Um, let's see. Angel, I enjoy
[06:10.88]  watching interactive English on YouTube.
[06:12.96]  Thank you, Angel. We really appreciate
[06:15.12]  that. Um, Yelvin, a sentence in the the
[06:18.08]  present simple. I don't like broccoli
[06:19.68]  either. Excellent. All right. Great
[06:22.00]  minds think alike. All right, so I Elma,
[06:26.24]  I study English every day. Perfect.
[06:28.80]  Okay, again, these are examples in the
[06:30.88]  present simple. I think this should be
[06:33.04]  pretty easy. Again, it's going to get
[06:35.44]  more difficult because some of the verb
[06:37.76]  tenses we don't often use. Present
[06:40.16]  simple. We use all the time. So, let's
[06:42.88]  continue moving right along. Let's look
[06:44.80]  at the past simple. All right. This is
[06:47.68]  used to describe a finish action in the
[06:50.80]  past. The action is complete. The action
[06:54.24]  is finished. So, here's a here's a
[06:57.36]  question. So, to elicit a variety of
[07:00.24]  different answers. I this is a common
[07:02.40]  question somebody might ask and I would
[07:04.64]  ask you, you know, well, hey, what did
[07:06.08]  you do yesterday? Did is in the past
[07:08.48]  tense. What did you do yesterday? Again,
[07:10.72]  I'm identifying a lot of time with the
[07:12.88]  past. you will have those time
[07:15.12]  expressions, those time words like
[07:16.80]  yesterday, last night, last year, and
[07:19.68]  that will tell you, okay, the past, the
[07:22.16]  past simple. So, just tell me, write to
[07:24.32]  me in the chat, what did you do
[07:26.00]  yesterday? Tell me. I'm going to look
[07:27.68]  out, use the past tense and write a
[07:31.28]  complete sentence. That's always
[07:32.72]  important. I always want you guys to
[07:34.40]  practice fully write a complete
[07:36.00]  sentence. So, some of my example
[07:38.88]  sentences would be right here. Okay? I'd
[07:41.68]  say she traveled to Italy a long time
[07:44.72]  ago. So again, I'm I'm referencing the
[07:47.28]  past with a long time ago. If I say she
[07:50.72]  traveled to Italy, it's she's already
[07:53.12]  been there and she returned. She's she's
[07:55.20]  already done there. It it's a finished
[07:57.04]  action. She traveled to Italy. I bought
[08:00.16]  some wet wipes yesterday. All right,
[08:02.24]  that's a true story right there. So
[08:04.00]  again, yesterday I'm indicating the time
[08:06.80]  that's in the past. Bought is an
[08:09.20]  irregular verb. So, I buy in the present
[08:12.64]  simple. I bought I bought some wet wipes
[08:14.80]  yesterday. They weren't for me. They
[08:16.80]  were for our little our little baby
[08:18.72]  girl, uh, Amelia. But yes, I bought some
[08:21.28]  white wet wipes yesterday. The next one,
[08:23.60]  um, this is a question that I I I think
[08:25.68]  is great because if you did not do
[08:28.32]  something, and maybe you should you
[08:30.48]  should have done it in the past, but you
[08:32.32]  didn't do it, like for example, call
[08:34.48]  someone. Somebody might ask you, "Hey,
[08:36.48]  why didn't you call?" I'm trying to mix
[08:38.80]  some of these examples with questions
[08:41.60]  using the negative so that you can kind
[08:44.00]  of see uh how this tense is used.
[08:46.32]  Somebody might say, "Hey, why didn't you
[08:47.92]  call?" In this case, somebody should
[08:50.80]  have called in the past. It did not
[08:52.88]  happen. So, you might say, "Why didn't
[08:54.24]  you call? Why didn't you come? Why
[08:56.00]  didn't you join us?" All right. So, in
[08:58.24]  that case, something did not happen, but
[09:00.88]  maybe it should have. Uh, and then we
[09:03.04]  could say, "Wes lived in South Korea for
[09:06.16]  3 years." Another true story. There's a
[09:08.24]  picture of me with some of my students
[09:10.32]  at the university. Uh, and I lived in
[09:13.28]  South Korea for three years. Anyango to
[09:17.04]  anybody out there who is in Korea
[09:19.36]  watching right now. Uh, so let's uh look
[09:23.68]  at some sentences. All right. Uh, what
[09:26.08]  did you do yesterday? That was my
[09:27.60]  question to you, Albert. I managed to
[09:29.36]  create a file that I I need to analyze
[09:32.08]  the data. Excellent. All right. You
[09:33.76]  managed to do something. Yesterday,
[09:35.52]  Estella, yesterday I played soccer and
[09:37.76]  spent time with my friends. Perfect. Um,
[09:41.12]  Kia, uh, Nuen, sorry if I mispronounced
[09:43.76]  names. I learned English yesterday. Past
[09:46.88]  simple. Um, perfect. Lai, yesterday I
[09:49.84]  didn't cook broccoli. Good, good, good
[09:52.08]  on you. Awesome. So, again, past simple,
[09:55.20]  you're going to either use the uh
[09:57.36]  regular past, which would be that ed
[09:59.68]  ending like traveled, or irregular. Um
[10:02.80]  there are many many irregular verbs like
[10:05.44]  bought or went. Um and those you just
[10:08.72]  have to memorize. They're very common.
[10:10.80]  So the next tense that I want to look at
[10:13.76]  um is one that is very common, very
[10:17.20]  useful, and it's also talking about the
[10:20.32]  past, which is why we're going to do it
[10:21.92]  next. And that is the present perfect.
[10:24.08]  So even if you see that word present
[10:26.56]  perfect, it it's not just talking about
[10:29.20]  the present. It's really referring to
[10:31.28]  something in the past, but it has a
[10:34.00]  connection with the present. And that's
[10:35.76]  what I would say. It talks about an
[10:37.68]  action in the past at an unspecified
[10:40.32]  time. We don't know when this happened,
[10:42.80]  which has a connection with the present,
[10:46.16]  a connection to the present. And I'll
[10:47.92]  give you an example to uh show you a
[10:50.56]  little bit more about that in just a
[10:51.92]  moment. So my question to you in the
[10:54.16]  present perfect, what incredible places
[10:57.76]  have you visited? We are always trying
[11:01.04]  to uh you know learn about some new and
[11:04.40]  cool and amazing places. So that's what
[11:06.88]  I that's really why I wanted to ask you
[11:08.96]  tell me so that maybe we know where to
[11:11.04]  travel on our next vacation. What
[11:13.12]  incredible places have you visited? Give
[11:16.00]  me uh you know again practice using the
[11:19.04]  present perfect. You could say I have
[11:20.96]  been. I have visited. I have gone to.
[11:23.76]  There are many different ways that you
[11:25.20]  could answer this question and and talk
[11:27.20]  about some of these incredible places.
[11:29.60]  So, let's look at some example
[11:30.96]  sentences. Okay, so present perfect. All
[11:33.76]  right, she has played piano for six
[11:36.24]  years. Again, look at how it's
[11:38.00]  constructed. You're going to use the
[11:40.00]  helping verb have plus the past
[11:42.88]  participle has played. She has played
[11:46.00]  piano for six years. Now what this tells
[11:48.08]  us when you see for and since those are
[11:51.76]  are two words that are going to indicate
[11:54.96]  okay I think I might use the present
[11:57.20]  perfect. She has played piano for six
[11:59.44]  years. She started in the past six years
[12:02.32]  ago and is playing today. That is the
[12:05.20]  connection to the present because she is
[12:07.68]  still playing piano today. The lesson
[12:11.52]  has already begun. Okay. The lesson
[12:14.64]  began in the past, but it's still
[12:16.48]  happening right now. It has a connection
[12:18.56]  with the present. But if you're just
[12:20.40]  joining us, thank you. We are talking
[12:22.72]  about all 12 verb tenses. Please stick
[12:25.44]  around, join, and practice your English
[12:27.84]  skills. And the other question that I
[12:30.16]  have, again, just to give you a
[12:32.00]  question, an example of a question in
[12:34.32]  the present perfect somebody might ask
[12:36.00]  you, hey, where have you been? That is a
[12:38.64]  common question that somebody would want
[12:41.04]  to know that you know where where were
[12:43.44]  you in the past but it's an unspecified
[12:46.40]  unspecified time you know it does not
[12:48.56]  say it's not talking about you know
[12:50.40]  maybe yesterday uh last year the it's
[12:54.08]  implying the more recent past it's not
[12:57.20]  really in this case this question would
[12:59.60]  be implying something in the recent past
[13:02.08]  but not a very specified time hey where
[13:04.00]  have you been and I could say Wes Wes
[13:06.16]  has been to China again I didn't tell
[13:07.92]  you when because it's unspecified, but
[13:10.88]  Wes has been to China. All right,
[13:13.36]  present perfect. There's a picture of me
[13:15.28]  in front of the forbidden city with
[13:16.96]  Chairman Mau staring over my shoulder.
[13:19.36]  Now, one thing that I wanted to point
[13:21.44]  out because a lot of times that that
[13:24.16]  people get confused with these verb
[13:26.00]  tenses is when to use one over the other
[13:28.80]  and what is the difference? When should
[13:30.48]  I use the past simple and when should I
[13:32.32]  use the present perfect? Because I gave
[13:34.48]  you that example. Remember I said Wes
[13:37.36]  lived in South Korea for uh 3 years. And
[13:42.48]  I told you when you see for and it's
[13:44.80]  talking about a period of time, often we
[13:47.84]  use that with the present perfect. So
[13:49.76]  you might be thinking, well, why did you
[13:51.44]  use the past simple then and not the
[13:53.76]  present perfect? Well, one difference is
[13:55.44]  that if I say Wes has Wes lived in South
[13:58.96]  Korea for three years, it means it
[14:01.68]  happened in the past. It's finished. I
[14:04.88]  lived in South Korea, but I don't live
[14:06.88]  there now. If I use the present perfect
[14:09.44]  and say Wes has lived in South Korea for
[14:12.48]  three years, then that means that I
[14:14.72]  still live there now. So that is one
[14:17.04]  difference between the past simple and
[14:19.36]  the present perfect. If it's the past
[14:21.12]  simple, it's finished. It's completed.
[14:23.84]  Remember the present perfect, it has
[14:26.16]  that connection with the present.
[14:28.32]  Started in the past, but it it's still
[14:30.80]  happening now. like she has played piano
[14:34.16]  for six years. So keep that in mind when
[14:36.72]  you're thinking about oh what's the
[14:38.24]  difference between these um somebody
[14:40.72]  some other places again tell me where
[14:43.76]  you guys have been Maggie says I have
[14:45.68]  been to Japan um this summer it was an
[14:49.84]  amazing experience uh keep in mind I'd
[14:52.80]  say again when you throw that time in
[14:54.64]  there this summer uh oftentimes it would
[14:57.52]  then be used with the past simple
[14:59.20]  because you're specifying the time uh
[15:01.76]  like I went to Japan this uh this past
[15:04.64]  summer would be a common way. And
[15:06.16]  remember have been uh when you're using
[15:08.64]  the present perfect often we refer to
[15:10.64]  that unspecified time. We we don't know
[15:13.20]  exactly when it happened. Um somebody
[15:16.48]  says I have studied English lai for two
[15:19.28]  years. Perfect. Um uh Tamar, I've eaten
[15:23.76]  lunch. Okay. All right. Yes, that is the
[15:26.08]  present perfect. We don't know when you
[15:27.52]  ate lunch, but yes. Um I have been busy
[15:30.80]  with work, Alberto. Perfect. Uh somebody
[15:33.68]  said where was it? Um
[15:36.64]  uh
[15:38.32]  let's see. I have been to Turkey. It's a
[15:41.12]  wonderful country site. Great example.
[15:43.28]  Present perfect. Again, it's
[15:45.12]  unspecified. We don't know when. And
[15:47.44]  yes, Turkey is on the list. We really
[15:49.68]  want to visit Turkey. Um there are I
[15:52.08]  think we could find some good flights to
[15:53.76]  Istanbul. So yes, that's on the list.
[15:55.92]  Good idea. Um so after the present
[15:59.68]  perfect, let's move on. We're going to
[16:01.60]  make it. It's going to get a little more
[16:02.88]  challenging, a little more difficult.
[16:04.40]  This one, I think, is pretty easy,
[16:06.56]  pretty straightforward. Future simple.
[16:08.88]  Okay, it describes actions that will
[16:11.44]  happen in the future. And usually it
[16:14.00]  expresses some kind of fact or certainty
[16:16.64]  because you're talking about something
[16:18.24]  that will happen that you think will
[16:21.20]  happen. You are certain about it. So
[16:23.52]  again, a common question I will ask you,
[16:25.52]  you know, what what will you eat
[16:26.80]  tomorrow? All right, I'm kind of
[16:28.16]  curious. I've already told you that, you
[16:29.84]  know, I don't like broccoli, but I want
[16:31.60]  to know what do you guys like? What will
[16:33.20]  you eat tomorrow? Tell me, you know,
[16:35.52]  express certainty and use the future
[16:37.84]  simple. What will you eat tomorrow? That
[16:40.40]  is my question for you guys. Write it in
[16:42.32]  the chat and practice using the future
[16:44.32]  simple. So, here are my examples that I
[16:47.28]  have for you. So, I could say again, it
[16:49.92]  will rain all this week. In this case,
[16:52.88]  you are expressing that certainty
[16:55.20]  talking about something that will happen
[16:57.52]  in the future. And we often use notice
[17:01.04]  that we use it with that uh modal will.
[17:04.16]  I will plus the base verb will rain. In
[17:07.68]  the next sentence, I said, you know,
[17:09.60]  more something stating a fact. If I'm
[17:11.68]  saying, well, hey, the door won't open.
[17:14.00]  All right, it will not open. Again,
[17:16.24]  that's the negative. In this case,
[17:18.24]  you're saying something won't happen in
[17:20.48]  the future. it's not going open. And
[17:22.48]  somebody might just express a fact and
[17:24.32]  say, "Hey, the door won't open. It's
[17:26.32]  stuck. The door won't open." Um, and
[17:28.72]  then the next one, we will we will rock
[17:32.16]  you. Okay, bonus points. Who, which
[17:36.08]  group sings that song? We will. We will
[17:39.84]  rock you. I'm not going to try and sing
[17:41.76]  the sing it for you because I'm a
[17:43.36]  terrible singer and I don't want you
[17:45.28]  guys to leave, but bonus points. Who
[17:47.12]  sings that? We will. We will rock you.
[17:49.52]  And my last question for you right down
[17:52.16]  there, will you join our community? Our
[17:55.76]  email list? Our community. Will you
[17:58.24]  join? If you don't already know about
[18:00.88]  it, you can join our email list, access
[18:04.08]  the secret fluency lesson, get some
[18:06.08]  useful and free resources as well as the
[18:09.20]  latest updates. Let me throw a link in
[18:11.52]  there just in case. So again, that
[18:13.92]  that's my question to you. Will will you
[18:16.64]  join our our our community? Make that
[18:19.92]  connection with us. That's what we want.
[18:21.84]  If you haven't joined it already, please
[18:24.24]  do so. So, let's look at again. I want
[18:26.64]  to go back and read some sentences. Yes,
[18:29.20]  Mimo, Geraldo, Paul, uh, Lai. Perfect.
[18:32.48]  Queen. Yes, queen is my we will, we will
[18:35.04]  rock you question. Perfect. Goia.
[18:36.88]  Excellent. Um, so what will you eat
[18:40.24]  tomorrow? Uh, Benny, Gerald said, uh,
[18:43.60]  Hardo said, "I'll eat pizza." Perfect.
[18:46.40]  Benny said, "I will eat a sandwich."
[18:49.44]  Excellent. Perfect. What will you do?
[18:51.92]  Uh, Roma said, "I will eat vegetables."
[18:54.64]  That is a great way to stay healthy. I
[18:57.36]  think I should eat vegetables uh
[18:59.68]  tomorrow. Maybe I will. I don't know.
[19:01.68]  We'll see. Uh there's a little
[19:03.20]  uncertainty in that. Maybe. So, we've
[19:06.56]  talked about the future. Again, I think
[19:08.48]  it's common. We use it all the time. You
[19:10.80]  understand it. Let's look at the present
[19:13.04]  progressive. And remember I said
[19:15.20]  progressive. Some people might say
[19:17.04]  continuous present progressive present
[19:19.68]  continuous. It means the same thing. But
[19:22.32]  what it does mean is it refers to an
[19:24.16]  action that is happening right now. It
[19:27.52]  is not complete. It is happening now.
[19:29.76]  Now, now, now. So, I would ask you, my
[19:32.16]  question to you that I want you to
[19:33.68]  answer, write it in the chat or write it
[19:35.84]  in the comments if you're watching this
[19:37.44]  later on. Where are you sitting or
[19:40.48]  standing right now? You guys are at at
[19:43.52]  home watching this. Maybe you're on a
[19:45.04]  bus. Maybe you're standing in a metro. I
[19:47.60]  That's I don't know. But that was my
[19:49.28]  question. I want to know where where are
[19:50.96]  you right now? Where are you sitting
[19:53.52]  right now or where are you standing
[19:55.52]  right now? I'm asking you about now. So,
[19:57.92]  you are going to answer using the
[20:00.24]  present progressive. And if you want to
[20:02.24]  see the present progressive in action
[20:03.84]  and know how to answer it, check this
[20:05.76]  out. The phone is ringing. So, when
[20:08.08]  we're talking about the progressive
[20:09.68]  tense, we use it with the helping verb
[20:12.56]  to be and the main verb and the ing is
[20:17.76]  ringing. You see that ing on the end of
[20:20.80]  ringing because that is how we express
[20:23.20]  that something is happening now. And
[20:25.12]  that's that's a common sentence you
[20:26.64]  might hear somebody say like, hey, you
[20:28.16]  know, somebody's phone is ringing. The
[20:30.00]  phone is ringing. Somebody needs to
[20:31.52]  answer it. Um, this is another sentence.
[20:35.60]  The ants are marching one by one.
[20:37.68]  Harrah, hurrah. We've been watching a
[20:40.00]  lot of um just nursery rhymes lately
[20:44.16]  with our little girl and that was just
[20:46.64]  in my mind. The ants are marching one by
[20:49.76]  one. Um but again, present progressive
[20:52.88]  that is what the ants are doing right
[20:54.80]  now. Or a common question that that
[20:57.84]  somebody might ask you which you know is
[21:00.64]  just hey what what are you doing? What
[21:02.32]  are you doing? Maybe you're doing
[21:03.68]  something that you should not be doing
[21:05.28]  and somebody say, "What are you doing?"
[21:07.28]  Or maybe you're again you're talking to
[21:09.36]  somebody on the phone and they just want
[21:10.88]  to know like you know what are you doing
[21:12.64]  right now? What are you doing? Common
[21:14.56]  question. And down there again present
[21:16.88]  progressive I would say again if I'm
[21:19.12]  thinking about right now in that picture
[21:21.04]  in that picture I'd say we are standing
[21:23.44]  in front of the Golden Gate Bridge
[21:26.48]  because we used to live in the San
[21:28.40]  Francisco Bay area. I would use we are
[21:31.36]  standing. So again, keep in mind the the
[21:33.92]  way that you form the present
[21:35.60]  progressive. The helping verb to be plus
[21:38.96]  the base verb plus that ing is ringing
[21:43.60]  are marching
[21:45.44]  are standing. Okay. Um so I had asked
[21:49.44]  you guys um where you know where are you
[21:52.24]  guys right now? So let me see where are
[21:55.28]  you guys. Um Ricardo I'm just laying on
[21:57.44]  my bed. Perfect. Um, Tintan, I'm lying
[22:00.24]  on my bed right now while watching your
[22:02.32]  video. Excellent. Um, was I'm having
[22:05.36]  dinner and watching your live lesson.
[22:07.44]  Excellent. Um, I'm Gonzalo, I'm sitting
[22:11.12]  in a chair having breakfast. Awesome.
[22:13.04]  This is this is so cool. Like just
[22:15.76]  everybody's connected right now at this
[22:17.84]  moment. Angela, I'm standing in my room
[22:19.44]  right now. Perfect. Okay, again, using
[22:22.16]  that present progressive, it's talking
[22:24.16]  about now. Now, now, now, now, now. All
[22:26.48]  right. So if the present progressive is
[22:29.60]  talking about uh the present now let's
[22:32.64]  look at the past progressive or the past
[22:35.76]  continuous as some might call it. It
[22:38.08]  refers to a continuous refers to
[22:41.04]  continuous actions at a specific time in
[22:44.80]  the past. That's one way we use it. Or
[22:47.76]  it's talking about a continuous action
[22:49.60]  that were happening when another event
[22:52.80]  occurred. And I will give you some
[22:54.48]  examples uh talking about those. And I
[22:57.20]  would ask you my question. All right.
[22:58.96]  Again, in this case, I'm asking about a
[23:01.44]  specific time. What were you doing
[23:03.68]  yesterday at 6:00 p.m.? So yesterday,
[23:07.04]  it's talking about the past. 6 p.m.
[23:09.44]  That's a specific time. What action were
[23:12.32]  you doing yesterday at 6 p.m.? I want
[23:15.28]  you to write a sentence, an example
[23:17.20]  using the past progressive. Now, what
[23:20.32]  were you doing yesterday at 6 p.m.?
[23:21.76]  Remember that. Now, let's look at my
[23:23.36]  examples. Again, we're going to form
[23:26.32]  this the same way as the present uh
[23:28.72]  progressive. The past progressive,
[23:30.32]  you're using the helping verb to be plus
[23:33.04]  the main verb plus ing. The only
[23:35.68]  difference is is again, we're talking
[23:37.44]  about the past. So, the verb to be is
[23:39.60]  going to be in the past. Last week, this
[23:42.48]  is true. Last week, we were visiting
[23:45.28]  Slovenia. It was with my family. We were
[23:48.32]  visiting Slovenia. Again, we were the
[23:50.80]  subject and verb must agree visiting. I
[23:53.52]  got to put that ing on there. And last
[23:55.76]  week, that is the time I'm talking about
[23:57.92]  that specific time. So again, you can
[23:59.76]  refer to like yesterday at this specific
[24:02.56]  time, you could say last week. Last
[24:04.64]  year, I was doing this certain thing.
[24:07.44]  Okay? You can use the past progressive.
[24:09.36]  Now, if we're talking about when when
[24:12.16]  we're talking about a continuous action,
[24:14.16]  when another action occurs like this
[24:16.40]  next example, when I started the lesson,
[24:19.84]  people were talking in the chat. So,
[24:22.64]  that is my other point in time. When I
[24:24.72]  started the lesson, that is a point in
[24:26.72]  time. What was happening at that time?
[24:30.08]  People were talking in the chat. That
[24:33.04]  was the continuous action as I started
[24:36.32]  the lesson. People were talking in the
[24:38.64]  chat. Okay. And I could say that again
[24:41.12]  in this photo just like this this photo
[24:43.92]  just makes me laugh. In this photo I was
[24:46.40]  laughing with our baby girl. So again in
[24:49.60]  in this case I'm using that photo that
[24:51.60]  is my specific time. That is my moment.
[24:53.68]  In this photo I was laughing with our
[24:57.12]  baby girl. We put her in front of the
[24:58.88]  mirror and she just likes to look at me
[25:00.96]  and her her she likes to look at herself
[25:02.64]  and just laugh. So makes me laugh too.
[25:05.44]  So we were all laughing. Now let's look
[25:07.12]  at again. I asked you what you were
[25:08.88]  doing yesterday at 6:00 p.m. Okay, let's
[25:11.68]  see what what kind of responses. I'm
[25:13.44]  just going to read a few of them. Um
[25:15.84]  Hong says or Hang Trong, I was driving
[25:19.44]  um I was driving and I felt over last
[25:22.80]  month. I'm not sure you could say. Yeah,
[25:24.16]  I was driving yesterday at 6 p.m. Um em
[25:27.76]  I was driving to my home. Perfect. Um
[25:33.52]  I was in church a church meeting.
[25:36.00]  Remember you in that case that's the
[25:38.08]  past simple. Remember past possessive um
[25:40.56]  you could say I was meeting with people
[25:43.92]  from my church. In that case that's the
[25:46.24]  past progressive was meeting. Um Romesa
[25:50.08]  I yesterday I was studying. Perfect. Uh
[25:53.60]  Lelele I was practicing English. It's 6
[25:56.16]  p.m. practicing English again. Perfect.
[25:58.72]  Remember the verb to be plus that ing
[26:02.00]  past progressive. Now, let's look at the
[26:05.36]  future progressive. Now, we're getting
[26:07.60]  into verb forms that are a little less
[26:11.60]  common. You know, we talked about some
[26:13.52]  of the main verb forms. Present simple,
[26:16.88]  uh, past simple, present perfect,
[26:19.20]  present progressive, past progressive.
[26:21.28]  Those are ones that you are going to
[26:23.28]  use, you know, anytime you're speaking
[26:25.84]  English. They are so common. Now, we're
[26:28.00]  going to get into ones that are not as
[26:29.52]  common and they may be a little more
[26:31.20]  difficult, the grammar. So, the future
[26:33.04]  progressive, it's basically the opposite
[26:35.44]  of the past progressive, but we're
[26:37.04]  talking about the future. Refers to
[26:39.04]  continuous actions at a specific time in
[26:41.44]  the future. All right? At a specific
[26:43.68]  time or actions that will be happening
[26:47.44]  when another event occurs. And my
[26:50.72]  question to you, I couldn't think of any
[26:52.96]  other question. It's just a yes or no
[26:54.96]  question. Will you be joining our
[26:57.20]  community? Remember I gave you uh I I
[26:59.92]  gave you our uh our link to join our
[27:03.60]  community. I'm going to give it to you
[27:04.88]  again. Boom. There it is. Just in case
[27:06.56]  you missed it the first time. Uh and I
[27:08.56]  can say, you know, hey, will you be
[27:09.92]  joining our community? I also wanted to
[27:12.48]  use it um because that is a question
