Title     : LEARN THE FUTURE TENSE  | Will + (Be) Going To
Video ID  : VF9Gd8tPJeU
[04:18.14]  completely sure we're talking about you
[04:20.70]  know a prediction what we think will
[04:22.38]  happen
[04:23.01]  I think it'll rain tomorrow we
[04:26.67]  so use this and this is important right
[04:30.39]  here right this one a spontaneous
[04:32.58]  decision now I know that many times will
[04:38.22]  ask questions and your choices will or
[04:40.59]  be going to when it's a spontaneous
[04:42.48]  decision you just want to use will will
[04:46.05]  will will will so for example I gave you
[04:49.32]  that example there's a knock on the door
[04:51.03]  and you would say I'll get it
[04:54.57]  alright I will get it because when
[04:57.78]  you're using going to we'll talk about
[04:59.55]  in the set that in just a moment it's
[05:01.32]  more of a plan something you have
[05:03.12]  decided to do alright nobody knows that
[05:05.28]  that somebody's going to knock on the
[05:06.99]  door or maybe they don't know that the
[05:09.24]  phone is going to ring it's a
[05:11.04]  spontaneous decision so we are going to
[05:13.29]  use will I'll get it
[05:15.99]  in the chat in the comments I have a
[05:19.38]  question for you using will I want you
[05:23.07]  to tell me um what will what will you do
[05:27.39]  tomorrow
[05:28.14]  all right let's practice using these
[05:29.94]  already so give me give me a sentence a
[05:32.64]  full sentence all right what will you do
[05:36.66]  tomorrow all right what will you do
[05:38.55]  tomorrow
[05:39.06]  let let everybody know let each other
[05:41.61]  know what what's going on in our lives
[05:43.65]  what will you do tomorrow tomorrow
[05:46.20]  tomorrow is Sunday I'll be teaching well
[05:51.87]  I'll teach a class tomorrow all right
[05:53.55]  I'm going I will teach a class tomorrow
[05:56.34]  on Sunday yes so let us know what will
[06:01.26]  you do tomorrow let us know in the chat
[06:03.86]  also if you're watching this later use
[06:06.90]  the comments use it as a whiteboard
[06:08.88]  if participate you know answer these
[06:11.82]  questions and just write your answers in
[06:14.58]  the comments what will you do tomorrow
[06:17.57]  it's also used will is used right here
[06:21.87]  to express want or willingness
[06:24.92]  willingness to do something so somebody
[06:27.87]  might tell you yeah I will help you with
[06:30.57]  the project all right willingness to do
[06:33.21]  this I'll help you with the project I'll
[06:35.52]  help you with your homework I'll help
[06:38.91]  you do something so
[06:40.35]  got some good comments Oh Patricia
[06:43.95]  tomorrow I'll go to the beach excellent
[06:46.23]  I'll clean my home
[06:48.18]  thanks for sharing yes that's something
[06:50.24]  we need to do as well we need to clean
[06:54.00]  our home I'll go to the park to make to
[06:56.67]  go jogging I'll go to the park to go
[06:58.65]  jogging I'll I will go shopping tomorrow
[07:03.60]  all right excellent
[07:05.46]  I will go to study English education
[07:09.09]  perfect all right so I think everybody
[07:11.25]  kind of Congrats will you you use the
[07:14.76]  subject he she it we they will plus the
[07:18.24]  base verb you know I will do something
[07:21.69]  the last one that I want to talk to you
[07:23.76]  about it's commonly used to refuse
[07:25.89]  something and this is when we use it
[07:28.08]  with the negative will not all right he
[07:31.59]  will not eat his vegetables and when we
[07:35.55]  contract that and shrink it down will
[07:38.52]  not be comes won't all right and if you
[07:42.03]  want to use will not or won't it's the
[07:44.55]  same it's interchangeable it's up to you
[07:48.35]  usually when speaking a lot of people
[07:51.09]  will just use contractions because it
[07:54.12]  just makes things simpler he won't eat
[07:56.82]  his vegetables and I put that sentence
[07:58.95]  in there for me because that describes
[08:01.56]  me that yeah I don't eat as many
[08:05.19]  vegetables as I should but that is one
[08:08.25]  of my new year's resolutions I'm hoping
[08:10.92]  that I will eat more vegetables this
[08:14.43]  year all right
[08:15.72]  so those are the times that we use will
[08:18.51]  making prediction spontaneous decisions
[08:21.09]  you're expressing some willingness and
[08:23.64]  maybe to refuse something talk about
[08:26.25]  something you will not do I won't do
[08:29.85]  this I won't do that
[08:31.32]  okay so now let's look at B going to
[08:36.69]  write here okay so we use B going to
[08:41.13]  also it's the same like will you can
[08:43.89]  make predictions accept would be going
[08:46.41]  to a slight difference and again this is
[08:49.14]  just a very slight nuance might be
[08:51.57]  something that is a like
[08:53.35]  prediction something that is likely to
[08:56.02]  happen I think it's going to rain
[08:58.33]  tomorrow maybe around you know you're 75
[09:02.14]  percent confident in that you really
[09:04.39]  think it's going to rain
[09:05.68]  a likely prediction but for will and B
[09:09.31]  going to you can use both of them to
[09:11.44]  make predictions but we also use B going
[09:14.92]  to to talk about plans all right what it
[09:19.15]  what are you going to do remember that
[09:22.75]  with B going to the only thing that is
[09:25.06]  going to be conjugated is the verb to be
[09:27.19]  so with our subject I am going to he she
[09:31.75]  it is going to they are going to that's
[09:35.56]  the only thing we're going to conjugate
[09:37.83]  is the verb to be so now let's let's
[09:42.04]  practice this one okay so I want you to
[09:44.14]  tell me again talk about plans something
[09:47.35]  that you're planning to do it's not a
[09:49.48]  spontaneous decision I want you to tell
[09:52.00]  me what are you going to do next week
[09:56.19]  what are you going to do next week and I
[10:00.04]  want you to write that in the comments
[10:03.49]  all right so tell me what are you going
[10:07.63]  to do next week talk about something
[10:10.27]  that's a plan all right something that
[10:11.83]  you know is going to happen and one
[10:14.59]  thing I would say about will and B going
[10:16.78]  to that I think most when most students
[10:20.14]  when most learners they they study these
[10:23.38]  I think most people have a tendency to
[10:26.35]  just use will because it's easier it's
[10:29.41]  easier to remember and I think people
[10:32.50]  tend to over rely on will but it is good
[10:35.50]  to switch it up we talk about the future
[10:37.48]  all the time it's good to try and use
[10:39.88]  both of them especially that's why I
[10:42.04]  want to go over these so you know when
[10:44.17]  it's more appropriate to use will and
[10:47.17]  when it's more appropriate to use be
[10:49.15]  going to so be going to again they're
[10:53.26]  good it's good to talk about plans I am
[10:55.84]  for example I'm going to the doctor's
[10:59.62]  next week that is a plan you know it's
[11:02.71]  going to happen you are talking about
[11:04.60]  something you are
[11:06.41]  to do so again if you're just joining us
[11:09.77]  we're talking about the future and how
[11:13.01]  to use and discuss the future and I'm
[11:15.71]  asking you guys to practice with us so
[11:18.91]  if you guys are just joining us hello
[11:21.50]  and welcome and write your responses in
[11:24.56]  the comments so I asked you tell me what
[11:27.32]  are you going to do next week and I want
[11:30.38]  you to use that and write a whole
[11:32.90]  sentence I'm going to go trekking next
[11:34.97]  week excellent thank you thank you I'm
[11:38.84]  going to study more next week all right
[11:41.81]  perfect
[11:43.28]  all right I'm going to visit a friend in
[11:47.33]  the countryside excellent I'm going to
[11:49.34]  go to the dentist nice with the negative
[11:53.09]  somebody asked about the negative you
[11:56.06]  would just use with not I am NOT going
[12:00.05]  to and the negative I didn't put an
[12:02.09]  example on there it would go in between
[12:04.34]  the verb to be and going to I'm not
[12:07.85]  going to do this I'm not going to the
[12:11.69]  doctors next week would be the negative
[12:13.22]  form the last thing I want to tell you
[12:16.28]  about going to is the pronunciation tip
[12:19.76]  all right when it's followed by the base
[12:23.15]  verb okay it can be reduced to gonna
[12:26.06]  alright so for example look at that
[12:28.49]  sentence I'm going to the doctors next
[12:30.59]  week we cannot reduce that going to
[12:34.37]  because it's not followed by a verb you
[12:37.43]  can't say I'm gonna do the doctors no no
[12:39.68]  no no no no it has to be followed by a
[12:41.99]  base verb if we want to reduce this when
[12:44.39]  we're speaking so you could say I'm
[12:46.40]  going to go to the doctors all right and
[12:50.51]  then reduce it I'm gonna go the doctors
[12:52.97]  okay so that is a pronunciation tip we
[12:55.79]  can reduce it with gonna and remember
[12:58.28]  this is a this is a pet peeve of mine
[13:02.75]  something that I'm always trying to tell
[13:04.67]  people to do this is for speaking
[13:07.28]  alright try not to write these
[13:09.65]  reductions this is just for speaking and
[13:12.29]  for your listening practice it's always
[13:14.33]  good just use it for speaking if you can
[13:17.51]  so
[13:19.20]  excellent thank you guys for writing all
[13:21.76]  those sentences now let's continue and
[13:25.12]  talk about getting into a little more
[13:28.57]  advanced grammar and because it's a
[13:31.48]  little more advanced it's not as common
[13:34.12]  so we use will and be going to all the
[13:38.14]  time to talk about the future but we
[13:40.84]  also use some of these other forms like
[13:42.85]  this the future continuous and we use
[13:46.09]  the future continuous to talk about an
[13:49.00]  unfinished action at some point in the
[13:52.48]  future and I tried to give you this it's
[13:55.48]  right down here yes right down there
[13:57.73]  that little arrow so it gives you maybe
[14:01.60]  a little bit of a visual that you have
[14:04.09]  now and then you have that future action
[14:06.70]  marked with the X and those arrows kind
[14:10.21]  of showing that it that it's continuous
[14:11.77]  okay it's an unfinished action and
[14:16.17]  typically you're talking about you know
[14:20.08]  at some point again at some point in the
[14:22.57]  future so for example that first
[14:24.28]  sentence alright I'll be doing my
[14:26.80]  homework later this evening I'll be
[14:29.62]  doing my homework later this evening in
[14:31.63]  all of these examples I'm giving you a
[14:34.39]  time expression so and I'm giving you
[14:37.27]  these time expressions so you know how
[14:40.27]  it's connected so I'll be doing my
[14:42.13]  homework later this evening usually in a
[14:45.28]  conversation somebody might just ask you
[14:47.65]  you know what are you doing later what
[14:49.54]  are you doing later this evening and
[14:50.83]  then you would just respond with the
[14:53.68]  future continuous you don't have to say
[14:55.78]  the time Express the time expression
[14:58.87]  again you would just say I'll be doing
[15:01.30]  my homework okay so my question to you
[15:03.76]  and I want you guys to practice the
[15:05.71]  future continuous and when I mean future
[15:08.86]  continuous I didn't explain the grammar
[15:10.65]  I'm talking about all right you're
[15:14.11]  you're using will all right plus the
[15:17.86]  verb to be all right plus the base verb
[15:21.28]  and the ing I will be mmm all right he
[15:29.20]  is all right I'll be doing
[15:32.86]  homework so for example future
[15:36.37]  continuous with will I will be what all
[15:39.91]  right that the verb base verb plus the
[15:42.46]  ing I will be doing I will be running I
[15:45.07]  will be dancing I will be singing so in
[15:47.80]  the chat I have a question for you what
[15:50.56]  what are you doing later this evening
[15:53.20]  what are you doing later this evening
[15:55.03]  that is your point in time this evening
[15:58.17]  okay what action is going to be is going
[16:02.80]  to happen this evening at that time all
[16:06.52]  right so write your answers in the chat
[16:10.38]  again sometimes I'll be keeping learning
[16:13.21]  again remember you just want the base
[16:15.04]  verb in the ing I'll be learning English
[16:17.52]  boom alright done I'll be meeting my
[16:20.50]  teacher this evening perfect excellent
[16:22.63]  thank you guys so again write to it
[16:26.11]  write it in the chat share with us again
[16:28.00]  it's always good to practice here is
[16:30.43]  another example again I'm giving you the
[16:33.04]  time expression this summer so that is
[16:35.80]  our point in the future this summer will
[16:38.68]  be relaxing on a beach in Thailand that
[16:41.77]  is our continuous action as much as I
[16:45.52]  wish that were true I can't say that we
[16:49.45]  will be in a be on a beach in Thailand
[16:52.18]  this summer I would like to be on a
[16:53.95]  beach in Thailand this summer but just
[16:56.65]  as an example I could say this summer
[16:58.48]  will be relaxing on a beach in Thailand
[17:00.76]  and that could be a response to a
[17:03.28]  question you know what what are you
[17:05.56]  doing this summer well this summer will
[17:07.57]  be relaxing on a beach in Thailand again
[17:09.85]  if we want to use a week the same be
[17:13.12]  going to with the future continuous
[17:15.25]  we're using the subject the verb to be
[17:18.63]  going to he he is going to and then
[17:24.22]  again we need that base verb to be be
[17:28.14]  and then work and the ing he is going to
[17:32.62]  be working his butt off before leaving
[17:35.08]  for vacation so before leaving for
[17:37.57]  vacation that is our point in the future
[17:41.05]  all right he is going to be working his
[17:43.48]  butt off so you knew you need be going
[17:46.30]  to
[17:46.87]  plus the verb to be alright
[17:50.53]  our helping verb plus the base verb plus
[17:52.99]  ing I am going to be working I'm going
[17:58.63]  to be running I am going to be dancing I
[18:01.51]  am going to be teaching tomorrow night
[18:06.67]  I'm going to be teaching English
[18:08.59]  tomorrow night alright so again this is
[18:11.77]  the future continued tenuous talking
[18:14.08]  about some point in the future all right
[18:17.41]  excellent so in summer it will be
[18:20.80]  raining in Thailand yeah all right yes
[18:22.57]  all right maybe it probably maybe it
[18:24.43]  will be raining in Thailand I will be
[18:26.98]  applying for a new job next week
[18:29.02]  excellent all right they'll be moving
[18:31.27]  into a new house this year great great
[18:34.39]  great sentences thank you guys writing
[18:37.09]  this is good practice to be using this
[18:40.96]  so this is when we use the future
[18:42.97]  continuous now let's look at the future
[18:47.86]  perfect okay
[18:49.54]  I'm going to start out by telling you
[18:51.76]  that these next two the future perfect
[18:53.98]  and the future perfect continuous
[18:56.58]  they're not super common we don't use
[18:59.77]  these forms all the time I'm trying to
[19:03.46]  think if I had to think of the last time
[19:05.20]  I used the future perfect or the future
[19:08.17]  perfect continuous it may it may have
[19:11.17]  been last week or last month it's not
[19:14.23]  something that we use often but it is
[19:16.72]  good to learn because this will help us
[19:19.30]  with your fluency as well as with
[19:21.34]  listening if you are listening to music
[19:24.28]  or TV it gives you a better
[19:26.26]  understanding of the situation and
[19:29.20]  what's happening so we use the future
[19:31.75]  perfect to talk about a completed action
[19:35.29]  in the future all right and it is
[19:37.66]  important to note right here okay it is
[19:40.57]  often used with a time expression
[19:43.00]  because when we're talking about the
[19:45.28]  perfect tense we're talking about a some
[19:48.34]  point I like to say it has a
[19:50.44]  relationship with another point and that
[19:53.89]  other point could be in the future the
[19:55.57]  past but it's these two different time
[19:57.67]  periods two different points in time
[19:59.77]  that
[20:00.34]  some sort of relationship so this is
[20:02.89]  often used with a time expression so
[20:05.56]  let's look at that first example
[20:07.15]  sentence by September alright she will
[20:11.29]  have been with the company for six years
[20:14.38]  we're talking about a duration of time
[20:16.93]  here for six years so by September
[20:20.23]  that's our our point in the future what
[20:23.92]  will what will she have completed she
[20:26.05]  will have been with the company for six
[20:29.41]  years okay so you could say again talk
[20:33.04]  about some point in the future what
[20:35.38]  action will you have completed all right
[20:38.80]  by this time I will have done this okay
[20:44.95]  I will have all right plus the past
[20:48.28]  participle I will have done I will have
[20:50.77]  gone I will have run there's a lot of
[20:55.00]  different options so let's practice this
[20:57.76]  again in the chat or even if you're
[21:00.73]  watching this later write your answer in
[21:02.47]  the comments write to us let us know my
[21:05.77]  question to you is by next by by the end
[21:11.50]  of this month alright by the end of this
[21:13.60]  month
[21:14.08]  tell me something you will have done
[21:16.72]  okay by the end of this month I will
[21:20.47]  have what okay let me know write your
[21:24.46]  answer so I'm giving you your point in
[21:26.59]  the future by the end of this month
[21:28.45]  alright now tell me about a future
[21:31.33]  action that you will have completed
[21:33.25]  between now and the end of this month
[21:36.58]  by the end of this month I will have
[21:40.26]  bought a car or something like that okay
[21:43.36]  there's a lot of different examples
[21:44.47]  something that you will have completed
[21:46.72]  so tell me right right an example
[21:50.65]  sentence in the comments and I will look
[21:54.34]  through them so what will you have done
[21:56.35]  by the end of this month and that other
[21:59.11]  sentence for example by the time all
[22:02.77]  right we will have finished eating by
[22:04.60]  the time you arrive by the time is a
[22:09.34]  adverb phrase of time and when we see by
[22:13.22]  the time you should think perfect tense
[22:15.35]  all right we're using the perfect tense
[22:17.48]  so in the future by the time you arrive
[22:20.29]  that's our point in the future okay well
[22:23.87]  what will have been completed we will
[22:26.75]  have finished eating by the time you
[22:29.69]  arrive we will have finished eating that
[22:32.57]  is our finished our completed action and
[22:35.90]  then last one if if like the little book
[22:39.17]  says exam at the end of the week okay so
[22:42.52]  that is our point in time all right what
[22:45.59]  will have been completed by then I will
[22:47.96]  have finished the book by then all right
[22:50.60]  so if somebody says all your exams at
[22:52.58]  the end of the week well I will have
[22:54.62]  finished the book by then I will have
[22:56.69]  finished it's going to be completed so
[22:59.24]  again I'm just trying to give you those
[23:00.86]  time expressions to make it a little
[23:02.99]  easier to follow when we're talking
[23:05.36]  about the action that will be completed
[23:07.97]  in the future so let's look and see some
[23:11.30]  of your examples so lots of excellent by
[23:16.07]  the end of this by the end of this
[23:18.11]  lesson I will have learnt the future
[23:19.67]  perfect continuous condition yes okay by
[23:23.33]  the end of this month I will have
[23:24.68]  finished my upper intermediate level
[23:26.30]  perfect by the end of this month I will
[23:28.04]  have finished enjoying my vacation okay
[23:31.73]  good example sentence Mike I will have
[23:35.33]  done all my exams by the end of this
[23:36.98]  month excellent you guys you've got it
[23:39.44]  so you're talking about that point in
[23:41.78]  the future what will have been finished
[23:44.54]  by that time so again this is this is
[23:47.33]  great practice now let's look at the
[23:53.42]  next part which is something that is
[23:57.35]  probably even less commonly used which
[24:00.89]  is the future perfect continuous I've
[24:03.44]  talked to other you know English
[24:05.60]  instructors and you have this debate
[24:07.64]  about oh should we even teach the future
[24:10.04]  perfect continuous because we never
[24:11.63]  really use it I I do think it is worth
[24:14.72]  teaching I don't think people have to
[24:17.51]  spend a ton of time on it because again
[24:19.58]  it's not common it's not common that we
[24:22.16]  use
[24:22.58]  this tents but just so you know what it
[24:24.83]  is we use the future perfect tense is
[24:26.96]  kind of like we are projecting ourselves
[24:29.71]  into the future and then we're looking
[24:32.75]  back at some unfinished action alright
[24:36.05]  so hopefully maybe this little timeline
[24:39.74]  down there will help you out so it's
[24:42.05]  like you have your future action that
[24:44.54]  big X we're projecting ourselves even
[24:47.39]  further into the future all right and
[24:50.03]  then we're kind of looking back at this
[24:52.46]  unfinished action so for example that
[24:55.28]  first example sentence when it gets to
[24:58.61]  midnight maybe I'm thinking to myself
[25:00.38]  like gosh when it gets to midnight I
[25:02.63]  will have been waiting here for two
[25:04.76]  hours so in this situation I'm waiting
[25:08.27]  for somebody I'm waiting a long time and
[25:11.06]  I'm thinking wow when it when it gets to
[25:13.04]  midnight when it reaches midnight that's
[25:15.11]  the point that I'm projecting myself
[25:17.21]  towards to when it gets to midnight
[25:19.55]  what's the unfinished action I will have
[25:22.43]  been waiting here for two hours and
[25:24.44]  we're talking about an action again it's
[25:27.50]  continuous it started in the past it
[25:30.62]  continued to this point in the future
[25:34.01]  and when it gets to that projected point
[25:36.95]  it will likely continue after that so I
[25:40.55]  will have been waiting another good one
[25:44.06]  and this is going to be our practice so
[25:45.95]  by 2019 okay which is we're going to
[25:51.56]  that point in the future 2019
[25:54.17]  all right I will have been studying
[25:56.75]  English for five years so my question to
[26:00.92]  you is by 2019 how long how long will
[26:07.40]  you have been studying English alright
[26:09.08]  how long will you have been studying
[26:11.63]  English okay you are you started in the
[26:14.33]  past you're studying now and when it
[26:18.02]  gets to 2019 hopefully many of you or
[26:21.83]  all of you will still be studying and
[26:24.71]  practicing and improving your English
[26:27.17]  skills so in the chat try you use this
[26:30.77]  one see if you can practice using the
[26:33.05]  future perfect continue
[26:35.30]  by 2019 how long will will you have been
[26:39.80]  studying English again very easy I will
[26:42.83]  have been studying English for how long
[26:45.97]  how many years how many months give us a
[26:50.03]  time and even if you're watching this
[26:52.52]  again like I said later on practice
[26:55.57]  using practice writing these sentence in
[26:58.19]  the comments treat it like a piece of
[27:00.56]  paper like a whiteboard and just write
[27:03.17]  those comments in there and practice
[27:05.06]  these sentences it is good practice so
[27:09.29]  again let me know how long you will have
[27:13.16]  been studying English by 2019 I want to
[27:17.84]  hear from you guys we've got some good
[27:22.12]  excellent you guys have been writing
[27:23.93]  some awesome example sentences so by
[27:28.06]  2018 I will have been studying English
[27:30.59]  for three years perfect excellent by
[27:33.26]  2018 I will have been studying English
[27:34.97]  for the rest of my life okay
[27:37.82]  Hey practice makes perfect it's always
[27:40.85]  good to keep practicing I think we are
[27:43.43]  all lifelong learners by 2019 I will
[27:47.84]  have been studying my English skills for
[27:50.86]  one day more because I'll be done
[27:53.15]  practicing all right well maybe by 2015
[27:56.51]  I will have been calling my wife maybe
[28:00.44]  it's something you're always doing I
[28:03.77]  will have been studying English for
[28:06.46]  three months okay
[28:09.64]  so again you're talking about that
[28:12.61]  duration of time maybe three months to
[28:15.23]  think about years because 2019 is twelve
[28:18.65]  months from now you would have been
[28:20.81]  studying longer than just three months
[28:23.36]  because three months would have been
[28:24.71]  that would be October of this come this
[28:26.78]  year
[28:27.23]  so it's always good it's a little more
[28:30.05]  difficult to kind of grasp the future
[28:32.27]  perfect continuous but it's good to
[28:34.34]  practice so let's talk about something
[28:37.34]  that is more common when we're using the
[28:40.91]  future tense and that is the present
[28:43.07]  simple I know that when most of you
[28:45.80]  think about the present simple tense
[28:48.23]  you're probably thinking about daily
[28:50.30]  routines habits and yes that's something
[28:54.47]  that we use the presence the simple
[28:57.02]  present with those things that you do
[28:59.42]  all the time we also use it to talk
[29:03.11]  about scheduled events all right to talk
[29:06.98]  about scheduled event there should be an
[29:08.78]  S on the end of event there so we use
[29:11.27]  the president the simple present to talk
[29:12.89]  about scheduled events these are things
[29:14.84]  that there is a schedule there is a time
[29:18.47]  some sort of timeframe involved and
[29:21.73]  we're talking about it and we're using
[29:24.59]  the simple present so for example look
[29:27.20]  at that first example her plane arrives
[29:30.35]  next Monday something that's very common
[29:33.65]  it is a scheduled event the plane is
[29:36.50]  arriving well next Monday if you want to
[29:39.98]  use the future tense will or be going to
[29:43.96]  it's fine
[29:45.56]  you know her plane will arrive next
[29:47.21]  Monday that's okay her plane is going to
[29:49.82]  arrive next Monday that's fine as well
[29:51.77]  but we can also and I think it's common
[29:54.32]  to use the simple present when we're
[29:56.93]  talking about these scheduled events you
[30:01.01]  know I'm trying to think why it sky I
[30:03.08]  think it's just something that you know
[30:07.88]  that we we we just at least for me that
[30:10.52]  I kind of grew up with and developed you
[30:12.77]  get in the habit of using this her plane
[30:14.90]  arrives next Monday also again the movie
[30:18.56]  starts at 8 p.m. okay the movie starts
[30:22.34]  at 8 the party is tomorrow night we're
[30:25.31]  talking about all these points in the
[30:27.20]  future but it is some sort of scheduled
[30:29.84]  events so we are going to use the simple
[30:32.36]  present now in the chat what I want you
[30:35.27]  to do or in the comments I want you to
[30:37.67]  tell me about an event that will that
[30:41.72]  that is going to happen next week and I
[30:44.45]  want you to use the simple present all
[30:46.64]  right again you're talking about an
[30:49.22]  event okay it could be a class it could
[30:52.10]  be maybe a train or a bus that you're
[30:55.22]  getting on or a party that you're going
[30:57.20]  to use the simple present right an
[30:59.96]  example sentence and talk
[31:01.64]  about an event that is scheduled for
[31:05.00]  sometime next week next Monday next
[31:07.61]  Tuesday next Wednesday next Thursday
[31:10.19]  next Friday
[31:11.93]  okay so in the chat try practice using
[31:16.25]  the simple present and talk about some
[31:19.31]  scheduled event for next week again this
[31:23.09]  is very very common we use this all the
[31:26.30]  time when we're talking about these
[31:27.71]  events the last thing I want to say
[31:29.72]  about this is when we're talking about a
[31:32.93]  scheduled event it's usually in the near
[31:35.39]  term we're talking about something in
[31:37.40]  the near future either later that same
[31:40.52]  day either the next day or the next week
[31:43.52]  could be something in the same month but
[31:46.64]  you're typically talking about something
[31:48.68]  in the the near future when you're
[31:51.89]  talking about this scheduled event
[31:53.48]  you're not going to talk about something
[31:54.92]  10 20 30 years that's going to happen so
[31:59.03]  it's commonly used when we're talking
[32:02.54]  about that so next Monday school begins
[32:06.32]  again so exactly yeah school begins next
[32:09.38]  Monday perfect excellent example
[32:11.72]  sentence so again thank you guys if
[32:14.45]  you're joining us we're talking about
[32:16.01]  the future and different ways that we
[32:18.83]  can talk about the future so school
[32:23.90]  begins next Monday thank you for sharing
[32:25.64]  with us Katya excellent let's look at
[32:29.48]  this last one that I want to show you
[32:32.36]  about which we use quite regularly as
[32:35.09]  well and that is the present continuous
[32:37.28]  again we're talking about a continuous
[32:40.79]  action and we're talking about we use
[32:45.29]  the present continuous to talk about
[32:47.24]  planned arrangements all right for a
[32:50.15]  future time so this is something in the
[32:52.28]  future and this is a planned arrangement
[32:54.55]  one thing that's different about this I
[32:57.02]  would say is that when you're talking
[32:59.00]  about a planned arrangement it's usually
[33:02.26]  someone's planned arrangement okay
[33:05.47]  something that someone has planned so
[33:08.84]  again this is different from the simple
[33:10.64]  present because we're talking about an
[33:12.53]  event alright we're not talking about
[33:14.45]  something that
[33:15.32]  some of the is going to do because that
[33:17.78]  would be their plans we're talking about
[33:19.79]  with the simple present an event that's
[33:22.43]  going to take place a party a trip or
[33:25.46]  something like that with the planned
[33:27.29]  arrangements with the present continuous
[33:29.99]  it's more of you know something that
[33:32.06]  somebody's doing so for example he is
[33:34.76]  leaving work early tomorrow that is
[33:37.52]  something that he has planned alright
[33:40.22]  he's leaving work early tomorrow if we
[33:42.98]  use the simple present in that he leaves
[33:45.35]  work early that would make you think
[33:47.78]  it's something he does every day if we
[33:50.30]  use the present continuous alright
[33:53.06]  he's leaving work early even if we don't
[33:56.30]  even if we take out tomorrow and say
[33:58.28]  yeah he's leaving work early it makes
[34:00.83]  you think that okay it's something that
[34:02.72]  hey that's going to happen but it's not
[34:05.12]  something that's regular it's not
[34:06.68]  something that happens all the time so
[34:08.42]  he's leaving work early tomorrow the
[34:11.87]  same with that other one I've given you
