Title     : AMERICAN SLANG WORDS 🇺🇸  QUIZ LESSON
Video ID  : FdocSXPK07E
[11:55.60]  be the meaning if if somebody were to
[11:58.40]  ask you are you down? Okay, what do you
[12:02.08]  guys think? A, B, or C? Write your
[12:04.80]  answer in the the chat or write your
[12:08.16]  answer in the comments if you're
[12:09.52]  watching this later. Love it when people
[12:11.44]  participate. And yes, got some good
[12:13.68]  answers. Uh, perfect. Moses Paul um
[12:19.20]  sa Rose uh Albert the answer is a if
[12:23.84]  somebody asks like oh are you down to do
[12:26.08]  this it means you are willing to do
[12:28.48]  something now I would say there's a
[12:30.24]  difference between willing and happy
[12:32.40]  because when you're happy to do
[12:33.60]  something like you're kind of excited
[12:35.36]  and I tried to give you this context of
[12:37.28]  a courthouse nobody really it's not like
[12:39.84]  hey are you down to go to the party and
[12:41.68]  then it's like yeah that's great let's
[12:43.28]  go not many people would want to go to a
[12:46.00]  courthouse, but maybe you're doing your
[12:47.92]  friend a favor and they might say, "Hey,
[12:49.68]  are you are you down to do this? Are you
[12:51.52]  okay to do this with me? Um, are you
[12:54.56]  willing to do something?" And I might
[12:56.80]  ask you, uh, you know, I'd say, "Hey,
[12:59.36]  you know, do you want to do you want to
[13:00.56]  hit that like button? Are you down? Are
[13:02.56]  you down to hit that like button? Are
[13:04.32]  you okay with doing that that favor for
[13:06.96]  me? Because if you do enjoy these
[13:08.48]  lessons, if you like these quizzes that
[13:10.88]  we do, hit that like button. Let me
[13:12.88]  know." Because then that tells me I
[13:15.36]  should do more quiz lessons. I should do
[13:17.36]  more practice lessons like these so you
[13:19.68]  can practice your vocabulary, your
[13:22.16]  knowledge of slang, idioms, expressions,
[13:25.36]  um, grammar, all of it. All right, we
[13:27.60]  can do a bunch of different quizzes. So,
[13:29.76]  I could ask you again, do you want to
[13:31.20]  hit that like button? Are you down? Are
[13:33.44]  you okay? Willing to do something? The
[13:36.32]  next one is a fill-in- thelank again.
[13:40.40]  So, uh, I would say,
[13:43.92]  "I'm so tired. I just want to
[13:48.24]  I'm so tired. I just want to." So, I've
[13:51.52]  given you that situation, that context.
[13:55.44]  What would best complete that sentence?
[13:58.08]  I'm so tired, I just want to. Is it a
[14:01.28]  crash, B snore, or C plop? All right.
[14:07.52]  What What do you guys think? Uh whi
[14:10.40]  which knowing that uh sentence the
[14:14.32]  situation I'm so tired I just want to m
[14:17.76]  what would you say crash snore or plop?
[14:21.12]  A b or c? Yes. Excellent. Um perfect.
[14:25.52]  The falcon uh simo shilpa. Uh
[14:29.28]  sleepwalker. The answer is Stephano.
[14:32.56]  Perfect. A crash. So if somebody says
[14:35.76]  that they just want to crash, it means
[14:38.48]  that they want to go to sleep. And often
[14:42.16]  it's kind of like sleeping suddenly
[14:45.04]  because they are very exhausted. Maybe
[14:48.08]  they have not slept in a long time and
[14:50.24]  they say, "Oh, you know, I just want to
[14:51.60]  crash." Perhaps they've been working
[14:53.60]  very hard and they're tired and they
[14:55.52]  say, "Ah, I just want to crash." Or
[14:57.36]  maybe you've done something physical
[14:59.12]  like running a marathon. And I could
[15:01.04]  say, you know, after the marathon, I
[15:03.68]  crashed. All right. I was so tired that
[15:06.40]  I just crashed. I went to sleep. And I
[15:09.04]  went to sleep suddenly. Excellent.
[15:11.36]  Perfect. I think many of you, many of
[15:12.88]  you were able to get that. To crash is
[15:14.88]  to go to sleep. This one. All right. So,
[15:18.48]  this one I I will tell you is more
[15:21.28]  difficult. It's very regional. So, this
[15:24.96]  is not one that many people across the
[15:28.08]  United States are familiar with. It's
[15:30.32]  not even one that I was very familiar
[15:32.48]  with uh until doing some research and
[15:34.96]  actually traveling. We traveled to the
[15:37.28]  Northeast. We traveled to the New York
[15:39.04]  area. Um I think it was yeah about a
[15:42.48]  couple years ago and I heard this word
[15:44.08]  being thrown around. So, this means
[15:45.84]  something is messed up. All right? It's
[15:49.04]  messed up or it's of poor quality.
[15:52.88]  something is messed up or poor quality.
[15:55.60]  What What word means that? Is it a
[15:58.40]  wicked, b janky, or c bummer? What do
[16:03.12]  you guys think? And you're saying, "Wow,
[16:04.64]  this thing this thing is what? If it's
[16:07.44]  poor quality, is it wicked, janky, or
[16:10.00]  bummer?" And I tried to put those phones
[16:12.00]  in the background. I don't know if you
[16:13.52]  could see it. They're just these phones
[16:15.36]  that look like old, broken phones. They
[16:18.48]  don't work. They're very poor quality.
[16:21.36]  You would say that it is what? What do
[16:23.68]  you think is the right answer? Yes. Uh,
[16:26.40]  excellent. Jasmine, uh, Jessica,
[16:29.28]  Jessica, Ruth, um,
[16:33.04]  Fia, perfect. The answer is B. Jankee.
[16:36.24]  Many of you got that. How did you know?
[16:38.40]  This was again, if you saw one of our
[16:40.80]  previous lessons, we talked about this
[16:42.88]  slang that is really regional um, on the
[16:45.76]  east coast of the United States. If
[16:47.76]  you're talking about something that's
[16:49.04]  poor quality, you could say it's messed
[16:51.36]  up. It's it's janky. All right? So, it
[16:53.36]  is used as an adjective, but again, many
[16:56.96]  many Americans probably are not familiar
[16:59.28]  with this word. Uh, so it it's something
[17:02.24]  you you might hear on a TV show or
[17:04.32]  movie. It's good for your comprehension,
[17:06.48]  but you don't necessarily, if you are an
[17:08.72]  English learner, you don't need to try
[17:10.32]  and go out and oh, let me use this word
[17:12.80]  because some people are going to be
[17:13.92]  like, what are you talking about? What
[17:15.44]  is janky? Um, so janky is something
[17:18.24]  that's poor quality. Like this phone
[17:20.00]  right here, this is an old phone. All
[17:22.80]  right, it is not high quality. You could
[17:24.96]  say, "Wow, that phone that that's a bit
[17:26.64]  janky." All right, it's it's not very
[17:28.72]  good. Okay, so ex I want to give you
[17:31.28]  guys a quick little update or not an
[17:33.52]  update, but just let you know something.
[17:35.20]  If you guys like these lessons, if you
[17:37.52]  like what we do here, you can check out
[17:39.92]  our Patreon page. It is a great way to
[17:42.72]  support our lessons, support what we do.
[17:44.88]  We offer some cool rewards and I will
[17:47.84]  throw a link in the chat right there in
[17:51.68]  case you haven't gone there and checked
[17:53.28]  that out. If you don't want to, that is
[17:55.60]  okay. We are still going to keep doing
[17:58.00]  these free English lessons because we
[18:00.48]  just like helping you practice and
[18:02.56]  improve your English and actually just
[18:04.32]  growing this this global classroom that
[18:06.80]  we have. It's amazing. It's awesome. So,
[18:09.52]  you can check that out. Let's continue
[18:11.60]  the quiz. Are you ready for the next
[18:13.12]  one? So, I'd say this again. Think about
[18:17.44]  it as, you know, I put quotes there.
[18:20.16]  Somebody's talking. They're saying this.
[18:22.80]  I'm not sure about this. It all seems a
[18:25.52]  bit sketchy. All right. The word, the
[18:28.16]  slang word is sketchy. I've highlighted
[18:31.12]  it in red. So, again, somebody would
[18:33.20]  say, "I'm not sure about this. It all
[18:35.12]  seems a bit sketchy. What do you think
[18:37.12]  that means?" I I think maybe I'm giving
[18:39.60]  it away with my intonation in the way
[18:41.84]  that I'm looking at the camera. Is it a
[18:44.48]  suspicious, b detailed, or c confusing?
[18:49.76]  Which which word if somebody says that
[18:52.72]  something seems sketchy or something
[18:55.04]  looks sketchy? You could even say that
[18:58.00]  somebody is acting sketchy. And I'm
[19:00.48]  really giving away the answer right now
[19:02.56]  because there's really just one one
[19:05.12]  adjective that really describes that.
[19:07.76]  All right. Is it A, B, or C? Suspicious,
[19:10.24]  detailed, or confusing? Yes. Excellent.
[19:13.12]  Um, Rose, Angela. Um,
[19:17.52]  who is it? Love music. Perfect. All
[19:19.28]  right, Zoe. The answer is a somebody is
[19:23.52]  suspicious or some you could say some
[19:25.76]  plan or situation, some idea. It looks
[19:29.60]  it it's just sketchy. All right, it's
[19:31.52]  suspicious. You shouldn't be trusted.
[19:33.60]  So, it it means that something if
[19:35.76]  something is sketchy, it is suspicious
[19:38.16]  or out of place. And again, you could
[19:40.00]  use it to describe a person. Like this
[19:42.16]  guy right there. This guy. This guy
[19:43.76]  definitely looks sketchy. All right. I
[19:46.00]  don't know what I was doing in that
[19:47.68]  picture, but I do. I think I look a
[19:49.68]  little sketchy. Uh you could describe a
[19:51.92]  situation. You know, somebody's plan
[19:54.40]  like, "Hey, let's do this. What do you
[19:55.92]  think of my idea?" And you'd be like,
[19:57.28]  "Yeah, it looks it seems a little
[19:58.64]  sketchy to me." All right. I'm a little
[20:00.24]  suspicious of it. So, sketchy is
[20:03.12]  suspicious. The next one is right here.
[20:07.44]  How would you fill in that blank? Okay,
[20:10.96]  there's the car I call.
[20:14.80]  All right, now this one I I don't know
[20:18.40]  if it's still used as often. This one I
[20:21.76]  used a lot when I was younger. I used
[20:24.24]  this word a lot to talk about this
[20:26.80]  situation. Oh, there's the car. I call m
[20:30.24]  a bumper, b lemon, c shotgun. Which word
[20:35.76]  would complete that sentence? So that
[20:37.68]  that makes sense. Oh, there's the car. I
[20:40.24]  call m. Would you call bumper, call
[20:43.04]  lemon, or call shotgun? What do you guys
[20:45.36]  think? This was one of the first slang
[20:48.24]  lessons that we did and I talked about
[20:50.64]  this. And yes, uh Paul, I can. Uh
[20:55.92]  um Simo anonymous, you don't know.
[20:58.72]  That's okay. If you don't know, I will
[21:00.08]  tell you the answer. Perfect. I like
[21:01.60]  your I like your honesty. Um Banini Lai,
[21:04.96]  yes, the answer is C. Shotgun. So this
[21:09.44]  when you're talking about shotgun, of
[21:11.60]  course it would mean like a gun, but the
[21:14.56]  literal meaning would be a shotgun. Uh,
[21:17.20]  but it is a noun and it all it means if
[21:19.92]  somebody calls shotgun, they're talking
[21:22.48]  about riding in a car and they're saying
[21:25.68]  that that they want to sit in the front
[21:29.68]  passenger seat. So, like I said, when I
[21:33.20]  was younger, uh, you know, I'm hanging
[21:35.44]  out with my friends, there's three or
[21:38.24]  four people and everybody wants to sit
[21:40.96]  in front with the driver. So you would
[21:43.52]  call shotgun and you would make a game
[21:45.84]  out of it. Like in order to call
[21:47.84]  shotgun, you have to see the car. So you
[21:50.64]  have to wait until you're outside and
[21:52.32]  once you see the car, then somebody
[21:53.76]  call, "Oh, shotgun." Or they say, "Oh, I
[21:55.92]  call shotgun." And that means that
[21:57.76]  person gets to sit in the front
[22:00.00]  passenger seat. Again, I don't know.
[22:02.40]  This this slang may be out of date, but
[22:04.96]  you you might hear it if you're watching
[22:06.96]  a movie or a TV show um or listening to
[22:10.40]  somebody old like me talk about when
[22:13.20]  they were younger and they were call
[22:14.96]  calling shotgun. I call shotgun. The
[22:17.20]  next one that I have for you is and this
[22:19.28]  one this one I think is more common.
[22:21.84]  This is more um well known across the
[22:26.24]  United States to me and it says you know
[22:29.28]  this means to borrow something. It's
[22:31.44]  very simple. It means to borrow
[22:33.20]  something. Um, also I'd say not just to
[22:36.32]  borrow, but also just to have something
[22:39.20]  because when you borrow something, you
[22:40.80]  kind of give it back. But in this
[22:42.40]  context, uh, you're not always giving it
[22:44.72]  back. So, I should have added that. So,
[22:46.88]  it means to borrow, but also to get
[22:49.44]  something to to have it. So, you can
[22:51.28]  have it. It's yours. So, what what does
[22:53.52]  that mean? Does it mean a snag, bum, or
[22:58.40]  c buck? All right. Which which of those
[23:02.48]  words means to borrow or to get
[23:05.36]  something? All right. Um, seeing some
[23:08.24]  different answers. Excellent. Um, some
[23:11.52]  more shoutouts. Wait a second. It's
[23:13.52]  going so fast. Uh, Alberto Schilpa, very
[23:17.04]  nice. Um,
[23:19.36]  Zeissors, sorry if I mispronounced the
[23:21.52]  names. Yes, we're talking about be to
[23:25.44]  bum. So if you bum something from
[23:28.00]  another person then you are borrowing it
[23:30.88]  from that person. But it also again
[23:33.68]  you're not you might not just be
[23:35.12]  borrowing it. You might just be getting
[23:36.80]  that person is giving you this thing to
[23:39.12]  borrow something. And I think a very
[23:42.72]  common situation it's used in is talking
[23:45.60]  about smoking. All right. you if
[23:48.32]  somebody smokes and you don't have a
[23:50.56]  cigarette, you might ask your friend or
[23:53.12]  you might ask another person on the
[23:54.88]  street and you say, "Hey, can I bum a
[23:56.72]  smoke? Can I have a smoke?" In this
[23:59.12]  case, you're not borrowing it because
[24:00.40]  you're not going to give it back, but
[24:01.76]  you're asking them, "Can I have this
[24:03.44]  thing? Can I bum a smoke?" Oh, or maybe
[24:06.08]  you're talking about, and I put no
[24:07.60]  smoking because we don't we're not
[24:09.76]  really wanting to encourage you to smoke
[24:11.60]  or anything. Uh I I just put the no no
[24:14.08]  smoking. There's no smoking in this
[24:15.52]  class. um even though I don't know if
[24:17.76]  you are smoking or not. So you could say
[24:20.08]  you might hear it in that context to bum
[24:21.92]  a smoke maybe money and you say like oh
[24:24.96]  in this case you're talking about a very
[24:26.88]  low amount. Can I bum a few dollars? Can
[24:29.68]  I bum a few dollars? Uh you know just uh
[24:33.20]  I I'll pay you back. In that case they
[24:35.20]  would you would try to pay somebody
[24:37.04]  back. Can you bum something? All right.
[24:39.52]  Can you bum a smoke? Um so it could be
[24:42.16]  cigarettes. Uh yes. It could also be
[24:44.40]  talking about marijuana too. That that
[24:46.32]  is also a smoke. Can you bum something?
[24:48.64]  So to bum is to borrow or to have. All
[24:51.84]  right, let's look at the next one. And
[24:54.88]  this one this one is outdated. Not
[24:57.12]  outdated. It's actually one that younger
[24:59.04]  people are using. I I am the person who
[25:01.36]  is outdated. Um but somebody might say,
[25:03.84]  you know, oh this party is lit. All
[25:06.08]  right, this party is lit. What does it
[25:09.36]  mean lit? That is the slang that that
[25:12.64]  people would use. Does it mean that is
[25:15.76]  it describing something that is a
[25:18.16]  exciting, b out of control, or c just
[25:22.80]  getting started? All right. So, I tried
[25:25.68]  to make the the party, which is the
[25:27.92]  situation, I I tried to make the answers
[25:30.16]  applicable, but there is really just one
[25:32.56]  answer. If somebody says, "Oh, this
[25:34.08]  party is lit." What are they talking
[25:36.40]  about? And yes, excellent. Um,
[25:40.80]  Cathi, perfect. Milan, um, Kareem, uh,
[25:46.80]  Roose Zafar. Yes, the answer is a a
[25:50.64]  exciting. So, it is used as an adjective
[25:53.20]  to describe something that you really
[25:55.76]  enjoy like, oh, this party is lit. These
[25:59.12]  live lessons are lit. Yes, they are so
[26:02.16]  exciting, so amazing. At least I hope
[26:04.40]  so. So again, this is something it's not
[26:08.16]  a word that I often use. I feel like
[26:11.04]  when I say it, it just doesn't sound
[26:13.28]  natural. Um because I'm not used to
[26:15.44]  saying it. I think again younger
[26:17.76]  generations say it, people who are
[26:19.60]  teenagers, maybe in their 20s, they
[26:21.92]  might talk about something and say, "Ah,
[26:23.76]  you know, this YouTube channel is lit.
[26:26.24]  It's exciting. It's amazing. It's
[26:28.16]  excellent." All right. The next question
[26:30.96]  that I have for you is this one. It's
[26:33.60]  another fill in the blank. So, uh, to,
[26:37.92]  you know, to give you the situation,
[26:39.76]  say, you know, hey, where where are you
[26:41.52]  going? Don't m on me. Where are you
[26:45.04]  going? Don't m on me. Which word best
[26:49.68]  completes the sentence? These are the
[26:51.20]  slang words. Is it a ditch, B jump the
[26:55.52]  shark, or C bail? All right. What What
[26:59.68]  do you think? Don't m on me.
[27:03.20]  A ditch. B jump the shark. C bail. Which
[27:07.68]  word best completes that situation?
[27:10.24]  Where are you going? Don't m on me. What
[27:13.12]  do you think is the answer? A, B, or C?
[27:17.36]  All right. I'm seeing again, if you guys
[27:19.28]  are just joining us, we are doing a
[27:20.72]  slang quiz. So, stick around, answer
[27:23.20]  some questions. Uh, great way to
[27:25.44]  practice your English skills. So, yes,
[27:28.08]  Ruth, Freddy, hot flesh. Uh,
[27:31.92]  excellent. Um,
[27:34.48]  Louisa Adrian, yes, the correct answer
[27:36.88]  is C. Don't bail on me. So, in that
[27:40.56]  context, somebody says, "Where are you
[27:41.84]  going?" which means that somebody is
[27:44.08]  leaving. Where are you going? Don't bail
[27:46.40]  on me. Don't leave me. Um, ditch means
[27:50.00]  the same thing. Ditch is also to leave,
