Title     : Advanced American Idioms 🇺🇸  | QUIZ LESSON
Video ID  : LlbbezgA48w
[05:02.40]  which refers to it's used informally in
[05:05.12]  speech
[05:06.16]  to say that a person was being talked
[05:08.16]  about and then they suddenly appear
[05:10.32]  the next one that i have for you is this
[05:14.16]  and this one i think is a little more
[05:16.56]  it's not as
[05:17.60]  common but i it's good again it's good
[05:20.96]  for your comprehension
[05:22.24]  they say i understand it's a big risk
[05:24.88]  but we need to
[05:27.36]  that's the idiom the key word that i'm
[05:30.08]  giving you is
[05:30.88]  caution
[05:35.68]  the answer is to throw caution
[05:39.04]  to the wind if you're saying that you're
[05:42.16]  going to throw caution to the wind
[05:44.64]  it's basically saying that you're going
[05:46.72]  to
[05:47.76]  you're not going to be careful to throw
[05:50.24]  caution to the wind to give you the
[05:51.76]  meaning is to behave in a way
[05:53.92]  that is not considered sensible
[05:57.04]  or careful to throw caution to the wind
[06:01.04]  all right now let's look at this next
[06:03.36]  one
[06:04.48]  here's another conversation that these
[06:07.92]  um these three ladies are having
[06:11.76]  uh she says i need your help finding my
[06:14.24]  ring
[06:15.12]  so the ring is lost it's so valuable to
[06:18.64]  me
[06:19.12]  before they start looking for the ring
[06:22.48]  perhaps she uses this idiom right here
[06:29.12]  the idiom that i'm referring to is when
[06:32.08]  you would tell somebody
[06:33.60]  leave no stone unturned so in this
[06:36.88]  situation
[06:37.76]  i was trying to think that well the ring
[06:39.52]  is valuable it's very
[06:41.20]  precious they're going to look for it
[06:43.28]  and she might say
[06:44.32]  leave no stone unturned it means to do
[06:47.44]  everything
[06:48.00]  you can to achieve a good result
[06:51.20]  but i think it's it's typically used in
[06:53.76]  the context of
[06:55.04]  looking for something you're trying to
[06:56.80]  find it and you would leave no stone
[06:58.88]  unturned
[06:59.44]  uh the next one that i have for you
[07:01.20]  again is this
[07:02.64]  situation um this
[07:05.76]  this person right here saying i don't
[07:08.48]  want to hear a long explanation
[07:10.40]  please just what and then that's that's
[07:14.24]  the idiom
[07:15.12]  the key word is chase
[07:21.92]  so i don't want to hear a long
[07:22.96]  explanation please just
[07:25.52]  cut to the chase cut to the chase it
[07:28.80]  means
[07:29.28]  that you're you're telling somebody
[07:31.68]  quick like come to the point
[07:33.60]  what are you trying to say what are you
[07:35.12]  trying what point are you trying to make
[07:37.36]  cut to the chase i'm trying to switch it
[07:39.44]  up in the way that we're practicing
[07:41.28]  these
[07:42.08]  and now it's going to be even a little
[07:44.40]  more difficult
[07:45.20]  so i'm going to give you the situation
[07:48.08]  and i want you just to listen to what
[07:50.08]  i'm saying
[07:50.72]  listen to the situation and then i may
[07:53.28]  give you
[07:54.00]  a key word that has that
[07:57.12]  that the idiom has and you can try to
[07:59.60]  guess it
[08:00.40]  in this first one uh it's talking about
[08:02.72]  a situation
[08:03.68]  in that somebody is not
[08:07.12]  speaking directly all right and
[08:10.80]  maybe another person is just saying look
[08:12.96]  just tell me what's on your mind please
[08:15.36]  cut to the chase give it to me straight
[08:18.32]  and they might be telling this person
[08:20.24]  stop stop doing this thing and that's
[08:23.44]  the idiom
[08:24.08]  stop speaking indirectly instead of
[08:27.28]  saying that they're going to use this
[08:29.04]  idiom and say
[08:29.84]  stop what
[08:35.12]  to beat around the bush so if somebody's
[08:37.92]  doing that again i tend to do
[08:39.92]  that and not come and somebody would say
[08:42.24]  wes cut to the chase
[08:43.84]  stop beating around the bush just just
[08:46.32]  say whatever it is you want to set
[08:48.08]  you're avoiding talking
[08:49.44]  to someone i think most people do it
[08:51.76]  because it's unpleasant or it's
[08:53.28]  difficult to
[08:54.00]  talk about so they might beat around the
[08:56.16]  bush so let me give you another
[08:58.72]  situation if you want to use an idiom
[09:01.92]  that they've taken your idea and
[09:04.96]  it's maybe a good idea and now you
[09:07.44]  cannot
[09:08.24]  get sick you cannot have success you're
[09:10.64]  not gonna get praise for this great idea
[09:13.28]  you'd say well that person did what
[09:16.56]  and think of the word steel that would
[09:18.56]  be the key word that i'm gonna give you
[09:20.48]  in this context in this situation and
[09:23.28]  you say oh no
[09:24.48]  you did what
[09:30.00]  i'm talking about the idiom to steal
[09:32.48]  someone's thunder
[09:33.76]  so in that context that situation that i
[09:36.00]  gave you right here
[09:37.60]  these people are talking and this person
[09:39.68]  says i was going to get her
[09:41.76]  that same birthday present you totally
[09:44.96]  stole
[09:45.44]  my thunder so to steal someone's thunder
[09:48.24]  is you are preventing them
[09:49.84]  from um that praise or that success to
[09:53.68]  steal someone's thunder
[09:55.04]  let me give you uh another situation
[09:58.80]  um the next one so
[10:01.92]  this would be a situation in which
[10:06.00]  think about you are competing in some
[10:08.64]  kind of competition
[10:10.64]  and before the competition begins
[10:14.88]  the the rules change and because of that
[10:18.48]  you are surprised you're confused
[10:21.76]  you're you don't know what to do
[10:24.80]  and i could say wow this really
[10:28.08]  what and the key word that i would give
[10:30.56]  you is loop
[10:36.08]  what you would say is this here's the
[10:37.76]  situation at the last minute
[10:39.68]  they changed the rules of the
[10:41.12]  competition and it
[10:42.72]  really threw our team for a loop and
[10:46.16]  typically i think you would use it in
[10:48.64]  a situation in which you are you are
[10:51.48]  temporarily
[10:52.72]  unfocused and you're not sure what to do
[10:55.52]  and then you
[10:56.32]  you refocus and you're able to in this
[10:59.20]  case like um
[11:00.32]  you're able to compete in the
[11:01.76]  competition and you're
[11:03.92]  you're just going to do the best you can
[11:05.84]  but for a quick for a brief moment
[11:08.00]  you were you were thrown for a loop the
[11:10.32]  next situation
[11:11.68]  uh that i have for you over time maybe
[11:15.12]  your place
[11:15.76]  starts to get a little messy and you you
[11:19.04]  know that you need to clean up
[11:21.52]  and as it begins to get messier and
[11:24.88]  messier you could say well
[11:26.88]  this is really starting to what
[11:30.80]  and the the key word that i'll give you
[11:33.28]  that's hand
[11:34.32]  hand that's part of the idiom over time
[11:37.12]  you haven't cleaned in a while
[11:38.72]  everybody's very busy it's getting
[11:40.48]  messier and messier and you say oh
[11:42.24]  goodness this is really
[11:43.76]  uh this is really starting to what
[11:50.64]  here it is let me show you the situation
[11:53.52]  so somebody might say we really need to
[11:55.12]  clean up our place
[11:56.24]  this mess is starting to get out of hand
[11:58.48]  and say yeah
[11:59.52]  you're right so in that case
[12:03.28]  if something is getting out of hand it's
[12:05.84]  getting out of control
[12:07.52]  it's a situation it becomes chaotic and
[12:10.24]  sometimes it's unmanageable so you could
[12:12.64]  say it's
[12:13.44]  getting out of hand before this lesson
[12:16.16]  gets
[12:16.56]  out of hand i want to make a quick
[12:17.84]  announcement you guys like what we do
[12:19.60]  want to show us some love
[12:21.68]  want to sponsor interactive english with
[12:24.80]  a membership patreon links are down
[12:26.64]  below
[12:27.44]  in the description here is a list of the
[12:29.84]  idioms from today's lesson
[12:31.76]  if you want to take a snapshot a
[12:33.52]  screenshot of these idioms
[12:35.36]  go for it i'm not going to include these
[12:38.00]  idioms
[12:38.64]  in the description typically i will do
[12:41.20]  that so people can review but in this
[12:43.04]  case
[12:43.44]  it was more of a quiz lesson so i do not
[12:45.84]  want to give the answers
[12:47.44]  and again the idea is not for you to
[12:50.48]  just go out and try and start using
[12:52.32]  these idioms it does
[12:53.92]  take some time to learn idioms and use
[12:56.80]  them
[12:57.20]  in the correct context it's mostly i
[13:00.08]  think for your comprehension
[13:01.84]  because we people use idioms in everyday
[13:04.40]  conversation
[13:05.44]  so these are idioms that you will hear
[13:07.84]  in
[13:09.04]  movies tv shows podcasts songs
[13:12.16]  so here is a list of the idioms that we
[13:14.16]  talked about today there were 12
[13:16.00]  in total i hope that you learned some
[13:18.24]  new ones
[13:19.04]  and if you enjoyed the lesson please hit
[13:22.16]  that like button
[13:23.12]  down below all right i'm gonna go now
[13:25.04]  i'm gonna end the lesson
[13:26.32]  because probably i might be starting to
[13:29.28]  drive you guys
[13:31.04]  up the wall
