Title     : ADVANCED DENTAL VOCABULARY 🦷   | Words & phrases you should know
Video ID  : v4Nx-tBHkvU
[03:37.76]  that you may hear if you're you're at
[03:39.88]  the dentist and they may talk about
[03:42.00]  Decay that's happening all right then we
[03:45.56]  have
[03:47.60]  no I think I think more of you will get
[03:50.24]  this one a damaged area
[03:53.84]  in the the hard surface of your teeth
[03:57.68]  that develop into time tiny holes
[04:02.00]  what are we talking about here and again
[04:06.32]  I've already mentioned that this first
[04:08.04]  part these are words and phrases you
[04:10.00]  need to know very common you go to the
[04:12.32]  dentist and especially if you're
[04:13.96]  traveling in uh whether you live in an
[04:16.36]  English-speaking country or you're
[04:17.84]  traveling in an English-speaking country
[04:19.92]  and you may need to go to the dentist
[04:21.80]  this is very useful so if we're talking
[04:23.76]  about a damaged area in the hard surface
[04:27.48]  of your teeth that they develop in you
[04:30.36]  know into these tiny holes in that case
[04:35.24]  we're talking about a cavity and I'm
[04:38.80]  sure that well I don't know I can only
[04:41.60]  speak uh for myself over the years of
[04:44.52]  course I feel like I have had cavities
[04:46.84]  from time to time I I think it's a
[04:49.20]  normal thing that people many people
[04:52.40]  experience when they go to the dentist
[04:55.00]  they they have a cavity all right uh if
[04:58.04]  you have ever had a cavity
[05:00.48]  hit that like button all right that'll
[05:02.08]  let me know kind of give me a sense of
[05:03.72]  okay maybe wow a lot of people have
[05:05.52]  cavities so the next one
[05:10.32]  is think about the the process that
[05:12.28]  we're following okay the dentist says
[05:14.44]  yes there is Decay oh you have a cavity
[05:19.08]  now we need to treat that cavity what
[05:22.32]  are they going to do this is used to
[05:25.16]  treat a small hole or cavity in a tooth
[05:29.96]  so that small hole again it's just a
[05:32.92]  another cavity is another way of saying
[05:35.24]  it that's that meaning so like I said
[05:39.20]  this is this is actually what the the
[05:41.56]  experience I had a few weeks ago the
[05:44.00]  dentist talked about Decay and there a
[05:46.44]  oh yes there's a cavity and we're going
[05:49.24]  to have to do what we're going to you
[05:52.92]  need a what this is used to treat a
[05:56.32]  small hole in this case we're talk
[05:59.68]  talking about a filling nice Julia Loi
[06:03.72]  well done so once again if you've had a
[06:07.20]  cavity then it's likely that you've also
[06:10.04]  had a filling and this is what it's
[06:12.08]  called in English if you go to the
[06:14.52]  dentist and they may ask you stuff like
[06:16.52]  oh you know when's the how many fillings
[06:19.04]  do you have or you know they can tell
[06:21.12]  when they look inside your mouth you
[06:23.12]  know how many feelings you've had over
[06:25.00]  the years so again kind of going through
[06:28.56]  that process to DEC cavity filling very
[06:32.28]  common if you go to the dentist
[06:35.04]  so now you can look at the picture the
[06:38.24]  picture accurately represents the the
[06:41.92]  word or words that I'm talking about
[06:44.48]  this is a person who is trained and
[06:47.92]  licensed to clean teeth take dental
[06:50.84]  X-rays and provide relat related dental
[06:54.28]  services and care
[06:57.72]  this is somebody who works um well at a
[07:02.84]  dentist office
[07:05.32]  it's not the the title is not dentist
[07:09.48]  but it's the other person or people
[07:11.88]  there may be two or three that also work
[07:14.84]  there what would you call this person
[07:18.32]  generally they do the cleaning they take
[07:21.40]  the x-rays this is again what happened
[07:23.76]  when I went in there a few weeks ago I'm
[07:25.44]  not talking about the dentist but the
[07:27.92]  person who I I would say is is helping
[07:30.88]  out the dentist and doing some of these
[07:33.92]  other activities what would you call
[07:38.08]  this person I know everybody's thinking
[07:40.28]  like you got dentist in your mind I
[07:43.16]  think a dentist is also somebody who's
[07:45.48]  train to clean teeth take dental X-rays
[07:47.88]  but I'm not talking about that the
[07:49.60]  person who works with a dentist so think
[07:52.68]  about it like at a um Hospital you have
[07:56.56]  a doctor and then the nurse would also
[07:59.00]  take care of patients and help them but
[08:01.56]  it's not a nurse because if we're
[08:03.72]  talking about a dentist well in that
[08:05.96]  case we're talking about a dental
[08:09.08]  hygienist so a dental hygienist is the
[08:12.40]  person who's helping out the dentist
[08:14.56]  they may end up cleaning your teeth
[08:16.92]  they'll do the x-rays so again this is a
[08:19.60]  a good phrase or a good word uh phrase
[08:22.28]  that you could know because it's a job
[08:24.76]  that somebody uh may have and they say
[08:27.08]  yes I am a dental hygienist and you also
[08:30.16]  I mean just like dental school you go to
[08:32.20]  school you have to go to school to
[08:34.16]  become a dental hygienist
[08:36.84]  okay now
[08:41.28]  this is this was actually in a lesson
[08:44.16]  that I did a few weeks ago unrelated to
[08:47.64]  uh the dentist because that is our topic
[08:49.72]  today but this is talking about the last
[08:53.92]  tooth to come in at the back of each
[08:58.00]  side of both both your upper and lower
[09:01.04]  jaw and they are there sometimes they
[09:05.08]  come in a lot I I think often people get
[09:08.60]  them removed I know I had mine removed
[09:13.20]  and we're talking about what and this is
[09:17.52]  sometimes you may have this conversation
[09:19.56]  when people are talking about their
[09:21.08]  teeth when they're especially these
[09:23.96]  teeth in particular
[09:27.08]  we're talking about your
[09:30.40]  what I think you guys probably can guess
[09:33.56]  this so again the last tooth at the very
[09:36.08]  back and sometimes they don't come in
[09:38.88]  and you don't need to get them taken out
[09:40.96]  but if they do come in and you got to
[09:42.80]  remove your wisdom tooth so you could
[09:46.80]  say you know one would be your wisdom
[09:48.84]  tooth but in general you have wisdom
[09:52.04]  teeth on both sides at the very back of
[09:55.72]  your upper and lower jaw your wisdom
[09:58.60]  teeth
[10:00.12]  well done so again the these are common
[10:03.72]  words this is useful vocabulary dentist
[10:07.08]  deay cavity filling dental hygienist
[10:11.28]  wisdom tooth so the next part that I
[10:13.92]  want to do because we're going to switch
[10:15.72]  it up as we go through the lesson again
[10:18.04]  if you're joining us just write your
[10:19.96]  answers in the chat write your answers
[10:22.28]  in the comments because this is
[10:24.20]  interactive English it's all about
[10:25.80]  participating and practicing your skills
[10:29.04]  now I want you to identify the pictures
[10:32.52]  simple enough I'm going to show you the
[10:34.40]  picture and I want you to tell me well
[10:38.68]  what what is the word what vocabulary
[10:40.68]  word am I talking about so here's the
[10:43.44]  first one
[10:45.28]  now
[10:46.88]  I yeah I don't want to give it away I
[10:48.40]  think you can look at the picture and
[10:51.40]  tell okay this is what we're we're
[10:54.28]  talking about
[10:56.64]  what what word
[10:59.76]  captures this picture right here it's
[11:02.24]  something that again everybody I think
[11:05.68]  should do the dentist for sure will tell
[11:09.24]  you to do this each day and they say you
[11:11.88]  need to use M
[11:14.84]  or you could use it as a verb you need
[11:16.92]  to M your teeth
[11:20.76]  so the answer is floss nice LLY Manuel
[11:27.04]  uh Julia so floss it can look like this
[11:30.64]  you have those sticks with the the
[11:32.68]  string between there that is the floss
[11:36.16]  or you could it comes in a pack and you
[11:38.88]  just take the floss wrap it around your
[11:40.64]  fingers that's what I do each night and
[11:42.80]  then you floss in between your teeth so
[11:45.52]  like I said it could be a noun and the
[11:48.08]  dentist says you need to use floss or
[11:50.72]  you could use it as a verb to floss to
[11:52.76]  floss your teeth
[11:55.24]  what are these and this is something
[11:58.60]  that
[12:01.48]  uh people like I had them when I was
[12:04.48]  younger
[12:06.28]  and I think it's I I want to say it's
[12:09.12]  fairly common honestly I I don't know
[12:12.48]  I'm a teacher I'm not a dentist but once
[12:15.60]  again when it comes to your teeth when
[12:17.72]  it comes to taking care of your teeth
[12:20.76]  this is something that you you see
[12:22.96]  people have this and generally I think a
[12:26.92]  lot of times when they're younger but
[12:28.36]  even when they're older I've seen people
[12:30.80]  um have these and we're talking about
[12:34.72]  braces yes you have braces elel Wally
[12:38.92]  Manuel uh viia great so again hopefully
[12:43.40]  the some of this may be new uh I think a
[12:46.40]  lot of this is pretty common right now
[12:48.76]  when we do that final part I'm pretty
[12:51.00]  sure there's a word or two you you
[12:53.32]  haven't heard of before unless I don't
[12:55.64]  know unless you're a dentist or a dental
[12:57.44]  hygienist then maybe you have what is
[12:59.56]  this uh we're looking at a picture of
[13:02.00]  what right here and what I'm talking
[13:04.84]  about is this liquid right here in the
[13:08.40]  bottle that she's pouring into either
[13:11.48]  the cup or the cap maybe I'm not really
[13:14.80]  sure but she's pouring it in there and
[13:17.92]  then she's well I don't want to give it
[13:20.36]  away she's going to do what but what is
[13:22.92]  she using that is also something that I
[13:26.32]  think people use daily again in order to
[13:30.20]  take care of their teeth and just
[13:32.12]  practice uh good hygiene so we're
[13:35.80]  talking about mouthwash okay she's using
[13:40.52]  mouthwash nice haa yanu Tanya okay
[13:44.32]  excellent then we have
[13:47.88]  this right here now this one may be uh a
[13:50.28]  little trickier
[13:53.44]  what are what's this
[13:56.52]  I I'll go ahead and tell you that the
[13:58.60]  these are not real teeth these are fake
[14:02.32]  teeth but people will use them
[14:06.56]  and I think in general older people use
[14:11.24]  these or will have them again that's not
[14:13.80]  always the case but uh in general
[14:16.68]  somebody who's older may have what and
[14:19.68]  this is a picture of them right here I
[14:22.84]  kind of told you what they are they're
[14:24.08]  not real teeth they're fake teeth and
[14:27.08]  you would say that you have
[14:29.64]  what see the answer in there you're
[14:32.08]  right Lolly
[14:34.32]  so we're we're talking about Dentures so
[14:39.28]  Dentures are just yeah artificial fake
[14:43.36]  teeth but again people have them they
[14:46.48]  need them uh maybe
[14:49.72]  I'm not really again sure what what what
[14:52.28]  would lead to someone getting Dentures
[14:54.32]  but generally speaking older people may
[14:56.56]  have dentures and yes they are not real
[15:02.12]  this is
[15:04.52]  I guess you could say it's a it's a well
[15:06.48]  part of our body it's part of our mouth
[15:08.92]  and I tried to find an image that
[15:13.28]  captures what I'm talking about so what
[15:15.44]  part of your mouth right there she's
[15:17.12]  showing you uh I'm assuming I think that
[15:19.96]  may be a woman in the picture but she's
[15:22.28]  showing you her what what what are those
[15:26.40]  in your mouth and this is one of the
[15:29.32]  reasons why I think people would also
[15:31.48]  use mouthwash they use mouthwash to
[15:34.76]  really have strong healthy what and the
[15:39.36]  word that we're talking about are gums
[15:43.96]  you want to have strong healthy gums
[15:48.16]  and again I think this is more common um
[15:52.16]  than than some of those others gums
[15:54.24]  mouthwash I think these are things you
[15:56.60]  hear all the time you go to the dentist
[15:58.28]  that they tell you things you need to do
[16:00.36]  you need to use floss uh try to use
[16:03.44]  mouthwash I don't know if you'll
[16:06.32]  probably may not be talking about
[16:08.40]  Dentures um it depends on you know where
[16:11.80]  you're at in your life and and the the
[16:15.00]  maintenance that you have uh to do with
[16:16.68]  your teeth but Vicki and Gustaf said
[16:18.68]  they cost $8,000 I did not know that
[16:20.80]  that Dentures were that expensive
[16:23.76]  okay so the next part of this quiz is
[16:28.36]  just complete completing the sentence
[16:29.76]  I'm going to give you the sentence I'll
[16:31.24]  give you the meaning of the missing word
[16:34.80]  and I want you to tell me which word
[16:37.84]  goes in the blank and each sentence
[16:39.96]  there are two of them there are two
[16:42.04]  missing words so the first sentence I
[16:46.56]  was given some M when I had a m
[16:53.40]  I was given some
[16:56.08]  this is a it's the the condition of not
[16:59.88]  feeling pain
[17:02.44]  it's basically going to make the pain go
[17:04.96]  away and they may give you this if
[17:07.44]  you're having a dental procedure that
[17:11.00]  they're worried about okay this is going
[17:12.56]  to cause the patient this may cause some
[17:15.36]  pain so we're going to give the patient
[17:18.00]  some what
[17:20.36]  when I had a so this is the a procedure
[17:25.84]  used to treat infection at the center of
[17:29.48]  a tooth and I do think these words are
[17:33.72]  common and I actually was given some of
[17:36.92]  this uh I have not had this procedure
[17:39.76]  down here I may need it in the future
[17:42.20]  and I am not looking forward to it I
[17:44.92]  think everybody you kind of get that
[17:46.44]  first one again
[17:48.52]  to just take away the pain we're talking
[17:52.44]  about anesthesia
[17:55.00]  but that procedure that somebody may
[17:58.00]  have you're treating getting an
[17:59.40]  infection at the center of a tooth
[18:02.28]  Claudia well claudo well done we're
[18:05.12]  talking about a root canal so I was
[18:06.84]  given some anesthesia when I had a root
[18:10.20]  canal and I think depending on what
[18:12.68]  you're having done at the dentist they
[18:14.32]  may give you some anesthesia or you may
[18:16.68]  ask for some if you're worried that it's
[18:19.16]  going to hurt and again I think a root
[18:22.16]  canal is kind of a larger problem so in
[18:26.60]  general when you have those cavities
[18:28.40]  those holes you can get a filling but if
[18:31.16]  it's a little more serious which mine is
[18:34.28]  it's heading in that direction the
[18:36.12]  dentist told me that maybe I I may need
[18:38.20]  to get a root canal we'll have to see
[18:40.76]  one thing I want to point out is the
[18:42.48]  pronunciation anesthesia
[18:45.44]  it kind of is pronounced the way it
[18:47.88]  sounds the one thing that can be a
[18:49.84]  little tricky are the two e's because
[18:52.52]  that first e and it's the schw sound
[18:57.04]  it's an unstressed V sound and that next
[19:00.72]  e is the long e because that is the
[19:04.00]  stress syllable that anesia
[19:08.32]  anesthesia
[19:09.96]  so that the the that is the stress
[19:12.56]  syllable so that's why I think it can be
[19:14.64]  a little tricky because both of those
[19:16.32]  E's that first one's the schah the next
[19:18.88]  one is that long e sound anesthesia
[19:22.68]  okay
[19:25.36]  was root canal good all right the next
[19:28.56]  one one they took a m during my m not
[19:33.48]  giving you much help with the context
[19:36.12]  for these sentences so they took a what
[19:39.44]  we're talking about uh an x-ray
[19:42.56]  examination that captures the entire
[19:46.12]  mouth in a single image okay what I I
[19:50.92]  guess I'll go ahead and tell you like
[19:52.12]  what type of X-ray is it so it has uh
[19:56.56]  it's a phrase they took a m during my
[20:01.72]  and this is we're talking about the
[20:03.44]  process used by dentists to carefully
[20:05.88]  review your oral health so this is a
[20:09.44]  general meaning but I'm talking about
[20:12.44]  the process this is what everybody would
[20:14.68]  go in for like once a year you go into
[20:18.44]  the dentist for your what and that is
[20:22.32]  the second part right there the dentists
[20:24.20]  they review your oral health they're
[20:26.48]  checking your teeth to see if there are
[20:29.48]  any problems but once a year you're
[20:32.24]  going to go in for this appointment and
[20:36.36]  that is that that process of them
[20:38.04]  checking carefully so let's go back to
[20:41.28]  the first one uh I'm surprised I thought
[20:43.68]  this one would be I thought these would
[20:45.44]  maybe be a little easier so we're
[20:48.08]  talking about an x-ray again the entire
[20:51.24]  mouth in a single image so in
[20:54.00]  photography you can do this as well you
[20:55.92]  start to the side and you go across and
[20:58.16]  you get everything and if you're putting
[21:00.68]  it in a single image well then that is a
[21:03.72]  Panoramic X-Ray a Panoramic X-Ray and
[21:08.16]  that General checkup you could just say
[21:12.20]  like an annual checkup you do it once a
[21:14.76]  year you could call it it it may be
[21:16.40]  called an oral exam a dental checkup an
[21:19.72]  annual checkup there are different words
[21:22.40]  that or phrases that you could use to
[21:25.12]  talk about this just review that a
[21:28.24]  dentist would do to see if there are any
[21:30.72]  problems but maybe you need to go into
[21:32.44]  the dentist and you say look yeah I just
[21:34.28]  need to just come in for a dental
[21:36.92]  checkup and then they know what it is
[21:39.60]  that they want you to do a dental
[21:41.24]  checkup excellent
[21:43.80]  okay here's the next one
[21:47.36]  unfortunately I had a tooth
[21:51.36]  so I needed a root canal we just talked
[21:53.48]  about that after the dentist told me I
[21:57.48]  would need a a so the first one it is a
[22:01.84]  noun I had a tooth we're we're talking
[22:04.04]  about um tooth as an adjective but that
[22:08.92]  noun is a pocket of pus that's caused by
[22:11.88]  a bacterial infection this is a
[22:16.52]  really more of a dental word it's not
[22:19.08]  one that you may end up using in just
[22:24.36]  casual conversation you may it it just
[22:27.00]  depends uh uh but down here I think this
[22:30.28]  is another one that's a little more
[22:32.40]  common when you're talking about that
[22:35.52]  tooth shaped cap it's placed over a
[22:39.20]  tooth it's that that covering
[22:42.64]  so
[22:44.96]  what are we talking about here wow
[22:46.60]  excellent great job uh nice Loi elel
[22:51.16]  nice so that first one we're talking
[22:52.92]  about um a tooth abscess unfortunately I
[22:57.60]  had a tooth abs
[22:59.32]  and maybe you could hear about it
[23:01.60]  because it's not just used when going to
[23:04.32]  the dentist you could use this anytime
[23:06.48]  you're talking about like pus that that
[23:09.28]  kind of builds up um and it's infected I
[23:12.64]  had a tooth abscess so I needed a root
[23:15.44]  canal and then after the dentist told me
[23:18.96]  I would need a crown so a crown is that
[23:23.40]  uh cap that's going to go around that
[23:26.20]  tooth to protect it and you get a c
[23:29.88]  fortunately I've I've never I've only
[23:32.08]  had fillings um I was a little worried
[23:34.80]  when the doctor told me or the dentist
[23:36.32]  told me oh you may need a root canal
[23:38.04]  we'll see but if that's the case then
[23:40.16]  who knows maybe I'll also need uh a
[23:43.24]  crown as well we'll see not looking
[23:47.00]  forward to this I told you I'm not uh
[23:50.60]  I'm not too keen on going to the dentist
[23:53.84]  then we have this uh next sentence the
[23:56.28]  dentist told me I had lost some tooth M
[24:01.20]  because of my teeth once again that
[24:05.24]  first one the protective outer covering
[24:08.12]  of your tooth it's very specific it's
[24:10.60]  not
[24:12.40]  a word that you're probably going to use
[24:14.16]  just talking to your friends whereas
[24:16.44]  people they talk about their teeth they
[24:18.20]  may talk about cavities or fillings or
[24:21.04]  gums or mouthwash uh floss things like
[24:24.64]  that um the the next one's a little more
[24:28.04]  specific specific so maybe it's a new
[24:29.76]  word but this I would say is common and
[24:34.24]  you people would talk about this the the
[24:37.08]  condition in which you Nash or clench
[24:41.12]  your teeth what is that called
[24:45.40]  the dentist told me I had lost some
[24:47.52]  tooth because of M my teeth and yeah if
[24:51.28]  you're doing this then you may lose some
[24:53.48]  of that protective outer covering I
[24:55.72]  always feel like when I say like oh this
[24:57.48]  is a little more diff ult word maybe uh
[25:00.00]  it's going to be challenging everybody
[25:01.52]  seems to just oh put it throw it down in
[25:03.80]  there uh it seems like you guys know
[25:06.00]  that which is great so that protective
[25:08.40]  outer covering yes is called enamel well
[25:12.52]  done Sarah book uh Olga great and that
[25:16.88]  condition which I said is common because
[25:20.20]  I think some people do this they have a
[25:22.64]  habit it's it could be a bad habit and
[25:25.68]  you're we're talking about grinding your
[25:27.80]  teeth or clenching your teeth I think
[25:30.96]  more commonly people would use the word
[25:33.36]  grinding you're grinding your teeth
[25:35.84]  sometimes this happens when people are
[25:37.48]  sleeping and they end up grinding their
[25:39.48]  teeth and they damage some of that um
[25:43.04]  enamel now down here I included the
[25:46.04]  medical term for teeth grinding is
[25:48.92]  called bruxism but once again I think
[25:53.32]  overwhelmingly you're talking to someone
[25:55.40]  else even the dentist they may just say
[25:57.92]  you know grinding your teeth or they may
[25:59.68]  ask you have you been grinding your
[26:01.40]  teeth like yeah that's not a good habit
[26:03.64]  try to you know stop doing that
[26:05.72]  something like that along those lines so
[26:08.16]  those were there were a lot of words in
[26:11.00]  and phrases in today's lesson as I said
[26:14.00]  I think some or many of them you already
[26:17.08]  knew which is it's always great to get
[26:19.16]  that review because this is very
[26:21.04]  practical you wherever you live or you
[26:24.96]  you got you're probably going to go the
[26:26.20]  dentist or if you're traveling
[26:27.60]  especially in english- speaking country
[26:29.68]  and you have a problem uh with your
[26:31.64]  teeth you may need to go to the dentist
[26:33.92]  and these are some useful words and
[26:36.00]  phrases that you may need to use or that
[26:38.88]  you'll hear the the dentist use so once
[26:42.28]  again if you want to get a copy of the
[26:43.88]  lesson notes click on that link down in
[26:45.88]  the description if you're a part of our
[26:47.56]  email Community I'll go ahead and send
[26:49.68]  them to you if you want to review and
[26:52.04]  continue building your vocabulary if you
[26:55.92]  enjoyed the lesson please hit hit that
[26:58.64]  like button that tells me that I should
[27:01.16]  do more of these lessons people are
[27:02.68]  learning a lot and it's always good to
[27:06.76]  build your vocabulary
[27:10.08]  I want to give uh some quick shoutouts
[27:12.32]  thank you uh for joining me today Loi
[27:15.92]  Manuel
[27:17.48]  uh elel Victor Gustav good to see you
[27:21.56]  and yeah I hope that uh with all of
[27:24.72]  these lessons I hope that you just
[27:26.36]  learned something new
[27:29.04]  so have a wonderful day and I will see
[27:32.52]  you next time so long
