Title     : Improve Your Speaking Fluency | 11 Ways to Get More Practice   💬
Video ID  : KGj5Q3OqYvA
[02:58.13]  lessons a month for three months and if
[03:01.20]  you successfully complete the sprint
[03:03.06]  then you'll be eligible for 50 percent
[03:05.34]  cash back you can start signing up for
[03:07.23]  the language sprint now which will begin
[03:08.82]  on April 8th and lasts until July 6th
[03:12.03]  once you sign up you will pay a 49 euro
[03:14.49]  deposit but you can use the voucher code
[03:17.16]  join 15 and you will get 10 euro off
[03:20.61]  your deposit so if you really want to
[03:22.23]  practice your speaking every day just
[03:24.39]  click on the link in the description
[03:25.89]  you'll find out more information about
[03:27.72]  the language sprint especially how to
[03:29.73]  get that 100 percent cashback and
[03:32.34]  remember use that voucher code join 15
[03:34.74]  to get your discount so let's get back
[03:36.75]  to our list and the next suggestion that
[03:38.91]  I have for you is to join a speaking
[03:41.58]  community or a speaking Club so think
[03:44.31]  about your city your town and there
[03:46.71]  might be a group of people who come
[03:49.17]  together in order to practice speaking
[03:51.45]  English for example I've had learners
[03:54.21]  tell me that they have joined
[03:55.80]  Toastmasters and Toastmasters it is an
[03:58.53]  international organization to promote
[04:00.63]  public speaking so in this case you're
[04:02.91]  not just speaking one-on-one with
[04:05.01]  another person you would be speaking in
[04:07.44]  front of a group of people which it can
[04:10.08]  be challenging but it's still good
[04:11.85]  practice now if you're thinking well
[04:14.16]  okay there is no speaking organization
[04:17.43]  in my city or town then my next
[04:20.07]  suggestion would be to create one go out
[04:22.65]  there and create a speaking Club because
[04:25.91]  if you want to practice your speaking
[04:27.86]  skills I guarantee you there is another
[04:30.41]  person or group of people that live
[04:33.44]  close to you who also want to practice
[04:36.17]  their speaking so you can go on Facebook
[04:37.73]  and create an English speaking group for
[04:40.52]  people who live in your town or you can
[04:42.35]  put up flyers at a coffee shop and try
[04:44.84]  to find those people so that you can
[04:46.97]  come together and practice your speaking
[04:49.16]  skills now once you have your speaking
[04:51.29]  club another great way to practice is to
[04:53.87]  do a role play and the reason why I'm
[04:56.84]  telling you you should try and do a role
[04:58.58]  play is because this is it is a
[05:01.34]  wonderful way to discover new words and
[05:05.12]  phrases that you need to learn in order
[05:07.40]  to have a conversation so for example
[05:09.68]  you can do a role play that you're
[05:11.78]  getting ready to travel and you're gonna
[05:13.16]  go to the airport and you're gonna talk
[05:14.99]  to somebody ask them well have you
[05:16.40]  printed out the boarding pass what time
[05:18.26]  does our flight leave and you start
[05:20.03]  thinking about the words that you need
[05:22.85]  to know in order to have this
[05:24.62]  conversation in my opinion this is
[05:26.69]  something that you can also do on your
[05:28.97]  own I used to do this when I was
[05:31.25]  learning Spanish and I didn't have
[05:32.96]  somebody in front of me to talk to I
[05:34.85]  would think about a situation for
[05:37.07]  example like we're having a conversation
[05:38.78]  about what meals we like to cook and I
[05:42.11]  would actually end up talking to myself
[05:44.51]  and having this back and forth
[05:46.87]  conversation and in role-playing as
[05:49.64]  though I were in a kitchen and I was
[05:51.77]  having a conversation with somebody
[05:53.12]  about well what do I like to cook what
[05:55.28]  kind of food do I need and in doing that
[05:57.77]  I would discover words that that I
[06:00.47]  didn't know how to say in Spanish and
[06:02.45]  this was actually really helpful because
[06:04.16]  I felt a little more prepared for a
[06:07.49]  conversation
[06:08.72]  that I knew I would have in the future
[06:11.03]  so doing a roleplay with yourself and
[06:13.25]  speaking out loud is a great way to get
[06:15.65]  some practice and actually discover some
[06:18.71]  words that you still need to learn the
[06:20.51]  next suggestion that I have for you is
[06:22.10]  to do a language exchange just go online
[06:24.83]  and google the words English language
[06:27.71]  exchange and you are going to find many
[06:30.05]  different sites that you can sign up and
[06:32.18]  try to find a speaking partner and they
[06:35.36]  will help teach you English and you will
[06:37.28]  teach them your native
[06:38.91]  language this is a good option if you
[06:40.38]  don't have the resources to take online
[06:42.27]  classes but it could be a little more
[06:45.15]  challenging to try and find someone and
[06:48.24]  work out the time in order to meet
[06:50.01]  online but I still suggest you check it
[06:52.71]  out google those words English language
[06:54.72]  exchange and see what you come up with
[06:56.61]  now so far everything that I have talked
[06:59.10]  to you about it involves another person
[07:01.44]  you need another person to actually
[07:03.96]  speak with so let's now talk about some
[07:06.93]  things that you can do on your own and
[07:09.62]  one thing that I think is very useful
[07:12.66]  it's very important and it's very simple
[07:14.91]  and that is just to talk to yourself I
[07:17.66]  mentioned before about hat doing a role
[07:20.61]  play and kind of having a conversation
[07:22.20]  with yourself that's not what I want to
[07:24.36]  talk to you about right now because when
[07:27.00]  I say talk to yourself I want you to
[07:29.19]  think of it like you are giving a
[07:31.11]  presentation because if you are going to
[07:33.57]  give a presentation at school or work
[07:35.73]  whether the presentation is in English
[07:38.25]  or even your native language I think
[07:41.07]  it's quite common for people to practice
[07:43.11]  and they actually say the presentation
[07:45.93]  out loud some people might like to
[07:48.00]  practice in front of a mirror when I
[07:49.89]  practice giving a presentation I don't
[07:52.38]  know why I like to walk around a room
[07:54.51]  and I just walk around and I practice
[07:57.03]  saying the presentation out loud so in
[08:00.09]  that case you need to think of a topic
[08:02.46]  you need to think about something that
[08:04.62]  you can talk about and give a nice long
[08:07.95]  answer so perhaps you want to relate it
[08:11.43]  to something that you do and somebody
[08:13.20]  says okay I want you to tell me what you
[08:16.38]  do what is your job and you can give a
[08:18.75]  very detailed and specific answer
[08:21.18]  talking about all the different things
[08:22.77]  that you do at your job and try to speak
[08:26.13]  for several minutes so I think one thing
[08:29.37]  that could help would be to think of
[08:31.95]  serious topics because that's going to
[08:34.50]  allow you to give a longer answer as
[08:37.14]  though you were giving a presentation so
[08:39.51]  you could talk about a topic like well
[08:42.09]  how should the world deal with climate
[08:44.88]  change or maybe you could think about
[08:46.62]  well what are the advantages and
[08:49.26]  disadvantages to using social media and
[08:52.17]  when you take those more serious topics
[08:55.26]  and try to give a presentation that is
[08:58.23]  another great way to practice your
[09:00.18]  speaking skills see how long you can
[09:02.94]  talk for and again the same way with the
[09:05.55]  roleplay you are likely to discover new
[09:08.43]  words and phrases that that you need to
[09:11.01]  learn in order to have that conversation
[09:12.90]  if you want to make it even better and
[09:15.33]  this is something that that I would do
[09:17.67]  is then record yourself giving this
[09:20.19]  presentation and speaking in English the
[09:22.83]  reason why I think it's very useful is
[09:25.11]  because then you can watch it again and
[09:27.36]  try to to see where your mistakes are
[09:30.00]  figure out where okay you had this long
[09:32.91]  awkward pause because you couldn't think
[09:35.19]  of anything else to say it's also a
[09:37.23]  great way to evaluate your overall
[09:39.45]  fluency so that you can have a more
[09:41.34]  natural discussion whenever you're
[09:43.71]  you're having a conversation about this
[09:45.36]  topic now my next suggestion which
[09:47.37]  actually is closely related to your
[09:50.58]  fluency and the way that you're speaking
[09:52.95]  is to practice shadowing and if you
[09:55.26]  don't know what shadowing is it is a
[09:56.79]  technique that I primarily is used to
[10:00.18]  help people practice their pronunciation
[10:02.34]  and intonation and emphasis and what you
[10:04.80]  do is you listen to somebody speak and
[10:08.04]  then you say the exact same thing that
[10:11.16]  they do and you try to say it in the
[10:13.53]  exact same way you listen to it and then
[10:16.05]  you repeat you listen and then repeat
[10:18.18]  and you can do this with movies TV shows
[10:21.74]  famous speeches there are many different
[10:25.17]  ways that you can practice shadowing
[10:27.06]  I've had learners tell me they've tried
[10:28.80]  to practice shadowing with me they
[10:30.75]  listen to my lessons and then they try
[10:33.36]  to repeat the information and say it the
[10:35.85]  exact same way that I do
[10:37.44]  so shadowing is a great way to practice
[10:39.48]  your speaking because you need to say
[10:41.82]  this out loud and you also get to work
[10:44.01]  on the those three things that I
[10:45.63]  mentioned your pronunciation your
[10:47.52]  intonation and your emphasis another
[10:49.71]  suggestion which well it's very similar
[10:51.90]  to shadowing but I'm going to put it on
[10:54.09]  its own and that is singing sing to
[10:56.43]  yourself so if you are singing with the
[10:59.58]  song then that would be an example
[11:01.66]  of shadowing you're trying to sing the
[11:04.24]  song in the exact same way as the person
[11:07.69]  you're listening to but you can also
[11:10.06]  when you learn the words to a song you
[11:13.24]  can do this on your own as well you can
[11:15.61]  sing in the car you can sing in the
[11:17.17]  shower and actually practice your
[11:19.78]  speaking skills because I know you're
[11:22.42]  not having a conversation you're not
[11:24.37]  speaking to somebody else but anytime
[11:27.25]  words are coming out of your mouth and
[11:29.83]  you are practicing saying words and
[11:32.74]  phrases and and trying to understand
[11:35.20]  what it is that you were saying that is
[11:37.42]  going to help your overall speaking
[11:39.04]  skills another way to practice your
[11:40.63]  speaking skills and I think this one is
[11:42.55]  a fun one and that is well to talk to
[11:45.25]  your phone on many people's phones
[11:46.81]  nowadays you can ask questions and get
[11:49.18]  answers and that is what I think is the
[11:52.15]  most valuable thing this is a great way
[11:54.40]  specifically to practice asking
[11:56.71]  questions let me give you an example hey
[11:59.17]  Siri hey Siri Siri Siri you're
[12:05.17]  embarrassing me what's going on with you
[12:06.91]  hey Siri okay Siri can you tell me
[12:11.50]  what's what's the weather like right now
[12:17.16]  can you tell me what is the best place
[12:20.92]  to practice and improve your English
[12:23.17]  skills Siri I don't see anything about
[12:33.64]  interactive English on here what's going
[12:35.11]  on so as you can see you can play around
[12:38.92]  with this have some fun ask a bunch of
[12:41.38]  different questions and I think it also
[12:43.81]  is useful for practicing your
[12:46.00]  pronunciation to actually see if if Siri
[12:48.82]  understands what you're saying so my
[12:50.50]  final suggestion and this is something I
[12:52.78]  want you to do right now and that is
[12:55.42]  have a conversation with me I want you
[12:58.27]  to speak to me I'm going to ask you a
[13:00.85]  few different questions and I want you
[13:03.22]  to say your answer out loud and I will
[13:05.74]  give you a little bit of time to respond
[13:07.99]  are you ready so I could ask you well
[13:10.72]  where do you plan to go on your next
[13:12.55]  vacation
[13:15.43]  oh wow what do you want to do there
[13:25.02]  Wow very cool can I come alright I hope
[13:29.20]  you said yes to that last one but again
[13:32.35]  this it's all about practicing your
[13:35.08]  speaking skills and just having the
[13:37.48]  words come out of your mouth so if you
[13:40.57]  did this and you actually practice
[13:42.64]  speaking and had a conversation with me
[13:45.16]  I want to know about it in the comments
[13:48.01]  right the word speaking that way I know
[13:51.04]  that you are serious about improving
[13:53.08]  your speaking skills if you enjoyed this
[13:55.78]  lesson and found some of these
[13:57.52]  suggestions useful please hit that like
[14:00.01]  button as always thanks so much for
[14:02.14]  watching and I'll see you next time
[14:03.70]  Siri what are you doing later can you
[14:10.42]  tell me what what do you think of my
[14:12.61]  shirt
[14:14.30]  [Music]
