Title     : SHOULD HAVE | COULD HAVE  | WOULD HAVE - Modals of Lost Opportunity
Video ID  : LPpZEq8d66g
[09:23.68]  fun way to wrap up the lesson i hope you
[09:26.32]  learned something new and i hope you
[09:27.84]  have a better understanding of these
[09:30.00]  modals should have could have and would
[09:32.40]  have and i could honestly tell you that
[09:35.52]  interactive english could not have
[09:37.84]  gotten this far without you that is
[09:39.76]  absolutely true and well we can make it
[09:42.08]  more certain and say interactive english
[09:44.80]  would not have gotten this far without
[09:46.96]  you and for that i really do appreciate
[09:49.68]  it if you enjoyed the lesson please hit
[09:52.24]  that like button as always thank you so
[09:54.48]  much for watching and i will see you
[09:56.24]  next time so long
