Title     : AMERICAN IDIOMS 🇺🇸  Important phrases you need to know
Video ID  : oVPgrG0LnpQ
[21:32.22]  picture
[21:34.02]  some people are trying to think outside
[21:35.76]  the box that is another expression you'd
[21:37.74]  say to think outside the box but like I
[21:40.02]  said in this case we're I use that
[21:42.06]  Circle trying to say a loop uh you're
[21:45.30]  inside the loop if you're outside the
[21:46.62]  loop then you're out of the loop and if
[21:48.42]  you are out of the loop then all it
[21:51.12]  means is that you are unaware of
[21:54.30]  information and or you're not a part of
[21:57.30]  the decision making yes Wolfgang like
[21:59.46]  you said you're uninformed or Bissell
[22:01.74]  yeah you have no idea
[22:03.42]  so if I if you ask me a question you're
[22:06.90]  asking me for some information and I
[22:09.60]  tell you like look I really don't know
[22:12.02]  nobody's told me anything I'm out of the
[22:14.64]  loop and I am just unaware of what's
[22:17.64]  going on and somebody would yes they'd
[22:20.10]  say that sentence perhaps about me don't
[22:22.14]  ask Wes he's completely out of the loop
[22:24.18]  and you could also say that someone is
[22:26.76]  in the loop if somebody's in the loop
[22:28.98]  then that just means the opposite they
[22:31.20]  are aware of what's going on but I think
[22:34.26]  often people would use this idiom to
[22:37.50]  describe someone who is unaware and does
[22:40.20]  not know what's happening and they would
[22:42.00]  say that they're out of the loop
[22:45.20]  then uh we have this one and I think
[22:48.06]  this one is very specific and you
[22:51.24]  actually you could use this picture
[22:54.36]  to just say well what is happening in
[22:56.82]  this picture and that is the idiom
[23:00.18]  so
[23:01.92]  of course you can see in the picture
[23:03.62]  we're talking about the pool
[23:07.14]  what do you think what's going on in
[23:10.62]  this picture
[23:11.76]  and I think that will help you guess the
[23:15.00]  idiom even though I would say that
[23:18.84]  it's one that maybe is not as common and
[23:21.78]  maybe you haven't heard of it before or
[23:24.06]  maybe you have and you're not quite sure
[23:26.04]  what the meaning is what do you think is
[23:29.04]  going on in this picture you see the
[23:31.98]  pool you see they're talking about pool
[23:34.16]  you see very clearly that eight ball
[23:38.58]  all right what what idiom and again
[23:41.64]  there's not there's not I don't know
[23:44.58]  that maybe this may be the only idiom in
[23:46.74]  which they're talking about eight ball
[23:48.42]  so uh yes Jesse great job the idiom is
[23:53.88]  behind the eight ball now again to make
[23:57.00]  it a little more difficult what does it
[23:58.38]  mean if I say look right now I'm I'm
[24:02.64]  behind the eight ball
[24:04.62]  is it a good thing or is it a bad thing
[24:08.16]  just the way that I said it hopefully if
[24:10.74]  I say wow I'm I'm really behind the
[24:12.66]  eight ball you can you can infer that
[24:16.38]  this is not a good situation to be
[24:18.60]  behind the eight ball but if somebody is
[24:21.60]  behind the eight ball all it means is
[24:24.36]  that you're they're in a difficult
[24:26.70]  situation or in a worse situation than
[24:29.88]  other people
[24:32.22]  so
[24:33.78]  to give you that example we didn't start
[24:36.24]  the project immediately that's a problem
[24:38.76]  and now we're behind the eight ball
[24:41.58]  so if you're behind the eight ball
[24:43.74]  you're just saying that you are in a a
[24:46.14]  difficult situation and you got to try
[24:49.56]  to figure your way out of it and you're
[24:52.14]  probably going to need to work harder or
[24:54.78]  think outside the box in order to come
[24:57.42]  up with a solution so that you are no
[24:59.82]  longer behind that eight ball and yes
[25:01.26]  this does have a negative uh connotation
[25:04.50]  it's not a good thing to be behind the
[25:06.84]  eight ball
[25:07.86]  so I want to try to make this even a
[25:11.10]  little more challenging because I know
[25:12.96]  that you love a challenge and right now
[25:15.60]  I am going to
[25:18.24]  just give you the meaning and I want you
[25:21.30]  to tell me what idiom is this referring
[25:25.20]  to I'll the you could also use the
[25:27.84]  picture as a little bit of a hint and
[25:30.42]  I'll give you some letters too uh as we
[25:33.24]  go through this but right now I just
[25:34.68]  want to give you the meaning again
[25:36.72]  please write your answers in the chat or
[25:39.30]  in the comments uh love love seeing all
[25:42.24]  this the the participation in these
[25:44.04]  lessons and I really hope that some of
[25:46.02]  these idioms are new and that you're
[25:47.88]  learning some new phrases today
[25:50.34]  so this next one
[25:52.86]  refers to a person who criticizes the
[25:56.70]  actions or decisions of others after the
[25:59.82]  fact and what that means after the fact
[26:02.16]  is well something has already happened
[26:05.70]  and someone is criticizing the decision
[26:09.96]  that was made in the past
[26:12.66]  and you're able to look at the situation
[26:15.36]  and because it happened in the past you
[26:19.08]  can oh this was the right decision Ro
[26:21.12]  you should have done this
[26:24.54]  and you have that ability of hindsight
[26:27.06]  but you would say that somebody is doing
[26:29.58]  what and I think maybe that picture was
[26:31.68]  too much of a giveaway however let me
[26:35.04]  give you some hints so I'm I'm giving
[26:37.38]  you the first letter of each word this
[26:41.10]  uh this idiom has three words in it
[26:45.12]  and we're talking about what I see uh
[26:48.12]  yes a couple of correct answers in there
[26:51.06]  excellent
[26:53.46]  so the idiom that I'm talking about and
[26:56.94]  this is definitely an American idiom
[26:59.04]  we're talking about Monday Morning
[27:00.84]  Quarterback
[27:02.64]  so if somebody's playing Monday Morning
[27:05.46]  Quarterback you're you're in that
[27:07.20]  situation you're criticizing a past
[27:09.42]  decision
[27:10.50]  as though like you would have known what
[27:12.90]  to do and of course it's easy to play
[27:16.08]  Monday Morning Quarterback and you you
[27:18.60]  probably use it with that verb to play
[27:21.06]  Monday Morning Quarterback like in this
[27:23.64]  example sentence he likes to play Monday
[27:25.44]  Morning Quarterback he likes to analyze
[27:28.20]  the situation after it's happened and
[27:31.38]  then be critical of others and you're
[27:33.60]  playing Monday Morning Quarterback
[27:36.36]  how about this next one what do you
[27:38.76]  think
[27:40.38]  and the picture I don't think is going
[27:42.78]  to be well too much of a hint because
[27:44.58]  it's part of the meaning but you're
[27:46.26]  talking about taking a risk and doing
[27:49.62]  something that it yeah it may turn out
[27:52.62]  wrong
[27:53.70]  so what do you think
[27:56.82]  what idiom do you have any guesses any
[27:59.22]  thoughts as to what this idiom might be
[28:02.16]  and then I'll I'll give you I'll give
[28:05.04]  you a hint because this one's a little
[28:07.08]  more challenging it is four words you're
[28:09.72]  taking a risk especially one that may
[28:12.30]  turn out uh well to be a problem
[28:16.32]  that is the first letter of each word so
[28:20.70]  I told you there are four words
[28:23.28]  in this idiom and that is the first
[28:26.34]  letter of each word
[28:29.22]  so what do you think what do you what
[28:32.04]  are you doing in this case you're taking
[28:33.84]  a risk
[28:35.10]  it may turn out wrong hopefully not but
[28:37.80]  you're really doing what and if you can
[28:41.10]  think of that first word
[28:43.04]  hopefully it'll allow you to
[28:46.62]  to guess the other parts of the idiom
[28:49.08]  and this is one that I think is fairly I
[28:51.84]  think this is common I think people will
[28:53.94]  you you would definitely hear this and
[28:56.70]  the idiom that I'm talking about is to
[28:59.64]  stick your neck out
[29:01.08]  if you stick your neck out you are
[29:03.72]  putting yourself at risk and it may not
[29:07.50]  go in your favor things may turn out
[29:09.72]  badly and the example sentence that I
[29:12.96]  gave you I stuck my neck out for you at
[29:15.36]  the meeting so there was this meeting
[29:16.98]  you're trying to help someone and you
[29:19.74]  stuck your neck out for them and you may
[29:22.56]  often use this idiom and then follow it
[29:25.08]  with that preposition you stick your
[29:27.30]  neck out for someone so you're taking a
[29:30.84]  risk you're trying to help someone else
[29:32.76]  and you stick your neck out for them or
[29:35.82]  some maybe maybe somebody's asking you
[29:37.56]  for help or assistance and you don't
[29:40.14]  want to take the risk and you could say
[29:41.76]  look I'm not going to stick my neck out
[29:43.56]  for you I'm not going to risk things
[29:46.44]  going really badly I'm not going to
[29:47.94]  stick my neck out for you
[29:49.56]  so good idiom to know to stick your neck
[29:52.62]  out for someone
[29:54.36]  then we have this one
[29:56.10]  what do you think
[29:57.90]  again the picture you can you can see
[30:00.84]  what's going on the context we're
[30:02.70]  talking about telling someone about
[30:05.28]  something that has well it's been
[30:08.10]  worrying you and you've been feeling
[30:10.86]  guilty for a long time
[30:13.92]  can you think of an idiom
[30:16.44]  that
[30:18.08]  describes this situation and I actually
[30:21.08]  at the very beginning I saw some people
[30:23.90]  uh use this actually write this idiom
[30:27.66]  is one of the some of the answers before
[30:30.90]  so we're you're you're confessing
[30:35.22]  talking about something it's been
[30:37.26]  worrying you for a long time and you're
[30:40.02]  trying to what
[30:42.86]  just kind of give you a little bit of a
[30:45.18]  hint there are well that's the the first
[30:49.02]  letter of each word so in this idiom
[30:52.68]  there are five words
[30:55.32]  and you're trying to confess something
[30:57.84]  you feel guilty about it I saw a correct
[31:00.84]  answer in there uh sorry I can't not
[31:03.66]  sure about the pronunciation I don't
[31:04.98]  even want to try but yes I see that
[31:06.42]  correct answer good job uh yes Julia
[31:08.70]  Dario we're talking about the idiom to
[31:11.76]  get something off your chest
[31:14.54]  and you could say like I need to get it
[31:17.94]  off my chest I need to get this
[31:19.80]  something but often people would use
[31:22.44]  something when they're talking about
[31:25.02]  this idiom
[31:26.76]  um
[31:27.42]  and you would say like in the sentence I
[31:30.06]  have something I need to get off my
[31:31.26]  chest I I really have something to get
[31:33.54]  off my chest and I want to confess
[31:36.30]  something that has been bothering me for
[31:39.06]  a long time
[31:40.86]  then there's this one
[31:44.10]  it's another sport idiom and we're
[31:47.52]  referring to an educated guest or
[31:51.90]  estimation
[31:53.64]  so what would you think and I really do
[31:55.68]  think when you when you see that word
[31:57.36]  estimation you can think about numbers
[31:59.84]  you're giving an educated guess use that
[32:03.48]  picture to try to
[32:05.94]  try to give you some idea as to what
[32:08.70]  idiom we're talking about and this idiom
[32:11.46]  I'll go ahead and tell you I know you
[32:12.84]  can't really see it uh using those blank
[32:15.36]  spaces it's two words this idiom is a
[32:18.96]  two-word idiom
[32:20.70]  we're talking about a guess or an
[32:22.92]  estimation and you would just ask
[32:24.66]  somebody so if I'm asking you like hey
[32:27.96]  can you you know give me an estimation I
[32:30.84]  would say hey can you give me a
[32:33.66]  what do you think
[32:35.76]  all right
[32:37.08]  we're talking about a close I see some
[32:40.44]  words in there yes uh I see a correct
[32:42.96]  answer Rose though there are two words
[32:45.66]  that's the first letter of each word
[32:48.36]  sometimes people would just use that
[32:51.24]  first word which some of you just wrote
