Title     : TRICKY VERB TENSES  😲 Advanced Grammar Quiz
Video ID  : TFNi5N48nEo
[03:19.28]  um a trip to romania
[03:22.32]  your clue is i'm talking about an action
[03:25.76]  at a point in time
[03:31.12]  we're talking about the past continuous
[03:34.64]  last year at this time we were planning
[03:38.00]  a trip to romania
[03:39.60]  and in this case it's the past
[03:43.36]  continuous at this time last year we
[03:45.68]  were planning a trip
[03:47.28]  to romania let's look uh at the next one
[03:51.28]  i um the door in this case i want you to
[03:55.68]  think about the situation
[03:57.68]  and you're saying this sentence like
[04:00.40]  it's a quick and sudden decision
[04:06.80]  we're talking about the future tense
[04:08.88]  something in the future but it's like
[04:10.40]  really the immediate future
[04:12.24]  and if you're talking about a sudden
[04:13.68]  decision i'll get
[04:15.76]  so you're going to use will with quick
[04:18.96]  and sudden decisions something that
[04:20.88]  would happen immediately
[04:22.16]  and i think most of the time in
[04:23.92]  conversation
[04:25.20]  people are going to use the contracted
[04:27.28]  form i will
[04:28.72]  ow i'll get the door i'll answer it
[04:31.76]  so this i'm telling you there's an
[04:33.60]  adverb clause in this sentence
[04:35.84]  and the adverb clause is before my alarm
[04:38.08]  went off
[04:39.04]  the hint is really i think about that
[04:41.76]  adverb clause
[04:42.80]  and that's going to help you determine
[04:44.72]  the the verb tense
[04:46.72]  that main verb which is here before
[04:49.92]  my alarm went off i um
[04:53.52]  allowed boom
[04:59.60]  the answer that i have for you just
[05:01.36]  think about is just heard
[05:03.44]  before my alarm went off i heard a loud
[05:06.88]  boom the reason why i wanted you to
[05:08.72]  focus on the adverb clause
[05:10.64]  is because you have that past right
[05:12.48]  there it'll help tell you that the main
[05:14.64]  verb
[05:15.20]  will also be a simple pass before my
[05:17.92]  alarm went off
[05:18.80]  i heard a loud boom i kind of gave you a
[05:20.80]  hint for
[05:21.84]  uh one that's coming up anyway we will
[05:24.88]  get there
[05:25.68]  i um english for four years
[05:29.44]  and i will continue to do so in the
[05:31.92]  future
[05:33.28]  another key word there is for fo
[05:36.40]  r the preposition not the number so i
[05:40.08]  um english for four years
[05:44.00]  and i will continue to do so in the
[05:46.48]  future
[05:50.88]  we're talking about the present perfect
[05:54.08]  continuous
[05:55.44]  i have been learning english for four
[05:58.08]  years
[05:59.12]  and i will continue to do so in the
[06:01.20]  future let me tell you why
[06:03.20]  it's the present perfect continuous so
[06:05.20]  that first part
[06:06.48]  um that first independent clause i've
[06:09.28]  been learning english for four years
[06:11.36]  something that started in the past it's
[06:13.60]  continued to the present
[06:15.20]  so that really tells you you're going to
[06:16.88]  use the perfect tense
[06:18.72]  but in this case it's better to use the
[06:20.56]  present perfect continuous
[06:22.72]  because the next part is saying that you
[06:24.88]  will continue learning english
[06:26.96]  in the future here's the the situation
[06:29.52]  there's two sentences
[06:31.60]  your key is that there's like just some
[06:34.16]  evidence
[06:35.36]  uh and i don't want to give out i don't
[06:37.36]  want to give too much of it away
[06:38.80]  so think of the situation there's only
[06:41.52]  one minute left in the match
[06:43.20]  our team um win
[06:49.84]  remember how i told you before that
[06:52.88]  sudden uh sudden quick actions like
[06:56.08]  something that happens immediately
[06:57.68]  you're going to use will
[06:59.36]  when there's evidence or even there's a
[07:02.08]  sign
[07:02.88]  that something will come in the future
[07:05.36]  you're going to use going to
[07:07.36]  there's only one minute left in the
[07:09.20]  match our team is going to win
[07:11.12]  this is great let's look at the the next
[07:14.56]  question or the next sentence that i
[07:16.48]  have for you this
[07:17.92]  is an example of the subjunctive
[07:20.64]  technically
[07:21.60]  the subjunctive mood so here's my
[07:24.32]  sentence the doctor recommends that she
[07:27.28]  um some sleep i've done lessons about
[07:30.48]  this before so hopefully you've seen
[07:32.40]  some of the lessons
[07:33.60]  and it makes it much easier to
[07:35.60]  understand
[07:40.24]  you would say she get the doctor
[07:43.12]  recommends that she get
[07:45.04]  some rest did i say sleep in that first
[07:47.60]  no rest
[07:48.48]  sorry maybe i misspoke when i was
[07:50.24]  talking about it the doctor recommends
[07:52.56]  that she get some rest now
[07:54.48]  i will say that this again i'm writing
[07:58.16]  this down
[07:58.88]  so in writing i think it's very common
[08:01.12]  people would use the subjunctive mood
[08:03.28]  especially in the united states because
[08:05.92]  i'm from the us
[08:07.28]  uh that they would use this in the
[08:09.36]  united states now
[08:10.56]  if we're talking about spoken english
[08:13.84]  i think that people will say gets and
[08:16.80]  this is sometimes when
[08:19.52]  the way people speak does not always
[08:22.40]  match the way somebody would write
[08:24.32]  something that is grammatically
[08:26.32]  accepted or correct spoken english can
[08:29.28]  be a bit different here's another one
[08:31.20]  are you guys ready what do you think now
[08:35.28]  many now i talked about this before
[08:39.04]  previously a few minutes ago two past
[08:42.08]  events
[08:42.96]  and now i'm giving you two blanks so
[08:45.28]  think about the situation by the time
[08:47.76]  i um at the restaurant that is actually
[08:51.44]  an
[08:51.68]  adverb clause the main clause everyone
[08:55.76]  um and i want you to use already
[08:59.20]  order and i'm talking about two events
[09:03.04]  that are in the past
[09:08.64]  so the first part by the time i
[09:12.00]  um at the restaurant that is my adverb
[09:14.72]  clause
[09:15.68]  and with the adverb clause you're going
[09:18.00]  to use the simple past
[09:20.08]  the next part it's appropriate
[09:22.64]  especially because you see the word
[09:24.32]  already
[09:24.96]  that should tell you okay the perfect
[09:26.72]  tense and because we're talking about
[09:28.72]  the past
[09:29.76]  then you would use the past perfect let
[09:32.40]  me show you the answer
[09:34.00]  yes by the time i arrived at the
[09:36.96]  restaurant
[09:38.40]  everyone had already eaten this is a
[09:40.88]  good example as to when you would use
[09:43.52]  the past perfect tense so this was just
[09:46.56]  a
[09:47.28]  a quick little grammar quiz that i had
[09:49.52]  for you guys today
[09:50.72]  to help you practice uh verb tenses
[09:54.56]  it wasn't a very long quiz there were
[09:56.32]  just ten questions but it's always good
[09:58.08]  to get that practice
[09:59.52]  and i think it really helps with your
[10:01.52]  overall english fluency
[10:04.08]  i i want to say again if you guys like
[10:06.24]  what we do here at interactive english
[10:08.16]  there are links down in the description
[10:09.92]  if you'd like to join patreon youtube i
[10:12.08]  have some different rewards for you if
[10:13.76]  you want to check that out
[10:15.28]  help support uh what what we do here at
[10:18.00]  interactive english
[10:19.12]  but in the future i will have more quiz
[10:22.00]  lessons like this
[10:23.28]  to help you practice your grammar help
[10:25.52]  you practice vocabulary pronunciation i
[10:28.08]  really enjoy doing these lessons
[10:30.08]  and if you guys think they're useful let
[10:32.24]  me know hit that like button
