Title     : 373: Check: Building a SaaS Startup  You're Not Rushing to Sell
Video ID  : cSuxL6jl-zM
[05:34.48]  Spotify I wanted to build Netflix I
[05:36.44]  loved running the business I loved our
[05:38.24]  team and and kind of post-acquisition
[05:40.32]  life was H was just a very different
[05:42.52]  beast and you know I think any founder
[05:45.04]  would tell you certainly this was true
[05:46.20]  for me you know you work your butt off
[05:47.56]  to build something and then kind of
[05:49.60]  overnight it's like wait this is gone or
[05:52.24]  it's totally different like what it's
[05:53.88]  very disorienting you know it's like
[05:55.32]  what kind of a pillar of your life has
[05:56.92]  gone what are you going to do next and
[05:58.76]  so I spent a lot of those those kind of
[06:01.04]  call it a two-year period there trying
[06:03.28]  to figure out one did I want to start
[06:04.92]  another company did I have that in me
[06:06.76]  and then two how is I going to be damn
[06:09.68]  sure that whatever I did next you know
[06:12.08]  really was something that I was going to
[06:13.68]  be able to run for the Long Haul and you
[06:16.12]  know and build into you know what our
[06:18.36]  our goal still is and I believe Czech
[06:19.80]  will be which is a you know generational
[06:22.04]  business that uh that stands the test of
[06:24.24]  time so that was a a really high bar to
[06:26.80]  clear it's part of why it took me three
[06:28.48]  years I think to ultimately find the
[06:31.08]  idea but uh once we got there you know
[06:33.44]  we've been Off to the Races so that's
[06:35.08]  interesting every founder you know talks
[06:37.68]  about having a a successful exit and you
[06:41.32]  you had one but what I heard was hey it
[06:45.44]  wasn't you know all that great in you
[06:48.84]  know other aspects of you know my my my
[06:52.80]  life and and personal fulfillment and so
[06:56.20]  when I went out for this next business
[06:58.80]  yeah I still maybe wanted to have a an
[07:00.96]  exit at some point but not too quickly
[07:04.04]  something that I could work on for for
[07:05.92]  many years and build and and grow and so
[07:07.96]  on is is that kind of what what I'm
[07:09.68]  hearing that's 100% right that's
[07:12.40]  interesting so so what happened so you
[07:15.56]  you you you kind of got this very high
[07:17.68]  bar for figuring out this business you
[07:20.36]  know what this business is going to be
[07:22.28]  like where did the idea come from in
[07:24.92]  some ways probably it's it's a good
[07:27.08]  problem to have it's a second time
[07:28.44]  founder problem but I had basically the
[07:31.00]  team lined up I had folks that I had you
[07:33.28]  know brought on and worked really
[07:34.80]  closely with at oyster who I was really
[07:36.48]  close with we wanted to work together I
[07:38.32]  had investors that wanted to back us
[07:40.16]  basically all the makings of a company
[07:42.16]  but we didn't have the idea that was the
[07:44.00]  hardest part of uh of starting check and
[07:46.92]  it's funny because the thing that came
[07:48.40]  first was we identified basically the
[07:50.72]  shape of the idea that we wanted which
[07:52.84]  was I had done a consumer business I did
[07:55.20]  not want to do consumer again I knew
[07:57.28]  that you know running Instagram and uh
[07:59.68]  you know Google AdWords all day was just
[08:01.76]  not my my cup of tea I wanted a a pretty
[08:05.40]  analytical logical guy I wanted to B to
[08:07.60]  be ideally sort of Enterprise business
[08:10.00]  I'm an engineer by background so if it
[08:11.80]  was a platform that folks could build on
[08:13.96]  even better um and I studied economics
[08:16.40]  and undergrad too so I've always liked
[08:17.96]  kind of big economics systems and so
[08:20.52]  fintech really interested me so I was
[08:23.36]  basically looking at a whole slew of
[08:25.28]  opportunities in that General realm you
[08:28.00]  know what were things that were going to
[08:29.32]  fit that criteria and so then we
[08:31.88]  ultimately came to check uh the the
[08:34.52]  really sort of key insight and key you
[08:36.92]  know way we came to the idea was
[08:39.24]  actually it wasn't some you know
[08:41.08]  brilliant top- down analysis on our part
[08:43.60]  check was the product of customer pain
[08:47.12]  one of our earliest still most important
[08:49.44]  Partners home base wanted to build
[08:52.24]  payroll they are a scheduling and time
[08:54.64]  tracking tool for like local Main Street
[08:57.40]  businesses all across the country think
[08:59.32]  you know coffee shops restaurants those
[09:01.20]  sorts of things and you know they were
[09:04.12]  really banging their head against the
[09:05.36]  wall like hey we've got to provide this
[09:06.96]  service to our customers they want it
[09:08.64]  it'll be amazing business for us and
[09:10.72]  payroll was just too complex for them to
[09:12.60]  build internally and so I I we were you
[09:15.64]  know close to the team over there and
[09:17.20]  gotten to know them and we said hey this
[09:18.92]  is a business if we do this we can
[09:20.68]  provide this service to you and then
[09:22.52]  this same platform to all sorts of other
[09:25.16]  you know vertical SAS and kind of HR
[09:27.16]  businesses all across the country so
[09:29.00]  that no one has to go tackle this
[09:30.64]  complexity of payroll on their own ever
[09:32.48]  again okay great so you you see this
[09:35.44]  opportunity there's there's clearly a
[09:37.00]  pain that somebody wants to go and
[09:39.64]  solve to me it doesn't sound like the
[09:42.64]  kind of payroll solution that you build
[09:44.68]  you know this kind of embedded payroll
[09:46.64]  or payroll as an as you know as an API
[09:49.76]  it doesn't sound like the kind of thing
[09:51.00]  you build as an MVP in a couple of
[09:52.64]  months and and get in front of customers
[09:55.12]  so what approach did you have to take in
[09:59.32]  terms of building the right you know
[10:02.16]  first version of the product yeah you're
[10:04.44]  absolutely right so we spent the first
[10:06.16]  two full years in stealth uh and raise
[10:10.00]  two or even three rounds of capital all
[10:13.56]  while in that stealth mode just working
[10:15.72]  on the product and that's both because
[10:17.76]  payroll is complicated and because it is
[10:19.76]  a massive 50-state problem you have to
[10:22.24]  go state byst state in some cases even
[10:24.48]  county by county school district by
[10:26.44]  School District making sure you have the
[10:29.20]  tax rates correct you've integrated them
[10:31.16]  in the right way you're able to pay the
[10:32.68]  taxes in the right way uh it's an
[10:34.68]  incredibly complex problem so there were
[10:37.24]  there's really two sides to that one is
[10:39.16]  you know you have to maybe three one you
[10:40.68]  have to fund it so that you can do that
[10:42.68]  second you have to convince customers
[10:44.52]  somewhere along the way to start using
[10:46.20]  you so that you can you know get some
[10:48.00]  feedback and and build trust with them
[10:50.68]  and then I think third is you got to
[10:51.92]  figure out how to still create like
[10:53.84]  energy and momentum and urgency
[10:55.92]  internally on a day-by-day basis and and
[10:58.68]  and that last one is maybe the one that
[11:00.24]  I think we spent the most time on early
[11:01.88]  on because it was clear how big a
[11:03.48]  problem and how hard a problem it was
[11:04.96]  going to be and I think our single best
[11:07.12]  tactic there is that we built our own
[11:09.60]  like we ran on our own system so my
[11:12.00]  co-founder of aake and I we refused to
[11:14.20]  pay ourselves until we could run it on
[11:16.00]  our own platform when we'd hire new
[11:18.24]  people onto the team if they were in a
[11:19.88]  different state we would make them you
[11:21.52]  know build support for their state
[11:23.36]  basically before they could get their
[11:24.76]  paycheck and you know that added that
[11:27.04]  real sense of urgency to uh to the work
[11:30.16]  and did you did you get any commitment
[11:32.32]  from home base so in in terms of some
[11:36.20]  letter of intent or or or something
[11:39.04]  before you set out on this journey to
[11:42.08]  build a solution you know over the next
[11:43.80]  couple of years the short answer is no
[11:46.64]  we probably should have in retrospect uh
[11:49.20]  but you know I think truly so many
[11:50.68]  things in in the business world are
[11:52.28]  based on trust and it's actually
[11:54.64]  honestly goes a lot deeper than you know
[11:56.96]  any piece of paper would and so from the
[11:59.08]  early days I think we understood that
[12:00.68]  when what we built home base would use
[12:03.08]  and that was really for the first year
[12:05.32]  or so of the company you know what we
[12:07.48]  were chasing and then once we turned the
[12:09.24]  page to year two at that point I think
[12:11.80]  we did have signed um you know Lois or
[12:14.32]  something like that from home base and
[12:15.96]  one maybe two other platforms uh and
[12:18.44]  then it was still probably another six
[12:19.80]  months after that before we had our
[12:21.44]  first like truly signed contract you
[12:24.44]  know when I talk to Founders like
[12:25.72]  yourselves the first thing we we talk
[12:28.16]  about is like those you know the first
[12:29.60]  10 customers and with you guys as you
[12:32.96]  were explaining to me earlier it wasn't
[12:34.84]  that simple it took you several years
[12:38.28]  just to even get the first four or five
[12:40.92]  customers each one being very
[12:43.08]  significant it wasn't like you know 100
[12:44.80]  bucks a month type
[12:46.56]  customer can you give us an overview of
[12:51.32]  what it took
[12:53.52]  to to sign a customer like that like
[12:57.32]  what what was the process that you you
[12:59.00]  had to go through I mean with Homebase
[13:02.48]  you you said you had some existing
[13:03.72]  relationships and maybe there's some
[13:05.08]  level of trust and people are more open
[13:06.80]  to to being willing to work with you but
[13:08.72]  when you're going into you know a
[13:10.60]  business and saying hey we're a startup
[13:12.24]  and we can help you with your payroll
[13:14.64]  it's like really it's like how can I
[13:18.00]  trust you right so what was your
[13:19.56]  experience with that yeah our second
[13:21.96]  company value is earn trust for exactly
[13:24.60]  this reason because I had so many people
[13:26.64]  early on who said literally the exact
[13:29.00]  words that just came out of your mouth
[13:30.32]  like this sounds good but how can I
[13:31.92]  trust you why would we work with you so
[13:34.16]  you know that's hard to combat there are
[13:35.36]  a few things that we did first of all
[13:37.20]  like our two main tactics were really
[13:39.52]  network based using our own investors
[13:41.84]  folks we knew you know relationships we
[13:44.32]  were able to generate to get
[13:45.96]  introductions and sort of create that
[13:47.80]  trust by association you know that was
[13:49.76]  tactic one um and Far and Away was our
[13:52.32]  most important and still an incredibly
[13:54.16]  helpful you know channel of distribution
[13:56.12]  for us the other one was really cold
[13:58.20]  Outreach um we were fortunate in that we
[14:01.12]  had a unique product in the market and a
[14:03.64]  very specific set of folks like we could
[14:05.32]  literally write down the names of a few
[14:07.04]  hundred companies that we wanted to talk
[14:08.68]  with and it was normally you know one of
[14:10.52]  two or three people at the company that
[14:11.96]  we should get in front of and so I'd
[14:13.36]  write a you know really thoughtful cold
[14:15.20]  email to them and you know I think I
[14:18.40]  think attention to detail and craft sort
[14:20.72]  of conveys trust in a way that maybe
[14:23.64]  folks underappreciate especially when
[14:25.44]  done repeatedly so when that first cold
[14:27.40]  email is great when you get on a first
[14:29.00]  call and are incredibly prepared and you
[14:31.08]  you know go see someone in person and
[14:32.72]  have done research on their business or
[14:34.36]  talk to their customers you know you
[14:36.20]  don't do it all in one day but it's
[14:37.60]  little by little through each of those
[14:38.96]  interactions over time you build it up
[14:40.80]  and eventually you know you give them an
[14:42.20]  a API key they try the platform they
[14:44.24]  love the platform and it all Builds on
[14:46.32]  itself yeah that's that's interesting I
[14:48.28]  want to talk a little bit more about uh
[14:50.96]  you know growth and and the Enterprise
[14:52.72]  sales process but one thing you know you
[14:55.00]  mentioned that you had a very targeted
[14:57.72]  list of Po potential customers in terms
[14:59.80]  of your the number of customers in your
[15:01.52]  total addressable Market wasn't that big
[15:03.44]  you're talking about hundreds of
[15:05.36]  customers I think you know maybe
[15:07.76]  somebody looking at that initially when
[15:09.08]  in the early days of doing research they
[15:10.52]  may just say ah I'm not sure there's a
[15:12.28]  big enough opportunity here right the
[15:14.12]  market is not big enough so maybe the
[15:16.92]  number of customers wasn't huge but the
[15:20.60]  the the value uh behind each potential
[15:24.92]  partnership or deal was was significant
[15:27.44]  enough to to drive you but can you just
[15:29.72]  help us understand a little bit about
[15:31.36]  how you thought about the opportunity
[15:33.00]  here absolutely so I think the key thing
[15:35.12]  to understand about check is that we
[15:37.16]  really have a two-phase growth motion so
[15:39.68]  we you know work with our customers we
[15:41.40]  call them partners and then they serve
[15:44.32]  typically tens or hundreds of thousands
[15:46.40]  of small and medium-sized businesses
[15:48.44]  each uh potentially millions of
[15:50.80]  employees each and so what that means is
[15:53.16]  that when you think about our total
[15:54.60]  Market uh we really think of ourselves
[15:56.92]  as being able to address you know every
[15:58.88]  single business every single employee
[16:00.84]  that works in this country today and
[16:02.44]  eventually in other countries you know
[16:03.96]  all around the world payroll is a very
[16:06.20]  old uh absolutely massive space that you
[16:09.00]  can look at and see you know there's
[16:10.48]  many companies worth tens of billions of
[16:12.24]  dollars in it and frankly none of them
[16:13.72]  are you know innovating at an incredibly
[16:15.84]  High rate and so I think both we and you
[16:18.16]  know our investors and and frankly our
[16:20.04]  partners too see that as the opportunity
[16:22.84]  we Pro we see providing a absolutely
[16:25.80]  customized just something that almost so
[16:28.08]  easy to use that Fades into the
[16:29.68]  background experience for payroll for
[16:31.64]  every single one of those companies as
[16:33.96]  as the prize that we're chasing the
[16:36.20]  challenge then is how do you address
[16:37.80]  that and that's where our partners come
[16:39.16]  in those are the ones who you know it's
[16:40.68]  hundreds of them H and they're each
[16:42.80]  quite large and those are the key
[16:44.12]  relationships we have to establish yeah
[16:46.72]  I mean I think that's the really smart
[16:48.52]  thing here that having that you know a
[16:51.52]  very finite list of uh potential
[16:54.40]  Partnerships that you can do helps you
[16:58.52]  take the time I think to build more
[17:00.20]  relationships to network and so on
[17:03.08]  rather than you know mindlessly sending
[17:05.52]  out you know you know a few hundred code
[17:08.00]  emails that look pretty much the same to
[17:10.76]  you know anybody and everybody totally
[17:12.80]  it's a bespoke custom you know in the
[17:15.24]  weeds business for sure and and and
[17:17.32]  importantly and we haven't mentioned
[17:18.44]  this like there's not only a go to
[17:20.44]  market side of that there's a product
[17:22.16]  side to that too where you know check as
[17:24.60]  a platform looks totally different than
[17:27.04]  any other Payroll Company has ever been
[17:29.12]  built in the past it's so not only is
[17:31.60]  there an API for it which is sort of
[17:33.24]  easy to say you know the actual
[17:34.84]  architecture under the hood is
[17:36.20]  incredibly customizable it's very
[17:38.48]  powerful and scalable um and it gives
[17:40.96]  folks the ability to then you know
[17:42.92]  actually build their own um you know
[17:45.24]  products kind of lean into their own
[17:47.00]  creativity on top of it uh in a way that
[17:49.76]  I think no one had ever really imagined
[17:51.48]  before we're kind of taking this like
[17:52.88]  old sty sort of service based industry
[17:55.08]  and almost turning it you know inside
[17:57.04]  out on its head and redistributing much
[17:59.40]  of the value of the industry to you know
[18:01.68]  these platforms that really now own the
[18:03.20]  customer relationship so let's talk a
[18:05.40]  little bit more about the the sales and
[18:07.40]  and onboarding you you told us a little
[18:09.76]  bit about you know some of the
[18:11.32]  challenges and and the importance of
[18:12.88]  building trust typically what have you
[18:15.68]  been finding how long does it take to
[18:18.52]  close this type of deal and then I think
[18:22.04]  you know once you've closed it it sounds
[18:23.52]  like that's when the work actually
[18:26.64]  begins 100% the work definitely starts
[18:29.64]  there so I'd say that initial sale
[18:31.24]  process it it can vary because you know
[18:33.68]  you have to our partners are are really
[18:37.04]  setting up a new business line when they
[18:38.80]  get into payroll and so they have to be
[18:40.28]  ready for that but I would say a typical
[18:42.20]  sales cycle for us can look like
[18:43.80]  anything from a few weeks for a small
[18:45.96]  startup up to you know we work with
[18:48.16]  public companies as well and those can
[18:49.88]  be you know a year maybe more you know
[18:52.28]  could can certainly be several quarters
[18:53.84]  so there's a fair amount of variability
[18:55.64]  but maybe call it average is two
[18:57.64]  quarters something along those lines
[18:59.36]  long enough to you know get to know them
[19:00.88]  build a relationship give them time to
[19:02.96]  you know assess the platform and then
[19:04.56]  sort of get it on their road map and
[19:06.52]  then tell us about what happens once
[19:08.32]  they've you know the deal has been
[19:10.12]  signed uh what's what's involved in
[19:12.80]  actually you know
[19:14.64]  onboarding a new customer or partner
[19:17.56]  yeah we think of really three phases the
[19:19.48]  first one is getting to launch you got
[19:21.44]  to go from signature to launch then we
[19:23.48]  think about how we help you grow so you
[19:25.60]  have to kind of you got to get those
[19:27.16]  first few reps everything we've been
[19:29.12]  talking about here how do you get those
[19:30.32]  first 10 customers each of our partners
[19:32.56]  has to understand how they get their
[19:34.04]  first you know 10 customers for their
[19:35.76]  payroll service and then it's all about
[19:37.64]  scaling it from there so that means
[19:39.76]  those first call it quarter or so
[19:41.60]  normally our partners are trying to
[19:42.76]  launch within you know anywhere from you
[19:44.68]  know a couple of months to a few months
[19:46.48]  H you know it's working really closely
[19:48.20]  together with um our partner engineering
[19:50.76]  team to help guide them on their setup
[19:52.44]  at launch uh and then once they get past
[19:54.64]  that we have basically a growth
[19:56.00]  Consulting team that goes in works
[19:57.68]  really closely with them sometimes it's
[19:59.32]  you know in the office sitting next to
[20:00.88]  their salespeople giving them feedback
[20:02.60]  as they're on their first few calls you
[20:04.60]  know helping them stand up this this
[20:06.60]  distribution motion and then from there
[20:08.72]  once they've kind of you know call have
[20:10.36]  the momentum going and and really the
[20:11.92]  wheels are in motion at that point we
[20:13.84]  take a little bit of a step back and
[20:15.28]  then we're you're in scale mode and
[20:16.80]  that's where we're you know trying to
[20:18.04]  understand where are they blocked what
[20:19.16]  do they think they might be able to you
[20:21.08]  know expand into another Sub sub segment
[20:23.52]  they serve if they integrate with some
[20:25.20]  part of our system or we offer a new
[20:26.80]  feature things of that nature can you
[20:28.72]  tell us uh a little bit about your
[20:31.76]  pricing model I think you know maybe
[20:35.28]  somebody listening to this there might
[20:36.32]  be thinking well you know having a
[20:38.20]  growth team to help a customer kind of
[20:40.52]  sounds a bit uh Overkill but with with
[20:44.72]  you guys from what I understand and your
[20:47.56]  pricing like it's it's really dependent
[20:50.04]  on your growth is dependent on the
[20:51.96]  success of your partners is right
[20:54.72]  exactly and this is a very uh I think
[20:57.12]  common thing for embedded ftech so if
[20:59.24]  you think about some of the largest
[21:00.32]  Brands out there think about stripe
[21:01.92]  think about a firm uh you know companies
[21:04.44]  of that nature it's similar you know if
[21:06.16]  you're a firm how Spotify or not Spotify
[21:09.00]  how Shopify does and your you know
[21:10.60]  partnership with them is huge to you and
[21:12.04]  if that's worth investing a lot in our
[21:13.84]  business is very similar and so our
[21:16.08]  pricing uh is entirely aligned with the
[21:18.68]  incentives of our customers which means
[21:20.36]  we get paid uh certain flat amount based
[21:23.08]  on the number of employees and number of
[21:24.96]  companies that they're running payroll
[21:26.52]  for at any given time so so it is all
[21:28.56]  about how do they grow their business
[21:30.36]  and if their business grows you know we
[21:32.16]  keep a smaller portion of that and and
[21:33.76]  our business grows as well in terms of
[21:36.40]  hitting the first million in AR I think
[21:39.20]  it took you
[21:40.68]  guys a couple of years or so to get
[21:45.12]  there aside from this this whole thing
[21:47.56]  about you know going out in networking
[21:50.12]  and building
[21:51.64]  trust looking back what do you think
[21:54.36]  what else was you know one of the
[21:57.52]  biggest challenges or you know obstacles
[22:00.56]  to to hitting that first big milestone
[22:02.72]  of a million in AR yeah and and I'll say
[22:05.64]  it was really was probably about three
[22:07.16]  years I think to get to that first
[22:08.72]  million for us because again you got to
[22:10.44]  sign all the Partnerships get them live
[22:12.36]  get them launched and get them growing
[22:14.20]  you know before we got there and there
[22:16.24]  were look there are several pieces that
[22:18.72]  are fundamental to the model yes it's
[22:20.12]  the Partnerships and yes it's also the
[22:22.04]  complexity of payroll actually building
[22:23.84]  out that product those were two you know
[22:25.80]  huge things um but there was also the
[22:28.60]  idiosyncratic stuff you wouldn't expect
[22:31.12]  um Co hitting was just a massive uh you
[22:34.64]  know sideswipe for us as it was for so
[22:36.96]  many businesses in our case I think we
[22:39.20]  were in that period in between having
[22:40.72]  letters of intent but not yet signed
[22:42.72]  contracts keep in mind all of our
[22:44.76]  partners serve small businesses and
[22:46.72]  mostly frankly in the real world blue
[22:48.92]  collar
[22:49.80]  workers those people weren't doing
[22:51.80]  anything at least for those first few
[22:53.48]  weeks first few months it was very
[22:55.60]  unclear were our partners businesses
[22:57.52]  going to even I mean were their
[22:58.56]  customers going to exist anymore number
[23:00.32]  one than were they going to exist much
[23:02.28]  less were they going to prioritize
[23:03.64]  payroll you know there were some scary
[23:05.20]  moments there but I think we learned two
[23:08.20]  really amazing lessons from that number
[23:10.12]  one is how critical we were to the
[23:12.40]  future of our partners businesses and
[23:14.92]  not only did they survive they didn't
[23:16.60]  cut payroll even while they might have
[23:18.24]  done layoffs and cut many other
[23:19.80]  initiatives because we were part of
[23:21.60]  their core we were their future and they
[23:23.36]  wanted to bet on their future so that
[23:25.20]  was number one and then number two we
[23:27.44]  learned how to really be adaptable and
[23:29.36]  how to be great Partners what I mean by
[23:31.20]  that is um one of the folks we were
[23:32.76]  working with their companies had laid
[23:35.36]  off a ton of people and their hypothesis
[23:37.92]  was that as Co began to EB they were
[23:40.28]  going to want to hire many of those
[23:42.08]  people back and so we worked with them
[23:44.04]  to build some really sophisticated
[23:46.20]  essentially onboarding uh you know
[23:48.44]  software that deals with you know State
[23:50.24]  forms and all those sorts of stuff H and
[23:52.76]  did that really quickly you know it's a
[23:54.08]  matter of like a six or eight week
[23:55.52]  Sprint together uh to help build this
[23:57.88]  you know sort of do subproduct if you
[23:59.92]  will sort of an onboarding into payroll
[24:02.40]  uh in order to really help them out and
[24:03.88]  help their customers out as they came
[24:05.36]  out of it and you know that generated
[24:06.92]  maybe some tiny amount of Revenue but
[24:08.52]  the real thing it did was it cemented
[24:10.48]  the partnership it cemented how we could
[24:12.04]  work together and this idea that we were
[24:13.44]  going to grow our businesses side by
[24:15.00]  side you mentioned you'd been in stealth
[24:17.60]  mode for for a few years I'm curious
[24:21.40]  what was the what was the main kind of
[24:24.68]  driving reason behind that and you know
[24:28.60]  sort of looking back do you feel like
[24:29.92]  timing wise it was the right thing to
[24:32.80]  spend those you know two or three years
[24:34.96]  in in stealth mode or maybe you know
[24:38.88]  looking back you would have done it
[24:39.92]  differently it was 100% the right call
[24:42.36]  to be in stealth mode for those two
[24:43.96]  years if I had to do anything I might
[24:45.40]  have waited another six or 12 months to
[24:48.00]  come out of stealth but you got to do it
[24:49.52]  eventually and there are a couple
[24:51.16]  reasons for that um I mean number one
[24:53.28]  probably the most important one is that
[24:54.84]  we felt like we had a differentiated
[24:56.84]  insight about the world you know that
[24:58.60]  common question like what's the thing
[24:59.84]  you believe about the world that no one
[25:01.20]  else does I think for us the answer to
[25:02.88]  that question was that there needed to
[25:04.60]  be an order of magnitude more payroll
[25:06.68]  products out there than there were today
[25:08.92]  and they just there we we were fortunate
[25:10.72]  to be in a position to be able to put
[25:12.36]  the pieces together to see that and you
[25:14.76]  know we didn't really want to you know
[25:16.08]  tell others about that until we felt
[25:17.96]  like we had kind of broken out that was
[25:19.84]  one and then two we needed time to build
[25:22.04]  the product we didn't want to be out
[25:23.36]  there sort of selling something that
[25:24.68]  didn't exist and we wanted to make sure
[25:26.32]  we really built it in a first class you
[25:29.20]  know very reliable way something you
[25:30.96]  going to have to go you know pack
[25:32.64]  together and redo at the end of the day
[25:34.84]  and I think that served us you know
[25:36.52]  really well so you you you and I were
[25:39.60]  talking earlier and we you know I was
