Title     : From $0 to $1M ARR: Our Outbound SaaS Journey (Banzai)  #saas
Video ID  : lzIrDbc7fHM
[02:40.88]  you know we built we built an outbound
[02:43.84]  um engine and we had a really specific
[02:46.28]  customer profile in a really specific
[02:48.24]  Niche and you know we just hammered that
[02:51.92]  Niche I mean if you were a field
[02:54.32]  marketing manager in the United States
[02:57.64]  uh in the year you know 2016 through
[03:02.08]  2020 you almost certainly uh got you
[03:06.28]  know an email from us you know asking if
[03:09.76]  you were worried about butts and seats
[03:11.64]  at your next event and we can help you
[03:14.16]  get those butts and seats and and we
[03:16.68]  just had this really clear messaging and
[03:18.12]  you know what's so funny about this was
[03:20.48]  this was a real lesson that came out of
[03:22.08]  this eventually as we got bigger we
[03:25.24]  started to hire more um what I would
[03:27.40]  call just like professional marketers or
[03:29.44]  what ever you know it it wasn't just us
[03:32.28]  amateurs trying to figure it out it was
[03:34.04]  you know we hired a VP a marketing and
[03:35.68]  we hired a marketing manager content
[03:37.16]  person whatever and all these people
[03:39.44]  that we hired they were like oh this is
[03:40.72]  terrible you can't say butts and seats
[03:42.44]  it doesn't sound professional
[03:43.52]  Enterprises will never buy from us if we
[03:45.72]  say butts and seats um we need to say
[03:48.12]  something else and they would write
[03:49.16]  these emails and they'd write these you
[03:50.48]  know emails with five bullet points
[03:52.56]  about why this is the best product
[03:53.80]  you've ever you know you've never heard
[03:55.08]  of and you should buy this and and they
[03:56.60]  got nowhere I mean they got nowhere the
[03:58.72]  the highest performing
[04:00.44]  message we ever had um for that product
[04:04.00]  was you know do you need more butts and
[04:06.56]  seats for your events that was it I mean
[04:09.24]  it was the simplest thing um and it was
[04:12.36]  yeah we got a couple people that emailed
[04:13.80]  us and we're like that's crass you can't
[04:15.32]  say that but for every person that
[04:18.36]  emailed us and was irritated that we you
[04:20.84]  know put the word but in an email we got
[04:23.56]  100 customers so it was absolutely worth
[04:26.04]  it and you know we had uh everything
[04:28.52]  every other thing that we ever tried
[04:30.52]  every other piece of messaging we ever
[04:32.28]  tested never performed as well as butts
[04:34.64]  and seats so I think the lesson was you
[04:37.88]  know sometimes you just have to go with
[04:39.08]  the simple stuff like we didn't need a
[04:41.28]  complicated idea and like we didn't need
[04:43.68]  five bullet points to convince a
[04:45.08]  customer why they should buy this
[04:46.28]  product we just needed one very strong
[04:49.36]  like emotionally resonant thing that cut
[04:52.92]  through the noise for them and I think
[04:54.84]  for our for our customers at least for
[04:56.48]  marketers that are used to getting
[04:57.56]  pitches all the time I think they
[04:59.68]  responded a lot better to our kind of no
[05:02.60]   approach um just cutting
[05:05.00]  through the noise and saying like hey if
[05:06.68]  you have this problem here's what we can
[05:08.60]  do for you like we could explain the
[05:10.80]  whole business in the whole the whole
[05:12.20]  product in two sentences you know it was
[05:14.12]  super simple yeah I think sometimes the
[05:16.04]  best
[05:17.36]  marketing email is the one that doesn't
[05:21.08]  look like it was written by a marketer
[05:24.04]  right in terms of just make it real
[05:25.68]  totally I mean we you know we had this
[05:27.72]  we had this joke of like if you find
[05:30.00]  yourself putting bullet points in your
[05:32.44]  cold email just stop what you're doing
[05:34.72]  right there because you've already
[05:36.12]  screwed up you know you need you need to
[05:38.80]  rewind and and you need to think about
[05:40.96]  what are you really trying to
[05:41.76]  communicate because people aren't going
[05:42.96]  to read your bullet points now earlier
[05:44.60]  we were talking about how some of the
[05:48.20]  the early customers you found were you
[05:50.12]  know through your network warm intros
[05:52.92]  and things like that and you said the
[05:55.60]  real test for us was to try and figure
[05:57.48]  out if strangers would make time for us
[06:00.68]  so it sounds like when you got to that
[06:03.84]  messaging with those
[06:05.52]  emails you clearly had identifi the
[06:08.32]  problem and were able to articulate it
[06:11.20]  like super concisely and get people to
[06:14.72]  to
[06:16.04]  respond but when you first started
[06:18.04]  reaching out to
[06:20.36]  strangers what was that experience like
[06:23.08]  did you did you have that messaging
[06:25.00]  figured out at at the start and and were
[06:28.52]  people paying ention or ignoring you
[06:31.24]  well people were ignoring us yeah I mean
[06:33.32]  it's it's it's easy it's you know people
[06:37.00]  have to do nothing you know just by just
[06:39.68]  simply through in action people can
[06:41.48]  ignore you right so they have to take an
[06:44.32]  action and and what's worse is with a
[06:47.04]  cold email or a cold call or something
[06:48.72]  they know that by taking an action
[06:51.04]  they're probably committing themselves
[06:52.96]  to further action which means I now I
[06:56.20]  have to yeah if I pick up the phone and
[06:57.72]  talk to you well now I going have to
[06:58.92]  actually take a meeting with you and
[07:00.64]  then I might actually have to buy this
[07:02.04]  thing and then I might actually have to
[07:03.24]  implement this thing and that's going to
[07:05.52]  be a and then if I have to buy it then
[07:07.04]  I'm going to have to get approval from
[07:08.12]  my boss and I'm going to have to talk to
[07:10.12]  finance about the budget and you know
[07:12.32]  this is going to be a Hu you I got to
[07:13.56]  talk to my procurement Department I'm
[07:15.36]  probably have to they're going to send
[07:16.28]  me a form contract I have to deal with
[07:18.08]  that it's like this huge Cascade of that
[07:20.60]  happens anytime you try to buy something
[07:22.72]  in a you know in a midsize plus company
[07:25.08]  right and so so it is very hard to
[07:28.80]  motivate
[07:29.88]  somebody to the point that they think
[07:32.52]  this all of this stuff is worth it for
[07:35.00]  me let alone spending the money just the
[07:37.28]  effort and the time is worth it for me
[07:39.60]  when I'm already busy you know there is
[07:41.92]  nobody out there at least nobody in the
[07:43.76]  marketing world that I've met so far who
[07:45.80]  is not really really busy all the time
[07:48.64]  so if you don't have a very clear value
[07:52.20]  proposition and you don't really
[07:54.96]  understand their sore tooth you know the
[07:56.92]  thing that's going to get them off the
[07:57.92]  couch to go to the dentist like nobody
[07:59.84]  wants to go to the dentist for fun so
[08:01.56]  the only reason you're going to go to
[08:02.44]  the dentist is you know if you have a
[08:05.20]  pain that's worth it and uh so you got
[08:08.28]  to think about your product strategy
[08:09.96]  that way and your messaging strategy
[08:11.04]  that way that was the biggest lesson we
[08:12.04]  learned in those early days was like if
[08:14.36]  you know you might have the best product
[08:15.68]  in the world but if you don't understand
[08:18.20]  what the sore tooth is that you're you
[08:20.52]  know fixing for your customers you're
[08:22.56]  never going to motivate them you know
[08:24.48]  customers are basically you know at
[08:26.16]  least in the B2B world are basically you
[08:29.60]  know and and in in the world in general
[08:31.68]  like people are only motivated to take
[08:33.52]  action by either PL pain or pleasure
[08:36.52]  right and in the B2B world they're only
[08:40.08]  motivated by pain just period there is
[08:42.12]  no such thing as pleasure when you're a
[08:43.52]  B2B
[08:44.80]  marketer it is just pain and making the
[08:47.40]  pain smaller that's it and so um if you
[08:50.40]  don't understand what that pain is uh
[08:52.48]  you're gonna have a very hard time and
[08:54.76]  the other thing is you have to really
[08:56.76]  make your pain you know you have to are
[08:59.16]  articulated in a way that's different
[09:01.88]  because it's way too easy uh and this is
[09:05.48]  what happens when you get a bunch of
[09:06.80]  like this can happen this is a risk you
[09:09.64]  know this is like happens with it
[09:11.08]  security industry all the time um not
[09:13.52]  trying not picking on them but it's just
[09:15.32]  it's a common thing go look at an IT
[09:17.32]  security company's website and what are
[09:20.04]  they going to talk about they're going
[09:20.96]  to talk about oh your network is
[09:22.76]  insecure we're going to we're going to
[09:24.00]  make this more secure we're going to
[09:25.52]  prevent Hackers from getting in we're
[09:27.00]  going to you know increase your you know
[09:30.60]  you know reduce your risk or whatever
[09:32.76]  it's like the exact same things so
[09:36.04]  that's great but tell me you know if I'm
[09:39.56]  a CIO I hear that pitch 50 times a day
[09:42.16]  like tell me what's unique and special
[09:43.92]  and different about this that I should
[09:46.36]  care about it you know and that needs to
[09:48.04]  be a problem that really matters to them
[09:49.84]  so I think it's more of a universal
[09:51.16]  lesson but you can't you just can't
[09:53.32]  sound like everybody else you have to
[09:54.64]  find a way to make yourself stand out
[09:56.24]  and it has to be in a way that
[09:58.12]  resonates
