Title     : 370: Banzai: Pivoting from a Near  Collapse to 8 Figure ARR SaaS
Video ID  : 42RZZ3llZFs
[04:17.32]  would say you know uh there's a a
[04:20.76]  company that just went public this week
[04:22.28]  you know clavo uh which is really
[04:24.20]  exciting they're uh in our space they're
[04:26.88]  not a competitor to ours but they're uh
[04:28.96]  another Market technology company say
[04:31.28]  we're we're not as big as them uh but
[04:33.92]  we're but you know we're fast growing uh
[04:37.52]  you know fast growing company in the
[04:39.04]  space and then what's the plan like are
[04:40.76]  you going to be listed on NASDAQ yeah
[04:42.52]  we'll be listed on the
[04:43.80]  NASDAQ and um really our our plan is to
[04:49.56]  uh just you know a continue growing
[04:51.36]  organically uh B to make strategic
[04:54.04]  Acquisitions and then you know see to uh
[04:57.20]  find new ways for those products that we
[04:59.40]  bring bring into our uh into our fold to
[05:03.24]  uh support our our existing customer
[05:04.96]  base so that's really for us the main
[05:07.76]  focus is just what do our customers need
[05:09.52]  what do they care about what problems
[05:10.72]  are they trying to solve and how can we
[05:13.28]  help them solve those additional kind of
[05:15.88]  tangential problems so I think it's
[05:18.56]  interesting where you've got the
[05:20.20]  businesses so far and then I will
[05:23.28]  definitely talk about what you know
[05:26.60]  becoming a public company means and what
[05:28.44]  the future and the opportunity now looks
[05:31.08]  like for maybe the next 5 or 10 years
[05:33.52]  but what I think is super interesting
[05:34.92]  about your story is that this whole
[05:38.00]  business started as a bootstrapped
[05:41.44]  startup not too far down the road from
[05:43.92]  me here and and you bootstrapped the
[05:46.12]  business for what the first three or
[05:47.32]  four years uh yeah we bootstrapped the
[05:49.52]  business for the first four years just
[05:51.36]  about and um that yeah this is I mean a
[05:55.04]  really funny story but you know before
[05:57.16]  this uh before starting Bonsai I uh was
[05:59.84]  a senior executive company called Avala
[06:02.08]  which um ultimately became one of the
[06:04.64]  top 25 largest SAS companies uh in the
[06:07.76]  world and last year uh went public in
[06:10.40]  2018 Vista bought it for $9 billion last
[06:13.20]  year so was a awesome business um but as
[06:16.56]  part of building that business we raised
[06:18.24]  you know over $400 million in capital in
[06:21.00]  the private market so we you know we
[06:23.08]  raised and consumed a lot of capital to
[06:25.48]  build that company and I think it gave
[06:28.16]  me a real appreciation
[06:30.16]  for how important the relationship is
[06:34.36]  between you know the founder and the
[06:36.80]  investors and like I I've talked to a
[06:39.40]  lot of Founders who who also see it this
[06:41.08]  way but like some Founders don't see it
[06:43.28]  this way some investors or some some uh
[06:45.76]  like lawyers like we've had lawyers that
[06:47.84]  our lawyers have said oh you know who
[06:49.08]  cares they're they're they're big boys
[06:50.80]  whatever my view is their relationship
[06:53.08]  is kind of like a sacred one that if you
[06:55.16]  take somebody's money you should really
[06:57.20]  like work your ass off to get them their
[06:59.68]  money back like to protect that money
[07:02.20]  and because it's like trust to me and I
[07:04.20]  think reputation is the most important
[07:05.88]  thing and so and I I learned that lesson
[07:08.64]  hard way earlier in my career you know
[07:11.04]  and uh and so for me I think we always
[07:15.40]  felt like before we raised any money
[07:17.64]  from anybody else we wanted to feel
[07:19.84]  really confident in what we were doing
[07:21.68]  that we had uh a good business that we
[07:24.76]  had you know that we had product Market
[07:26.40]  fit with a customer segment that we at
[07:28.36]  least felt confident that we could scale
[07:29.80]  it up and you know we never wanted to
[07:31.88]  raise more money than we felt like we
[07:33.24]  could pay people back if we had to sell
[07:34.80]  the business um if that makes sense yeah
[07:37.64]  yeah totally so what was the what was
[07:40.36]  the initial idea for the product and and
[07:43.56]  where did that come from well early on
[07:46.36]  we just had this struggle at Avala where
[07:49.28]  you know we were constantly trying to
[07:51.64]  coordinate across teams and one of the
[07:54.88]  teams you know I ran uh several
[07:56.84]  different businesses there our
[07:57.72]  Enterprise and our very small business
[08:00.12]  segments for um our our document uh like
[08:05.16]  compliance documents business uh which
[08:07.72]  at the time was called Sir capture and
[08:10.76]  for our uh returns business which at the
[08:13.44]  time was called trust file
[08:16.24]  and so you
[08:18.72]  basically you know trying to coordinate
[08:21.48]  an organization like that we just
[08:23.12]  constantly running into challenges
[08:25.28]  especially around how do we coordinate
[08:27.08]  with our uh sales resource
[08:29.84]  you know hey we need to get a bunch of
[08:32.88]  people invited to this event hey we need
[08:35.52]  to call down this lead list and you know
[08:38.28]  see who will you know who who wants to
[08:40.32]  take this ebook or see who will take a
[08:42.28]  meeting with us or hey we're getting 50
[08:44.48]  inbound leads a day we need somebody to
[08:45.96]  call and follow up on them and you know
[08:47.88]  make sure that they get a quote if they
[08:49.32]  need it you know so simple stuff like
[08:52.76]  not a whole complicated Enterprise sales
[08:55.20]  process but like how do I get this one
[08:57.72]  simple job executed and the problem in a
[09:00.40]  big company is if you go to the sales
[09:03.16]  team and you say hey I I you know I need
[09:05.68]  you guys to go you know make these 5,000
[09:08.80]  phone calls they're going to say okay
[09:10.68]  great I'm happy to help but what's in it
[09:12.36]  for me like this doesn't give me quote
[09:14.36]  of relief I have my own job to do and so
[09:17.52]  maybe if you like twist their arm enough
[09:19.36]  they'll like do you a favor and do your
[09:21.00]  one-off but there is basically no
[09:23.08]  dedicated pool of resources to do that
[09:25.12]  in a company and even like today if you
[09:27.68]  go have an SDR team or something you you
[09:29.88]  would think oh just go to the strs well
[09:31.48]  they have their own job to do too which
[09:32.80]  is you know prospecting and so you know
[09:34.88]  nobody wants to take the time to do your
[09:37.08]  thing that you need to get done and so
[09:40.20]  you have very limited you know options
[09:42.24]  and not a lot of flexibility and so what
[09:44.84]  we thought was hey these are like simple
[09:46.60]  type jobs they're not jobs that need um
[09:49.52]  a a real depth of product knowledge or a
[09:52.32]  real depth of company knowledge um then
[09:54.88]  they're repeatable type tasks so if we
[09:56.60]  can create a template we can train
[09:58.48]  people to do this maybe we can even use
[10:00.00]  AI maybe we can even use automation you
[10:02.40]  know maybe we can even you know
[10:03.84]  eliminate the human entirely from the
[10:05.52]  process can we build like a Mechanical
[10:08.04]  Turk to do these simple types of sales
[10:11.12]  uh activities that was the early early
[10:14.04]  thesis and we just knew how hard it was
[10:16.44]  and we knew how uh we pulled our hair
[10:19.16]  out for years trying to make this work
[10:20.44]  at Avala and we knew the companies were
[10:22.56]  willing to spend money on it so I said
[10:25.08]  okay let's try it um I I think within
[10:27.64]  that world again like there's a lot of
[10:29.24]  thin ways that you can slice that
[10:30.60]  problem so um we didn't know exactly
[10:33.00]  what people were going to buy so the
[10:34.08]  first few years uh or really I should
[10:36.68]  say like the first 12 months we were
[10:39.40]  just on the phone constantly with
[10:41.60]  customers trying to see what problems
[10:45.00]  they had that they were actually willing
[10:46.28]  to spend money to solve so okay you're
[10:48.56]  getting a bunch of inbound leads how
[10:50.08]  about you you know we set up an API you
[10:52.40]  funnel them to us we'll call them we'll
[10:54.00]  qualify them and we'll hand the hot ones
[10:56.00]  over to you you know is that interesting
[10:58.72]  or okay you know you need a bunch of
[11:01.24]  people to come to your event uh how
[11:03.04]  about we call them and invite them to
[11:04.40]  the event and get them to you know get
[11:06.04]  them to RSVP so it was it was those
[11:07.92]  kinds of conversations and I think where
[11:10.72]  we initially I think where we were
[11:13.24]  really smart there were some there were
[11:15.72]  plenty of areas where we were dumb about
[11:17.28]  this but the area that we were really
[11:19.08]  smart was uh we just came into this with
[11:22.36]  an open mind and we said like we're
[11:24.00]  going to come up with five ideas and uh
[11:27.80]  we're going to test them actually the
[11:29.12]  idea that worked wasn't even on our list
[11:32.24]  uh when we made that list the initial
[11:34.20]  list of ideas the idea that worked was
[11:36.84]  people that wanted to do events in field
[11:38.56]  marketing so you know I'm doing a road
[11:40.68]  show I'm going to 10 cities I want to
[11:42.64]  get VPS of it to come to a you know come
[11:46.16]  to an event where they're going to like
[11:48.24]  get a dinner hear from a speaker from
[11:50.28]  some big company that's going to talk
[11:52.00]  about something interesting um they're
[11:53.88]  going to get to do a round table
[11:54.96]  conversation or it's gonna be a
[11:56.16]  networking event or it's gonna be a
[11:57.36]  product launch or it's gonna be some fun
[11:59.44]  you know was some fun activity or
[12:00.92]  whatever there's tons of these types of
[12:02.60]  things that were happening pre-co and um
[12:05.60]  and companies were investing a lot in
[12:07.64]  this and because it worked really really
[12:09.32]  well I me it had a super high Roi but it
[12:11.60]  was also really complex created a lot of
[12:13.40]  anxiety for uh the founders or for the
[12:16.92]  uh the the managers who were running
[12:19.28]  these programs and so uh we knew that if
[12:22.60]  we could relieve that anxiety um that
[12:25.28]  they had budgets you know they had money
[12:26.88]  to spend and so you we validated this
[12:29.08]  early on our first customer uh was a
[12:31.52]  company called bracket Computing which
[12:33.16]  is a little startup that was eventually
[12:34.84]  acquired by VMware and uh what was
[12:38.04]  amazing about that like I think their
[12:39.72]  first event they wanted like 50 people
[12:42.52]  there and we got like 80 people to
[12:44.68]  register so we were like wow you know we
[12:46.40]  are really good at this so they called
[12:48.04]  us up and they said hey we got another
[12:49.28]  one let's do this again and it turned
[12:51.24]  into the foundation of their marketing
[12:53.00]  strategy and ultimately you know
[12:55.00]  ultimately they were uh they they hosted
[12:57.56]  an event where you know this was a
[13:00.00]  couple years later when we had built
[13:01.20]  this into a more sophisticated system
[13:02.68]  but you know somebody registered through
[13:04.20]  our system from VMware to attend the
[13:06.12]  event came to their event said wow this
[13:09.16]  was a really interesting business maybe
[13:10.64]  VMware should buy this and came back and
[13:12.56]  acquired the whole company and so you
[13:15.08]  know we were really there with them from
[13:16.64]  like the early days through pivots
[13:18.72]  through the company getting Acquired and
[13:20.80]  I think that was like a fundamental part
[13:22.20]  of their success so in the first 12
[13:25.32]  months was the was there like a core
[13:27.76]  product that you were selling or was
[13:29.40]  this more like a
[13:33.04]  service and you were kind of building
[13:35.32]  stuff on the fly as you were selling it
[13:38.00]  I'm trying to understand what you were
[13:39.44]  doing we were very much um in the like
[13:42.24]  rapid prototyping phase so we were like
[13:45.40]  let's build it on spreadsheets first and
[13:47.88]  then let's turn it into some code and
[13:50.48]  then let's turn it in more into code
[13:52.08]  over time so like my background I'm a
[13:54.68]  software engineer all the founders have
[13:56.72]  had experience with building software so
[13:59.00]  so we were you know we we kind of took
[14:01.48]  this approach of before we write any
[14:03.72]  code let's figure out what people will
[14:05.60]  pay us for and and so that's what we did
[14:07.92]  and then we were like okay well this is
[14:09.16]  the thing that seems like we could
[14:10.84]  probably scale so let's build a little
[14:12.40]  bit of code around this um yeah I I
[14:15.36]  built the you know first version of the
[14:17.20]  product once we kind of knew the
[14:18.88]  direction we were going um I I sat down
[14:22.28]  I hadn't I you know i' had been working
[14:23.72]  as a corporate executive for the last
[14:25.28]  you know five years before that so I
[14:27.40]  hadn't been doing a lot of code writing
[14:28.80]  but I sat down uh learned to build
[14:32.16]  python web apps in Django and we built
[14:34.52]  the first version of the product in 30
[14:36.20]  days and python Jango and that became
[14:39.08]  like the foundation of how we launched
[14:40.64]  the the company and we really like
[14:42.44]  launched formally in early 2017 very
[14:45.28]  cool I like d Jango but I like flask
[14:48.20]  even
[14:49.24]  more I think it well now now knowing
[14:52.16]  about it I would say I think it depends
[14:53.72]  on what you need to do yeah yeah
[14:56.12]  absolutely okay so a bunch of rapid
[14:59.64]  prototyping talking to lots of customers
[15:02.00]  exploring different problems that
[15:03.72]  they're having how long did it take to
[15:07.80]  get those first 10 customers and how did
[15:11.56]  you find them it took us
[15:14.80]  about a year to get the first 10
[15:18.56]  customers mostly it
[15:21.40]  was just Word of Mouth kind of referral
[15:24.68]  type of things you know when you're
[15:26.88]  small you don't have any money to spend
[15:28.88]  kind of have to rely on that and it it
[15:31.92]  snowballs slowly because you got to
[15:34.36]  prove value for the first customer
[15:35.76]  before they'll tell their friends about
[15:36.96]  you once we won over bracket Computing
[15:39.48]  you know then they then they told two or
[15:41.08]  three friends about us and they told two
[15:42.48]  or three friends we hired so it it took
[15:45.04]  us a while to sign the first 10
[15:47.60]  customers like yeah probably about proba
[15:49.68]  probably took us a year we we signed the
[15:52.80]  next hundred customers in the second
[15:54.96]  year so it grew really fast from there
[15:59.24]  um because then we had a formula we knew
[16:01.88]  what the sore tooth was and basically
[16:04.44]  you know we built we built an outbound
[16:07.44]  um engine and we had a really specific
[16:09.84]  customer profile and a really specific
[16:11.84]  Niche and you know we just hammered that
[16:15.52]  Niche I mean if you were a field
[16:17.92]  marketing manager in the United States
[16:21.24]  uh in the year you know 2016 through
[16:25.64]  2020 you almost certainly uh uh got you
[16:29.88]  know an email from us you know asking if
[16:33.32]  you were worried about butts and seats
[16:35.20]  at your next event and we can help you
[16:37.72]  get those butts and seats and and we
[16:40.24]  just had this really clear messaging and
[16:41.72]  you know what's so funny about this was
[16:44.00]  this was a real lesson that came out of
[16:45.64]  this eventually as we got bigger we
[16:48.80]  started to hire more um what I would
[16:50.96]  call just like professional marketers or
[16:53.12]  whatever you know it wasn't just us
[16:55.84]  amateurs trying to figure it out it was
[16:57.56]  you know we hired a vpm marketing and we
[16:59.36]  hired a marketing manager content person
[17:01.04]  whatever and all these people that we
[17:03.24]  hired they were like oh this is terrible
[17:04.68]  you can't say butts and seats it doesn't
[17:06.28]  sound professional Enterprises will
[17:07.80]  never buy from us if we say butts and
[17:09.84]  seats um we need to say something else
[17:12.16]  and they would write these emails and
[17:13.28]  they'd write these you know emails with
[17:15.36]  five bullet points about why this is the
[17:16.84]  best product you've ever you know you've
[17:18.24]  never heard of and you should buy this
[17:19.52]  and and they got nowhere I mean they got
[17:21.60]  nowhere the the highest performing
[17:23.96]  message we ever had um for that product
[17:27.52]  was you know do you need more butts and
[17:30.12]  seats for your events that was it I mean
[17:32.80]  it was the simplest thing um and it was
[17:35.92]  yeah we got a couple people that emailed
[17:37.40]  us and were're like that's crass you
[17:38.72]  can't say that but for every person that
[17:41.92]  emailed us and was irritated that we you
[17:44.44]  know put the word but in an email we got
[17:47.12]  100 customers so it was absolutely worth
[17:49.60]  it and you know we had uh everything
[17:52.04]  every other thing that we ever tried
[17:54.08]  every other piece of messaging we ever
[17:55.84]  tested never performed as well as butson
[17:58.44]  seeks so I think the lesson was you know
[18:01.84]  sometimes you just have to go with the
[18:02.80]  simple stuff like we didn't need a
[18:04.88]  complicated idea and like we didn't need
[18:07.28]  five bullet points to convince a
[18:08.68]  customer why they should buy this
[18:09.88]  product we just needed one very strong
[18:12.96]  like emotionally resonant thing that cut
[18:16.52]  through the noise for them and I think
[18:18.44]  for our for our customers at least for
[18:20.04]  marketers that are used to getting
[18:21.16]  pitches all the time I I think they
[18:23.20]  responded a lot better to our kind of no
[18:26.20]   approach um just cutting
[18:28.64]  through the noise and saying like hey if
[18:30.28]  you have this problem here's what we can
[18:32.24]  do for you like we could explain the
[18:34.40]  whole business in the whole the whole
[18:35.80]  product in two sentences you know it was
[18:37.72]  super simple yeah I think sometimes the
[18:39.64]  best
[18:40.96]  marketing email is the one that doesn't
[18:44.72]  look like it was written by a marketer
[18:47.60]  right in terms of just make it real
[18:49.28]  totally I mean we you know we had this
[18:51.32]  we had this joke of like if you find
[18:53.60]  yourself putting bullet points in your
[18:56.00]  cold email just stop what you're doing
[18:58.16]  right right there because you've already
[18:59.72]  screwed up you know you need you need to
[19:02.40]  rewind and and you need to think about
[19:04.56]  what are you really trying to
[19:05.36]  communicate cuz people aren't going to
[19:06.64]  read your bullet points now earlier we
[19:08.28]  were talking about how some of the the
[19:11.92]  early customers you found were you know
[19:14.00]  through your network warm intros and
[19:16.68]  things like that and you said the real
[19:19.44]  test for us was to try and figure out if
[19:21.72]  strangers would make time for us so it
[19:24.68]  sounds like when you got to that
[19:27.40]  messaging with those
[19:29.12]  emails you clearly had identified a
[19:31.96]  problem and were able to articulate it
[19:34.80]  like super concisely and get people to
[19:38.36]  to
[19:39.64]  respond but when you first started
[19:41.64]  reaching out to
[19:43.96]  strangers what was that experience like
[19:46.72]  did you did you have that messaging
[19:48.56]  figured out at at the start and and were
[19:52.08]  people paying attention or ignoring you
[19:54.84]  well people were ignoring us yeah I mean
[19:56.88]  it's it's it's it's easy it's you know
[20:00.32]  people have to do nothing you know just
[20:02.72]  by just simply through inaction people
[20:04.92]  can ignore you right so they have to
[20:07.44]  take an action and and what's worse is
[20:10.40]  with a cold email or a cold call or
[20:11.96]  something they know that by taking an
[20:13.96]  action they're probably committing
[20:15.96]  themselves to further action which means
[20:19.40]  I now I have to yeah if I pick up the
[20:20.96]  phone and talk to you well now I going
[20:22.32]  have to actually take a meeting with you
[20:24.08]  and then I might actually have to buy
[20:25.48]  this thing and then I might actually
[20:26.56]  have to implement this thing and that's
[20:28.88]  going to be a and then if I have to buy
[20:30.32]  it then I'm GNA have to get approval
[20:31.52]  from my boss and I'm gonna have to talk
[20:32.80]  to finance about the budget and you know
[20:35.88]  this is going to be a Hu you I got to
[20:37.12]  talk to my procurement Department I
[20:38.88]  probably have to they're going to send
[20:39.84]  me a form contract I have to deal with
[20:41.64]  that it's like this huge Cascade of that
[20:44.16]  happens anytime you try to buy something
[20:46.28]  in a you know in a midsize plus company
[20:48.64]  right and so so it is very hard to
[20:52.48]  motivate somebody to the point that they
[20:55.56]  think this all of this stuff is worth it
[20:58.40]  for me let alone spending the money just
[21:00.64]  the effort and the time is worth it for
[21:02.88]  me when I'm already busy you know there
[21:05.24]  is nobody out there at least nobody in
[21:07.20]  the marketing world that I've met so far
[21:09.16]  who is not really really busy all the
[21:11.32]  time so if you don't have a very clear
[21:15.28]  value proposition and you don't really
[21:18.48]  understand their sore tooth you know the
[21:20.48]  thing that's going to get them off the
[21:21.48]  couch to go to the dentist like nobody
[21:23.40]  wants to go to the dentist for fun so
[21:25.12]  the only reason you're going to go to
[21:26.00]  the dentist is you know if you have a
[21:28.76]  pain that's worth it and uh so you got
[21:31.84]  to think about your product strategy
[21:33.52]  that way and your messaging strategy
[21:34.60]  that way that was the biggest lesson we
[21:35.60]  learned in those early days was like if
[21:37.92]  you know you might have the best product
[21:39.24]  in the world but if you don't understand
[21:41.76]  what the sore tooth is that you're you
[21:44.16]  know fixing for your customers you're
[21:46.12]  never going to motivate them you know
[21:48.04]  customers are basically you know at
[21:49.72]  least in the B2B world are basically you
[21:53.20]  know and and in in the world in general
[21:55.28]  like people are only motivated to take
[21:57.12]  action by either PL pain or pleasure
[22:00.12]  right and in the B2B world they're only
[22:03.68]  motivated by pain just period there is
[22:05.68]  no such thing as pleasure when you're a
[22:07.12]  PB
[22:08.36]  marketer it is just pain and making the
[22:11.00]  pain smaller that's it and so um if you
[22:14.04]  don't understand what that pain is uh
[22:16.08]  you're going to have a very hard time
[22:18.04]  and the other thing is you have to
[22:20.12]  really make your pain you know you have
[22:22.36]  to articulate it in a way that's
[22:24.04]  different because it's way too easy
[22:28.56]  uh and this is what happens when you get
[22:29.84]  a bunch of like this can happen this is
[22:32.08]  a risk you know this is like happens
[22:33.92]  with it security industry all the time
[22:36.76]  um not trying not picking on them but
[22:38.52]  it's just it's a common thing go look at
[22:40.40]  an IT security company's website and
[22:43.44]  what are they going to talk about
[22:44.36]  they're going to talk about oh your
[22:45.88]  network is insecure we're going to we're
[22:47.40]  going to make this more secure we're
[22:48.60]  going to prevent Hackers from getting in
[22:50.48]  we're going to you know increase your
[22:53.08]  you know you know reduce your risk or
[22:55.88]  whatever it's like the exact same things
[22:58.64]  so that's great but tell me you know if
[23:03.00]  I'm a CIO I hear that pitch 50 times a
[23:05.16]  day like tell me what's unique and
[23:07.20]  special and different about this that I
[23:09.72]  should care about it you know and that
[23:11.32]  needs to be a problem that really
[23:12.56]  matters to them so I think it's more of
[23:14.12]  a universal lesson but you can't you
[23:16.48]  just can't sound like everybody else you
[23:17.96]  have to find a way to make yourself
[23:19.08]  stand out and it has to be in a way that
[23:20.84]  resonates yeah great great insight there
[23:23.92]  so we talked about the first 12 months
[23:26.88]  how long did it take you to the first
[23:28.32]  million in ARR that's a great question
[23:32.16]  it wasn't in the first 12 months I think
[23:33.92]  it was probably very shortly into the
[23:38.32]  next 12
[23:39.88]  months so I think you know first first
[23:42.40]  year we did maybe
[23:43.92]  300,000 something like that little shy
[23:46.04]  of
[23:46.92]  300,000 um second year we did over we
[23:50.48]  did about a million third year we did a
[23:54.92]  little over 2 million and you know
[23:57.40]  fourth year year you know we were on
[23:59.76]  track to do probably uh fiveish million
[24:04.36]  and then of course Co hit and uh that
[24:07.44]  was that was a big event for us yeah
[24:10.28]  yeah so let let's talk about that just
[24:11.96]  one quick question before we we we go on
[24:13.88]  to that so getting to that first million
[24:17.80]  was that primarily just through outbound
[24:21.96]  sending things like the butts on seats
[24:24.76]  emails yes that's cool the whole way up
[24:27.88]  to that was all outbound yeah yeah that
[24:30.76]  was that was the only strategy we ever
[24:32.36]  ran for that product okay so yeah let's
[24:35.12]  let's go on to 2020
[24:37.80]  2020 and so you've got to the point
[24:40.68]  where you've been bootstrapping the
[24:41.76]  business for about four years you are
[24:44.48]  looking to raise money and uh we haven't
[24:49.08]  experienced the start of coid yet so
[24:53.56]  tell us what was going on then yeah well
[24:56.04]  we we went out to raise a series a you
[24:58.80]  know we decided it's finally time we
[25:00.48]  feel confident and the business was
[25:02.16]  growing fast enough that we felt like we
[25:03.48]  wanted to be able to invest more in it
[25:04.88]  so you know we wanted to build out more
[25:07.08]  of the product there were other ideas
[25:08.92]  that we had of how we could expand to
[25:11.24]  offer our customers a little more value
[25:13.08]  and uh and you know we this outbound
[25:15.76]  motion was working really well we wanted
[25:17.20]  more money to put into that so um so
[25:20.32]  yeah in early in early 2020 we raised a
[25:23.68]  series a uh round with um uh DX Ventures
[25:30.00]  uh Vulcan Alco which is a local Seattle
[25:33.44]  firm vulcan's another local Seattle firm
[25:36.32]  um DNX Bay Area based firm they're part
[25:39.12]  of the Draper uh group and so yeah we
[25:43.48]  and and and it was awesome Mitch Kimura
[25:46.08]  led the round he's our he's on our board
[25:49.04]  and Mitch was like early investor like
[25:51.40]  first check into live ramp um early
[25:53.80]  investor in foret like super super smart
[25:56.24]  guys like had multiple
[25:58.20]  you know IPO success type companies so
[26:02.16]  so it was awesome to be able to to work
[26:03.76]  with a guy like that and um and they
[26:07.24]  they brought a lot to the table but yeah
[26:08.88]  like in in early 2020 we raised uh this
[26:11.96]  round closed on it and this is like you
[26:13.96]  know one of the lessons and and that
[26:15.72]  like sometimes things are just luck and
[26:17.16]  sometimes luck works for you and
[26:18.36]  sometimes it works against you I mean in
[26:20.24]  this case it really worked for us
[26:21.64]  because uh if we had waited two months
[26:24.08]  to try to close that round we never
[26:25.92]  would have been successful because you
[26:28.24]  know as soon as we closed the round
[26:30.08]  basically our very first board meeting I
[26:32.32]  remember sitting down uh at the table
[26:34.88]  with uh you know the three or four other
[26:36.56]  guys in the room and saying hey uh you
[26:39.64]  know we had two big customers that uh
[26:43.08]  just announced they were going to cancel
[26:45.40]  their events uh you know Facebook and uh
[26:49.36]  Adobe said they're canceling events this
[26:51.16]  week because of this virus that you know
[26:53.48]  we're hearing about and you it's
[26:55.48]  probably not a big deal this probably
[26:56.80]  won't go anywhere but uh we're just
[26:59.00]  keeping an eye on it and you know of
[27:00.96]  course like my board all think that I'm
[27:03.92]  very paranoid and like oh don't worry
[27:06.84]  about this this isn't this isn't going
[27:08.00]  to be a thing like don't waste your time
[27:09.32]  thinking about this but uh you know
[27:12.00]  within two weeks you the whole country
[27:14.32]  went into lockdown and that was like
[27:16.52]  last week of February that that board
[27:18.12]  meeting occurred and I think March 16th
[27:20.28]  the whole state went into a lockdown so
[27:22.36]  um it was you know obviously it was an
[27:25.16]  existential kind of uh became very
[27:27.76]  quickly became an existential kind of
[27:29.16]  thing for our business so you're going
[27:32.00]  after field
