Title     : 382: Walls.io: Bootstrapping Solo  to Over $10M ARR - with Michael Kamleitner
Video ID  : HiGIzcuUPMI
[16:21.20]  product as possible so in the first year
[16:24.24]  or so we didn't have that we have we had
[16:26.32]  a handful of Engineers uh really we
[16:28.84]  didn't have much else than Engineers to
[16:30.40]  be honest and they were available for
[16:32.76]  work both on product and agency now of
[16:35.92]  course uh what happens and I'm hearing
[16:38.04]  that from similar founder stories so I
[16:40.60]  don't think we are I'm unique in that I
[16:42.52]  think a lot of people go through that a
[16:44.28]  lot of bootstrappers by the way are
[16:45.68]  coming from agency backgrounds it's also
[16:47.84]  a very common uh uh treat so the the
[16:50.76]  mistake was not to have like separation
[16:52.64]  in resources so of course short-term
[16:54.68]  Revenue was was calling like a agency
[16:57.36]  customers asking for it that's super
[16:59.16]  important project that has to be done by
[17:01.64]  four weeks and of course what that meant
[17:03.80]  is for the next four weeks nobody would
[17:05.68]  work on our product everyone was
[17:07.32]  focusing on the agency project yeah we
[17:09.32]  would get some cash flow but we didn't
[17:11.56]  have focus and that definitely cost us a
[17:13.92]  lot of time at least in the first year
[17:15.92]  maybe even a bit longer until I
[17:17.84]  understood that there's no way to build
[17:20.44]  for me at least for us at least uh to
[17:22.48]  build a to have enough um velocity in
[17:25.60]  building the product then by basic Bally
[17:28.72]  installing like a firewall and making
[17:30.76]  absolutely clear that the first engineer
[17:34.20]  moving them over to the product side and
[17:36.72]  he is not allowed to have to do anything
[17:39.84]  with agency projects then as soon as as
[17:42.64]  I saw some traction move over the second
[17:44.88]  engineer and so on and so on you could
[17:46.56]  do the same with marketing and sales
[17:48.24]  although we were like very much
[17:50.08]  engineering G back then kind of beyond
[17:53.04]  the you know in the first 10 customers
[17:56.52]  for both walls and swad were you selling
[18:00.08]  basically to both products to the same
[18:02.64]  type of customer to to agencies that was
[18:05.24]  a big overlap and for a long time we
[18:07.96]  didn't have we need well at first we
[18:10.04]  didn't have neither sales nor marketing
[18:12.16]  Specialists so as so many bootstrappers
[18:14.76]  I had to I had to not level up but
[18:18.52]  change my roles I was first very much
[18:20.64]  focused on engineering then building the
[18:23.00]  product ideas then I had to do marketing
[18:25.36]  then I had to do sales so so basically
[18:27.00]  it was me for a long time time trying to
[18:29.12]  sell and Market those products and yes
[18:31.20]  it helped that the target audience has a
[18:34.24]  very big overlap which of course the the
[18:36.48]  Persona is a social media marketing
[18:38.48]  professional so so that certainly helped
[18:41.24]  although there were also a lot of
[18:42.44]  differences in terms of the markets we
[18:44.48]  were playing it swo was very much
[18:46.80]  focused on German speaking uh markets W
[18:49.48]  it was worldwide from the get-go but
[18:51.48]  still there was there was overlap and
[18:53.40]  that certainly helped so let's talk
[18:55.40]  about growth so one of the the the the
[18:59.36]  bigger growth channels for you as being
[19:02.84]  content and an SEO like what was the
[19:06.44]  approach you took what was the
[19:08.36]  thinking as as you were starting to
[19:10.76]  build out your kind of marketing plan
[19:12.64]  here because I I'm guessing at the time
[19:15.32]  you were the marketing team right so is
[19:18.44]  this just you on your own figuring this
[19:19.92]  out in the beginning yes although uh
[19:22.88]  although marketing was the F marketing
[19:25.84]  was the first position I could actually
[19:28.32]  I'm not sure maybe I'm mixing up
[19:29.52]  marketing and sales one of those were
[19:31.24]  really the first positions I could
[19:32.96]  really afford to hire a professional I
[19:36.00]  think at swo it was sales and at
[19:38.28]  marketing it was uh at wo it was
[19:40.12]  marketing which makes sense because one
[19:41.92]  is more direct sales heavy the other is
[19:43.68]  more Self Service product Le so yes for
[19:46.12]  w it was definitely marketing so for wo
[19:49.04]  being like very self-service focused and
[19:52.08]  having a worldwide target audience we we
[19:55.28]  felt like going all in on the marketing
[19:58.04]  side made a lot of sense and uh we were
[20:00.96]  pretty early in in in that new software
[20:04.00]  category of uh user generated content
[20:06.68]  tools we didn't even have the word ugc
[20:09.44]  back then I think uh so that meant there
[20:11.64]  was still a lot of uh space in terms of
[20:14.08]  of content marketing and therefore and
[20:16.28]  therefore effective SEO and so that that
[20:19.52]  definitely helped that wouldn't work
[20:20.76]  today if I would launch a ugc tool or a
[20:23.32]  social media marketing tool today it's
[20:25.40]  very very hard to to uh to be successful
[20:28.44]  with content it it will take it will
[20:30.56]  take forever since the spaces are so so
[20:33.00]  saturated back then it was still
[20:35.04]  possible and of course it's still even
[20:37.24]  today worth it pursuing such a such a
[20:39.68]  such an approach because uh organic
[20:42.48]  organic SEO is still the only thing that
[20:44.40]  really uh that has the best scale still
[20:47.16]  while while other channels might be uh
[20:49.40]  clocked or saturated sooner or later uh
[20:52.76]  owned organic profile on SEO is is what
[20:56.36]  what uh what always works so you you if
[21:00.16]  I kind of recap that it was you feel
[21:02.56]  that one of the reasons you were able to
[21:05.00]  get content marketing and SEO working
[21:08.64]  was largely to do with with timing you
[21:12.72]  were pretty
[21:13.96]  early you know entering that space
[21:16.00]  around user generated content and um the
[21:19.88]  market wasn't as as saturated as it is
[21:22.32]  today with so many social media tools so
[21:25.40]  that helped you create content and start
[21:27.68]  ranking faster and and getting
[21:29.52]  discovered by customers certainly but of
[21:32.32]  course uh of course it was still
[21:34.04]  necessary to to provide really uh really
[21:36.80]  great content that was actually uh
[21:39.52]  valuable for for users existing users
[21:42.56]  potential leads so so there's there's no
[21:45.92]  no way around that if you invest in
[21:48.56]  content and make sure it uh it's really
[21:51.04]  high quality and we did our share of
[21:52.80]  mistakes here as well like uh hiring
[21:55.76]  external agencies who would like churn
[21:57.88]  out out piece after piece after piece
[22:00.04]  but uh really not ideally aligned with
[22:03.36]  our customers needs so in the end we
[22:05.32]  learned hey we should really do it
[22:06.76]  ourselves or at least learn how to do it
[22:09.08]  ourselves first before we let someone uh
[22:12.52]  uh someone from outside uh doing it so
[22:15.04]  we we did our share of mistakes we did
[22:17.44]  also a few a few a few good uh few a few
[22:20.52]  intuitively smart things like uh making
[22:23.40]  sure that uh that we we we gave away a
[22:26.88]  lot so uh very early on we started to
[22:29.72]  give away free licenses to to ngos to
[22:33.16]  nonprofits and we just asked for links
[22:35.40]  in in exchange hey please uh mention us
[22:37.88]  as a sponsor uh uh link here's our logo
[22:41.12]  please link it on on your website they
[22:42.80]  usually put it uh put it somewhere in
[22:44.92]  the footer so it's linked from every
[22:46.48]  page uh so over time that really helped
[22:48.92]  us help really helped us build a a good
[22:51.68]  link profile yeah yeah that's that's a
[22:54.28]  that's a good strategy in terms of going
[22:55.92]  after Nos and and those sorts of
[22:59.64]  organizations I'm I'm assuming they they
[23:02.36]  have like pretty decent kind of domain
[23:06.04]  ratings right very often yeah yeah yeah
[23:08.80]  it happens a lot it could be
[23:10.28]  organizations in the academic space
[23:12.12]  which tend to have very good uh very
[23:14.92]  high rated domains even if the single
[23:17.72]  the single link is not like as valuable
[23:19.72]  if you do this constantly and over years
[23:22.76]  there's a lot of things happening
[23:24.08]  positive things happening I want to go
[23:25.80]  back to what you just mentioned about uh
[23:27.68]  High ing agencies to to turn out content
[23:30.40]  and that not really working and i' I've
[23:33.52]  seen that over and over again many many
[23:36.72]  startups go through that that process
[23:39.04]  some uh maybe are six more successful
[23:41.60]  than than others but it's not the first
[23:43.52]  time I'm hearing we eventually had to
[23:47.20]  bring it
[23:49.12]  inhouse I know it's quite some time back
[23:52.60]  many years ago but if you had to
[23:56.84]  summarize like what was the biggest
[24:00.00]  difference between the type of content
[24:03.80]  uh these agencies were producing versus
[24:05.96]  the type of content you are able to
[24:09.32]  produce in house like how is it
[24:12.28]  different and and what specifically do
[24:14.68]  you think made the difference in terms
[24:16.52]  of resonating with your your potential
[24:18.68]  customers and helping to drive leads
[24:20.72]  well I would like to start with saying I
[24:22.64]  I'm not even like throwing uh any agency
[24:24.92]  we have been working with under the bus
[24:26.64]  here I think it was I I really think it
[24:29.12]  was more like our own mistake to to uh
[24:33.04]  to Outsource work prematurely before we
[24:36.88]  even understood it ourselves so uh we
[24:40.36]  didn't know enough about our customer
[24:42.76]  profile we didn't know enough how uh we
[24:45.28]  could provide value so and and and if we
[24:48.24]  don't know um who are the closest to our
[24:51.36]  customer how should an agency know
[24:53.32]  there's always at least one or two
[24:54.76]  layers between the agency and our end
[24:56.92]  customers uh it's I think it's it's
[24:59.36]  almost import uh impossible uh to to
[25:02.40]  breach that Gap so we first had to had
[25:04.68]  to start to learn ourselves what kind of
[25:07.60]  content provides value uh who we are
[25:10.44]  going to Target on which channels and
[25:12.40]  stuff like that once we figured that out
[25:14.60]  we just were able to to create content
[25:16.80]  that was much more uh aligned with those
[25:19.56]  uh with those uh requirements and with
[25:21.84]  those goals so maybe if we would have
[25:24.48]  done it the other way around invest uh
[25:27.12]  and build a knowledge first on our own
[25:29.64]  and then work with a super professional
[25:31.68]  a agency it might have turned out uh
[25:34.24]  differently I think the the big mistake
[25:36.92]  here was hey we don't need to hire our
[25:40.44]  own marketing professional we can
[25:42.72]  immediately Outsource this like from a
[25:45.32]  CEO perspective I thought like hey I
[25:47.40]  know I understand I need to do or I
[25:49.48]  believe I I I I need to do content
[25:51.84]  marketing I currently can't afford a
[25:54.40]  full-time professional let's Outsource
[25:56.36]  this without Outsource it with without
[25:57.92]  having any personal experience or
[25:59.76]  expertise with content marketing and
[26:02.16]  that is a recipe that of course it's
[26:03.52]  bound to to to go wrong um I should have
[26:06.84]  first invested in my own in-house
[26:09.00]  marketing professional who could then
[26:10.88]  guide an agency and and really uh make
[26:13.28]  it work I think that's an important
[26:15.64]  advice for if you are a single found
[26:17.64]  solo founder and you have like a certain
[26:20.80]  uh area of your experience for me that
[26:22.68]  was engineering SL product you got to
[26:26.24]  understand those other important an
[26:27.96]  areas first sales marketing before you
[26:30.48]  hand it over to someone completely
[26:33.48]  outside of your organization yeah I
[26:35.84]  think you're totally right and I it's
[26:37.08]  not just content it's everything right
[26:40.92]  it applies to most or all the things I
[26:43.16]  guess yeah I I remember somebody saying
[26:45.60]  to me many many years ago that you
[26:47.88]  Outsource stuff that you have got to
[26:49.96]  handle on you understand and then you
[26:52.56]  want to you know get somebody to to help
[26:56.96]  run that so you can free up your you
[26:58.48]  know your team potentially to do
[26:59.60]  something else and that if you don't
[27:01.80]  really have an handle on it if you don't
[27:03.76]  if you're not really doing that well
[27:05.16]  yourself and you Outsource it chances
[27:07.28]  are the problem is just going to get
[27:08.60]  worse yeah exactly and that's the same
[27:11.48]  thing today when you when you don't
[27:13.04]  think about agencies but uh think about
[27:15.80]  even
[27:16.72]  lower how should I say lower price
[27:19.16]  Alternatives like I don't know going to
[27:20.84]  to upwork or fiverr.com it will be the
[27:23.56]  same thing if you don't understand the
[27:25.88]  the the task and how it should be done
[27:27.96]  correctly
[27:29.64]  yourself will never work similar
[27:32.48]  probably also similar if you if you
[27:33.96]  start thinking about Outsourcing these
[27:36.12]  tasks to an AI great idea but you should
[27:39.32]  have understood the task first before
[27:41.76]  you put it into jet GPT right the the
[27:45.48]  other growth channel that you were able
[27:48.56]  to get working was paid
[27:50.92]  advertising and as you and I were
[27:52.92]  talking earlier the interesting thing
[27:55.60]  here was that
[27:59.32]  you got search ads working but not
[28:03.24]  social media ads
[28:05.68]  and I think it's a little ironical that
[28:08.52]  you know you're you're selling a social
[28:09.88]  media product and yet social media
[28:14.04]  advertising
[28:15.48]  wasn't you know wasn't effective or
[28:18.12]  helpful and yet search ads were so one
[28:21.72]  just just kind of help us understand
[28:24.40]  what you went through what you tried and
[28:26.36]  then I have a few few other questions
[28:28.04]  I'd love to ask you about that well uh
[28:30.60]  yeah you could say it's ironic you could
[28:32.28]  even also say like it's almost
[28:33.44]  embarrassing but uh but it's the but
[28:35.52]  it's the truth well I mean search ads of
[28:37.96]  course or yes luckily worked out pretty
[28:41.08]  soon and and without too much hassle of
[28:44.16]  course search ads work because of the
[28:46.84]  clear clear buyer intent and once our
[28:49.24]  category was starting to be established
