Title     : Failure
[04:45.00]  about a month into my time there I got a
[04:47.72]  meeting on my calendar Thursday 8:30
[04:50.64]  a.m. was an hour and a half with uh half
[04:54.20]  of the design team so that was five
[04:55.56]  people and our HR partner oh no not us
[04:59.52]  usually that's never a good yeah uh and
[05:03.00]  I I remember this so vividly I remember
[05:05.68]  walking into the office and you know all
[05:08.08]  the rooms in airbnb's office are very
[05:10.64]  unique spaces that look like airbnbs but
[05:13.16]  of course this was the one room with
[05:15.20]  like all white walls and just like a
[05:17.48]  gray you know flat rectangle table and I
[05:20.72]  walked into the room and there were five
[05:22.76]  of them seated around the table and they
[05:24.60]  had a pack of papers in front of them
[05:27.44]  and they went on taking turns you know
[05:31.68]  quietly reading from the papers all the
[05:34.52]  things that they saw that I was doing
[05:37.24]  wrong and all the things that they
[05:39.12]  didn't like about me and you know it was
[05:43.64]  really hard moment you know there I I
[05:45.96]  went through all the usual kind of like
[05:47.92]  stages of grief when one hears feedback
[05:50.24]  which is just like you know immediate
[05:51.80]  want to like respond be like oh like you
[05:54.04]  know well there was a good reason for
[05:55.32]  that and like that's not how it actually
[05:56.76]  was and this is why I did that but
[05:59.56]  luckily I had you know thank goodness I
[06:02.32]  had the sense to just like listen and
[06:04.64]  not respond in that way I mean clearly
[06:06.52]  what they were telling me is that you
[06:07.84]  know that was one of the things that was
[06:09.16]  missing and so I I heard them out and
[06:13.08]  you know took it all in and you know
[06:14.96]  regardless of each individual saying
[06:16.68]  what was very clear was the you know the
[06:19.16]  missing piece the theme that was across
[06:21.08]  all of that is that I hadn't earned
[06:23.24]  their trust so whether you know how
[06:25.84]  right or how wrong what I was doing was
[06:27.48]  is like the key piece is that I wasn't
[06:29.48]  bringing the team along with me they had
[06:31.72]  no idea that they could trust in you
[06:34.48]  know what I was trying to build and what
[06:36.16]  I was trying to shape and that I I cared
[06:37.92]  about them and that I had you know their
[06:40.04]  best interest and shared goals at heart
[06:42.76]  and that was absolutely my fault and in
[06:45.84]  retrospect you know as hard as that was
[06:47.84]  I'm like very grateful and very amazed
[06:50.08]  that you know that they could kind of
[06:51.44]  come together and and and share that
[06:53.16]  with me uh it's it can be hard to you
[06:55.76]  bring you know feedback forward like
[06:57.48]  that and so it was an extremely valuable
[07:00.56]  learning experience and I took from that
[07:03.32]  to then immediately shift how I was
[07:06.00]  operating and really a key part in
[07:08.16]  building trust was to to listen to hear
[07:11.24]  out you know what you know the
[07:12.64]  individuals and the team were you know
[07:14.44]  setting out to do what they cared about
[07:16.08]  that what motivated them and so I
[07:18.44]  started to make pretty fast change and
[07:20.72]  still moving in the direction that you
[07:22.36]  know was necessary for the org to make
[07:24.48]  like the you know the really large
[07:26.00]  impact in how we were operating but
[07:28.08]  bringing folks along with because you
[07:30.20]  can inflict change on people but if you
[07:33.08]  want to do it with them you you really
[07:35.24]  you know trust is the the key element
[07:37.12]  there and then you know a couple months
[07:39.00]  later we had the best engagement scores
[07:40.80]  in the company so like it actually like
[07:42.36]  you know it did you objectively improve
[07:45.36]  the situation and i' you know since then
[07:48.12]  taken that on into next steps and other
[07:50.44]  companies that I've joined and just
[07:52.08]  think about like instead of coming in
[07:53.40]  swinging you know come in listening so
[07:55.60]  that you can really you know set out to
[07:57.44]  make change that actually has like true
[08:00.20]  positive impact on on the folks around
[08:01.92]  you and you bring along with you next up
[08:05.12]  Paul Adams Chief product officer at
[08:07.04]  intercom sharing the nightmare
[08:09.52]  experience of freezing on stage in front
[08:11.68]  of thousands of people having to walk
[08:13.64]  off stage and then people hearing him
[08:15.00]  curse because the mic was still on and
[08:17.64]  then how he recovered plus a few stories
[08:20.12]  of building some of Google's most
[08:21.60]  infamous product failures yeah some some
[08:24.40]  things that happen in work are very
[08:25.56]  memorable at the time and they don't
[08:26.60]  really scar you this goes in the book
[08:28.68]  that have scarred for Life uh yeah I I
[08:32.32]  put a long story short I was at Facebook
[08:34.28]  just over a decade ago loved it at the
[08:36.40]  time um I think it was a great place to
[08:38.28]  be at the time and Bas in San Francisco
[08:40.96]  I did a lot of talks for Facebook
[08:42.84]  internally and externally um Facebook
[08:45.04]  had a keynote slot always have a keynote
[08:46.60]  slot at can the world's biggest
[08:47.88]  advertising festival and um the year
[08:51.40]  prior zck had been intervie he was a
[08:53.24]  speaker he'd been interviewed gotten a
[08:55.04]  hard time on privacy uh it didn't go
[08:57.76]  well as well as I'd hoped so the next
[09:00.96]  year they asked me to do it maybe it was
[09:02.76]  the Irish accent you know that that made
[09:05.96]  the offer come my way um and yeah I got
[09:09.96]  I got out Inu to Stage you know the
[09:11.28]  world's uh biggest advertising stage and
[09:14.44]  I'd say I was like three four minutes
[09:15.64]  into the talk a talk I'd given a very
[09:17.36]  similar talk to one I'd given lots of
[09:18.76]  times and um I just froze I I couldn't
[09:22.00]  remember what I was supposed to say uh
[09:24.16]  it was the first ever time in my life
[09:25.64]  I'd rehearse to talk word for word you
[09:28.04]  know usually like I have talking points
[09:29.80]  and I ad lib and you know things get
[09:31.88]  mixed around and it's kind of informal
[09:34.12]  this was like you know media trained
[09:35.88]  like don't do not say the wrong thing
[09:37.36]  kind of talk and I just could not
[09:39.84]  remember what to say I had some version
[09:41.84]  of a panic attack H walked off stage I
[09:44.96]  was still miked up uh cursed every
[09:48.24]  started laughing I was like geez are
[09:49.68]  they laughing at me you know oh my God
[09:51.52]  this is um but I I I managed to turn
[09:54.64]  around I walked back out I'd kind of
[09:56.68]  been disarmed internally in my head and
[09:59.08]  the rest of it went well but it was uh
[10:01.32]  and I was famous that night you know out
[10:02.92]  in KH afterwards like on the on the
[10:05.24]  whatever the the sea front it's just
[10:06.84]  like Ros everywhere and um yeah I was
[10:09.52]  famous and Infamous for my
[10:12.12]  performance I feel like you lived the
[10:14.16]  worst nightmare that everybody has when
[10:16.08]  they're thinking about giving a talk and
[10:18.76]  I think what's interesting is you
[10:20.36]  survived and I think that's a really
[10:22.28]  interesting lesson is like you could
[10:23.72]  freeze in front of thousands of people
[10:26.12]  walk off stage and then it works out
[10:29.20]  okay yeah and it all happened kind of uh
[10:32.44]  organically I guess or very naturally
[10:34.16]  you know but yeah ever since then every
[10:36.24]  time I walk go out on a conference talk
[10:38.00]  stage still today I ask like ask myself
[10:40.88]  I have this tiny doubt in the back of my
[10:42.32]  head like it's never happened since but
[10:44.40]  yeah you just I think you have to go
[10:45.44]  with it with these things you know like
[10:47.16]  when life kind of throws you these
[10:48.80]  whatever curve balls you have got to
[10:51.12]  kind of adapt and it's not that big a
[10:54.24]  deal none of these things are that big a
[10:55.84]  deal at the end of the day you know you
[10:57.56]  kind of move on live and learn so so
[11:00.16]  yeah but I still hope it doesn't happen
[11:01.40]  again I also hate public speaking and I
[11:03.88]  always fear this is exactly what's going
[11:05.44]  to happen to me and so I think this is
[11:08.28]  uh nice to hear that even when the worst
[11:10.80]  possible thing basically happens things
[11:12.68]  can survive you can turn it around yeah
[11:15.52]  a second area I wanted to hear from is
[11:18.64]  your time at Google and there's a couple
[11:21.32]  products you worked on at Google both of
[11:22.76]  them were not not what you call Big
[11:24.76]  successes and then there's kind of a
[11:27.00]  transition to Facebook which was also
[11:28.52]  kind of messy can you just share a
[11:30.12]  couple stories from that time yeah
[11:32.52]  similar to the face to the kind of like
[11:34.00]  you know walking off stage thing um you
[11:36.80]  live and learn and uh I was at Google
[11:39.76]  for four years and I was at Facebook for
[11:41.20]  kind of two and a half years or so at
[11:43.32]  Google I worked on a lot of failed
[11:45.12]  social projects like you mentioned
[11:47.32]  Google Buzz um Google then later Google
[11:49.84]  Plus I think a lot of the motivation for
[11:53.76]  those projects came from a place of fear
[11:56.16]  you know it didn't come from a place of
[11:58.16]  Let's Make a great product for people
[12:00.08]  let's like really understand the things
[12:02.04]  people struggle with when communicating
[12:03.44]  with family and friends like that's
[12:04.92]  really really try and create something
[12:06.92]  wonderful they came from a place of fear
[12:09.16]  and uh and so during those times I kind
[12:11.36]  of I learned I think how how not to lead
[12:14.64]  in places and by I should say you know
[12:16.44]  at the time in Google there was other
[12:17.96]  things happening that were amazing like
[12:19.32]  Google were building Google Maps uh
[12:21.48]  incredible product one of my favorite
[12:22.92]  products I think one of the best
[12:23.68]  products ever made they bu were building
[12:26.04]  Android you know I was kind of in I was
[12:27.52]  in the mobile team in the mobile apps
[12:28.92]  team the time that Android came out so I
[12:30.52]  commit you know incredibly good product
[12:32.60]  so I just happened to be in the social
[12:34.44]  side which wasn't as good and uh yeah we
[12:37.84]  we um Google bow is kind of a privacy
[12:41.60]  disaster and Google Plus similar and so
[12:45.48]  kind of halfway through I I kind of
[12:47.88]  published research about groups and how
[12:50.16]  i' done this i' done a ton of research
[12:51.64]  an interesting kind of side note there
[12:52.80]  is at the time I was been asked I was
[12:54.68]  working in the research in the ux team
[12:56.12]  as a researcher I was been asked to do a
[12:58.12]  lot of Tactical research like usability
[12:59.96]  study type stuff um like can people use
[13:02.52]  these products and I ended up doing um a
[13:05.76]  lot of formative research as well in the
[13:08.12]  same session so it's I'd kind of say to
[13:09.84]  the team like hey I'll do the research
[13:11.16]  I'll answer your questions but also I'm
[13:13.20]  G to do this other thing I'm G to take
[13:14.92]  20 minutes doing that and so what we
[13:16.76]  used to do is um what I used to do with
[13:18.36]  people was map out their social network
[13:19.96]  all the people in it their family their
[13:21.80]  friends how they communicate we'd map on
[13:23.64]  all the channels we'd talk about what
[13:25.56]  worked well what didn't and T we did
[13:28.08]  this with dozens of dozens of people
[13:29.56]  over like the course of maybe 18 months
[13:31.76]  and the same pattern emerged every
[13:33.48]  single time which was people need way
[13:35.72]  better ways to communicate with small
[13:37.20]  groups of family and friends and like I
[13:39.28]  kind of look back now and go like
[13:40.76]  WhatsApp you know or like it may be like
[13:43.28]  I message if everyone's on Apple but
[13:44.72]  like really obvious in hindsight but at
[13:47.04]  the time not obvious and uh uh and so we
[13:50.04]  kind of tried to build a product around
[13:51.28]  that called Google+ but um again it was
[13:54.40]  kind of motivated from the wrong came
[13:55.64]  from the wrong place and so halfway
[13:57.48]  through the research that I put that had
[13:59.04]  kind of done all this research had been
[14:00.92]  made public through a conference talk
[14:03.12]  and uh so and Facebook notice got in
[14:06.40]  touch one thing led to another and I
[14:08.60]  left and joined Facebook which was an
[14:10.48]  amazing thing for me personally I
[14:12.88]  Facebook was amazing an amazing place at
[14:14.84]  the time and exciting and and they were
[14:16.52]  trying to do things for the other
[14:18.84]  reasons the kind of good reasons okay
[14:20.52]  let's build an amazing product for
[14:21.80]  people and this was during goog plus
[14:24.20]  being built you basically shifted yeah
[14:26.08]  Midway hadn't I'm stressed even tell me
[14:29.12]  about it the project hadn't been
[14:30.64]  launched it was still under wraps you
[14:32.56]  know um it was highly confidential
[14:34.52]  Google had done a lot of things at the
[14:35.76]  time that that that were the first for
[14:37.44]  them I don't know if they've done them
[14:38.52]  since but things like everyone worked on
[14:40.20]  Google+ was sent to a different building
[14:42.16]  that building a different had a
[14:43.24]  different key card if you didn't work on
[14:45.08]  Google+ you could not get in all sorts
[14:47.44]  of like kind of uh countercultural
[14:49.96]  things at the time and as a results
[14:52.92]  there was a lot of you know antagonism
[14:54.84]  internally for go+ and so when I left in
[14:57.44]  the middle of the project kind kind of
[14:58.84]  leaving with all of the plans in my head
[15:00.96]  to the enemy you know some people saw me
[15:03.80]  as a Traer understandably other people
[15:06.96]  thought I was enlightened you know on to
[15:08.88]  fancy talk to but it was um that was
[15:12.04]  like it was the right thing for me to do
[15:13.12]  but at the time you know it was um it
[15:15.40]  was a hard thing to do I know there's
[15:17.80]  also like a lot of scrutiny in what you
[15:20.28]  took with you and the process yeah when
[15:23.20]  I left uh Google kind of assumed that I
[15:26.40]  was one of the spies you know I was
[15:29.08]  quarantined I told them I was leaving uh
[15:32.08]  they uh you know forensically analyzed
[15:34.28]  my laptop like all sorts of stuff like
[15:36.32]  that so it was pretty intense um you
[15:40.16]  know looking back I I can understand why
[15:42.56]  that happened but the root cause for me
[15:45.20]  is that the project has been run from a
[15:47.28]  place of fear competitive fear which I
[15:50.48]  don't think leads to good
[15:52.28]  things so one of the themes through the
[15:55.08]  story you just shared is let's say
[15:57.40]  failure is is I don't want to make it
[15:59.56]  that harsh but just things not working
[16:01.00]  out and I'm curious as a product leader
[16:04.00]  how important you think that is for
[16:06.04]  people to go through if you think that's
[16:07.92]  something that is almost a good thing
[16:09.64]  and I guess just is there anything there
[16:11.08]  that you find helpful as a as a coach as
[16:13.36]  a mentor as someone two people that are
[16:16.16]  trying to become basically you very very
[16:20.48]  it still it it still is you know like um
[16:23.84]  I have personally failed so many times
[16:26.16]  you know like there are two stories and
[16:27.96]  the Google one like long deep deep
[16:29.68]  tentacles like there are two there two
[16:31.28]  stories I I I failed a ton of times like
[16:34.16]  at intercom I remember like you know
[16:35.72]  what I of Facebook I was very happy and
[16:37.32]  um Owen and I knew ow and two the
[16:39.28]  co-founders of intercom and uh they're
[16:41.44]  trying to persuade me to join intercom
[16:43.40]  we were like it was like 10 person
[16:44.36]  company at the time but Owen said
[16:46.20]  something something to me at that time
[16:48.00]  which uh has stuck at me ever since he
[16:49.72]  said you know at Facebook you can you
[16:52.04]  can design the product but at intercom
[16:54.08]  you can design the company and that was
[16:56.68]  extremely appealing to me like a great
[16:58.72]  pitch uh he's like just design the
[17:00.72]  company with us that you want to work in
[17:03.00]  and so the and so part of that was a
[17:04.60]  company that Embraces failure that says
[17:07.08]  it's okay to try things I'm a big
[17:09.68]  believer in like big bets you know
[17:11.36]  higher risk High reward uh I I I don't
[17:14.80]  get as excited about incremental things
[17:17.40]  now haven't said that there's of course
[17:18.52]  a place for that too especially as
[17:20.44]  companies get bigger but I I I get
[17:22.52]  excited about like big big bets and if
[17:24.08]  you make big bets you're going to get a
[17:25.48]  lot of it wrong so a lot of the
[17:27.12]  principles that we built here at in
[17:29.00]  building software like we have a
[17:30.64]  principle called ship to learn and or
[17:34.36]  we've actually changed it since over on
[17:35.68]  the wall here ship fast ship early ship
[17:38.24]  often is what it says now used to say
[17:39.76]  ship to learn ship fast ship early ship
[17:41.76]  often it's like in that idea is the idea
[17:44.00]  of failure you know you're gonna it's
[17:45.96]  not going to go right and it's going to
[17:48.16]  go wrong more often than not but if you
[17:49.48]  ship early and fast and learn fast you
[17:52.68]  can change fast and you can improve fast
[17:55.44]  and that's kind of how we that's the
[17:56.68]  kind of culture that that we as much as
[17:58.84]  possible try to embrace uh and teach
[18:01.28]  people but it's much easier said than
[18:03.40]  done yeah especially when you're in the
[18:05.64]  moment like God damn it everything's
[18:06.92]  gonna fall apart I really I really
[18:08.56]  messed this one up yeah and there's a
[18:10.44]  tradeoff with quality that people really
[18:12.40]  struggle with like you know we've high
[18:14.56]  standards of ourselves a lot of intercom
[18:16.96]  comes from a kind of design founder
[18:19.20]  background we we value the craft a lot
[18:21.92]  we never want to be embarrassed by what
[18:23.24]  we ship so there's a real tension there
[18:25.24]  a real tradeoff uh where people have
[18:27.96]  these high
[18:28.84]  standards which we encourage and we
[18:31.40]  encourage them to ship fast and learn
[18:32.88]  and make mistakes uh it's a constant
[18:35.40]  kind of tension that we're
[18:37.44]  navigating next up we have Tom Conrad
[18:40.08]  who is Chief product officer at quibby
[18:42.32]  and Engineering leader at pets.com two
[18:44.60]  of the most memorable failures in
[18:46.44]  product history sharing his lessons from
[18:48.80]  those wild experiences Tom is currently
[18:51.40]  CEO of zero longevity science which is a
[18:54.28]  Killer Business and an app in case you
[18:56.20]  haven't come across it I definitely
[18:57.84]  check it out
[18:58.88]  here's Tom you brought up this phrase of
[19:01.64]  notable disasters and I want to talk
[19:04.16]  about that you worked at two of the most
[19:06.72]  famous notable disasters of product
[19:09.36]  companies pets.com and quibby I think
[19:12.36]  it's really rare someone sees the inside
[19:14.96]  of so much hype and then such a fall at
[19:18.00]  a company and so I just want to spend
[19:19.80]  some time in these two areas and maybe
[19:22.80]  the way to set it up is just what's a
[19:24.32]  lesson you took away from each of these
[19:26.08]  two experiences that you've taken with
[19:27.72]  you to Future
[19:29.04]  work and maybe advice you share with
[19:30.40]  people probably the biggest lesson it's
[19:31.92]  not really about like the the the
[19:33.56]  specifics of the business the biggest
[19:34.92]  lesson really is these things make you
[19:37.12]  better they in some instances actually I
[19:39.52]  think in both instances they became kind
[19:41.16]  of dominoes that that opened doors for
[19:45.48]  me in my own ambition and my own sort of
[19:48.64]  you know professional life that maybe
[19:50.08]  just wouldn't have opened at all if it
[19:51.72]  if I hadn't gone to those companies and
[19:53.88]  learned those things and had those
[19:55.36]  experiences and and frankly even in the
[19:57.48]  case of pets.com like even the
[19:59.52]  high-profile nature of it I could have
[20:01.40]  worked at I could have worked at uh you
[20:03.56]  know one of a thousand e-commerce
[20:05.64]  websites in 1999 and when I went on to
[20:08.96]  some subsequent job interview or
[20:10.68]  something and talked about my experience
[20:12.36]  like I would never heard of the thing
[20:13.88]  that you worked on but everybody
[20:15.48]  certainly heard about pets.com it's a
[20:17.76]  pretty funny example too of how some
[20:21.32]  struggles are like Timeless you know
[20:23.76]  that you know that was 20 23 24 years
[20:26.44]  ago now and
[20:29.44]  while as a leadership team we made I'm
[20:31.40]  sure all kinds of mistakes one of the
[20:33.36]  things that happened was that there were
[20:36.60]  three kind of
[20:39.12]  overfunded pet e-commerce sites and we
[20:42.96]  all raised an excessive $50
[20:45.92]  million um which was is a tremendous
[20:48.64]  amount of money now was a tremendous
[20:50.00]  amount of money then and we all thought
[20:53.44]  it was a zero sum game and that
[20:56.96]  we at as one player started to spend on
[21:01.08]  promotion or to spend irrationally on
[21:05.04]  you know National broadcast television
[21:07.64]  advertising we all did and it became
[21:10.96]  this kind of unwinable arms race so
[21:13.52]  there was like a there is like a I think
[21:15.04]  a fundamental lesson about the like the
[21:17.20]  you know having an excess of of
[21:20.00]  investment can be its own Albatross or
[21:22.96]  or or uh lead you to take make decisions
[21:25.84]  that maybe would be unwise and then of
[21:28.36]  course it's just like you know timing is
[21:30.96]  really important you know the you know
[21:33.36]  chewy is a online pet store it's worth n
[21:37.36]  billion dollar today they were a private
[21:39.88]  company and bought by PetSmart and then
[21:42.00]  spun back out but when they were bought
[21:43.28]  by PetSmart they were acquired for three
[21:45.12]  billion dollars you know uh biggest
[21:48.24]  e-commerce acquisition of all time and
[21:51.68]  well I think it's probably unfair to
[21:52.80]  compare chewy who who executed
[21:54.76]  exceptionally well over a decade grew
[21:56.84]  their business Brick by Brick and turned
[21:58.40]  it into something really remarkable to
[22:00.60]  pest.com which was you know in a very
[22:02.32]  very different moment in time and and
[22:04.04]  and tried to go to market in a really
[22:05.48]  different way the critique that is often
[22:08.32]  leveled at pets.com or at least at the
[22:10.68]  time was like this is just a stupid
[22:12.00]  business they're shipping dog food
[22:13.40]  around you could never make that work
[22:15.24]  and like that that's just wrong like you
[22:17.40]  absolutely can make it work probably
[22:19.16]  can't make it work when 80% of the
[22:21.12]  country on the Internet is still on
[22:22.44]  dialup it it's really really early I saw
[22:26.04]  a stat I think you shared somewhere that
[22:27.48]  you took stom from nothing to a public
[22:30.24]  company to completely out of business in
[22:32.36]  19 months yeah yeah I think that's about
[22:35.60]  right you know the the the other thing
[22:37.96]  that's forgotten in the tail is that we
[22:42.76]  we actually didn't go bankrupt we shut
[22:44.60]  the company down and returned the the
[22:48.52]  remaining balance to the investors which
[22:51.20]  no public company had ever done before
[22:53.40]  and the leadership team just like
[22:54.68]  reached the conclusion that that given
[22:56.64]  the way market conditions had evolved
[22:58.44]  there was just no way we were going to
[22:59.40]  be able to get more Capital into the
[23:00.72]  company and and it was a company that
[23:03.12]  required you know additional investment
[23:05.24]  to get to profitability and and so it
[23:07.16]  was better to sort of wind down early
[23:11.00]  take the money that we you we had in the
[23:13.00]  bank and get it back to investors than
[23:15.32]  to just spend every last penny on like a
[23:17.24]  you know what was sort of a fruitless
[23:19.60]  attempt to to salvage it did not know
[23:23.00]  that let's talk about quibby what went
[23:25.84]  wrong there do you think there was a
[23:27.28]  path to quibby having worked out any big
[23:29.96]  lessons they you took away from that
[23:31.12]  experience that you bring with you the
[23:33.08]  kind of miraculous thing about quibby
[23:34.72]  for me was it relit my
[23:40.80]  enthusiasm for the industry for doing
[23:43.44]  this work I had left
[23:47.24]  in I think it was December of
[23:51.72]  2018 and I thought that maybe I was just
[23:54.56]  done making software I had done it for a
[23:56.32]  really long time and done for like 25
[23:57.72]  years years or something and I had
[24:00.36]  changed a lot the industry had changed a
[24:02.64]  lot and I thought maybe I just didn't
[24:04.72]  have the same passion for it that I had
[24:07.48]  you know a decade
[24:09.24]  before and it also seemed like maybe it
[24:11.16]  would be fun to have like another
[24:12.44]  chapter of my life that was just
[24:15.20]  completely different and I had a whole
[24:16.44]  list of things that I thought I might
[24:17.60]  want to do I mean they were really
[24:19.56]  they're kind of ridiculous it's like
[24:21.28]  maybe I want to be a p Chef maybe I want
[24:22.96]  to be a landscape photographer maybe I
[24:24.76]  want to you know learn to make bad music
[24:27.24]  to put up on Soundcloud or something and
[24:29.28]  really the only thing they had in common
[24:30.52]  were they were all things that I knew
[24:31.60]  nothing about people would be like oh
[24:33.40]  you think you might want to be a pastry
[24:34.56]  chef do you like to bake and i' be like
[24:35.88]  no I don't know anything about baking
[24:37.32]  you know oh you think my landscape
[24:38.68]  photography do you take photos no I
[24:40.20]  don't make photos but I was kind of
[24:42.20]  committed to the bit actually to the
[24:44.20]  point where when when Tech wrench
[24:46.08]  interviewed me about my departure from
[24:47.56]  Snapchat I was like you know I'm out I'm
[24:50.36]  GNA do something else entirely so that
[24:52.52]  that story is very much out
[24:54.88]  there but a few months uh after my last
[24:58.12]  day at snap I got a call
[25:00.16]  from Meg Whitman and Jeffrey kenberg who
[25:03.52]  were starting up it was called new TV at
[25:06.56]  the time and you know the pitch was
[25:08.84]  we're going to try to take the best
[25:11.92]  of uh mobile and Silicon Valley and
[25:14.80]  consumer Tech and sort of weld it to the
[25:17.76]  best of sort of Hollywood style content
[25:20.96]  production to build something like
[25:23.72]  completely bespoken purpose made for
[25:26.32]  consumption on the phone
[25:28.24]  they were looking for both technology
[25:29.52]  leadership and product leadership and
[25:30.88]  want don't know if I was interested in
[25:32.32]  one or both and I took the meeting even
[25:37.12]  though I wasn't really taking these
[25:38.20]  kinds of calls from anybody it just
[25:39.40]  seemed like who's going to pass up the
[25:40.48]  opportunity to have lunch with the two
[25:41.64]  of them so I listened to the pitch and
[25:44.16]  and politely declined and told them that
[25:47.16]  I was going to be like pastry chef or
[25:48.68]  something and we kept doing that every
[25:52.12]  couple of months for like seven months
[25:55.24]  we' go to lunch they would give me an
[25:56.96]  update on the produ PR they were making
[25:59.40]  and I would decline you know the
