Title     : Career frameworks, A/B testing, onboarding tips, selling to engineers |  Laura Schaffer (Amplitude)
Video ID  : UMAmj1bciww
[02:28.80]  treasury bills hit maturity there are no
[02:31.02]  hold periods no settlement days just a
[02:33.72]  safe place to park your cash and earn a
[02:35.88]  reliable yield public will automatically
[02:38.10]  reinvest your treasury bills at maturity
[02:40.26]  so you don't have to do anything to
[02:42.18]  continue growing your yield and you can
[02:43.98]  manage your treasuries alongside stocks
[02:46.26]  ETFs crypto and any alternative assets
[02:48.96]  do all your investing in one place and
[02:51.78]  earn 4.8 percent a higher yield than a
[02:54.78]  high yield savings account only with a
[02:56.82]  treasury count at public.com Lenny
[03:01.80]  this episode is brought to you by EPO
[03:04.38]  EPO is a Next Generation a b testing
[03:07.08]  platform built by Airbnb alums for
[03:09.54]  modern growth teams companies like
[03:11.46]  netlify contentful and Cameo rely on
[03:14.40]  Apple to power their experiments
[03:16.08]  wherever you work running experiments is
[03:18.84]  increasingly essential but there are no
[03:20.94]  commercial tools that integrate with a
[03:22.62]  modern grow team stack this leads to
[03:24.84]  wasted time building internal tools
[03:26.52]  we're trying to run your experiments
[03:28.20]  through a clunky marketing tool when I
[03:30.30]  was at Airbnb one of the things that I
[03:32.16]  loved about our experimentation platform
[03:34.02]  was being able to easily slice results
[03:36.00]  by device by country and by user stage
[03:39.18]  EPO does all that and more delivering
[03:42.18]  results quickly avoiding annoying
[03:44.10]  prolonged analytic cycles and helping
[03:46.26]  you easily get to the root cause of any
[03:48.24]  issue you discover EPO lets you go
[03:50.76]  beyond basic click-through metrics and
[03:52.92]  instead use your North Star metrics like
[03:54.90]  activation retention subscriptions and
[03:57.78]  payments nfo supports tests on the front
[04:00.24]  end the back end email marketing and
[04:02.82]  even machine learning clients check out
[04:04.92]  EPO at getepo.com get eppo.com and 10x
[04:10.14]  your experiment velocity
[04:15.38]  Laura welcome to the podcast
[04:18.06]  some thanks Lenny it is so great to be
[04:20.34]  here thanks for having me it's great to
[04:22.20]  have you so I asked Elena Elena Elena
[04:24.60]  I'm not even sure to pronounce her name
[04:25.80]  maybe nope Elena okay okay I think I've
[04:29.22]  said it wrong all the time all this time
[04:30.54]  okay Elena so I asked Elena ferna who's
[04:33.12]  a popular guest on this podcast who I
[04:35.28]  should have on this podcast and you are
[04:36.96]  the first person that immediately came
[04:38.40]  to mind and so I'm really excited that
[04:40.62]  we're doing this and that you agreed to
[04:41.70]  be on well she's the best and I'm really
[04:44.64]  happy that she referred me because I'm
[04:46.44]  just stoked to be here so thanks for
[04:48.24]  listening to her guidance absolutely and
[04:51.00]  it's kind of a cool time to be chatting
[04:52.50]  you're kind of the the newly minted head
[04:54.36]  of growth at amplitude and so congrats
[04:56.76]  first of all thank you I appreciate that
[04:59.34]  y'all live this is my um day two and a
[05:01.50]  half here
[05:05.84]  I love it some companies there's like a
[05:07.98]  little percentage that shows you how
[05:09.06]  many people have joined before you and I
[05:10.74]  wonder what that percentage already is
[05:12.12]  we had that at twilio and I got pretty
[05:14.58]  pretty high up there after a while we
[05:16.26]  had like a stack Rank and a spreadsheet
[05:18.00]  and yeah but it's it is funny so
[05:19.86]  wherever wherever that thing exists in
[05:21.96]  amplitude I am like right fresh there at
[05:24.18]  the very bottom so what was the number
[05:25.92]  you got to twilio and he you remember um
[05:28.26]  yeah no I was I was very proud to crack
[05:31.08]  like the top 50 that was like my claim
[05:33.30]  the same because as people like left
[05:34.98]  right you kind of like move up right
[05:36.72]  right yeah
[05:38.72]  it well yeah right it's kind of it's
[05:41.58]  like on one hand it's like oh very cool
[05:43.02]  I'm like one of the OG's on the other
[05:44.70]  hand it's like oh my gosh like this
[05:46.20]  person's coloring like that bummer it's
[05:47.94]  a shift but um I'm excited about it for
[05:50.22]  sure so you have this new exciting role
[05:52.98]  and I thought it'd be fun to start to
[05:55.08]  chat about career growth and just how
[05:57.66]  you think about career growth I know you
[05:59.70]  have a framework of how you think about
[06:01.62]  your own career growth it clearly it's
[06:02.94]  worked out so I'm curious to hear about
[06:05.58]  it and see and see how it could be
[06:07.38]  helpful to folks that are that are
[06:08.58]  listed so yeah can you just tell us
[06:09.90]  about how you think about career growth
[06:11.04]  career growth is often right like it's
[06:13.44]  definitely not a straight line up um but
[06:15.60]  there's definitely some kind of
[06:17.52]  Frameworks and methods that have worked
[06:18.84]  really well for me and I think to dive
[06:21.00]  into it it's first good to talk about
[06:23.04]  the one that I most typically see people
[06:25.26]  use to try to grow their career and and
[06:27.36]  why that can be a little problematic
[06:28.86]  which is that I see most people are you
[06:32.46]  know try to work really hard kind of the
[06:34.20]  job that they have right within the role
[06:35.88]  that they're that they have at a company
[06:37.44]  do whatever you can to grow there show
[06:40.50]  your manager all these things I've seen
[06:41.94]  people keep spreadsheets it sort of wins
[06:43.68]  it's a performance reviews you know
[06:46.26]  maybe you try to get better advocating
[06:47.46]  for yourself maybe try to get peers to
[06:49.26]  notice or your manager's peers and
[06:51.24]  that's all good like it's all good stuff
[06:52.44]  but the problem with it is that you're
[06:54.54]  limited to what your manager's ability
[06:57.18]  is to advocate for you to promote you
[06:59.16]  and you're also limited by the explicit
[07:01.50]  trajectory of your role at that company
[07:03.12]  and where the there's room for that or
[07:05.88]  not in the company and then often that
[07:07.26]  perception can sometimes be a little bit
[07:10.14]  in contrast to what your perception is
[07:12.06]  right and also other things that happen
[07:13.80]  like you know your manager leaves and
[07:15.84]  then you kind of have to restart with
[07:17.04]  someone else right so the method that I
[07:19.38]  use kind of tries to take that power
[07:21.00]  back a little bit and something that I
[07:23.64]  learned really early on in my career is
[07:25.38]  very lucky to learn by accident was at a
[07:28.74]  company called bandwidth which is like
[07:30.06]  my first kind of
[07:31.82]  real job and you know bandwidth is now a
[07:35.34]  public company and they've done all
[07:36.96]  kinds of crazy amazing things but I
[07:38.76]  don't anyone was just 50 people and I
[07:41.46]  actually joined in sales and I was you
[07:45.24]  know just hungry to kind of make it
[07:46.68]  succeed and grow and you know bright
[07:48.96]  eyes and everything you know first kind
[07:50.70]  of real job but I realized after a few
[07:52.98]  months of being in sales that I was
[07:55.38]  often like repeating the same thing over
[07:56.76]  again like using the same thing to sell
[07:58.44]  over and over again and it's like gosh
[08:01.80]  like this is an ideal for the customer
[08:03.18]  so I'm gonna call me and ask me these
[08:05.64]  questions and wait and get these answers
[08:06.96]  and all this stuff and it's ideal for
[08:08.64]  the company because they're like paying
[08:10.08]  Commission on this every time like
[08:11.52]  that's not going to be efficient for
[08:12.72]  growth and because we were small I was
[08:17.10]  able to catch our GM and I was just like
[08:19.50]  hey
[08:20.40]  um you know I've noticed this pattern
[08:23.04]  where like I'm repeating things kind of
[08:24.96]  over and over again and like the rest of
[08:27.96]  the same thing like I think we should
[08:29.52]  put that online I think we should make
[08:30.72]  that available so they can just like see
[08:32.16]  it and then buy it because we had an
[08:33.66]  online checkout process and I was kind
[08:36.00]  of expecting him to be like oh well I
[08:39.24]  know it's important but you know for
[08:40.26]  this another like we need to like you
[08:42.06]  know we need to do it this way and
[08:43.26]  obviously we've thought all about it and
[08:44.58]  kind of thinking like oh I'm gonna come
[08:45.84]  in like this new person who's gonna help
[08:47.40]  me understand what I'm like missing here
[08:49.14]  there's like a little bit of that that I
[08:50.94]  was expecting and he goes wait wait like
[08:53.04]  tell me more about that what do you mean
[08:54.30]  and by the end of the conversation he
[08:57.30]  was like hey why don't you like go do
[08:59.70]  that why don't you go build that like
[09:01.98]  experience why don't you put that stuff
[09:03.66]  and like in a self-serve flow and we
[09:06.24]  called it e-commerce manager and it was
[09:07.98]  like kind of growth before this girl
[09:09.48]  this is like 2010 and that that moved me
[09:12.30]  into a totally near a new position and
[09:15.00]  the main learning that I had from that
[09:17.10]  was which really kind of took life at
[09:20.34]  Twilight I absolutely worked for me
[09:22.80]  there I'm happy to talk about that too
[09:24.18]  but the core that learning was your
[09:26.64]  executive team and executive teams at
[09:28.26]  companies are often very sharp but the
[09:30.84]  nature of their day-to-day just does not
[09:32.94]  link them with customers right and that
[09:35.34]  means that over time especially as a
[09:36.84]  company grows they often lose access to
[09:39.84]  some of the best insights and you know
[09:42.42]  in the heartbeat of the people who
[09:44.28]  they're providing value to in contrast
[09:45.72]  to folks that are closer to the problem
[09:47.40]  and so that means that your superpower
[09:50.70]  is in really pulling those insights in
[09:53.70]  and bringing them to life staying close
[09:55.02]  to the customer there's not a single
[09:56.46]  leader or executive it isn't going to be
[09:58.38]  stoked to hear about valuable customer
[10:00.72]  insights that highlight problems they
[10:02.22]  might not be seeing and there's a lot of
[10:04.50]  those so especially you know when they
[10:06.60]  align to North Star metrics those those
[10:08.58]  ones are sort of the powerful ones that
[10:12.42]  was the way that I grew my career at
[10:14.82]  Phil and I'm happy to share kind of that
[10:16.86]  Journey too
[10:18.00]  yeah it'd actually be cool to hear maybe
[10:19.62]  another example of that but I think I
[10:21.54]  think an interesting thing that comes up
[10:23.46]  for me here is sometimes you may have an
[10:25.32]  awesome idea and it may not immediately
[10:27.42]  happen it may not be like yes or let's
[10:30.36]  move on this right immediately and I
[10:32.64]  think it's important to just recognize
[10:33.84]  like they're not going to follow all
[10:35.28]  your ideas but they're always looking
[10:37.92]  for better ideas and
[10:39.84]  they like to your point they may not
[10:41.46]  have the information that will lead to
[10:42.78]  an idea that you will have because
[10:44.34]  you're like on the ground dealing with
[10:45.96]  real problems day-to-day so I think it's
[10:48.30]  important to recognize you're not gonna
[10:49.80]  always get your way and that's normal
[10:51.72]  yeah totally and right and it's it's
[10:53.58]  kind of about like almost like building
[10:55.68]  up your your individual like brand a
[10:58.92]  little bit and I think one of the most
[11:00.54]  powerful and accessible ways to see
[11:01.98]  that's learning about your customers
[11:03.18]  there's always those people at companies
[11:05.58]  it's like oh well you know I mean she
[11:07.92]  just knows our customers or he just
[11:09.30]  knows our customers they just know our
[11:10.50]  customers like they just know and it's
[11:12.96]  like well they just know like let's ask
[11:14.64]  that person let's get their feedback and
[11:16.50]  those people often have a good amount of
[11:20.40]  kind of you know brand recognition and
[11:22.62]  powers in the company and they're often
[11:24.12]  thought of when the company needs to do
[11:25.62]  something new or different or you know
[11:27.78]  if someone is you know hiring maybe
[11:29.70]  they're thinking about that person for
[11:30.90]  like a cross team thing so it's one of
[11:32.70]  the ways that you can kind of build
[11:34.32]  build that that brand and again it's
[11:37.08]  it's I think it's a sweet spot because
[11:39.80]  it's something that is very valuable to
[11:43.50]  all everyone all the way up to the most
[11:45.24]  senior leaders which we can talk about
[11:46.98]  here in a minute and so it's going to be
[11:49.92]  valuable for you and a valuable tool
[11:51.48]  kind of no matter where you're at in
[11:53.46]  your career again that's not always an
[11:54.90]  immediate payoff but it often does give
[11:57.96]  you a trajectory outside of just your
[12:01.56]  role and just your manager it gives you
[12:03.18]  something a little bit broader
[12:05.22]  so maybe a simple way of describing to
[12:07.86]  kind of mirror back what you're saying
[12:09.06]  is kind of carve your own path don't
[12:10.92]  necessarily assume your managers will
[12:12.54]  give you the path that makes most sense
[12:14.70]  for you or even give you the biggest
[12:16.44]  opportunity just like propose hey I
[12:19.26]  think this might be a better opportunity
[12:21.18]  and I'd love to pursue it I'd love to
[12:23.10]  hear the twilio example if that's
[12:24.54]  generally yeah so I actually joined when
[12:26.76]  I joined Twitter there was no growth
[12:28.20]  team at all like not even a breath of it
[12:30.18]  uh I joined in product marketing and I
[12:33.00]  was leading our product marketing for
[12:34.62]  messaging lines and you know but I
[12:37.14]  followed the same guy that I just
[12:38.76]  mentioned I made it up you know my own
[12:40.74]  kind of personal policy to like hey I'm
[12:42.18]  gonna do my job and I'm like do well and
[12:43.98]  keep notes of things I'm doing well and
[12:45.30]  all kind of stuff because it's good but
[12:46.80]  I'm also going to get to know our
[12:48.06]  customers and I'm engaging our customers
[12:49.50]  really well I'm gonna pay attention when
[12:51.36]  I'm connecting with them not just about
[12:52.68]  the space I'm in but broadly what are
[12:55.86]  some of the pain points and things are
[12:56.88]  articulating that are relevant to the
[12:58.68]  business and what we're trying to get
[12:59.94]  done and one of the things that came up
[13:02.90]  was that users were struggling and folks
[13:06.48]  are struggling to get started don't use
[13:09.06]  twilio and that contrasted so deeply to
[13:12.96]  some of the things that our executive
[13:14.64]  team was saying and had high conviction
[13:16.68]  in our company Hyundai conviction which
[13:18.30]  is a tool it was so easy to use in fact
[13:19.98]  it was like top three things about
[13:22.38]  twilio that we were really trying to get
[13:23.52]  out of the brand we're so easy
[13:24.54]  developers love us they say we're so
[13:26.16]  easy and there's always like there were
[13:27.48]  tweets coming all the time like you know
[13:28.92]  developers saying like oh my gosh like
[13:30.66]  they got started in a couple minutes so
[13:32.40]  there's all these things that kind of
[13:33.84]  made that compound and made that
[13:35.40]  conviction stick but as I was talking to
[13:38.16]  customers I was hearing a very different
[13:39.36]  story and it made sense as we were
[13:41.16]  penetrating new markets adding more
[13:42.90]  products we write in complexity and we
[13:46.02]  were pulling in folks who were a little
[13:47.46]  bit less motivated and those things
[13:49.80]  contributed to people saying this is
[13:51.66]  this is difficult and so you know at the
[13:54.48]  time you know what this this wasn't a
[13:56.16]  you know 50 person America just kind of
[13:57.48]  go to the floor and like go to school
[13:58.74]  and be like hey like there's this thing
[14:00.18]  I heard about like I think we should do
[14:01.26]  something about it but there was another
[14:02.46]  tactic that I could take and this is I
[14:04.32]  just started sharing during a voice the
[14:06.90]  customer report I started sharing my
[14:08.34]  insights started writing down and just
[14:09.90]  sharing them and it became this kind of
[14:11.34]  digest and eventually people like hey
[14:12.72]  can I can you share with me can you
[14:14.22]  share with me could be on your list can
[14:15.30]  you share it with me and this was in
[14:16.62]  like a few months of me joining I was
[14:18.66]  doing this and then that turned into hey
[14:21.66]  you should like host a quarterly voice
[14:23.70]  to the customer session or for all of
[14:26.22]  the product right and and uh and this
[14:29.88]  was a request that was coming from some
[14:32.28]  of the senior leaders of the company and
[14:34.08]  when our uh Jeff Lawson or Cersei at the
[14:36.36]  time heard about he started attending
[14:37.62]  too so now in the session I started
[14:40.26]  pulling in other people's insights too
[14:41.46]  right because this was these were you
[14:42.90]  know now they had a forum for this I
[14:44.28]  could kind of do that and um and and you
[14:47.88]  know have people send that to me and I
[14:49.68]  could compile it and all of these things
[14:51.38]  and so then you know this kind of
[14:54.12]  established me as that person who knows
[14:56.16]  about the customer even after a short
[14:57.84]  tenure and then you know when you know
[15:01.20]  came time to do annual planning that
[15:03.66]  that year and I joined in 20 2014 at the
[15:06.00]  end so this is 2015. I pitched this idea
[15:09.18]  hey we think that it's easy it is not
[15:12.00]  here's data that I have the information
[15:13.74]  that I have and I think that we need to
[15:16.62]  start a growth team here and that needs
[15:18.72]  to be a core focus and is able to bring
[15:20.70]  in a really critical
[15:22.74]  um you know kind of partner to that
[15:24.48]  other folks who could support that
[15:25.98]  because I built up some of that trust so
[15:28.38]  by the time I was making that pitch I
[15:30.18]  had someone like you know on uh Andre
[15:31.86]  Crow who was like the seventh hire at
[15:34.32]  twilio and got to like number three on
[15:35.76]  that spreadsheet or whatever
[15:37.38]  who was really close their SEO being
[15:38.88]  like yeah like we desperately need this
[15:40.62]  I'm seeing this he led uh you know
[15:42.30]  website he basically created the twilio
[15:43.74]  brand and he like let all the website
[15:45.42]  stuff and he's like yeah we definitely
[15:46.56]  need this so not only did I have that
[15:48.90]  kind of a little bit of trust right for
[15:50.46]  the executive team but I also had folks
[15:52.38]  who were just trusted on their own
[15:54.36]  advocating and supporting this that I
[15:56.28]  was doing and so it was approved with
[15:58.50]  like it's almost very easily I mean I
[16:01.80]  put stuff together for it but it was um
[16:03.96]  you know kind of the meeting before the
[16:05.76]  meeting had already been done by those
[16:07.02]  other things so it helped me create the
[16:10.80]  growth engineering growth product team
[16:12.84]  at twilia
[16:14.64]  I love just how proactive your advice is
[16:17.70]  here there's a lot of people that don't
[16:20.40]  do well and then just like oh I never
[16:22.50]  had the opportunity or I can get kept
[16:25.14]  got looked over all this time and I love
[16:26.70]  that there's all this just like here's
[16:28.86]  things you can be doing to get in front
[16:31.08]  of people to provide value to just
[16:32.94]  create opportunity for yourself any
[16:34.68]  other advice along the lines of just
[16:36.24]  like here's the kind of things you could
[16:37.86]  do for yourself versus waiting for
[16:39.30]  someone to come and give you opportunity
[16:41.46]  yeah I mean I think that's the most
[16:43.74]  easily actual because to do all of our
[16:45.42]  jobs we need to know customers like we
[16:47.88]  need to know about customer insights
[16:49.08]  product we know but then also customer
[16:50.40]  facing teams especially those who want
[16:52.08]  to crack into product your your insights
[16:54.72]  are extremely valuable you're talking to
[16:56.22]  customers every day you know more about
[16:58.20]  their problems and their pain than a lot
[17:00.66]  of other people do and so you know
[17:03.00]  that's that is by far and away to me
[17:04.92]  that the most powerful and accessible
[17:07.14]  one by by anyone in any role in any
[17:09.96]  space but you know I'll also say that
[17:12.24]  you know that broader concept of just
[17:14.34]  hey like there's things that you know
[17:15.84]  and things of value that you know that
[17:17.40]  others can benefit from at your company
[17:18.90]  and and building your brand as someone
[17:21.60]  that is supportive smart creative able
[17:24.72]  to solve problems you know make sure
[17:27.00]  that you're sharing that right and so
[17:29.10]  you know maybe you're really freaking
[17:31.44]  good at communicating with brevity I
[17:35.22]  suck at that by the way so like more
[17:36.84]  power to anyone that can do that I'm
[17:38.58]  actively working on it so so share that
[17:40.98]  like go to your general slack Channel or
[17:42.96]  whatever and just be like hey like just
[17:44.58]  run up like some tips for how to do it
[17:46.02]  you know some ways that I am good at
[17:47.52]  this and those kinds of things can
[17:49.74]  really go a long way towards people
[17:51.96]  starting to view you as you know an SME
[17:54.72]  and not just the space that you're in
[17:56.40]  but in sort of broader areas and I can
[17:58.80]  always present and open doors for you
[18:01.62]  and other people are sort of looking up
[18:03.30]  to you and seeing you someone who's
[18:04.50]  who's strong in ways outside of just the
[18:06.36]  role that you're in and SME is a subject
[18:08.94]  matter expert is that right yes
[18:11.30]  thank you for unpacking my acronyms
[18:13.62]  that's another thing that I am actively
[18:15.54]  working on I got you I'll be on the
[18:18.36]  lookout
[18:19.38]  um maybe one last question along these
[18:21.30]  lines is you have any advice for framing
[18:23.40]  the proposal framing an opportunity to
[18:26.76]  you know your manager higher-ups that
[18:28.56]  you see has worked the best broadly yeah
[18:31.50]  so yeah and one thing I want to say too
[18:33.12]  is like with this stuff I don't think
[18:34.32]  that necessarily does go like counter to
[18:36.30]  what your manager is doing it's more
[18:37.74]  like supporting them like right like
[18:39.06]  I've done this kind of stuff and then
[18:40.26]  it's helped my manager promote me right
[18:42.30]  so it's it's not necessarily oh we'll do
[18:44.52]  this if your manager is like failing you
[18:46.08]  or they you know are not the board in
[18:48.06]  you or they can't support you it's more
[18:49.38]  like do this because this is going to be
[18:51.42]  an accelerator for yourself irrespective
[18:54.66]  of your manager but then also it'll be
[18:57.00]  an accelerator for your manager and
[18:58.86]  supporting you because one of the things
[19:00.12]  that you know it comes into play a lot
[19:02.64]  when manager to figure out promotions
[19:03.96]  and doing those things is like they'll
[19:05.40]  sit in a room off on calibrations and
[19:08.10]  you know with a bunch of people and it
[19:09.72]  makes it a lot easier when those people
[19:11.28]  have had some kind of access or exposure
[19:15.30]  or whatever to you
[19:17.16]  um in a positive light so these things
[19:19.20]  can all on you know with you know your
[19:22.50]  manager and and not against but it's
[19:24.42]  just another way of you kind of taking
[19:26.40]  taking back the ability to build that
[19:28.32]  momentum instead of relying on all of
[19:30.60]  that going through one single other
[19:33.06]  person
[19:33.96]  what I like about your second example is
[19:35.64]  you just did it you just started doing
[19:36.96]  that kind of report for the company it
[19:39.24]  wasn't like hey I have a proposal here's
[19:40.80]  what I think you should do should we do
[19:42.18]  it's just like yeah just do it yeah like
[19:44.70]  uh ungate your knowledge I think is the
[19:47.34]  the buzzword that I'm I'm hearing right
[19:49.68]  um and you could do that within your I
[19:52.38]  think that's an Elena ISM like see if we
[19:54.66]  can how many times we can we can bring
[19:56.22]  her up but right it's just you know like
[19:58.02]  you can do that within your own you know
[20:00.12]  company like everybody everybody is
[20:02.22]  skilled at things that they aren't you
[20:04.32]  know explicit to their role or their
[20:05.70]  space and I think that ungating that
[20:07.92]  opens opportunities and if you're not
[20:09.72]  sure then go to my favorite go-to which
[20:12.30]  is talk customers get insights those are
[20:14.94]  incredibly valuable so related people
[20:16.92]  share those when they find them so so be
[20:19.14]  the person that does that another area I
[20:22.08]  want to chat about is experimentation
[20:24.96]  and growth and data which uh makes sense
[20:29.04]  you have strong perspectives on being
[20:30.66]  the new head of growth amplitude
[20:32.64]  so maybe we start with experimentation
[20:35.94]  you mentioned that you had there's like
[20:37.62]  a really interesting surprising result
[20:39.54]  in an experiment you ran at twilio that
[20:41.70]  kind of maybe changed your perspective
[20:43.38]  on experimentation and what you think
[20:45.42]  might work and not work 100 yeah I'm
[20:47.58]  sort of a fortunate have could have two
[20:49.82]  mind-blowing experiments it really
[20:51.60]  shifted the way that I think about
[20:53.04]  growth so one of them one of my favorite
[20:55.14]  ones happened very early on actually so
[20:58.86]  after I created this girl team like one
[21:01.14]  of the things that I
[21:02.70]  saw as as to me an issue was that at our
[21:06.00]  signup flow we we just asked people for
[21:07.74]  a username and an email like a password
[21:09.72]  and that was it that's actually
[21:11.34]  relatively common at the time it was
[21:13.56]  just kind of a while ago now like
[21:14.82]  everybody kind of start is segmenting
[21:16.44]  users but we didn't and we actually
[21:17.88]  there was a lot of existing conviction
[21:19.32]  around that was okay we retarding
[21:20.88]  developers developers and you know they
[21:24.30]  just want to do they just want to get
[21:25.56]  their hands on things don't put anything
[21:26.70]  in their way it's going to be disastrous
[21:28.32]  we don't want any Shenanigans here with
[21:30.24]  these these folks let's just let them in
[21:32.76]  the gates but to me this was a really
[21:34.68]  big assumption to make and very costly
[21:37.02]  one it's like okay if that's the case we
[21:38.70]  don't know we're not gonna know anything
[21:39.84]  about anyone and we didn't know who was
[21:41.34]  signing up we didn't know what they
[21:42.60]  wanted to do and that hurt our ability
[21:44.46]  to understand how people were performing
[21:45.72]  for a quantitative perspective you know
[21:47.88]  we were a little bit lost with
[21:48.90]  prioritization there's a number of
[21:50.22]  implications here but it's obviously a
[21:53.28]  very contentious kind of space so I you
[21:56.94]  know
[21:57.78]  this is the very first thing that I that
[21:59.88]  I did on the first experiment that I ran
[22:01.38]  I um I did you know some research
[22:03.78]  understand okay what are the most
[22:04.80]  important questions to ask what would I
[22:06.48]  do really really need to know and it was
[22:08.64]  stuff like you know what what language
[22:09.90]  are you know you coding in and what's
[22:12.24]  your use case what product you want to
[22:13.92]  use and then you know there's you know
[22:16.08]  one around like are you developer at all
[22:17.52]  or are you something else because there
[22:18.96]  was sort of rumors that you're having
[22:20.82]  not just developers sign up which is
[22:22.38]  this whole other interesting kind of
[22:23.58]  story and I you know thinking these
[22:25.44]  questions that would also you know
[22:27.00]  potentially be things that that our
[22:29.04]  developers signing up would sort of
[22:30.60]  understand why we're asking that it
[22:32.16]  would feel natural and but anyway you
[22:34.80]  know again like adding anything to the
[22:35.94]  sign up was very contentious but I
[22:37.92]  really just wanted to get a little bit
[22:39.30]  of data on it so I wanted to run a test
[22:41.22]  I didn't have a team I didn't have an
[22:42.18]  engineering team yet and none of that
[22:43.68]  stuff had built out is Just Me Myself
[22:45.12]  and I but like I said I had started to
[22:47.76]  to build a little bit of trust and
[22:49.74]  pulled in good old um Andre who I
[22:51.90]  mentioned earlier who because he was
[22:53.64]  early employee and just he kind of had
[22:55.56]  access to everything like one of those
[22:57.00]  those people and he had also was you
[23:00.06]  know supportive of of this and kind of
[23:01.62]  had similar hunches and so and like the
[23:04.14]  you know dead of the Night by that I
[23:05.58]  mean like you know 7 P.M or something on
[23:07.98]  I think it was pretty sure it was a
[23:09.18]  Friday we just
[23:11.88]  asked for forgiveness and kind of put
[23:14.94]  these questions into the sign up low and
[23:16.80]  rana's navy test with a small group and
[23:19.92]  you know I'm fully expecting okay this
[23:21.72]  is going to like hurt our numbers but
[23:23.04]  maybe it won't be so bad you know and
[23:24.96]  I'm gonna be prepared to Advocate the
[23:26.46]  power of this data that we're getting
[23:27.96]  and I was totally weird I'm thinking
[23:29.76]  about like written start to write like a
[23:31.14]  like the framework for how I wanted to
[23:32.94]  to surface this and we start to get the
[23:35.82]  data for this thing I'm not getting an
[23:37.98]  improved conversion like there's no
[23:40.08]  personalization nothing passed it just
[23:42.48]  the questions it improved conversion by
[23:44.22]  like five percent
[23:45.42]  like just improve signups and it's one
[23:48.06]  of those like what like okay this like
[23:50.40]  what is going on here and I actually dug
[23:54.06]  into it and what I found from just
[23:56.88]  talking to a few customers went through
[23:58.14]  the flow I'm just like learning about
[23:59.88]  all they felt about it it was actually
[24:02.76]  for folks it was like comforting you
[24:06.12]  know when you think about it
[24:07.74]  when when users are signing up for your
[24:10.02]  product for the very first time like
[24:12.06]  it's new right this is new that means
[24:14.16]  it's scary they're they're expecting it
