Title     : How Anthropic, Costco, and Patagonia all build incorruptible companies  | Eric Ries
Video ID  : PoJ1vTdHpks
[01:40.08]  two books is that the lean startup was
[01:41.84]  about helping you build a successful
[01:43.44]  company [music] and this book is about
[01:44.88]  helping you protect what you've built.
[01:46.88]  Eric wrote this book because he's seen
[01:48.96]  way too many founders [music] lose
[01:50.56]  control of their company and end up
[01:52.48]  being very disappointed and depressed
[01:54.32]  about how things turned out. [music]
[01:55.84]  This is not something that you hear a
[01:57.60]  lot about, but it's a problem that
[01:59.20]  basically every successful founder will
[02:01.20]  face. Eric shares [music] a ton of
[02:03.20]  powerful stories and specific tactics
[02:05.76]  and very specific advice for what you
[02:07.84]  need to understand [music] and do as a
[02:09.68]  founder if you want to build something
[02:11.20]  lasting. Before we get into it, don't
[02:13.28]  forget to check out
[02:14.00]  lennisproductpass.com
[02:15.59]  [music] for a year free of the hottest
[02:18.00]  and most well-crafted AI products in the
[02:20.48]  world, available exclusively to Lenny's
[02:22.72]  newsletter subscribers. With that, I
[02:24.96]  bring you Eric Reese.
[02:29.84]  Eric Ree, thank you so much for being
[02:32.24]  here and welcome back to the podcast.
[02:34.40]  >> Ah, it's an honor to be back. Congrats
[02:36.00]  on everything that's happened since I
[02:37.20]  was here last time.
[02:38.40]  >> Wow. Thanks, Eric. So for people that
[02:40.96]  have been living under a rock, you
[02:43.04]  famously wrote the lean startup uh 15
[02:46.80]  years ago at this point, maybe the most
[02:50.24]  impactful, successful founder startup
[02:53.52]  book out there. And it feels like over
[02:55.60]  this 15 years, if you think about it,
[02:57.36]  it's it's gone through all these waves
[02:58.72]  of just like this is correct the way to
[03:00.56]  do it and no, this completely wrong. Why
[03:02.64]  would anyone build this way? This
[03:03.84]  doesn't work anymore to okay, this
[03:05.68]  actually is right. I was actually just
[03:07.12]  thinking about this as I was preparing
[03:08.48]  for our chat. It feels like the way the
[03:10.56]  top AI companies are building now is
[03:12.64]  actually exactly lean startup. Like I
[03:14.96]  just had the head of product of cloud
[03:16.16]  code in the podcast. Cass
[03:17.84]  >> the way they operate. Okay. We're going
[03:19.12]  to ship the MVP. They don't call it
[03:20.40]  that, but we're going to ship the MVP
[03:22.24]  research preview. Get it out there. See
[03:23.76]  if people care a lot at all about this
[03:25.92]  thing. We're going to tell you it's not
[03:26.96]  ready for everyone, but it's out there.
[03:28.40]  And then they iterate and build. I feel
[03:30.00]  like people don't give you credit for
[03:31.12]  like this is actually the way AI
[03:32.56]  companies are operating now. I
[03:34.24]  appreciate you saying that and and it is
[03:36.16]  funny how every wave there's like a
[03:38.56]  backlash and somebody writes the article
[03:40.08]  like because of this you don't need to
[03:42.24]  do lean startup anymore. I remember when
[03:43.60]  people wrote that about Quibby they're
[03:44.80]  like Quibby proves that you don't need
[03:46.24]  lean startup. I'm always like why don't
[03:48.16]  we wait till the companies are
[03:49.20]  successful and then see if it proves it.
[03:51.36]  But also people forget like this is not
[03:53.28]  a religion. So what matters to me is not
[03:55.28]  if people use the term minimum viable
[03:57.12]  product or whatever. By the way those
[03:58.80]  aren't customerf facing terms. So a lot
[04:00.80]  of companies that use these concepts,
[04:02.64]  they don't talk about how they use it.
[04:04.24]  They just use it internally to them.
[04:05.84]  It's just, you know, the obviously right
[04:07.36]  way to go. And it's funny to me, one of
[04:09.68]  the most important aspects of it that I
[04:11.60]  think, you know, stands up really well
[04:12.96]  and it's been 15 years is that so many
[04:15.52]  of these AI products that if leaving the
[04:17.60]  models and the underlying technology
[04:19.68]  aside, these specific products that have
[04:23.04]  taken the world by storm, you can really
[04:25.36]  tell that the AI labs themselves did not
[04:27.36]  know they were going to be as popular as
[04:29.20]  they turned out to be. obviously chat
[04:30.40]  GPT they had no idea claude code co-work
[04:33.04]  like these were small experiments in the
[04:34.72]  grand scheme of things they weren't the
[04:36.56]  companies like this is our big bet let's
[04:38.32]  go and that's that's just so classic
[04:40.56]  that that's a a universal aspect of
[04:42.64]  product development that you do not have
[04:45.12]  the ability to predict the future and
[04:47.36]  when you pretend you get yourself in
[04:48.72]  trouble if you hold everything like a
[04:50.40]  hypothesis you know you get the benefits
[04:52.40]  of the scientific method it's uh it's
[04:54.08]  pretty helpful
[04:55.20]  >> this episode is brought to you by our
[04:56.96]  season's presenting sponsor work OS s.
[04:59.92]  What do OpenAI, Anthropic, Cursor,
[05:02.48]  Verscell, Replet, Sierra, Clay, and
[05:05.12]  hundreds of other winning companies all
[05:06.80]  have in common? They are all powered by
[05:09.04]  work [music] OS. If you're building a
[05:10.88]  product for the enterprise, you've felt
[05:12.48]  the pain of integrating single signon,
[05:14.72]  skim, arbback, [music] audit, logs, and
[05:17.28]  other features required by large
[05:18.88]  companies. Work OS turns those deal
[05:21.04]  blockers into drop-in APIs with a modern
[05:23.68]  developer platform built specifically
[05:25.60]  for B2B SAS. [music] Literally every
[05:28.00]  startup that I'm an investor in that
[05:29.84]  starts to expand up market ends up
[05:31.84]  working with Work OS. And that's because
[05:33.92]  they are the best. Whether you are
[05:35.76]  seedstage startup trying to land your
[05:37.44]  first enterprise customer or a unicorn
[05:39.60]  expanding globally, work OS is the
[05:41.68]  fastest path to becoming enterprise
[05:43.44]  ready and unblocking [music] growth.
[05:45.36]  It's essentially Stripe for enterprise
[05:47.36]  features. Visit works.com to get started
[05:50.16]  or just hit up their Slack where they
[05:51.84]  have actual engineers waiting to answer
[05:53.84]  your questions. Work OS allows you to
[05:56.00]  build faster with delightful APIs,
[05:58.16]  comprehensive docs, and a smooth
[05:59.84]  developer experience. Go to works.com to
[06:02.72]  make your app enterprise ready. Today,
[06:05.36]  you have a new book out called
[06:07.36]  Incorruptible.
[06:08.88]  It's a very different, very different
[06:10.56]  book from the Lean Startup. It feels
[06:13.28]  very personal in a lot of ways. The way
[06:15.84]  I've heard you describe the combination
[06:17.44]  of the lean startup and this new book is
[06:19.20]  the lean startup was about helping you
[06:20.64]  build a successful company and
[06:22.48]  incorruptible is about helping you
[06:24.00]  protect what you've built. I want to
[06:26.88]  start with that second part of
[06:28.96]  protecting what you've built. What is it
[06:30.56]  that you need protection from? What's
[06:32.48]  this kind of corruption that you talk
[06:34.80]  about that founders run into? Yeah, we
[06:38.08]  all know this force in the book. I call
[06:40.48]  it the force that no one controls but
[06:42.96]  everyone obeys that tends to drag
[06:46.00]  organizations down into mediocrity to
[06:49.04]  the point that we lose control of them.
[06:51.20]  Now, sometimes we lose control of them
[06:52.80]  because we get fired. You know, we get
[06:54.48]  ousted from our own company. Sometimes
[06:56.80]  it happens because we're like
[06:57.92]  Frankenstein and his monster. It starts
[07:00.08]  to become malign or bureaucratic or
[07:02.64]  frankly evil and we can't figure out how
[07:05.44]  to stop it. And all kinds of other ways.
[07:08.08]  I've been I've had a front row seat at
[07:09.60]  this. I've been helping people build
[07:10.80]  companies now for a long time. I've
[07:12.40]  helped people create unimaginable
[07:14.80]  amounts of wealth for themselves and for
[07:16.64]  society. And I'm really proud of the
[07:18.16]  work that they've done. I'm proud of my
[07:19.84]  the bit part that I played in so many of
[07:21.36]  these companies. And yet I've also seen
[07:24.00]  this this darkness. And it's not just
[07:26.48]  founders getting fired, although we want
[07:28.16]  to talk about that. But like the other
[07:29.92]  day, I was out to dinner with some
[07:31.36]  friends. We were not at home. We were
[07:33.04]  kind of, you know, away from our usual
[07:35.20]  uh our usual spots. So someone said,
[07:37.20]  "Yeah, there's this restaurant. I
[07:38.08]  haven't been there in a couple years,
[07:38.80]  but it's really good. Let's check it
[07:39.92]  out." We go, we sit down to dinner. They
[07:42.24]  take one bite of the food and then
[07:44.00]  they're on their phone and we're like,
[07:45.28]  "Dude, you're being rude. Like, why are
[07:46.64]  you on your phone? It's just one sec.
[07:47.76]  One sec." Yep. I thought so. He turns it
[07:49.76]  around. I could tell that this
[07:51.36]  restaurant got taken over by private
[07:52.80]  equity. I could taste it.
[07:56.16]  And I've told that story a bunch of
[07:58.24]  times now, and so many different people
[07:59.84]  have told me, "Oh yeah, I know what
[08:01.20]  restaurant you're talking about." And
[08:02.32]  then they name like 12 different
[08:03.60]  restaurants. So what's going on that
[08:06.08]  like you can taste the ownership
[08:08.08]  structure of a company in the food? How
[08:10.56]  many people have had a famous brand that
[08:12.56]  they love get ruined? I tell hundreds of
[08:15.60]  years of these stories in the book, all
[08:17.84]  kinds of famous companies where the
[08:20.24]  thing that destroyed them was not
[08:22.08]  competition. It was not someone else
[08:24.16]  came up with a better product. No, their
[08:26.40]  very success became a liability because
[08:29.68]  the more golden the goose, the greater
[08:31.52]  the temptation to butcher.
[08:34.40]  >> Well, that's a very visceral example. I
[08:36.72]  think about vital eggs as a great
[08:38.80]  example of this. It was it was in the
[08:40.48]  news, I don't know, on Twitter, Tik Tok
[08:41.76]  a while ago. It's the eggs that I we've
[08:43.44]  been getting forever. This like
[08:45.12]  pasture-raised organic in my fridge.
[08:48.00]  >> Okay. I don't know if you saw this, but
[08:49.52]  everyone was complaining of how they've
[08:50.72]  gotten worse and they're they have all
[08:52.72]  like the highest level of toxins and
[08:54.08]  then they're owned by Black Rockck now,
[08:55.28]  it turns out. No, I I was just wondering
[08:58.00]  about that. Oh, okay. Now, that's my new
[09:00.00]  favorite example. That's really fun. I
[09:01.52]  didn't even know that. But yeah, like
[09:03.20]  it's so it's so common. It's the point
[09:05.20]  now where I was I was doing an interview
[09:06.80]  with someone who was telling me about a
[09:08.00]  certain natural foods brand and the name
[09:10.96]  of the product is the name of the
[09:12.88]  founder. It's like I can't remember her
[09:15.20]  name now. It's just her name. That's
[09:16.48]  what it that's the name of the product.
[09:18.08]  And she gets ousted by investors. And
[09:19.92]  he's about to tell me the story. I said,
[09:21.12]  "Let me guess what happened next." The
[09:23.76]  board pushed her out in pursuit of
[09:25.68]  higher growth, higher margins. As a
[09:28.32]  result, we've seen lower quality.
[09:30.16]  Customers are super pissed. Employees
[09:31.68]  are pissed. And now it's starting to
[09:32.88]  shrink market share. And he was like,
[09:33.84]  "How did you know? I thought you said
[09:34.88]  you didn't know this company. This
[09:36.80]  pattern is so pervasive. We don't even
[09:38.64]  have a name for it. We live it every
[09:40.64]  day, but we don't know what to call it."
[09:42.24]  Well, I know what to call it. I know
[09:44.08]  what our grandparents would have called
[09:45.28]  it. They would have called this
[09:46.32]  corruption, not legal bribery or
[09:50.48]  embezzlement. No, this is like you're
[09:52.56]  building a bridge. And if your bridge
[09:55.60]  collapses and Lenny, I say you're an
[09:57.52]  engineer and I say, Lenny, why did my
[09:59.44]  bridge collapse? If you're like, well,
[10:00.88]  because of gravity, I'm going to be
[10:02.64]  like, dude, yeah, thank you for that
[10:04.32]  genius insight, right? Like, I
[10:06.16]  understand that that is correct in some
[10:08.88]  very real way. Like we say, well, it's
[10:10.32]  inevitable. It's greed. I call it
[10:11.92]  financial gravity. Like there's this
[10:13.28]  kind of like thing, you know, human
[10:14.40]  nature when companies get big, when
[10:15.84]  whatever. Yeah. But I want to know why
[10:18.08]  did this bridge collapse? And more
[10:19.60]  importantly, how come other bridges
[10:20.80]  didn't collapse? And they say, "Oh, oh,
[10:22.40]  for that we need to study the load, load
[10:24.56]  factor, wind load, shearing tension."
[10:26.56]  And we go look up close. We say, "Oh,
[10:28.08]  look, all the metal bolts have been
[10:30.96]  corroded. They're rusted. No wonder it
[10:33.20]  collapsed." And then if you say, "Well,
[10:34.88]  I want to build a new bridge, but I
[10:36.16]  don't want this one to collapse. What
[10:37.20]  can I do?" You won't say, "Well,
[10:38.64]  gravity. What can you do?" No. You say,
[10:40.96]  "Why don't we use stainless steel next
[10:42.48]  time on the bolts so they don't get
[10:43.92]  corroded?" Oh, yeah. Good idea. So, this
[10:45.68]  book is about what are the
[10:46.80]  organizational equivalents of stainless
[10:49.60]  steel? And the book is kind of
[10:51.44]  structured not like a traditional
[10:52.80]  business book, as you say, you picked up
[10:54.08]  on that. Like, it's much more like a
[10:55.52]  mystery, a double mystery. First of all,
[10:57.84]  why has this been going on for hundreds
[10:59.44]  of years when we all think that the
[11:01.52]  market selects for value creation? So,
[11:03.44]  this shouldn't happen yet. It happens
[11:04.96]  all the time. But secondly, if it's
[11:07.28]  inevitable, if it's caused by greed or
[11:09.92]  age or size, why are there exceptions?
[11:13.76]  >> You're actually going to give us answers
[11:15.04]  and solutions like because it sounds
[11:16.64]  like, okay, this is impossible. You
[11:18.16]  actually have you have some answers for
[11:20.24]  what founders can do. Real quick, I'll
[11:21.92]  just vital X thing. I'm not exactly sure
[11:23.60]  if the toxins are real. Like there's a
[11:25.52]  whole viral thing on it. I haven't like
[11:27.68]  looked into it super deep.
[11:29.28]  >> We both have homework to do now because
[11:30.96]  like it's what you feed your kids. You
[11:32.48]  care. I'm definitely worried. Definitely
[11:34.16]  worried to hear that. I want to talk
[11:35.60]  about two things that are probably in
[11:37.60]  people's minds as they listen to this
[11:39.12]  conversation and even think about buying
[11:40.56]  your book. One is okay uh I am not going
[11:44.00]  to let this happen to my company like
[11:45.52]  this is other people they're weak.
[11:47.36]  They're maybe they're loose values. The
[11:49.92]  other is just like do I really need to
[11:51.68]  do this? There's so many companies that
[11:53.04]  are killing it. I don't think I don't
[11:54.56]  think they've done any of this.
[11:56.16]  >> Why do I even need to pay attention to
[11:57.84]  this? So maybe let's start with that
[11:59.44]  first one of this idea of this is a core
[12:01.76]  thesis of your book. This is not like an
[12:03.52]  ethical values thing. This is a
[12:05.68]  structural element of building
[12:07.68]  businesses in the US.
[12:08.96]  >> I'm going to make a claim that's going
[12:10.00]  to sound radical, but is I'll back it
[12:11.60]  up.
[12:12.40]  >> If you don't get this right, no other
[12:15.44]  decision you make about your company
[12:17.12]  will matter for the long term because
[12:18.88]  you're not going to be the one making
[12:20.40]  it. Okay? According to Harvard Law
[12:22.96]  School, among venturebacked companies
[12:25.52]  that have the standard best practices
[12:27.36]  set up that you got from your lawyer,
[12:28.80]  okay,
[12:31.12]  only 20% of founders are still the CEO 3
[12:35.36]  years after going public. Okay, just
[12:37.44]  statistically speaking, everyone's being
[12:39.20]  told by their lawyers, their bankers,
[12:40.64]  their VCs, everybody that you're the
[12:42.08]  exception. It's not going to happen to
[12:43.52]  you. But statistically speaking, you're
[12:45.84]  much more likely to be in the 80% than
[12:47.68]  the 20%. I'll tell you one story in
[12:49.76]  particular. A very hot company came to
[12:51.60]  see me like a year or two before their
[12:53.68]  IPO. They were pl pl pl pl pl pl pl pl
[12:54.72]  pl pl pl pl pl pl pl pl pl pl pl pl pl
[12:54.72]  planning IPO. You know, I build a
[12:55.84]  long-term stock exchange. I've done a
[12:56.96]  bunch of stuff that people come to me
[12:58.48]  for advice about these things. They
[13:00.00]  wanted advice. How can we structure the
[13:01.28]  IPO? We want to think long term. We're
[13:02.72]  really missiondriven company, etc., etc.
[13:04.40]  And I was going through their governance
[13:05.84]  documents. I said, "Oh, good. You have
[13:07.52]  all the best practices, so you're
[13:09.04]  totally like I was like, the good news
[13:10.40]  is you're so screwed. You're going to
[13:11.84]  have to do something, right? Like just
[13:13.60]  this is you're this is you're guaranteed
[13:15.12]  to get this messed." And and I I I had
[13:17.68]  all the data just like I do in the book.
[13:19.36]  like here are the examples, here are the
[13:20.56]  case studies, here's the data. You need
[13:22.08]  to know about this. And the founder was
[13:24.88]  really concerned. He's like, "Okay,
[13:26.08]  we're going to we're going to definitely
[13:27.12]  do something about this. We're going to
[13:28.08]  fix it up." But then he called me back a
[13:29.52]  few months later. He's like, I said,
[13:30.72]  "Well, what are you going to do?" He's
[13:31.76]  like, "You know what? I talked to my
[13:32.80]  bankers, talked to my lawyers, talked to
[13:34.48]  my CFO, talked to my GC, talked to my
[13:36.08]  VCs, talked to my growth VCs."
[13:38.40]  You know what they all said? They all
[13:39.68]  said, "Man, Eric is such a downer. If he
[13:43.52]  really believed in your vision, if he
[13:45.68]  really saw how special you were, he
[13:47.28]  wouldn't talk like that. you're the
[13:49.04]  exception. I said, "Okay, man. Good
[13:51.12]  luck." This company went public, had a
[13:54.56]  very successful IPO, a lot of people
[13:56.00]  made a lot of money, and then five
[13:58.88]  months into their IPO, a competitor gets
[14:02.16]  acquired, and the whole category,
[14:04.64]  everyone freaks out. Stock price
[14:06.72]  collapses, and the founder is ousted
[14:09.84]  after five months as a public company.
[14:12.56]  Now, if you read stories about the
[14:14.00]  company, it's people like, "Oh, he made
[14:15.68]  all these mistakes. Their business model
[14:17.12]  sucked. the company of blah. Did he make
[14:19.44]  mistakes? I'm sure he did. Were there
[14:20.96]  problems? I'm sure. But had he really
[14:23.12]  earned so little grace that he only got
[14:25.92]  five months? The same people saying that
[14:28.08]  the business model is horribly flawed,
[14:29.76]  they invested in the company five months
[14:31.52]  ago. Had it had it really changed so
[14:33.60]  much in five months. This is what's
[14:34.96]  going on. These um collapses are all
[14:38.24]  around us and we're being told it's
[14:39.68]  normal. This is just the way it has to
[14:41.12]  be. But it's not. These are choices
[14:43.44]  about the specific structures, cultural
[14:46.32]  practices, the the management practices
[14:48.00]  we do on the inside and the structural
[14:50.00]  the governance practices we do on the
[14:51.60]  outside. Of both of them, we're being
[14:53.76]  told to do things that are incredibly
[14:55.36]  weak. And again, if you think you're
[14:56.96]  going to be the exception, like think
[14:58.24]  again.
[14:58.80]  >> I'm excited to talk about what to do
[15:00.48]  with these governance elements, but
[15:02.08]  let's talk about this other critique
[15:03.44]  that I imagine people have in their head
[15:05.28]  of just like is this like, you know,
[15:07.44]  like okay, I need to figure out product
[15:09.84]  market fit first.
[15:10.88]  >> Yeah. Yeah. work worry about it later.
[15:12.96]  >> Exactly. There's so much more I need to
[15:14.72]  do. Like the chances of this working are
[15:16.48]  so low. Why am I I have no time for
[15:18.48]  anything else.
[15:19.04]  >> Oh, totally. You said something
[15:20.24]  interesting in the leadin which you said
[15:21.44]  like, "Well, a lot of other companies
[15:22.48]  seem to be killing it and they don't
[15:23.76]  have these protections, so they're
[15:25.04]  fine." I would actually check your math
[15:27.84]  so many times when people give me this
[15:29.28]  argument. They were like, "Well, such
[15:30.40]  and such company, you know, like I'm
[15:31.68]  someone was like, "Cloudflare, they are
[15:32.96]  just a normal company. They don't do
[15:34.64]  this stuff." I'm like, "Check your math,
[15:36.24]  buddy. Cloudflare does many of the
[15:38.32]  things that we talking They're one of
[15:39.44]  the examples in the book, so I picked
[15:40.64]  that on purpose. A lot of companies that
[15:42.32]  you don't necessarily instantly think of
[15:44.00]  as like dogoodter missiondriven
[15:46.40]  companies are actually very
[15:47.44]  missiondriven in terms of how they're
[15:48.88]  structured and they are almost always
[15:51.28]  protected by at least one of the
[15:53.20]  governance structures from this book. So
[15:55.04]  check your math. People used to tell me
[15:56.40]  Costco was an example that wasn't
[15:58.24]  protected. So much so that like I was
[15:59.84]  surprised to learn that it was embodied
[16:01.60]  in a governance fortress. You you'll be
[16:03.76]  surprised if you if you do the math, if
[16:05.20]  you look into it, you'll be surprised.
[16:06.88]  But let's talk about the product market
[16:08.08]  fit thing because this one is really
[16:09.36]  interesting to me. Generally speaking,
[16:11.84]  this is one of the most important ideas
[16:12.96]  in the whole book. The most important
[16:15.36]  question about how to protect a product
[16:18.48]  is not what protections it needs, but
[16:21.52]  when those protections need to be
[16:23.28]  enacted. And it's basically like that
[16:25.92]  old proverb about the best time to plant
[16:27.44]  a tree was 40 years ago, but the next
[16:29.04]  best time is now. It is always too early
[16:32.80]  until it's too late. And I'll I'll give
[16:35.36]  you like the example. Um I've seen this
[16:38.16]  hundreds of times myself personally. So
[16:39.84]  I've like l literally been in the room
[16:41.44]  where this kind of stuff gets discussed
[16:43.12]  and it starts like this. You're going to
[16:44.48]  you're you're incorporating your
[16:45.68]  company. You talk to your lawyer. Hey, I
[16:47.20]  want to have these are called mission
[16:48.32]  protective provisions in the law. I want
[16:50.24]  to have I heard heard this guy on
[16:51.44]  Lenny's podcast and your lawyer's like,
[16:53.12]  "Oh, not again." You know, another guy,
[16:54.64]  right? Like how many good ideas from
[16:56.16]  Lenny's podcast are you going to tell me
[16:57.36]  about? Okay, fine. What's this one? I he
[16:59.44]  told me I need to have mission
[17:00.32]  protective provisions. He'll be like
[17:01.52]  he'll pat you on the head and be like,
[17:02.48]  "Oh, that's sweet, honey. That's great.
[17:04.48]  Yeah. Get product market fit. Like get
[17:07.20]  some success. Success is ultimately your
[17:09.20]  source of leverage. Success will protect
[17:10.64]  you. Don't worry about it. You say,
[17:11.52]  "Okay, great. But just thanks for
[17:13.52]  letting me know. Now you raise some
[17:14.96]  money. You got these VCs on your board."
[17:16.80]  Say the same thing. They're like, "Yeah,
[17:18.80]  I totally am with you. We're on the same
[17:20.32]  page. We want the same thing you want.
[17:21.68]  We invested because we believe in you as
[17:23.04]  the founder. There's no need to do this
[17:24.24]  now. Let's just do it later. Do it when
[17:25.68]  it's the more appropriate time." Okay.
[17:27.44]  You get you got a growth round. Now you
[17:29.04]  got these bold contrarian growth VCs on
[17:31.20]  your board and they're like, "I don't
[17:33.92]  know. You might not want to be too
[17:35.84]  different from everybody else. Might
[17:37.60]  make it hard to raise money." You're
[17:38.88]  like, "I thought you were a bold
[17:39.76]  contrarian. What?" Okay, don't worry
[17:41.76]  about it now. We can always do it later.
[17:44.00]  Now you're doing IPO prep. Now you got
[17:46.24]  bankers and lawyers and you've got a GC
[17:48.32]  and you got the and they're all like,
[17:49.68]  "Yep, yep. This is a great thing to
[17:51.20]  bundle with the IPO itself. You don't
[17:52.64]  need to worry about it now. First, we
[17:53.76]  got to land the plane. Let's get our
[17:54.88]  house in order." Blah, blah, blah.
[17:56.32]  Anyway, I've actually been in the room
[17:58.72]  where the founder sits with the CFO and
[18:00.56]  now it's like IPO planning road show.
[18:02.56]  Here we go. It's go time. We're about to
[18:04.00]  file the papers and the founder's like,
[18:05.68]  "Hey, whatever happened to those mission
[18:07.12]  protective provisions?" They're like, "I
[18:08.24]  wanted to really make sure we had our
[18:09.52]  customers could participate in our IPO
[18:11.44]  and I want broadly shared prosperity and
[18:13.20]  I want this thing for our employees and
[18:14.88]  all this good stuff I want to do. Do we
[18:17.60]  uh do we do any of that stuff? I don't
[18:19.36]  see it in the S1." The CFO is like, "Oh,
[18:22.48]  you were serious about that?" Oh, sorry,
[18:25.44]  man. You should have said something. Now
[18:26.72]  it's too late. You're like, "Wait a
[18:28.40]  minute. When I talked to you about it
[18:29.28]  last year, you said it was too early."
[18:31.44]  Yeah, it was. But now it's too late. Was
[18:34.16]  it ever the right time? No, it is never
[18:36.56]  the right time to do this. If you put
[18:39.36]  this off, you will eventually find
[18:40.80]  yourself in a situation where you can no
[18:42.24]  longer do it. You will have lost the
[18:43.68]  leverage. Success will not protect you
[18:46.16]  because success is what makes you a
[18:48.08]  target. That story I told you about the
[18:50.16]  five month CEO got fired. That company,
[18:53.60]  everyone who worked on that IPO, every
[18:55.68]  banker, every lawyer, the CFO,
[18:57.68]  everybody, they profited from all the
[19:00.00]  transaction volume that that company
[19:02.08]  generated on the way up and on the way
[19:04.96]  down. They're all fine. They're all on
[19:08.08]  to the next IPO. The they're like u
[19:11.20]  carnivores, you know? They're on to the
[19:12.72]  next thing to feed on. Meanwhile, the
[19:14.96]  customers, the employees, the people
[19:16.48]  that cared about their company were not
[19:18.00]  so lucky.
[19:18.96]  >> Damn, that hit me. That hit me right in
[19:20.56]  the heart. Uh, and it's so obvious just
[19:23.52]  how personal and important this is to
[19:26.00]  you. It's clear you've just seen this
[19:27.76]  happen again and again in your
[19:29.04]  >> Oh, yeah. I've been in the room where it
[19:30.32]  happens, the proverbial room.
[19:32.96]  >> Okay. So, let's talk about how to what
[19:34.80]  people should do and we'll poke around
[19:36.80]  in different directions. what's kind of
[19:38.08]  like the broadstroke solution to this
[19:39.84]  and then what are some say three things
[19:41.60]  say an early stage founder should do
[19:43.52]  this week next week.
[19:44.80]  >> Yeah. Yeah. Yeah. Okay. So, so broadly
[19:46.56]  speaking there is a blueprint. I promise
[19:48.32]  like when we talk about the the the
[19:51.60]  horrors of living in late stage
[19:53.04]  capitalism it's easy to get depressed
[19:54.48]  and just be like I mean literally part
[19:55.60]  one of this book is called the shape of
[19:56.88]  the abyss. So you know I'm not I'm not
[19:59.12]  trying to sugarcoat it. This is quite
[20:00.72]  grim and if you haven't studied these
[20:02.96]  case studies, if you don't know the
[20:04.24]  story of Whole Foods and what happened
[20:05.52]  to it, if you don't know the story of
[20:06.56]  Verura, you know, you don't know these
[20:08.00]  stories, they're really grim and it's
[20:10.16]  important to grapple with what happened
[20:11.76]  so that so that it doesn't happen to
[20:13.36]  you, so that you're prepared, but it can
[20:15.68]  feel like we're we're so helpless. But
[20:17.36]  as I said, this is a double mystery. Not
[20:19.28]  just why does this happen, but how can
[20:21.60]  there be exceptions to a rule that's
[20:23.52]  inevitable? So let me just tell one more
[20:26.08]  story and then we'll get really into the
[20:27.68]  tactical details because I want to
[20:28.72]  really give I want some stories that we
[20:30.00]  can use as our fact set our database to
[20:33.20]  draw these principles out. And so the
[20:36.48]  blueprint I'll give you the spoiler
[20:37.76]  alert I just mentioned before ethos plus
[20:39.68]  integrity that's our formula. Ethos
[20:41.60]  meaning internal alignment character
[20:43.60]  choices integrity meaning the structure
[20:45.76]  to resist to keep ourselves aligned with
[20:47.92]  human flourishing. Let's go back in time
[20:50.40]  a little further. This time we're going
[20:51.60]  to go to 1920 Denmark. Okay. I want to
[20:54.64]  tell you about a a woman named Marie
[20:56.16]  Crowe. She was one of the first doctors
[20:59.04]  to uh practice in Denmark, like a
